,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,adam-feeney,A. Feeney,greg-jones,G. Jones,adelaide_challenger,Round of 32,2.0,f,100,3,01:14:00,121.0,0.0,7.0,13.0,0.0,1.0,214.0,1.0,10.0,42.0,68.0,23.0,42.0,12.0,26.0,3.0,7.0,10.0,111.0,10.0,34.0,4.0,19.0,1.0,2.0,9.0,35.0,68.0,14.0,53.0,49.0,f,f,,f,Australia,2.0,13.0,7.0,1.0,302.0,0.0,0.0,34.0,53.0,24.0,34.0,15.0,19.0,1.0,2.0,9.0,196.0,19.0,42.0,14.0,26.0,4.0,7.0,10.0,39.0,53.0,33.0,68.0,72.0,t,f,t,Australia
1,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alessandro-giannessi,A. Giannessi,matthew-barton,M. Barton,adelaide_challenger,Round of 32,1.0,f,100,3,00:22:00,47.0,0.0,3.0,4.0,0.0,0.0,263.0,2.0,1.0,13.0,24.0,9.0,13.0,7.0,11.0,1.0,2.0,4.0,68.0,4.0,16.0,3.0,7.0,0.0,0.0,3.0,16.0,24.0,7.0,23.0,23.0,f,t,8,f,Australia,1.0,4.0,3.0,0.0,305.0,3.0,0.0,16.0,23.0,12.0,16.0,4.0,7.0,0.0,0.0,3.0,142.0,4.0,13.0,4.0,11.0,1.0,2.0,4.0,16.0,23.0,8.0,24.0,24.0,t,t,t,Australia
2,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,colin-ebelthite,C. Ebelthite,adelaide_challenger,Round of 16,3.0,f,100,4,02:01:00,191.0,2.0,19.0,14.0,0.0,1.0,304.0,12.0,2.0,58.0,90.0,49.0,58.0,17.0,32.0,1.0,2.0,16.0,160.0,19.0,70.0,18.0,31.0,4.0,8.0,16.0,66.0,90.0,37.0,101.0,103.0,t,f,,f,Australia,1.0,14.0,19.0,1.0,262.0,6.0,3.0,70.0,101.0,51.0,70.0,13.0,31.0,4.0,8.0,16.0,119.0,9.0,58.0,15.0,32.0,1.0,2.0,16.0,64.0,101.0,24.0,90.0,88.0,f,f,t,Australia
3,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,hiroki-moriya,H. Moriya,adelaide_challenger,Round of 32,2.0,f,100,3,01:13:00,103.0,2.0,12.0,3.0,0.0,0.0,265.0,4.0,2.0,35.0,63.0,23.0,35.0,15.0,28.0,6.0,7.0,8.0,257.0,7.0,17.0,17.0,23.0,5.0,7.0,7.0,38.0,63.0,24.0,40.0,62.0,t,f,,t,Australia,0.0,3.0,12.0,0.0,153.0,1.0,4.0,17.0,40.0,10.0,17.0,6.0,23.0,2.0,7.0,7.0,106.0,12.0,35.0,13.0,28.0,1.0,7.0,8.0,16.0,40.0,25.0,63.0,41.0,f,f,f,Australia
4,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,matthew-barton,M. Barton,adelaide_challenger,Semi-Finals,2.0,f,100,6,01:10:00,118.0,0.0,6.0,13.0,0.0,0.0,210.0,3.0,3.0,52.0,73.0,31.0,52.0,6.0,21.0,7.0,12.0,10.0,114.0,5.0,28.0,6.0,17.0,1.0,2.0,9.0,37.0,73.0,11.0,45.0,48.0,f,f,,f,Australia,2.0,13.0,6.0,0.0,299.0,3.0,1.0,28.0,45.0,23.0,28.0,11.0,17.0,1.0,2.0,9.0,203.0,21.0,52.0,15.0,21.0,5.0,12.0,10.0,34.0,45.0,36.0,73.0,70.0,t,f,t,Australia
5,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alexander-lobkov,A. Lobkov,sam-groth,S. Groth,adelaide_challenger,Quarter-Finals,2.0,f,100,5,01:43:00,153.0,2.0,14.0,12.0,2.0,2.0,313.0,4.0,1.0,51.0,77.0,39.0,51.0,20.0,26.0,1.0,2.0,12.0,100.0,6.0,43.0,15.0,33.0,1.0,3.0,12.0,59.0,77.0,21.0,76.0,80.0,t,f,,t,Australia,0.0,12.0,14.0,0.0,303.0,19.0,5.0,43.0,76.0,37.0,43.0,18.0,33.0,2.0,3.0,12.0,105.0,12.0,51.0,6.0,26.0,1.0,2.0,12.0,55.0,76.0,18.0,77.0,73.0,f,f,f,Australia
6,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,alex-bolt,A. Bolt,matt-reid,M. Reid,adelaide_challenger,Round of 32,2.0,f,100,3,01:30:00,162.0,0.0,9.0,13.0,0.0,1.0,276.0,7.0,4.0,47.0,75.0,33.0,47.0,14.0,28.0,5.0,6.0,10.0,70.0,12.0,54.0,16.0,33.0,0.0,6.0,11.0,47.0,75.0,28.0,87.0,75.0,f,f,WC,f,Australia,2.0,13.0,9.0,1.0,299.0,10.0,3.0,54.0,87.0,42.0,54.0,17.0,33.0,6.0,6.0,11.0,107.0,14.0,47.0,14.0,28.0,1.0,6.0,10.0,59.0,87.0,28.0,75.0,87.0,t,f,t,Australia
7,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,andrea-arnaboldi,A. Arnaboldi,john-patrick-smith,J. Smith,adelaide_challenger,Round of 32,2.0,f,100,3,01:44:00,141.0,0.0,9.0,13.0,0.0,1.0,257.0,1.0,0.0,40.0,62.0,21.0,40.0,15.0,22.0,3.0,6.0,10.0,127.0,11.0,44.0,18.0,35.0,2.0,6.0,11.0,36.0,62.0,29.0,79.0,65.0,f,f,,f,Australia,2.0,13.0,9.0,1.0,263.0,3.0,1.0,44.0,79.0,33.0,44.0,17.0,35.0,4.0,6.0,11.0,160.0,19.0,40.0,7.0,22.0,3.0,6.0,10.0,50.0,79.0,26.0,62.0,76.0,t,f,t,Australia
8,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,andrew-whittington,A. Whittington,erik-elliott,E. Elliott,adelaide_challenger,2nd Round Qualifying,2.0,f,100,1,00:46:00,69.0,0.0,4.0,8.0,0.0,0.0,224.0,1.0,4.0,20.0,41.0,12.0,20.0,11.0,21.0,1.0,3.0,6.0,28.0,1.0,14.0,3.0,14.0,0.0,0.0,6.0,23.0,41.0,4.0,28.0,27.0,f,t,5,f,Australia,2.0,8.0,4.0,0.0,324.0,3.0,1.0,14.0,28.0,13.0,14.0,11.0,14.0,0.0,0.0,6.0,188.0,8.0,20.0,10.0,21.0,2.0,3.0,6.0,24.0,28.0,18.0,41.0,42.0,t,t,t,Australia
9,2013-02-04,2013-02-10,Australia,Hard,50000.0,$,2013,andrew-whittington,A. Whittington,jacob-grills,J. Grills,adelaide_challenger,1st Round Qualifying,2.0,f,100,0,01:18:00,129.0,2.0,12.0,5.0,0.0,0.0,275.0,4.0,2.0,42.0,68.0,29.0,42.0,14.0,26.0,6.0,7.0,9.0,207.0,16.0,38.0,15.0,23.0,4.0,8.0,8.0,43.0,68.0,31.0,61.0,74.0,t,f,5,t,Australia,0.0,5.0,12.0,0.0,199.0,0.0,6.0,38.0,61.0,22.0,38.0,8.0,23.0,4.0,8.0,8.0,102.0,13.0,42.0,12.0,26.0,1.0,7.0,9.0,30.0,61.0,25.0,68.0,55.0,f,f,f,Australia
