,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexander-bublik,A. Bublik,bradley-klahn,B. Klahn,aix-en-provence_challenger,Round of 32,2.0,f,100,3,01:39:00,159.0,0.0,12.0,14.0,0.0,2.0,278.0,6.0,3.0,37.0,78.0,29.0,37.0,24.0,41.0,4.0,5.0,12.0,90.0,12.0,53.0,11.0,28.0,1.0,5.0,12.0,53.0,78.0,23.0,81.0,76.0,f,f,,f,France,2.0,14.0,12.0,2.0,295.0,4.0,3.0,53.0,81.0,41.0,53.0,17.0,28.0,4.0,5.0,12.0,91.0,8.0,37.0,17.0,41.0,1.0,5.0,12.0,58.0,81.0,25.0,78.0,83.0,t,f,t,France
1,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexandre-muller,A. Muller,maximo-gonzalez,M. Gonzalez,aix-en-provence_challenger,Round of 32,2.0,f,100,3,01:09:00,98.0,0.0,4.0,12.0,0.0,0.0,174.0,1.0,4.0,28.0,50.0,17.0,28.0,5.0,22.0,3.0,8.0,8.0,92.0,8.0,26.0,7.0,22.0,1.0,6.0,8.0,22.0,50.0,15.0,48.0,37.0,f,f,WC,f,France,2.0,12.0,4.0,0.0,278.0,3.0,3.0,26.0,48.0,18.0,26.0,15.0,22.0,5.0,6.0,8.0,241.0,11.0,28.0,17.0,22.0,5.0,8.0,8.0,33.0,48.0,28.0,50.0,61.0,t,f,t,France
2,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexei-popyrin,A. Popyrin,john-millman,J. Millman,aix-en-provence_challenger,Round of 32,3.0,f,100,3,02:02:00,172.0,1.0,11.0,17.0,0.0,0.0,217.0,3.0,1.0,45.0,86.0,31.0,45.0,15.0,41.0,6.0,12.0,14.0,138.0,15.0,50.0,16.0,36.0,3.0,7.0,14.0,46.0,86.0,31.0,86.0,77.0,f,f,Q,f,France,2.0,17.0,11.0,0.0,263.0,4.0,3.0,50.0,86.0,35.0,50.0,20.0,36.0,4.0,7.0,14.0,186.0,14.0,45.0,26.0,41.0,6.0,12.0,14.0,55.0,86.0,40.0,86.0,95.0,t,f,t,France
3,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexei-popyrin,A. Popyrin,laurent-lokoli,L. Lokoli,aix-en-provence_challenger,1st Round Qualifying,3.0,f,100,0,01:52:00,164.0,2.0,16.0,10.0,0.0,0.0,260.0,5.0,5.0,50.0,79.0,33.0,50.0,16.0,29.0,2.0,5.0,13.0,206.0,18.0,50.0,24.0,35.0,6.0,11.0,13.0,49.0,79.0,42.0,85.0,91.0,t,f,8,f,France,1.0,10.0,16.0,0.0,208.0,3.0,2.0,50.0,85.0,32.0,50.0,11.0,35.0,5.0,11.0,13.0,162.0,17.0,50.0,13.0,29.0,3.0,5.0,13.0,43.0,85.0,30.0,79.0,73.0,f,f,t,France
4,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexei-popyrin,A. Popyrin,maxime-janvier,M. Janvier,aix-en-provence_challenger,3rd Round Qualifying,3.0,f,100,2,01:34:00,137.0,2.0,14.0,10.0,0.0,0.0,258.0,8.0,3.0,42.0,67.0,30.0,42.0,11.0,25.0,1.0,4.0,12.0,187.0,11.0,34.0,23.0,36.0,5.0,10.0,12.0,41.0,67.0,34.0,70.0,75.0,t,f,8,f,France,1.0,10.0,14.0,0.0,211.0,5.0,5.0,34.0,70.0,23.0,34.0,13.0,36.0,5.0,10.0,12.0,185.0,12.0,42.0,14.0,25.0,3.0,4.0,12.0,36.0,70.0,26.0,67.0,62.0,f,f,t,France
5,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexei-popyrin,A. Popyrin,raphael-baltensperger,R. Baltensperger,aix-en-provence_challenger,2nd Round Qualifying,2.0,f,100,1,00:56:00,95.0,2.0,12.0,5.0,0.0,0.0,314.0,1.0,1.0,25.0,41.0,21.0,25.0,13.0,16.0,0.0,1.0,9.0,200.0,13.0,26.0,14.0,28.0,4.0,8.0,8.0,34.0,41.0,27.0,54.0,61.0,t,f,8,t,France,0.0,5.0,12.0,0.0,196.0,0.0,2.0,26.0,54.0,13.0,26.0,14.0,28.0,4.0,8.0,8.0,146.0,4.0,25.0,3.0,16.0,1.0,1.0,9.0,27.0,54.0,7.0,41.0,34.0,f,f,f,France
6,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexis-gautier,A. Gautier,dorian-descloix,D. Descloix,aix-en-provence_challenger,2nd Round Qualifying,2.0,f,100,1,01:06:00,111.0,0.0,6.0,12.0,0.0,0.0,237.0,0.0,2.0,39.0,65.0,23.0,39.0,14.0,26.0,6.0,9.0,9.0,38.0,2.0,22.0,7.0,24.0,0.0,1.0,9.0,37.0,65.0,9.0,46.0,46.0,f,f,,f,France,2.0,12.0,6.0,0.0,316.0,6.0,0.0,22.0,46.0,20.0,22.0,17.0,24.0,1.0,1.0,9.0,153.0,16.0,39.0,12.0,26.0,3.0,9.0,9.0,37.0,46.0,28.0,65.0,65.0,t,f,t,France
7,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,alexis-gautier,A. Gautier,sadio-doumbia,S. Doumbia,aix-en-provence_challenger,1st Round Qualifying,3.0,f,100,0,02:18:00,201.0,2.0,14.0,13.0,0.0,0.0,258.0,3.0,3.0,64.0,100.0,44.0,64.0,17.0,36.0,5.0,8.0,14.0,141.0,22.0,58.0,20.0,43.0,3.0,9.0,13.0,61.0,100.0,42.0,101.0,103.0,t,t,,f,France,1.0,13.0,14.0,0.0,249.0,6.0,5.0,58.0,101.0,36.0,58.0,23.0,43.0,6.0,9.0,13.0,143.0,20.0,64.0,19.0,36.0,3.0,8.0,14.0,59.0,101.0,39.0,100.0,98.0,f,t,t,France
8,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,antoine-escoffier,A. Escoffier,guillermo-duran,G. Duran,aix-en-provence_challenger,2nd Round Qualifying,2.0,f,100,1,01:30:00,141.0,2.0,12.0,5.0,0.0,0.0,306.0,1.0,1.0,33.0,56.0,24.0,33.0,17.0,23.0,2.0,2.0,9.0,142.0,12.0,37.0,27.0,48.0,3.0,18.0,8.0,41.0,56.0,39.0,85.0,80.0,t,f,5,t,France,0.0,5.0,12.0,0.0,219.0,8.0,7.0,37.0,85.0,25.0,37.0,21.0,48.0,15.0,18.0,8.0,53.0,9.0,33.0,6.0,23.0,0.0,2.0,9.0,46.0,85.0,15.0,56.0,61.0,f,f,f,France
9,2018-05-07,2018-05-13,France,Clay,127000.0,€,2018,antoine-escoffier,A. Escoffier,jonathan-hilaire,J. Hilaire,aix-en-provence_challenger,1st Round Qualifying,2.0,f,100,0,01:22:00,117.0,2.0,12.0,5.0,0.0,0.0,251.0,2.0,2.0,23.0,46.0,17.0,23.0,12.0,23.0,2.0,4.0,8.0,216.0,24.0,44.0,14.0,27.0,6.0,14.0,9.0,29.0,46.0,38.0,71.0,67.0,t,f,5,t,France,0.0,5.0,12.0,0.0,187.0,0.0,1.0,44.0,71.0,20.0,44.0,13.0,27.0,8.0,14.0,9.0,149.0,6.0,23.0,11.0,23.0,2.0,4.0,8.0,33.0,71.0,17.0,46.0,50.0,f,f,f,France
