,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,akash-wagh,A. Wagh,denes-lukacs,D. Lukacs,alphen-aan-den-rijn_challenger,2nd Round Qualifying,2.0,f,100,1,00:48:00,82.0,0.0,0.0,12.0,0.0,0.0,129.0,4.0,0.0,27.0,49.0,14.0,27.0,4.0,22.0,5.0,11.0,6.0,46.0,2.0,15.0,6.0,18.0,0.0,0.0,6.0,18.0,49.0,8.0,33.0,26.0,f,f,,f,Netherlands,2.0,12.0,0.0,0.0,299.0,2.0,2.0,15.0,33.0,13.0,15.0,12.0,18.0,0.0,0.0,6.0,285.0,13.0,27.0,18.0,22.0,6.0,11.0,6.0,25.0,33.0,31.0,49.0,56.0,t,f,t,Netherlands
1,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alban-meuffels,A. Meuffels,marek-michalicka,M. Michalicka,alphen-aan-den-rijn_challenger,Round of 32,2.0,f,100,3,01:46:00,154.0,0.0,10.0,13.0,0.0,1.0,231.0,1.0,0.0,31.0,69.0,16.0,31.0,23.0,38.0,2.0,5.0,11.0,131.0,20.0,59.0,13.0,26.0,2.0,7.0,11.0,39.0,69.0,33.0,85.0,72.0,f,f,WC,f,Netherlands,2.0,13.0,10.0,1.0,268.0,6.0,4.0,59.0,85.0,39.0,59.0,13.0,26.0,5.0,7.0,11.0,174.0,15.0,31.0,15.0,38.0,3.0,5.0,11.0,52.0,85.0,30.0,69.0,82.0,t,f,t,Netherlands
2,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexander-flock,A. Flock,nick-van-der-meer,N. Van Der Meer,alphen-aan-den-rijn_challenger,Round of 32,2.0,f,100,3,01:19:00,112.0,0.0,7.0,12.0,0.0,0.0,258.0,1.0,1.0,43.0,65.0,28.0,43.0,11.0,22.0,5.0,7.0,9.0,42.0,3.0,35.0,4.0,12.0,0.0,0.0,10.0,39.0,65.0,7.0,47.0,46.0,f,f,,f,Netherlands,2.0,12.0,7.0,0.0,336.0,5.0,1.0,35.0,47.0,32.0,35.0,8.0,12.0,0.0,0.0,10.0,136.0,15.0,43.0,11.0,22.0,2.0,7.0,9.0,40.0,47.0,26.0,65.0,66.0,t,f,t,Netherlands
3,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexander-mannapov,A. Mannapov,floris-pagano-mirani,F. Pagano Mirani,alphen-aan-den-rijn_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,102.0,2.0,9.0,5.0,0.0,0.0,300.0,4.0,4.0,28.0,45.0,22.0,28.0,10.0,17.0,2.0,2.0,7.0,178.0,12.0,34.0,15.0,23.0,2.0,4.0,7.0,32.0,45.0,27.0,57.0,59.0,t,t,,t,Netherlands,0.0,5.0,9.0,0.0,228.0,1.0,4.0,34.0,57.0,22.0,34.0,8.0,23.0,2.0,4.0,7.0,62.0,6.0,28.0,7.0,17.0,0.0,2.0,7.0,30.0,57.0,13.0,45.0,43.0,f,t,f,Netherlands
4,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexander-mannapov,,jannick-lupescu,,alphen-aan-den-rijn_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Netherlands,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Netherlands
5,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexander-mannapov,A. Mannapov,roman-vogeli,R. Vogeli,alphen-aan-den-rijn_challenger,3rd Round Qualifying,2.0,f,100,2,01:25:00,106.0,0.0,5.0,12.0,0.0,0.0,218.0,4.0,3.0,34.0,58.0,22.0,34.0,9.0,24.0,2.0,6.0,9.0,61.0,6.0,28.0,8.0,20.0,0.0,3.0,8.0,31.0,58.0,14.0,48.0,45.0,f,f,,f,Netherlands,2.0,12.0,5.0,0.0,298.0,2.0,1.0,28.0,48.0,22.0,28.0,12.0,20.0,3.0,3.0,8.0,209.0,12.0,34.0,15.0,24.0,4.0,6.0,9.0,34.0,48.0,27.0,58.0,61.0,t,f,t,Netherlands
6,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexander-rumyantsev,A. Rumyantsev,lennert-van-der-linden,L. Van Der Linden,alphen-aan-den-rijn_challenger,2nd Round Qualifying,3.0,f,100,1,02:03:00,189.0,1.0,14.0,16.0,0.0,0.0,245.0,2.0,4.0,61.0,95.0,44.0,61.0,13.0,34.0,4.0,8.0,15.0,137.0,19.0,57.0,17.0,37.0,3.0,8.0,15.0,57.0,95.0,36.0,94.0,93.0,f,f,1,f,Netherlands,2.0,16.0,14.0,0.0,261.0,1.0,2.0,57.0,94.0,38.0,57.0,20.0,37.0,5.0,8.0,15.0,166.0,17.0,61.0,21.0,34.0,4.0,8.0,15.0,58.0,94.0,38.0,95.0,96.0,t,f,t,Netherlands
7,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexandre-folie,A. Folie,jan-lennard-struff,J. Struff,alphen-aan-den-rijn_challenger,Round of 16,3.0,f,100,4,01:27:00,149.0,1.0,9.0,15.0,0.0,0.0,194.0,0.0,1.0,49.0,83.0,25.0,49.0,15.0,34.0,7.0,14.0,12.0,186.0,6.0,33.0,18.0,33.0,4.0,5.0,12.0,40.0,83.0,24.0,66.0,64.0,f,f,Q,t,Netherlands,2.0,15.0,9.0,0.0,248.0,7.0,2.0,33.0,66.0,27.0,33.0,15.0,33.0,1.0,5.0,12.0,213.0,24.0,49.0,19.0,34.0,7.0,14.0,12.0,42.0,66.0,43.0,83.0,85.0,t,f,f,Netherlands
8,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexandre-folie,A. Folie,lennert-van-der-linden,L. Van Der Linden,alphen-aan-den-rijn_challenger,Round of 32,3.0,f,100,3,02:20:00,181.0,2.0,17.0,13.0,1.0,1.0,258.0,4.0,5.0,56.0,88.0,42.0,56.0,15.0,32.0,3.0,7.0,15.0,176.0,27.0,65.0,16.0,28.0,5.0,12.0,14.0,57.0,88.0,43.0,93.0,100.0,t,f,Q,f,Netherlands,1.0,13.0,17.0,0.0,234.0,0.0,1.0,65.0,93.0,38.0,65.0,12.0,28.0,7.0,12.0,14.0,161.0,14.0,56.0,17.0,32.0,4.0,7.0,15.0,50.0,93.0,31.0,88.0,81.0,f,f,t,Netherlands
9,2011-09-05,2011-09-11,Netherlands,Clay,42500.0,€,2011,alexandre-folie,A. Folie,marek-michalicka,M. Michalicka,alphen-aan-den-rijn_challenger,3rd Round Qualifying,3.0,f,100,2,02:33:00,208.0,2.0,18.0,15.0,0.0,1.0,252.0,4.0,1.0,77.0,105.0,50.0,77.0,12.0,28.0,11.0,16.0,16.0,185.0,30.0,67.0,17.0,36.0,7.0,14.0,16.0,62.0,105.0,47.0,103.0,109.0,t,f,2,t,Netherlands,1.0,15.0,18.0,1.0,227.0,2.0,4.0,67.0,103.0,37.0,67.0,19.0,36.0,7.0,14.0,16.0,154.0,27.0,77.0,16.0,28.0,5.0,16.0,16.0,56.0,103.0,43.0,105.0,99.0,f,f,f,Netherlands
