start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,alexander-mannapov,A. Mannapov,moritz-baumann,M. Baumann,alphen_challenger,2nd Round Qualifying,2.0,f,100,1,00:50:00,82.0,0.0,2.0,12.0,0.0,0.0,150.0,0.0,5.0,18.0,41.0,11.0,18.0,5.0,23.0,4.0,9.0,7.0,55.0,5.0,23.0,6.0,18.0,0.0,4.0,7.0,16.0,41.0,11.0,41.0,27.0,f,f,WC,f,Netherlands,2.0,12.0,2.0,0.0,301.0,2.0,2.0,23.0,41.0,18.0,23.0,12.0,18.0,4.0,4.0,7.0,244.0,7.0,18.0,18.0,23.0,5.0,9.0,7.0,30.0,41.0,25.0,41.0,55.0,t,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,alexander-mannapov,A. Mannapov,stephan-fransen,S. Fransen,alphen_challenger,1st Round Qualifying,3.0,f,100,0,01:37:00,162.0,2.0,15.0,13.0,0.0,0.0,295.0,6.0,4.0,58.0,84.0,43.0,58.0,15.0,26.0,3.0,4.0,14.0,120.0,15.0,54.0,9.0,24.0,2.0,5.0,14.0,58.0,84.0,24.0,78.0,82.0,t,f,WC,f,Netherlands,1.0,13.0,15.0,0.0,289.0,4.0,4.0,54.0,78.0,39.0,54.0,15.0,24.0,3.0,5.0,14.0,100.0,15.0,58.0,11.0,26.0,1.0,4.0,14.0,54.0,78.0,26.0,84.0,80.0,f,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,antal-van-der-duim,A. Van Der Duim,axel-michon,A. Michon,alphen_challenger,Round of 16,2.0,f,100,4,01:07:00,106.0,2.0,12.0,5.0,0.0,0.0,306.0,1.0,0.0,37.0,57.0,26.0,37.0,14.0,20.0,6.0,6.0,9.0,199.0,10.0,32.0,12.0,17.0,3.0,5.0,8.0,40.0,57.0,22.0,49.0,62.0,t,f,,t,Netherlands,0.0,5.0,12.0,0.0,226.0,3.0,2.0,32.0,49.0,22.0,32.0,5.0,17.0,2.0,5.0,8.0,60.0,11.0,37.0,6.0,20.0,0.0,6.0,9.0,27.0,49.0,17.0,57.0,44.0,f,f,f,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,antal-van-der-duim,A. Van Der Duim,jesse-huta-galung,J. Huta Galung,alphen_challenger,Quarter-Finals,2.0,f,100,5,01:09:00,104.0,0.0,5.0,12.0,0.0,0.0,206.0,2.0,4.0,32.0,51.0,22.0,32.0,4.0,19.0,3.0,7.0,9.0,62.0,6.0,32.0,9.0,21.0,0.0,4.0,8.0,26.0,51.0,15.0,53.0,41.0,f,f,,f,Netherlands,2.0,12.0,5.0,0.0,302.0,5.0,1.0,32.0,53.0,26.0,32.0,12.0,21.0,4.0,4.0,8.0,211.0,10.0,32.0,15.0,19.0,4.0,7.0,9.0,38.0,53.0,25.0,51.0,63.0,t,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,antal-van-der-duim,A. Van Der Duim,matthias-wunner,M. Wunner,alphen_challenger,Round of 32,3.0,f,100,3,01:35:00,168.0,2.0,17.0,14.0,0.0,0.0,264.0,8.0,3.0,47.0,81.0,37.0,47.0,16.0,34.0,0.0,4.0,16.0,165.0,16.0,52.0,18.0,35.0,5.0,10.0,15.0,53.0,81.0,34.0,87.0,87.0,t,f,,f,Netherlands,1.0,14.0,17.0,0.0,247.0,5.0,2.0,52.0,87.0,36.0,52.0,17.0,35.0,5.0,10.0,15.0,199.0,10.0,47.0,18.0,34.0,4.0,4.0,16.0,53.0,87.0,28.0,81.0,81.0,f,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,arthur-de-greef,A. De Greef,victor-hanescu,V. Hanescu,alphen_challenger,Round of 32,2.0,f,100,3,01:22:00,121.0,0.0,7.0,12.0,0.0,0.0,192.0,1.0,3.0,32.0,58.0,17.0,32.0,11.0,26.0,3.0,8.0,9.0,152.0,16.0,47.0,8.0,16.0,3.0,8.0,10.0,28.0,58.0,24.0,63.0,52.0,f,f,,f,Netherlands,2.0,12.0,7.0,0.0,263.0,2.0,0.0,47.0,63.0,31.0,47.0,8.0,16.0,5.0,8.0,10.0,223.0,15.0,32.0,15.0,26.0,5.0,8.0,9.0,39.0,63.0,30.0,58.0,69.0,t,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,axel-michon,A. Michon,yannick-mertens,Y. Mertens,alphen_challenger,Round of 32,2.0,f,100,3,01:02:00,100.0,2.0,12.0,4.0,0.0,0.0,308.0,1.0,1.0,30.0,49.0,22.0,30.0,14.0,19.0,8.0,8.0,8.0,193.0,20.0,41.0,5.0,10.0,4.0,9.0,8.0,36.0,49.0,25.0,51.0,61.0,t,f,6,t,Netherlands,0.0,4.0,12.0,0.0,230.0,1.0,2.0,41.0,51.0,21.0,41.0,5.0,10.0,5.0,9.0,8.0,53.0,8.0,30.0,5.0,19.0,0.0,8.0,8.0,26.0,51.0,13.0,49.0,39.0,f,f,f,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,bobbie-de-goeijen,B. De Goeijen,henrik-sillanpaa,H. Sillanpaa,alphen_challenger,2nd Round Qualifying,2.0,f,100,1,01:01:00,100.0,0.0,6.0,12.0,0.0,0.0,228.0,2.0,5.0,29.0,51.0,21.0,29.0,8.0,22.0,2.0,5.0,9.0,65.0,4.0,36.0,7.0,13.0,0.0,1.0,9.0,29.0,51.0,11.0,49.0,40.0,f,f,,f,Netherlands,2.0,12.0,6.0,0.0,312.0,5.0,1.0,36.0,49.0,32.0,36.0,6.0,13.0,1.0,1.0,9.0,185.0,8.0,29.0,14.0,22.0,3.0,5.0,9.0,38.0,49.0,22.0,51.0,60.0,t,f,t,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,bobbie-de-goeijen,B. De Goeijen,jasper-van-der-zwan,J. Van der Zwan,alphen_challenger,1st Round Qualifying,2.0,f,100,0,00:56:00,81.0,2.0,12.0,0.0,0.0,0.0,283.0,2.0,2.0,30.0,49.0,24.0,30.0,8.0,19.0,8.0,8.0,6.0,359.0,16.0,23.0,8.0,9.0,6.0,6.0,6.0,32.0,49.0,24.0,32.0,56.0,t,f,,t,Netherlands,0.0,0.0,12.0,0.0,112.0,0.0,1.0,23.0,32.0,7.0,23.0,1.0,9.0,0.0,6.0,6.0,78.0,6.0,30.0,11.0,19.0,0.0,8.0,6.0,8.0,32.0,17.0,49.0,25.0,f,f,f,Netherlands
2014-09-02,2014-09-07,Netherlands,Clay,42500.0,€,2014,boy-westerhof,B. Westerhof,daniel-munoz-de-la-nava,D. Munoz de la Nava,alphen_challenger,Round of 16,2.0,f,100,4,01:42:00,154.0,0.0,10.0,13.0,0.0,1.0,264.0,9.0,0.0,54.0,88.0,34.0,54.0,17.0,34.0,10.0,12.0,11.0,113.0,6.0,33.0,12.0,33.0,1.0,2.0,11.0,51.0,88.0,18.0,66.0,69.0,f,f,,f,Netherlands,2.0,13.0,10.0,1.0,290.0,5.0,1.0,33.0,66.0,27.0,33.0,21.0,33.0,1.0,2.0,11.0,122.0,20.0,54.0,17.0,34.0,2.0,12.0,11.0,48.0,66.0,37.0,88.0,85.0,t,f,t,Netherlands
