,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,alexandar-lazov,A. Lazov,florian-fallert,F. Fallert,alphen_challenger,2nd Round Qualifying,2.0,f,100,1,01:29:00,139.0,2.0,13.0,8.0,0.0,0.0,239.0,2.0,5.0,42.0,65.0,27.0,42.0,10.0,23.0,7.0,10.0,10.0,220.0,29.0,58.0,9.0,16.0,6.0,10.0,11.0,37.0,65.0,38.0,74.0,75.0,t,f,5,t,Netherlands,0.0,8.0,13.0,0.0,216.0,0.0,1.0,58.0,74.0,29.0,58.0,7.0,16.0,4.0,10.0,11.0,153.0,15.0,42.0,13.0,23.0,3.0,10.0,10.0,36.0,74.0,28.0,65.0,64.0,f,f,f,Netherlands
1,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,alexandar-lazov,A. Lazov,julien-cagnina,J. Cagnina,alphen_challenger,3rd Round Qualifying,3.0,f,100,2,02:32:00,216.0,1.0,16.0,18.0,0.0,1.0,272.0,3.0,3.0,79.0,107.0,47.0,79.0,18.0,28.0,10.0,14.0,16.0,132.0,15.0,59.0,24.0,50.0,4.0,11.0,17.0,65.0,107.0,39.0,109.0,104.0,f,f,5,t,Netherlands,2.0,18.0,16.0,1.0,256.0,3.0,4.0,59.0,109.0,44.0,59.0,26.0,50.0,7.0,11.0,17.0,131.0,32.0,79.0,10.0,28.0,4.0,14.0,16.0,70.0,109.0,42.0,107.0,112.0,t,f,f,Netherlands
2,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,andrea-arnaboldi,A. Arnaboldi,gleb-sakharov,G. Sakharov,alphen_challenger,Round of 32,2.0,f,100,3,01:34:00,129.0,0.0,7.0,12.0,0.0,0.0,209.0,2.0,3.0,42.0,72.0,23.0,42.0,14.0,30.0,5.0,10.0,10.0,164.0,13.0,44.0,8.0,13.0,2.0,4.0,9.0,37.0,72.0,21.0,57.0,58.0,f,f,,f,Netherlands,2.0,12.0,7.0,0.0,266.0,5.0,1.0,44.0,57.0,31.0,44.0,5.0,13.0,2.0,4.0,9.0,198.0,19.0,42.0,16.0,30.0,5.0,10.0,10.0,36.0,57.0,35.0,72.0,71.0,t,f,t,Netherlands
3,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,andre-ghem,A. Ghem,erik-crepaldi,E. Crepaldi,alphen_challenger,2nd Round Qualifying,3.0,f,100,1,01:43:00,167.0,1.0,11.0,16.0,0.0,0.0,226.0,7.0,4.0,61.0,100.0,36.0,61.0,18.0,39.0,9.0,15.0,14.0,160.0,17.0,51.0,7.0,16.0,3.0,5.0,13.0,54.0,100.0,24.0,67.0,78.0,f,f,2,t,Netherlands,2.0,16.0,11.0,0.0,275.0,2.0,2.0,51.0,67.0,34.0,51.0,9.0,16.0,2.0,5.0,13.0,177.0,25.0,61.0,21.0,39.0,6.0,15.0,14.0,43.0,67.0,46.0,100.0,89.0,t,f,f,Netherlands
4,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,arthur-de-greef,A. De Greef,julien-cagnina,J. Cagnina,alphen_challenger,Round of 32,1.0,f,100,3,00:19:00,33.0,0.0,0.0,4.0,0.0,0.0,121.0,1.0,1.0,7.0,12.0,3.0,7.0,1.0,5.0,0.0,2.0,2.0,85.0,6.0,17.0,2.0,4.0,0.0,1.0,2.0,4.0,12.0,8.0,21.0,12.0,f,t,4,f,Netherlands,1.0,4.0,0.0,0.0,294.0,0.0,2.0,17.0,21.0,11.0,17.0,2.0,4.0,1.0,1.0,2.0,337.0,4.0,7.0,4.0,5.0,2.0,2.0,2.0,13.0,21.0,8.0,12.0,21.0,t,t,t,Netherlands
5,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,ben-patael,B. Patael,ivan-endara,I. Endara,alphen_challenger,2nd Round Qualifying,3.0,f,100,1,01:39:00,150.0,1.0,9.0,16.0,0.0,0.0,224.0,3.0,2.0,42.0,75.0,27.0,42.0,15.0,33.0,4.0,9.0,12.0,139.0,15.0,50.0,11.0,25.0,2.0,4.0,13.0,42.0,75.0,26.0,75.0,68.0,f,f,,f,Netherlands,2.0,16.0,9.0,0.0,279.0,3.0,1.0,50.0,75.0,35.0,50.0,14.0,25.0,2.0,4.0,13.0,188.0,15.0,42.0,18.0,33.0,5.0,9.0,12.0,49.0,75.0,33.0,75.0,82.0,t,f,t,Netherlands
6,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,ben-patael,B. Patael,ruan-roelofse,R. Roelofse,alphen_challenger,1st Round Qualifying,2.0,f,100,0,01:02:00,106.0,2.0,12.0,5.0,0.0,0.0,328.0,2.0,0.0,43.0,57.0,28.0,43.0,12.0,14.0,3.0,3.0,9.0,195.0,14.0,35.0,6.0,14.0,3.0,4.0,8.0,40.0,57.0,20.0,49.0,60.0,t,f,,t,Netherlands,0.0,5.0,12.0,0.0,250.0,2.0,2.0,35.0,49.0,21.0,35.0,8.0,14.0,1.0,4.0,8.0,49.0,15.0,43.0,2.0,14.0,0.0,3.0,9.0,29.0,49.0,17.0,57.0,46.0,f,f,f,Netherlands
7,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,botic-van-de-zandschulp,B. Van de Zandschulp,tommy-robredo,T. Robredo,alphen_challenger,Round of 32,3.0,f,100,3,02:42:00,248.0,1.0,16.0,19.0,1.0,2.0,237.0,3.0,8.0,92.0,132.0,62.0,92.0,14.0,40.0,6.0,11.0,17.0,123.0,29.0,82.0,17.0,34.0,3.0,15.0,16.0,76.0,132.0,46.0,116.0,122.0,f,f,,t,Netherlands,2.0,19.0,16.0,1.0,267.0,2.0,2.0,82.0,116.0,53.0,82.0,17.0,34.0,12.0,15.0,16.0,172.0,30.0,92.0,26.0,40.0,5.0,11.0,17.0,70.0,116.0,56.0,132.0,126.0,t,f,f,Netherlands
8,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,boy-westerhof,B. Westerhof,julien-cagnina,J. Cagnina,alphen_challenger,Round of 16,2.0,f,100,4,01:07:00,113.0,0.0,7.0,12.0,0.0,0.0,257.0,8.0,0.0,32.0,56.0,27.0,32.0,9.0,24.0,3.0,6.0,10.0,66.0,9.0,41.0,7.0,16.0,0.0,5.0,9.0,36.0,56.0,16.0,57.0,52.0,f,f,WC,f,Netherlands,2.0,12.0,7.0,0.0,306.0,2.0,2.0,41.0,57.0,32.0,41.0,9.0,16.0,5.0,5.0,9.0,159.0,5.0,32.0,15.0,24.0,3.0,6.0,10.0,41.0,57.0,20.0,56.0,61.0,t,f,t,Netherlands
9,2017-09-05,2017-09-10,Netherlands,Clay,43000.0,€,2017,boy-westerhof,B. Westerhof,matteo-viola,M. Viola,alphen_challenger,Round of 32,3.0,f,100,3,01:45:00,167.0,2.0,15.0,13.0,0.0,0.0,249.0,8.0,4.0,57.0,87.0,43.0,57.0,10.0,30.0,7.0,11.0,14.0,178.0,18.0,55.0,15.0,25.0,5.0,10.0,14.0,53.0,87.0,33.0,80.0,86.0,t,f,WC,f,Netherlands,1.0,13.0,15.0,0.0,239.0,1.0,2.0,55.0,80.0,37.0,55.0,10.0,25.0,5.0,10.0,14.0,156.0,14.0,57.0,20.0,30.0,4.0,11.0,14.0,47.0,80.0,34.0,87.0,81.0,f,f,t,Netherlands
