start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,adelchi-virgili,A. Virgili,andrea-bolla,A. Bolla,andria_challenger,2nd Round Qualifying,2.0,f,100,1,00:47:00,90.0,2.0,12.0,4.0,0.0,0.0,331.0,6.0,2.0,32.0,42.0,26.0,32.0,7.0,10.0,0.0,0.0,8.0,234.0,13.0,24.0,12.0,24.0,4.0,5.0,8.0,33.0,42.0,25.0,48.0,58.0,t,f,,t,Italy,0.0,4.0,12.0,0.0,196.0,2.0,2.0,24.0,48.0,11.0,24.0,12.0,24.0,1.0,5.0,8.0,49.0,6.0,32.0,3.0,10.0,0.0,0.0,8.0,23.0,48.0,9.0,42.0,32.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,adelchi-virgili,A. Virgili,mirza-basic,M. Basic,andria_challenger,3rd Round Qualifying,2.0,f,100,2,01:24:00,141.0,0.0,8.0,13.0,0.0,1.0,222.0,6.0,5.0,33.0,74.0,26.0,33.0,15.0,41.0,4.0,8.0,10.0,151.0,15.0,43.0,7.0,24.0,2.0,3.0,10.0,41.0,74.0,22.0,67.0,63.0,f,f,,f,Italy,2.0,13.0,8.0,1.0,289.0,10.0,1.0,43.0,67.0,28.0,43.0,17.0,24.0,1.0,3.0,10.0,174.0,7.0,33.0,26.0,41.0,4.0,8.0,10.0,45.0,67.0,33.0,74.0,78.0,t,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,adelchi-virgili,A. Virgili,walter-trusendi,W. Trusendi,andria_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,117.0,2.0,12.0,7.0,0.0,0.0,342.0,7.0,1.0,27.0,45.0,25.0,27.0,15.0,18.0,0.0,0.0,10.0,128.0,13.0,42.0,17.0,30.0,2.0,11.0,9.0,40.0,45.0,30.0,72.0,70.0,t,f,,t,Italy,0.0,7.0,12.0,0.0,251.0,4.0,0.0,42.0,72.0,29.0,42.0,13.0,30.0,9.0,11.0,9.0,24.0,2.0,27.0,3.0,18.0,0.0,0.0,10.0,42.0,72.0,5.0,45.0,47.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,aldin-setkic,A. Setkic,niels-desein,N. Desein,andria_challenger,Round of 32,2.0,f,100,3,01:26:00,127.0,2.0,13.0,10.0,1.0,1.0,311.0,16.0,1.0,45.0,67.0,32.0,45.0,15.0,22.0,3.0,4.0,11.0,150.0,4.0,31.0,15.0,29.0,2.0,3.0,11.0,47.0,67.0,19.0,60.0,66.0,t,f,,t,Italy,0.0,10.0,13.0,0.0,270.0,4.0,2.0,31.0,60.0,27.0,31.0,14.0,29.0,1.0,3.0,11.0,95.0,13.0,45.0,7.0,22.0,1.0,4.0,11.0,41.0,60.0,20.0,67.0,61.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,aldin-setkic,A. Setkic,ricardas-berankis,R. Berankis,andria_challenger,Round of 16,3.0,f,100,4,02:32:00,214.0,1.0,16.0,18.0,0.0,1.0,260.0,9.0,9.0,62.0,105.0,45.0,62.0,20.0,43.0,5.0,8.0,16.0,136.0,18.0,69.0,20.0,40.0,3.0,7.0,17.0,65.0,105.0,38.0,109.0,103.0,f,f,,t,Italy,2.0,18.0,16.0,1.0,272.0,4.0,1.0,69.0,109.0,51.0,69.0,20.0,40.0,4.0,7.0,17.0,136.0,17.0,62.0,23.0,43.0,3.0,8.0,16.0,71.0,109.0,40.0,105.0,111.0,t,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,alessandro-bega,A. Bega,francesco-vilardo,F. Vilardo,andria_challenger,1st Round Qualifying,2.0,f,100,0,01:39:00,171.0,2.0,13.0,9.0,0.0,0.0,257.0,2.0,6.0,59.0,92.0,40.0,59.0,16.0,33.0,9.0,11.0,11.0,182.0,15.0,48.0,22.0,31.0,4.0,9.0,11.0,56.0,92.0,37.0,79.0,93.0,t,f,,t,Italy,0.0,9.0,13.0,0.0,219.0,0.0,3.0,48.0,79.0,33.0,48.0,9.0,31.0,5.0,9.0,11.0,120.0,19.0,59.0,17.0,33.0,2.0,11.0,11.0,42.0,79.0,36.0,92.0,78.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,alessandro-bega,A. Bega,jan-mertl,J. Mertl,andria_challenger,Round of 32,3.0,f,100,3,01:45:00,171.0,1.0,14.0,16.0,0.0,0.0,258.0,2.0,2.0,55.0,85.0,37.0,55.0,16.0,30.0,8.0,12.0,15.0,151.0,11.0,57.0,18.0,29.0,3.0,6.0,15.0,53.0,85.0,29.0,86.0,82.0,f,f,Q,f,Italy,2.0,16.0,14.0,0.0,278.0,14.0,1.0,57.0,86.0,46.0,57.0,11.0,29.0,3.0,6.0,15.0,139.0,18.0,55.0,14.0,30.0,4.0,12.0,15.0,57.0,86.0,32.0,85.0,89.0,t,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,alessandro-bega,A. Bega,maxim-dubarenco,M. Dubarenco,andria_challenger,2nd Round Qualifying,3.0,f,100,1,02:07:00,196.0,2.0,17.0,14.0,1.0,1.0,270.0,5.0,4.0,71.0,100.0,55.0,71.0,12.0,29.0,9.0,12.0,15.0,181.0,23.0,68.0,15.0,28.0,4.0,6.0,15.0,67.0,100.0,38.0,96.0,105.0,t,f,,f,Italy,1.0,14.0,17.0,0.0,265.0,10.0,1.0,68.0,96.0,45.0,68.0,13.0,28.0,2.0,6.0,15.0,127.0,16.0,71.0,17.0,29.0,3.0,12.0,15.0,58.0,96.0,33.0,100.0,91.0,f,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,alessandro-bega,A. Bega,nikola-mektic,N. Mektic,andria_challenger,3rd Round Qualifying,2.0,f,100,2,01:20:00,133.0,2.0,13.0,10.0,1.0,1.0,272.0,1.0,2.0,45.0,71.0,32.0,45.0,15.0,26.0,1.0,3.0,11.0,183.0,8.0,41.0,16.0,21.0,3.0,5.0,11.0,47.0,71.0,24.0,62.0,71.0,t,f,,t,Italy,0.0,10.0,13.0,0.0,257.0,16.0,1.0,41.0,62.0,33.0,41.0,5.0,21.0,2.0,5.0,11.0,156.0,13.0,45.0,11.0,26.0,2.0,3.0,11.0,38.0,62.0,24.0,71.0,62.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,alexander-zhurbin,A. Zhurbin,frank-moser,F. Moser,andria_challenger,1st Round Qualifying,2.0,f,100,0,00:46:00,72.0,0.0,2.0,12.0,0.0,0.0,161.0,0.0,4.0,27.0,38.0,13.0,27.0,2.0,11.0,3.0,8.0,7.0,43.0,1.0,21.0,5.0,13.0,0.0,0.0,7.0,15.0,38.0,6.0,34.0,21.0,f,f,,f,Italy,2.0,12.0,2.0,0.0,326.0,10.0,3.0,21.0,34.0,20.0,21.0,8.0,13.0,0.0,0.0,7.0,268.0,14.0,27.0,9.0,11.0,5.0,8.0,7.0,28.0,34.0,23.0,38.0,51.0,t,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andrea-arnaboldi,A. Arnaboldi,jimmy-wang,J. Wang,andria_challenger,Round of 32,3.0,f,100,3,02:19:00,210.0,1.0,15.0,19.0,1.0,2.0,294.0,13.0,3.0,48.0,94.0,39.0,48.0,30.0,46.0,4.0,6.0,16.0,65.0,16.0,67.0,20.0,49.0,0.0,8.0,16.0,69.0,94.0,36.0,116.0,105.0,f,f,,t,Italy,2.0,19.0,15.0,1.0,296.0,10.0,7.0,67.0,116.0,51.0,67.0,29.0,49.0,8.0,8.0,16.0,99.0,9.0,48.0,16.0,46.0,2.0,6.0,16.0,80.0,116.0,25.0,94.0,105.0,t,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andrea-bolla,A. Bolla,gabriele-nardelli,G. Nardelli,andria_challenger,1st Round Qualifying,2.0,f,100,0,00:57:00,99.0,2.0,12.0,3.0,0.0,0.0,289.0,6.0,0.0,37.0,53.0,28.0,37.0,8.0,16.0,2.0,3.0,8.0,265.0,20.0,33.0,8.0,13.0,5.0,7.0,7.0,36.0,53.0,28.0,46.0,64.0,t,f,WC,t,Italy,0.0,3.0,12.0,0.0,173.0,0.0,4.0,33.0,46.0,13.0,33.0,5.0,13.0,2.0,7.0,7.0,119.0,9.0,37.0,8.0,16.0,1.0,3.0,8.0,18.0,46.0,17.0,53.0,35.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andrea-grazioso,A. Grazioso,daniele-capecchi,D. Capecchi,andria_challenger,1st Round Qualifying,2.0,f,100,0,01:12:00,104.0,0.0,4.0,12.0,0.0,0.0,216.0,1.0,1.0,39.0,63.0,18.0,39.0,14.0,24.0,9.0,13.0,8.0,44.0,5.0,30.0,3.0,11.0,0.0,1.0,8.0,32.0,63.0,8.0,41.0,40.0,f,f,,f,Italy,2.0,12.0,4.0,0.0,334.0,6.0,1.0,30.0,41.0,25.0,30.0,8.0,11.0,1.0,1.0,8.0,177.0,21.0,39.0,10.0,24.0,4.0,13.0,8.0,33.0,41.0,31.0,63.0,64.0,t,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andres-artunedo-martinavarro,A. Artunedo Martinavarro,yannick-maden,Y. Maden,andria_challenger,1st Round Qualifying,2.0,f,100,0,01:29:00,122.0,0.0,8.0,12.0,0.0,0.0,242.0,7.0,1.0,35.0,59.0,26.0,35.0,8.0,24.0,1.0,4.0,10.0,96.0,13.0,36.0,8.0,27.0,1.0,5.0,10.0,34.0,59.0,21.0,63.0,55.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,283.0,2.0,0.0,36.0,63.0,23.0,36.0,19.0,27.0,4.0,5.0,10.0,198.0,9.0,35.0,16.0,24.0,3.0,4.0,10.0,42.0,63.0,25.0,59.0,67.0,t,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andriej-kapas,A. Kapas,anton-zaitcev,A. Zaitcev,andria_challenger,Round of 16,3.0,f,100,4,01:47:00,172.0,2.0,16.0,13.0,0.0,0.0,289.0,11.0,4.0,73.0,103.0,55.0,73.0,13.0,30.0,6.0,7.0,15.0,170.0,6.0,43.0,11.0,26.0,2.0,2.0,14.0,68.0,103.0,17.0,69.0,85.0,t,f,LL,f,Italy,1.0,13.0,16.0,0.0,294.0,5.0,2.0,43.0,69.0,37.0,43.0,15.0,26.0,0.0,2.0,14.0,102.0,18.0,73.0,17.0,30.0,1.0,7.0,15.0,52.0,69.0,35.0,103.0,87.0,f,f,t,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andriej-kapas,A. Kapas,dennis-novak,D. Novak,andria_challenger,1st Round Qualifying,3.0,f,100,0,01:40:00,187.0,2.0,17.0,17.0,1.0,1.0,323.0,17.0,4.0,47.0,82.0,42.0,47.0,25.0,35.0,0.0,1.0,16.0,73.0,16.0,66.0,12.0,39.0,1.0,8.0,17.0,67.0,82.0,28.0,105.0,95.0,t,f,,t,Italy,1.0,17.0,17.0,0.0,312.0,11.0,1.0,66.0,105.0,50.0,66.0,27.0,39.0,7.0,8.0,17.0,146.0,5.0,47.0,10.0,35.0,1.0,1.0,16.0,77.0,105.0,15.0,82.0,92.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andriej-kapas,A. Kapas,francesco-borgo,F. Borgo,andria_challenger,2nd Round Qualifying,2.0,f,100,1,01:18:00,122.0,2.0,12.0,7.0,0.0,0.0,280.0,9.0,3.0,35.0,64.0,27.0,35.0,15.0,29.0,5.0,6.0,10.0,165.0,12.0,37.0,12.0,21.0,3.0,7.0,9.0,42.0,64.0,24.0,58.0,66.0,t,f,,t,Italy,0.0,7.0,12.0,0.0,243.0,3.0,1.0,37.0,58.0,25.0,37.0,9.0,21.0,4.0,7.0,9.0,98.0,8.0,35.0,14.0,29.0,1.0,6.0,10.0,34.0,58.0,22.0,64.0,56.0,f,f,f,Italy
2014-11-17,2014-11-23,Italy,Carpet,35000.0,€,2014,andriej-kapas,A. Kapas,matteo-viola,M. Viola,andria_challenger,Round of 32,3.0,f,100,3,01:23:00,129.0,2.0,15.0,10.0,0.0,0.0,277.0,5.0,3.0,35.0,58.0,28.0,35.0,12.0,23.0,0.0,2.0,12.0,194.0,14.0,45.0,16.0,26.0,5.0,8.0,13.0,40.0,58.0,30.0,71.0,70.0,t,f,LL,t,Italy,1.0,10.0,15.0,0.0,234.0,5.0,2.0,45.0,71.0,31.0,45.0,10.0,26.0,3.0,8.0,13.0,184.0,7.0,35.0,11.0,23.0,2.0,2.0,12.0,41.0,71.0,18.0,58.0,59.0,f,f,f,Italy
