start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,adam-mash,A. Mash,alafia-ayeni,A. Ayeni,aptos_challenger,1st Round Qualifying,2.0,f,100,0,01:08:00,96.0,0.0,5.0,12.0,0.0,0.0,188.0,0.0,5.0,22.0,51.0,12.0,22.0,13.0,29.0,5.0,9.0,8.0,169.0,6.0,24.0,7.0,21.0,1.0,1.0,9.0,25.0,51.0,13.0,45.0,38.0,f,f,WC,f,USA,2.0,12.0,5.0,0.0,281.0,2.0,4.0,24.0,45.0,18.0,24.0,14.0,21.0,0.0,1.0,9.0,194.0,10.0,22.0,16.0,29.0,4.0,9.0,8.0,32.0,45.0,26.0,51.0,58.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alafia-ayeni,A. Ayeni,daniel-evans,D. Evans,aptos_challenger,2nd Round Qualifying,3.0,f,100,1,01:46:00,167.0,1.0,12.0,13.0,0.0,1.0,256.0,7.0,1.0,52.0,85.0,32.0,52.0,17.0,33.0,5.0,8.0,12.0,142.0,12.0,44.0,18.0,38.0,3.0,7.0,12.0,49.0,85.0,30.0,82.0,79.0,f,t,,t,USA,2.0,13.0,12.0,1.0,250.0,0.0,5.0,44.0,82.0,32.0,44.0,20.0,38.0,4.0,7.0,12.0,149.0,20.0,52.0,16.0,33.0,3.0,8.0,12.0,52.0,82.0,36.0,85.0,88.0,t,t,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,aleksandar-vukic,A. Vukic,alexander-sarkissian,A. Sarkissian,aptos_challenger,3rd Round Qualifying,2.0,f,100,2,01:12:00,117.0,2.0,13.0,7.0,0.0,0.0,264.0,9.0,5.0,33.0,62.0,26.0,33.0,14.0,29.0,2.0,4.0,10.0,215.0,12.0,31.0,15.0,24.0,5.0,8.0,10.0,40.0,62.0,27.0,55.0,67.0,t,f,6,t,USA,0.0,7.0,13.0,0.0,203.0,1.0,3.0,31.0,55.0,19.0,31.0,9.0,24.0,3.0,8.0,10.0,143.0,7.0,33.0,15.0,29.0,2.0,4.0,10.0,28.0,55.0,22.0,62.0,50.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,aleksandar-vukic,A. Vukic,ernesto-escobedo,E. Escobedo,aptos_challenger,Round of 16,2.0,f,100,4,01:58:00,186.0,0.0,12.0,14.0,0.0,2.0,254.0,9.0,2.0,53.0,83.0,40.0,53.0,10.0,30.0,4.0,7.0,12.0,142.0,14.0,57.0,25.0,46.0,3.0,8.0,12.0,50.0,83.0,39.0,103.0,89.0,f,f,Q,f,USA,2.0,14.0,12.0,2.0,257.0,8.0,2.0,57.0,103.0,43.0,57.0,21.0,46.0,5.0,8.0,12.0,160.0,13.0,53.0,20.0,30.0,3.0,7.0,12.0,64.0,103.0,33.0,83.0,97.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,aleksandar-vukic,A. Vukic,jared-thompkins,J. Thompkins,aptos_challenger,2nd Round Qualifying,2.0,f,100,1,00:57:00,109.0,2.0,12.0,2.0,0.0,0.0,297.0,5.0,3.0,26.0,46.0,19.0,26.0,13.0,20.0,5.0,5.0,7.0,216.0,14.0,29.0,20.0,34.0,5.0,13.0,7.0,32.0,46.0,34.0,63.0,66.0,t,f,6,t,USA,0.0,2.0,12.0,0.0,160.0,1.0,8.0,29.0,63.0,15.0,29.0,14.0,34.0,8.0,13.0,7.0,62.0,7.0,26.0,7.0,20.0,0.0,5.0,7.0,29.0,63.0,14.0,46.0,43.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,aleksandar-vukic,A. Vukic,kevin-king,K. King,aptos_challenger,Round of 32,2.0,f,100,3,00:55:00,99.0,2.0,12.0,4.0,0.0,0.0,286.0,2.0,1.0,24.0,51.0,19.0,24.0,16.0,27.0,0.0,0.0,8.0,226.0,12.0,35.0,11.0,13.0,4.0,7.0,8.0,35.0,51.0,23.0,48.0,58.0,t,f,Q,t,USA,0.0,4.0,12.0,0.0,198.0,1.0,7.0,35.0,48.0,23.0,35.0,2.0,13.0,3.0,7.0,8.0,62.0,5.0,24.0,11.0,27.0,0.0,0.0,8.0,25.0,48.0,16.0,51.0,41.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alexander-sarkissian,A. Sarkissian,logan-smith,L. Smith,aptos_challenger,2nd Round Qualifying,3.0,f,100,1,01:59:00,169.0,2.0,15.0,11.0,0.0,0.0,273.0,1.0,2.0,58.0,86.0,44.0,58.0,11.0,28.0,4.0,5.0,13.0,166.0,13.0,49.0,19.0,34.0,3.0,5.0,13.0,55.0,86.0,32.0,83.0,87.0,t,f,4,f,USA,1.0,11.0,15.0,0.0,257.0,8.0,3.0,49.0,83.0,36.0,49.0,15.0,34.0,2.0,5.0,13.0,112.0,14.0,58.0,17.0,28.0,1.0,5.0,13.0,51.0,83.0,31.0,86.0,82.0,f,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alexander-ward,A. Ward,christopher-eubanks,C. Eubanks,aptos_challenger,Round of 32,2.0,f,100,3,01:06:00,116.0,0.0,7.0,12.0,0.0,0.0,257.0,4.0,4.0,32.0,56.0,22.0,32.0,13.0,24.0,4.0,6.0,9.0,59.0,13.0,43.0,5.0,17.0,0.0,0.0,10.0,35.0,56.0,18.0,60.0,53.0,f,f,Q,f,USA,2.0,12.0,7.0,0.0,319.0,9.0,3.0,43.0,60.0,30.0,43.0,12.0,17.0,0.0,0.0,10.0,132.0,10.0,32.0,11.0,24.0,2.0,6.0,9.0,42.0,60.0,21.0,56.0,63.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alexander-ward,A. Ward,lucas-gomez,L. Gomez,aptos_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,90.0,2.0,12.0,4.0,0.0,0.0,301.0,6.0,3.0,28.0,48.0,21.0,28.0,13.0,20.0,1.0,1.0,8.0,241.0,11.0,26.0,11.0,16.0,4.0,5.0,8.0,34.0,48.0,22.0,42.0,56.0,t,f,3,t,USA,0.0,4.0,12.0,0.0,201.0,0.0,0.0,26.0,42.0,15.0,26.0,5.0,16.0,1.0,5.0,8.0,60.0,7.0,28.0,7.0,20.0,0.0,1.0,8.0,20.0,42.0,14.0,48.0,34.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alexander-ward,A. Ward,william-griffith,W. Griffith,aptos_challenger,2nd Round Qualifying,2.0,f,100,1,02:19:00,184.0,2.0,14.0,12.0,2.0,2.0,305.0,13.0,2.0,57.0,103.0,38.0,57.0,33.0,46.0,11.0,11.0,12.0,73.0,12.0,47.0,16.0,34.0,0.0,6.0,12.0,71.0,103.0,28.0,81.0,99.0,t,f,3,t,USA,0.0,12.0,14.0,0.0,286.0,2.0,1.0,47.0,81.0,35.0,47.0,18.0,34.0,6.0,6.0,12.0,61.0,19.0,57.0,13.0,46.0,0.0,11.0,12.0,53.0,81.0,32.0,103.0,85.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alex-rybakov,A. Rybakov,luke-saville,L. Saville,aptos_challenger,2nd Round Qualifying,3.0,f,100,1,01:57:00,169.0,1.0,11.0,16.0,1.0,1.0,230.0,2.0,7.0,49.0,86.0,31.0,49.0,17.0,37.0,7.0,11.0,13.0,79.0,7.0,41.0,19.0,42.0,1.0,10.0,13.0,48.0,86.0,26.0,83.0,74.0,f,t,,f,USA,2.0,16.0,11.0,0.0,277.0,3.0,5.0,41.0,83.0,34.0,41.0,23.0,42.0,9.0,10.0,13.0,157.0,18.0,49.0,20.0,37.0,4.0,11.0,13.0,57.0,83.0,38.0,86.0,95.0,t,t,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,alex-rybakov,A. Rybakov,ruan-roelofse,R. Roelofse,aptos_challenger,1st Round Qualifying,2.0,f,100,0,01:25:00,135.0,2.0,13.0,9.0,1.0,1.0,282.0,2.0,7.0,43.0,70.0,36.0,43.0,14.0,27.0,3.0,4.0,11.0,164.0,7.0,38.0,16.0,27.0,2.0,3.0,10.0,50.0,70.0,23.0,65.0,73.0,t,f,,t,USA,0.0,9.0,13.0,0.0,264.0,6.0,3.0,38.0,65.0,31.0,38.0,11.0,27.0,1.0,3.0,10.0,98.0,7.0,43.0,13.0,27.0,1.0,4.0,11.0,42.0,65.0,20.0,70.0,62.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,brandon-holt,B. Holt,prajnesh-gunneswaran,P. Gunneswaran,aptos_challenger,Round of 32,3.0,f,100,3,01:58:00,173.0,1.0,12.0,16.0,0.0,0.0,178.0,2.0,3.0,52.0,89.0,28.0,52.0,12.0,37.0,3.0,12.0,14.0,205.0,21.0,48.0,17.0,36.0,7.0,11.0,14.0,40.0,89.0,38.0,84.0,78.0,f,f,WC,t,USA,2.0,16.0,12.0,0.0,215.0,3.0,4.0,48.0,84.0,27.0,48.0,19.0,36.0,4.0,11.0,14.0,253.0,24.0,52.0,25.0,37.0,9.0,12.0,14.0,46.0,84.0,49.0,89.0,95.0,t,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,brian-brogan,B. Brogan,william-griffith,W. Griffith,aptos_challenger,1st Round Qualifying,2.0,f,100,0,00:52:00,78.0,0.0,1.0,12.0,0.0,0.0,142.0,1.0,1.0,26.0,47.0,14.0,26.0,4.0,21.0,3.0,9.0,7.0,55.0,1.0,21.0,5.0,10.0,0.0,0.0,6.0,18.0,47.0,6.0,31.0,24.0,f,f,WC,f,USA,2.0,12.0,1.0,0.0,315.0,3.0,1.0,21.0,31.0,20.0,21.0,5.0,10.0,0.0,0.0,6.0,279.0,12.0,26.0,17.0,21.0,6.0,9.0,7.0,25.0,31.0,29.0,47.0,54.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,chris-harrison,C. Harrison,lucas-gomez,L. Gomez,aptos_challenger,1st Round Qualifying,2.0,f,100,0,01:00:00,94.0,0.0,3.0,12.0,0.0,0.0,201.0,1.0,2.0,34.0,47.0,17.0,34.0,5.0,13.0,6.0,10.0,7.0,51.0,8.0,30.0,4.0,17.0,0.0,2.0,8.0,22.0,47.0,12.0,47.0,34.0,f,f,WC,f,USA,2.0,12.0,3.0,0.0,313.0,2.0,2.0,30.0,47.0,22.0,30.0,13.0,17.0,2.0,2.0,8.0,209.0,17.0,34.0,8.0,13.0,4.0,10.0,7.0,35.0,47.0,25.0,47.0,60.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,christopher-eubanks,C. Eubanks,ernesto-escobedo,E. Escobedo,aptos_challenger,Quarter-Finals,2.0,f,100,5,01:19:00,139.0,2.0,13.0,10.0,1.0,1.0,329.0,10.0,2.0,48.0,67.0,36.0,48.0,14.0,19.0,0.0,0.0,11.0,91.0,7.0,32.0,17.0,40.0,1.0,6.0,11.0,50.0,67.0,24.0,72.0,74.0,t,f,,t,USA,0.0,10.0,13.0,0.0,270.0,4.0,4.0,32.0,72.0,25.0,32.0,23.0,40.0,5.0,6.0,11.0,51.0,12.0,48.0,5.0,19.0,0.0,0.0,11.0,48.0,72.0,17.0,67.0,65.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,christopher-eubanks,C. Eubanks,lloyd-harris,L. Harris,aptos_challenger,Semi-Finals,2.0,f,100,6,00:46:00,87.0,0.0,4.0,12.0,0.0,0.0,207.0,0.0,0.0,28.0,42.0,17.0,28.0,4.0,14.0,3.0,7.0,8.0,54.0,8.0,30.0,4.0,15.0,0.0,0.0,8.0,21.0,42.0,12.0,45.0,33.0,f,f,,f,USA,2.0,12.0,4.0,0.0,320.0,8.0,1.0,30.0,45.0,22.0,30.0,11.0,15.0,0.0,0.0,8.0,217.0,11.0,28.0,10.0,14.0,4.0,7.0,8.0,33.0,45.0,21.0,42.0,54.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,christopher-eubanks,C. Eubanks,michael-mmoh,M. Mmoh,aptos_challenger,Round of 16,2.0,f,100,4,01:24:00,143.0,2.0,13.0,10.0,1.0,1.0,286.0,7.0,4.0,49.0,73.0,43.0,49.0,9.0,24.0,0.0,1.0,11.0,151.0,15.0,53.0,11.0,17.0,2.0,5.0,11.0,52.0,73.0,26.0,70.0,78.0,t,f,,t,USA,0.0,10.0,13.0,0.0,263.0,2.0,3.0,53.0,70.0,38.0,53.0,6.0,17.0,3.0,5.0,11.0,184.0,6.0,49.0,15.0,24.0,1.0,1.0,11.0,44.0,70.0,21.0,73.0,65.0,f,f,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,daniel-evans,D. Evans,luke-saville,L. Saville,aptos_challenger,3rd Round Qualifying,2.0,f,100,2,01:32:00,136.0,0.0,8.0,13.0,0.0,1.0,233.0,3.0,3.0,46.0,72.0,34.0,46.0,9.0,26.0,4.0,8.0,10.0,136.0,7.0,32.0,14.0,32.0,2.0,4.0,10.0,43.0,72.0,21.0,64.0,64.0,f,f,2,f,USA,2.0,13.0,8.0,1.0,264.0,3.0,3.0,32.0,64.0,25.0,32.0,18.0,32.0,2.0,4.0,10.0,181.0,12.0,46.0,17.0,26.0,4.0,8.0,10.0,43.0,64.0,29.0,72.0,72.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,dennis-novikov,D. Novikov,stefano-napolitano,S. Napolitano,aptos_challenger,Round of 32,2.0,f,100,3,01:15:00,125.0,0.0,7.0,12.0,0.0,0.0,247.0,12.0,2.0,42.0,78.0,29.0,42.0,16.0,36.0,10.0,13.0,10.0,43.0,4.0,25.0,6.0,22.0,0.0,0.0,9.0,45.0,78.0,10.0,47.0,55.0,f,f,,f,USA,2.0,12.0,7.0,0.0,312.0,3.0,1.0,25.0,47.0,21.0,25.0,16.0,22.0,0.0,0.0,9.0,140.0,13.0,42.0,20.0,36.0,3.0,13.0,10.0,37.0,47.0,33.0,78.0,70.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,edan-leshem,E. Leshem,lucas-gomez,L. Gomez,aptos_challenger,2nd Round Qualifying,1.0,f,100,1,00:32:00,48.0,1.0,5.0,4.0,0.0,0.0,256.0,3.0,2.0,12.0,22.0,9.0,12.0,5.0,10.0,1.0,2.0,4.0,216.0,6.0,14.0,4.0,12.0,2.0,2.0,5.0,14.0,22.0,10.0,26.0,24.0,f,t,5,t,USA,0.0,4.0,5.0,0.0,235.0,0.0,3.0,14.0,26.0,8.0,14.0,8.0,12.0,0.0,2.0,5.0,150.0,3.0,12.0,5.0,10.0,1.0,2.0,4.0,16.0,26.0,8.0,22.0,24.0,t,t,f,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,egor-gerasimov,E. Gerasimov,ernesto-escobedo,E. Escobedo,aptos_challenger,Round of 32,2.0,f,100,3,01:40:00,161.0,0.0,11.0,14.0,0.0,1.0,290.0,9.0,3.0,53.0,80.0,42.0,53.0,13.0,27.0,3.0,4.0,12.0,58.0,12.0,45.0,11.0,36.0,0.0,3.0,12.0,55.0,80.0,23.0,81.0,78.0,f,f,,f,USA,2.0,14.0,11.0,1.0,309.0,14.0,3.0,45.0,81.0,33.0,45.0,25.0,36.0,3.0,3.0,12.0,106.0,11.0,53.0,14.0,27.0,1.0,4.0,12.0,58.0,81.0,25.0,80.0,83.0,t,f,t,USA
2018-08-06,2018-08-12,USA,Hard,100000.0,$,2018,evan-king,E. King,michael-mmoh,M. Mmoh,aptos_challenger,Round of 32,3.0,f,100,3,01:50:00,156.0,1.0,12.0,15.0,0.0,0.0,233.0,2.0,4.0,54.0,84.0,34.0,54.0,14.0,30.0,6.0,11.0,13.0,187.0,18.0,55.0,10.0,17.0,4.0,6.0,14.0,48.0,84.0,28.0,72.0,76.0,f,f,,f,USA,2.0,15.0,12.0,0.0,254.0,3.0,4.0,55.0,72.0,37.0,55.0,7.0,17.0,2.0,6.0,14.0,173.0,20.0,54.0,16.0,30.0,5.0,11.0,13.0,44.0,72.0,36.0,84.0,80.0,t,f,t,USA
