,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,adil-yeltaev,A. Yeltaev,edoardo-eremin,E. Eremin,astana_challenger,1st Round Qualifying,2.0,f,100,0,00:51:00,97.0,0.0,5.0,12.0,0.0,0.0,199.0,1.0,5.0,36.0,50.0,16.0,36.0,6.0,14.0,1.0,6.0,9.0,111.0,4.0,25.0,11.0,22.0,1.0,3.0,8.0,22.0,50.0,15.0,47.0,37.0,f,f,,f,Kazakhstan,2.0,12.0,5.0,0.0,277.0,6.0,3.0,25.0,47.0,21.0,25.0,11.0,22.0,2.0,3.0,8.0,251.0,20.0,36.0,8.0,14.0,5.0,6.0,9.0,32.0,47.0,28.0,50.0,60.0,t,f,t,Kazakhstan
1,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,adrian-sikora,A. Sikora,andrey-golubev,A. Golubev,astana_challenger,Round of 32,2.0,f,100,3,01:19:00,118.0,0.0,7.0,13.0,0.0,1.0,255.0,1.0,0.0,42.0,63.0,23.0,42.0,13.0,21.0,1.0,4.0,10.0,58.0,9.0,41.0,5.0,14.0,0.0,2.0,9.0,36.0,63.0,14.0,55.0,50.0,f,f,,f,Kazakhstan,2.0,13.0,7.0,1.0,326.0,9.0,0.0,41.0,55.0,32.0,41.0,9.0,14.0,2.0,2.0,9.0,188.0,19.0,42.0,8.0,21.0,3.0,4.0,10.0,41.0,55.0,27.0,63.0,68.0,t,f,t,Kazakhstan
2,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,aleksandre-metreveli,A. Metreveli,alexander-kudryavtsev,A. Kudryavtsev,astana_challenger,Round of 32,2.0,f,100,3,01:09:00,128.0,0.0,8.0,13.0,0.0,0.0,248.0,9.0,3.0,40.0,69.0,31.0,40.0,10.0,29.0,4.0,7.0,11.0,61.0,5.0,38.0,10.0,21.0,0.0,2.0,10.0,41.0,69.0,15.0,59.0,56.0,f,f,Q,f,Kazakhstan,2.0,13.0,8.0,0.0,305.0,3.0,1.0,38.0,59.0,33.0,38.0,11.0,21.0,2.0,2.0,10.0,159.0,9.0,40.0,19.0,29.0,3.0,7.0,11.0,44.0,59.0,28.0,69.0,72.0,t,f,t,Kazakhstan
3,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,aleksandre-metreveli,A. Metreveli,andrey-rublev,A. Rublev,astana_challenger,2nd Round Qualifying,2.0,f,100,1,01:31:00,142.0,2.0,12.0,8.0,0.0,0.0,266.0,1.0,3.0,61.0,80.0,43.0,61.0,6.0,19.0,3.0,4.0,10.0,158.0,15.0,41.0,10.0,21.0,3.0,7.0,10.0,49.0,80.0,25.0,62.0,74.0,t,f,,t,Kazakhstan,0.0,8.0,12.0,0.0,256.0,5.0,0.0,41.0,62.0,26.0,41.0,11.0,21.0,4.0,7.0,10.0,133.0,18.0,61.0,13.0,19.0,1.0,4.0,10.0,37.0,62.0,31.0,80.0,68.0,f,f,f,Kazakhstan
4,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,aleksandre-metreveli,A. Metreveli,sagadat-ayap,S. Ayap,astana_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,112.0,2.0,12.0,4.0,0.0,0.0,271.0,6.0,3.0,33.0,58.0,25.0,33.0,12.0,25.0,3.0,4.0,8.0,241.0,14.0,28.0,15.0,26.0,5.0,7.0,8.0,37.0,58.0,29.0,54.0,66.0,t,f,,t,Kazakhstan,0.0,4.0,12.0,0.0,179.0,0.0,2.0,28.0,54.0,14.0,28.0,11.0,26.0,2.0,7.0,8.0,113.0,8.0,33.0,13.0,25.0,1.0,4.0,8.0,25.0,54.0,21.0,58.0,46.0,f,f,f,Kazakhstan
5,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,aleksandre-metreveli,A. Metreveli,sardor-pulatov,S. Pulatov,astana_challenger,1st Round Qualifying,2.0,f,100,0,01:03:00,112.0,2.0,12.0,5.0,0.0,0.0,285.0,1.0,2.0,29.0,47.0,22.0,29.0,11.0,18.0,3.0,4.0,8.0,211.0,16.0,37.0,19.0,28.0,5.0,11.0,9.0,33.0,47.0,35.0,65.0,68.0,t,f,,t,Kazakhstan,0.0,5.0,12.0,0.0,188.0,4.0,6.0,37.0,65.0,21.0,37.0,9.0,28.0,6.0,11.0,9.0,100.0,7.0,29.0,7.0,18.0,1.0,4.0,8.0,30.0,65.0,14.0,47.0,44.0,f,f,f,Kazakhstan
6,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,alexander-kudryavtsev,A. Kudryavtsev,andrey-golubev,A. Golubev,astana_challenger,Quarter-Finals,2.0,f,100,5,00:54:00,87.0,0.0,3.0,12.0,0.0,0.0,179.0,0.0,1.0,23.0,38.0,13.0,23.0,3.0,15.0,0.0,4.0,7.0,63.0,6.0,36.0,6.0,13.0,0.0,0.0,8.0,16.0,38.0,12.0,49.0,28.0,f,f,7,f,Kazakhstan,2.0,12.0,3.0,0.0,322.0,13.0,1.0,36.0,49.0,30.0,36.0,7.0,13.0,0.0,0.0,8.0,280.0,10.0,23.0,12.0,15.0,4.0,4.0,7.0,37.0,49.0,22.0,38.0,59.0,t,f,t,Kazakhstan
7,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,alexander-kudryavtsev,A. Kudryavtsev,denys-molchanov,D. Molchanov,astana_challenger,Round of 16,2.0,f,100,4,01:19:00,121.0,2.0,13.0,9.0,0.0,0.0,336.0,5.0,0.0,42.0,53.0,37.0,42.0,7.0,11.0,0.0,0.0,11.0,100.0,9.0,33.0,14.0,35.0,2.0,13.0,11.0,44.0,53.0,23.0,68.0,67.0,t,f,7,t,Kazakhstan,0.0,9.0,13.0,0.0,266.0,4.0,1.0,33.0,68.0,24.0,33.0,21.0,35.0,11.0,13.0,11.0,48.0,5.0,42.0,4.0,11.0,0.0,0.0,11.0,45.0,68.0,9.0,53.0,54.0,f,f,f,Kazakhstan
8,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,alexander-lobkov,A. Lobkov,marsel-ilhan,M. Ilhan,astana_challenger,Round of 32,2.0,f,100,3,01:10:00,116.0,0.0,6.0,12.0,0.0,0.0,245.0,6.0,0.0,39.0,58.0,29.0,39.0,6.0,19.0,6.0,9.0,9.0,70.0,13.0,43.0,6.0,15.0,0.0,3.0,9.0,35.0,58.0,19.0,58.0,54.0,f,f,,f,Kazakhstan,2.0,12.0,6.0,0.0,309.0,6.0,1.0,43.0,58.0,30.0,43.0,9.0,15.0,3.0,3.0,9.0,160.0,10.0,39.0,13.0,19.0,3.0,9.0,9.0,39.0,58.0,23.0,58.0,62.0,t,f,t,Kazakhstan
9,2014-02-17,2014-02-23,Kazakhstan,Hard,75000.0,$,2014,alexey-vatutin,A. Vatutin,egor-gerasimov,E. Gerasimov,astana_challenger,Round of 32,3.0,f,100,3,01:40:00,166.0,1.0,13.0,16.0,0.0,0.0,274.0,1.0,2.0,43.0,75.0,28.0,43.0,24.0,32.0,3.0,6.0,14.0,116.0,10.0,58.0,20.0,33.0,2.0,8.0,15.0,52.0,75.0,30.0,91.0,82.0,f,f,Q,t,Kazakhstan,2.0,16.0,13.0,0.0,274.0,7.0,5.0,58.0,91.0,48.0,58.0,13.0,33.0,6.0,8.0,15.0,131.0,15.0,43.0,8.0,32.0,3.0,6.0,14.0,61.0,91.0,23.0,75.0,84.0,t,f,f,Kazakhstan
