,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,alex-bogomolov-jr.,A. Bogomolov Jr.,joao-souza,J. Souza,asuncion_challenger,Round of 32,3.0,f,100,3,02:21:00,178.0,2.0,14.0,13.0,0.0,0.0,262.0,3.0,1.0,74.0,91.0,46.0,74.0,9.0,17.0,9.0,14.0,14.0,186.0,19.0,60.0,20.0,27.0,5.0,12.0,13.0,55.0,91.0,39.0,87.0,94.0,t,f,,f,Paraguay,1.0,13.0,14.0,0.0,224.0,5.0,5.0,60.0,87.0,41.0,60.0,7.0,27.0,7.0,12.0,13.0,156.0,28.0,74.0,8.0,17.0,5.0,14.0,14.0,48.0,87.0,36.0,91.0,84.0,f,f,t,Paraguay
1,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,alex-bogomolov-jr.,A. Bogomolov Jr.,ramon-delgado,R. Delgado,asuncion_challenger,Round of 16,2.0,f,100,4,01:55:00,148.0,0.0,8.0,12.0,0.0,0.0,178.0,0.0,2.0,56.0,78.0,26.0,56.0,7.0,22.0,8.0,15.0,10.0,201.0,18.0,41.0,18.0,29.0,5.0,11.0,10.0,33.0,78.0,36.0,70.0,69.0,f,f,,f,Paraguay,2.0,12.0,8.0,0.0,204.0,2.0,1.0,41.0,70.0,23.0,41.0,11.0,29.0,6.0,11.0,10.0,239.0,30.0,56.0,15.0,22.0,7.0,15.0,10.0,34.0,70.0,45.0,78.0,79.0,t,f,t,Paraguay
2,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,andrea-collarini,A. Collarini,andres-molteni,A. Molteni,asuncion_challenger,2nd Round Qualifying,2.0,f,100,1,01:14:00,102.0,0.0,5.0,12.0,0.0,0.0,209.0,1.0,5.0,35.0,57.0,17.0,35.0,13.0,22.0,6.0,11.0,9.0,98.0,10.0,30.0,3.0,15.0,1.0,3.0,8.0,30.0,57.0,13.0,45.0,43.0,f,f,,f,Paraguay,2.0,12.0,5.0,0.0,302.0,1.0,0.0,30.0,45.0,20.0,30.0,12.0,15.0,2.0,3.0,8.0,192.0,18.0,35.0,9.0,22.0,5.0,11.0,9.0,32.0,45.0,27.0,57.0,59.0,t,f,t,Paraguay
3,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,andrea-collarini,A. Collarini,oliver-snaider,O. Snaider,asuncion_challenger,1st Round Qualifying,3.0,f,100,0,01:39:00,138.0,2.0,16.0,9.0,0.0,0.0,235.0,1.0,5.0,39.0,70.0,22.0,39.0,19.0,31.0,2.0,6.0,12.0,241.0,14.0,28.0,25.0,40.0,8.0,12.0,13.0,41.0,70.0,39.0,68.0,80.0,t,f,,f,Paraguay,1.0,9.0,16.0,0.0,166.0,2.0,3.0,28.0,68.0,14.0,28.0,15.0,40.0,4.0,12.0,13.0,183.0,17.0,39.0,12.0,31.0,4.0,6.0,12.0,29.0,68.0,29.0,70.0,58.0,f,f,t,Paraguay
4,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,andres-molteni,A. Molteni,facundo-bagnis,F. Bagnis,asuncion_challenger,3rd Round Qualifying,2.0,f,100,2,01:22:00,108.0,0.0,5.0,12.0,0.0,0.0,237.0,0.0,0.0,40.0,54.0,23.0,40.0,6.0,14.0,3.0,6.0,8.0,51.0,9.0,32.0,5.0,22.0,0.0,2.0,9.0,29.0,54.0,14.0,54.0,43.0,f,f,7,f,Paraguay,2.0,12.0,5.0,0.0,305.0,0.0,3.0,32.0,54.0,23.0,32.0,17.0,22.0,2.0,2.0,9.0,187.0,17.0,40.0,8.0,14.0,3.0,6.0,8.0,40.0,54.0,25.0,54.0,65.0,t,f,t,Paraguay
5,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,andres-molteni,A. Molteni,patricio-heras,P. Heras,asuncion_challenger,1st Round Qualifying,2.0,f,100,0,01:20:00,135.0,2.0,13.0,8.0,0.0,0.0,254.0,0.0,4.0,51.0,75.0,39.0,51.0,8.0,24.0,3.0,5.0,11.0,207.0,13.0,39.0,14.0,21.0,4.0,6.0,10.0,47.0,75.0,27.0,60.0,74.0,t,f,7,t,Paraguay,0.0,8.0,13.0,0.0,223.0,0.0,2.0,39.0,60.0,26.0,39.0,7.0,21.0,2.0,6.0,10.0,149.0,12.0,51.0,16.0,24.0,2.0,5.0,11.0,33.0,60.0,28.0,75.0,61.0,f,f,f,Paraguay
6,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,blaz-kavcic,B. Kavcic,juan-martin-aranguren,J. Aranguren,asuncion_challenger,Quarter-Finals,3.0,f,100,5,02:03:00,152.0,2.0,15.0,8.0,0.0,0.0,268.0,5.0,2.0,39.0,69.0,30.0,39.0,15.0,30.0,3.0,5.0,11.0,196.0,27.0,56.0,14.0,27.0,6.0,13.0,12.0,45.0,69.0,41.0,83.0,86.0,t,f,8,f,Paraguay,1.0,8.0,15.0,0.0,213.0,0.0,4.0,56.0,83.0,29.0,56.0,13.0,27.0,7.0,13.0,12.0,131.0,9.0,39.0,15.0,30.0,2.0,5.0,11.0,42.0,83.0,24.0,69.0,66.0,f,f,t,Paraguay
7,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,blaz-kavcic,B. Kavcic,marcelo-demoliner,M. Demoliner,asuncion_challenger,Round of 32,2.0,f,100,3,01:30:00,103.0,2.0,12.0,5.0,0.0,0.0,291.0,1.0,3.0,30.0,60.0,24.0,30.0,19.0,30.0,4.0,4.0,9.0,183.0,8.0,24.0,10.0,19.0,3.0,5.0,8.0,43.0,60.0,18.0,43.0,61.0,t,f,8,t,Paraguay,0.0,5.0,12.0,0.0,236.0,4.0,0.0,24.0,43.0,16.0,24.0,9.0,19.0,2.0,5.0,8.0,57.0,6.0,30.0,11.0,30.0,0.0,4.0,9.0,25.0,43.0,17.0,60.0,42.0,f,f,f,Paraguay
8,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,blaz-kavcic,B. Kavcic,mariano-zabaleta,M. Zabaleta,asuncion_challenger,Round of 16,3.0,f,100,4,02:07:00,172.0,2.0,16.0,9.0,0.0,0.0,283.0,1.0,2.0,54.0,76.0,39.0,54.0,11.0,22.0,4.0,5.0,12.0,175.0,19.0,50.0,26.0,46.0,5.0,12.0,13.0,50.0,76.0,45.0,96.0,95.0,t,f,8,f,Paraguay,1.0,9.0,16.0,0.0,214.0,3.0,7.0,50.0,96.0,31.0,50.0,20.0,46.0,7.0,12.0,13.0,106.0,15.0,54.0,11.0,22.0,1.0,5.0,12.0,51.0,96.0,26.0,76.0,77.0,f,f,t,Paraguay
9,2009-10-12,2009-10-18,Paraguay,Clay,75000.0,$,2009,blaz-kavcic,B. Kavcic,ramon-delgado,R. Delgado,asuncion_challenger,Semi-Finals,3.0,f,100,6,02:43:00,211.0,1.0,13.0,17.0,0.0,1.0,250.0,8.0,7.0,69.0,121.0,44.0,69.0,25.0,52.0,11.0,14.0,15.0,89.0,10.0,40.0,16.0,50.0,1.0,4.0,14.0,69.0,121.0,26.0,90.0,95.0,f,f,8,f,Paraguay,2.0,17.0,13.0,1.0,284.0,6.0,1.0,40.0,90.0,30.0,40.0,34.0,50.0,3.0,4.0,14.0,129.0,25.0,69.0,27.0,52.0,3.0,14.0,15.0,64.0,90.0,52.0,121.0,116.0,t,f,t,Paraguay
