start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,dovydas-sakinis,,rik-de-voest,,athens_challenger,1st Round Qualifying,3.0,f,100,0,,,1.0,9.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Greece,2.0,16.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,juho-paukku,,ruben-bemelmans,,athens_challenger,1st Round Qualifying,3.0,f,100,0,,,1.0,11.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Greece,2.0,15.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,alexandros-georgoudas,,paris-gemouchidis,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Greece,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,alexandros-jakupovic,A. Jakupovic,yen-hsun-lu,Y. Lu,athens_challenger,Round of 32,2.0,f,100,3,00:55:00,86.0,0.0,3.0,12.0,0.0,0.0,233.0,1.0,2.0,39.0,47.0,18.0,39.0,5.0,8.0,4.0,8.0,7.0,41.0,4.0,28.0,3.0,11.0,0.0,0.0,8.0,23.0,47.0,7.0,39.0,30.0,f,f,WC,f,Greece,2.0,12.0,3.0,0.0,333.0,2.0,0.0,28.0,39.0,24.0,28.0,8.0,11.0,0.0,0.0,8.0,199.0,21.0,39.0,3.0,8.0,4.0,8.0,7.0,32.0,39.0,24.0,47.0,56.0,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,alex-bogdanovic,A. Bogdanovic,philipp-petzschner,P. Petzschner,athens_challenger,Round of 32,2.0,f,100,3,01:19:00,125.0,0.0,8.0,12.0,0.0,0.0,241.0,4.0,2.0,41.0,58.0,25.0,41.0,8.0,17.0,5.0,9.0,10.0,129.0,15.0,42.0,11.0,25.0,2.0,7.0,10.0,33.0,58.0,26.0,67.0,59.0,f,f,,f,Greece,2.0,12.0,8.0,0.0,267.0,5.0,1.0,42.0,67.0,27.0,42.0,14.0,25.0,5.0,7.0,10.0,176.0,16.0,41.0,9.0,17.0,4.0,9.0,10.0,41.0,67.0,25.0,58.0,66.0,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,amir-weintraub,,filip-prpic,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Greece,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,amir-weintraub,,simon-stadler,,athens_challenger,2nd Round Qualifying,2.0,f,100,1,,,0.0,10.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Greece,2.0,13.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andis-juska,,denis-gremelmayr,,athens_challenger,3rd Round Qualifying,2.0,f,100,2,,,2.0,12.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Greece,0.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andis-juska,,enrico-iannuzzi,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,13.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Greece,0.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andis-juska,A. Juska,grega-zemlja,G. Zemlja,athens_challenger,Round of 32,3.0,f,100,3,02:07:00,198.0,1.0,16.0,17.0,0.0,1.0,252.0,2.0,7.0,63.0,99.0,45.0,63.0,17.0,36.0,4.0,8.0,16.0,152.0,20.0,60.0,17.0,39.0,4.0,8.0,16.0,62.0,99.0,37.0,99.0,99.0,f,f,Q,f,Greece,2.0,17.0,16.0,1.0,259.0,7.0,7.0,60.0,99.0,40.0,60.0,22.0,39.0,4.0,8.0,16.0,157.0,18.0,63.0,19.0,36.0,4.0,8.0,16.0,62.0,99.0,37.0,99.0,99.0,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andis-juska,,ruben-bemelmans,,athens_challenger,2nd Round Qualifying,2.0,f,100,1,,,2.0,14.0,12.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Greece,0.0,12.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andrej-martin,,nikos-rovas,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,14.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,Greece,0.0,10.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andrej-martin,,ricardas-berankis,,athens_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,f,Greece,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,andrej-martin,,valentin-dimov,,athens_challenger,2nd Round Qualifying,2.0,f,100,1,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,Greece,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,ante-pavic,,ricardas-berankis,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Greece,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,aristotelis-mouratoglou,,sam-groth,,athens_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Greece,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,benjamin-becker,B. Becker,miloslav-mecir,M. Mecir,athens_challenger,Round of 32,2.0,f,100,3,01:23:00,137.0,0.0,9.0,13.0,0.0,1.0,256.0,5.0,1.0,37.0,71.0,27.0,37.0,16.0,34.0,5.0,7.0,10.0,96.0,10.0,43.0,9.0,23.0,1.0,4.0,11.0,43.0,71.0,19.0,66.0,62.0,f,f,1 WC,f,Greece,2.0,13.0,9.0,1.0,295.0,4.0,2.0,43.0,66.0,33.0,43.0,14.0,23.0,3.0,4.0,11.0,129.0,10.0,37.0,18.0,34.0,2.0,7.0,10.0,47.0,66.0,28.0,71.0,75.0,t,f,t,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,bjorn-phau,B. Phau,dieter-kindlmann,D. Kindlmann,athens_challenger,Round of 32,2.0,f,100,3,00:41:00,58.0,2.0,8.0,2.0,0.0,0.0,305.0,5.0,1.0,16.0,28.0,11.0,16.0,9.0,12.0,0.0,0.0,5.0,243.0,12.0,23.0,5.0,7.0,3.0,5.0,5.0,20.0,28.0,17.0,30.0,37.0,t,t,,t,Greece,0.0,2.0,8.0,0.0,193.0,1.0,2.0,23.0,30.0,11.0,23.0,2.0,7.0,2.0,5.0,5.0,56.0,5.0,16.0,3.0,12.0,0.0,0.0,5.0,13.0,30.0,8.0,28.0,21.0,f,t,f,Greece
2010-04-19,2010-04-25,Greece,Hard,85000.0,€,2010,bjorn-phau,B. Phau,dudi-sela,D. Sela,athens_challenger,Quarter-Finals,2.0,f,100,5,01:22:00,120.0,0.0,7.0,12.0,0.0,0.0,232.0,1.0,6.0,30.0,54.0,23.0,30.0,9.0,24.0,1.0,4.0,9.0,96.0,15.0,37.0,8.0,29.0,1.0,6.0,10.0,32.0,54.0,23.0,66.0,55.0,f,f,,f,Greece,2.0,12.0,7.0,0.0,277.0,0.0,0.0,37.0,66.0,22.0,37.0,21.0,29.0,5.0,6.0,10.0,194.0,7.0,30.0,15.0,24.0,3.0,4.0,9.0,43.0,66.0,22.0,54.0,65.0,t,f,t,Greece
