start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,alex-bogomolov-jr.,A. Bogomolov Jr.,jack-sock,J. Sock,atlanta,Round of 32,3.0,f,250,3,02:15:00,184.0,1.0,12.0,16.0,0.0,0.0,265.0,3.0,2.0,64.0,86.0,41.0,64.0,12.0,22.0,7.0,11.0,14.0,105.0,13.0,51.0,23.0,47.0,2.0,12.0,14.0,53.0,86.0,36.0,98.0,89.0,f,f,7,f,USA,2.0,16.0,12.0,0.0,263.0,8.0,8.0,51.0,98.0,38.0,51.0,24.0,47.0,10.0,12.0,14.0,145.0,23.0,64.0,10.0,22.0,4.0,11.0,14.0,62.0,98.0,33.0,86.0,95.0,t,f,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,alex-kuznetsov,A. Kuznetsov,dean-o'brien,D. O'Brien,atlanta,1st Round Qualifying,2.0,f,250,0,01:09:00,96.0,2.0,12.0,4.0,0.0,0.0,312.0,6.0,1.0,33.0,50.0,25.0,33.0,11.0,17.0,2.0,2.0,8.0,195.0,12.0,24.0,10.0,22.0,4.0,8.0,8.0,36.0,50.0,22.0,46.0,58.0,t,f,7,t,USA,0.0,4.0,12.0,0.0,204.0,0.0,3.0,24.0,46.0,12.0,24.0,12.0,22.0,4.0,8.0,8.0,59.0,8.0,33.0,6.0,17.0,0.0,2.0,8.0,24.0,46.0,14.0,50.0,38.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,alex-kuznetsov,A. Kuznetsov,luca-margaroli,L. Margaroli,atlanta,2nd Round Qualifying,2.0,f,250,1,00:46:00,76.0,2.0,12.0,2.0,0.0,0.0,336.0,3.0,1.0,27.0,36.0,22.0,27.0,7.0,9.0,1.0,1.0,7.0,265.0,10.0,22.0,14.0,18.0,5.0,7.0,7.0,29.0,36.0,24.0,40.0,53.0,t,f,7,t,USA,0.0,2.0,12.0,0.0,160.0,3.0,3.0,22.0,40.0,12.0,22.0,4.0,18.0,2.0,7.0,7.0,41.0,5.0,27.0,2.0,9.0,0.0,1.0,7.0,16.0,40.0,7.0,36.0,23.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,alex-kuznetsov,A. Kuznetsov,michael-russell,M. Russell,atlanta,Round of 32,3.0,f,250,3,02:19:00,186.0,1.0,16.0,15.0,0.0,1.0,276.0,14.0,4.0,68.0,99.0,51.0,68.0,13.0,31.0,9.0,12.0,15.0,165.0,15.0,52.0,15.0,35.0,4.0,6.0,15.0,64.0,99.0,30.0,87.0,94.0,f,f,Q,t,USA,2.0,15.0,16.0,1.0,258.0,1.0,4.0,52.0,87.0,37.0,52.0,20.0,35.0,2.0,6.0,15.0,128.0,17.0,68.0,18.0,31.0,3.0,12.0,15.0,57.0,87.0,35.0,99.0,92.0,t,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,alex-kuznetsov,A. Kuznetsov,ricardo-mello,R. Mello,atlanta,3rd Round Qualifying,3.0,f,250,2,01:47:00,159.0,2.0,15.0,11.0,0.0,0.0,273.0,8.0,3.0,48.0,78.0,38.0,48.0,13.0,30.0,4.0,6.0,13.0,150.0,19.0,51.0,15.0,30.0,4.0,12.0,13.0,51.0,78.0,34.0,81.0,85.0,t,f,7,t,USA,1.0,11.0,15.0,0.0,244.0,2.0,3.0,51.0,81.0,32.0,51.0,15.0,30.0,8.0,12.0,13.0,126.0,10.0,48.0,17.0,30.0,2.0,6.0,13.0,47.0,81.0,27.0,78.0,74.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,andy-roddick,A. Roddick,gilles-muller,G. Muller,atlanta,Finals,3.0,f,250,7,02:14:00,170.0,2.0,14.0,14.0,1.0,1.0,289.0,18.0,4.0,52.0,86.0,39.0,52.0,19.0,34.0,1.0,3.0,13.0,118.0,6.0,48.0,21.0,36.0,2.0,6.0,14.0,58.0,86.0,27.0,84.0,85.0,t,f,4,f,USA,1.0,14.0,14.0,0.0,282.0,20.0,10.0,48.0,84.0,42.0,48.0,15.0,36.0,4.0,6.0,14.0,151.0,13.0,52.0,15.0,34.0,2.0,3.0,13.0,57.0,84.0,28.0,86.0,85.0,f,f,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,andy-roddick,A. Roddick,john-isner,J. Isner,atlanta,Semi-Finals,3.0,f,250,6,02:28:00,191.0,2.0,18.0,15.0,0.0,1.0,318.0,7.0,1.0,60.0,92.0,53.0,60.0,19.0,32.0,2.0,2.0,16.0,107.0,12.0,63.0,17.0,36.0,2.0,7.0,16.0,72.0,92.0,29.0,99.0,101.0,t,f,4,t,USA,1.0,15.0,18.0,1.0,311.0,26.0,0.0,63.0,99.0,51.0,63.0,19.0,36.0,5.0,7.0,16.0,53.0,7.0,60.0,13.0,32.0,0.0,2.0,16.0,70.0,99.0,20.0,92.0,90.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,andy-roddick,A. Roddick,michael-russell,M. Russell,atlanta,Quarter-Finals,2.0,f,250,5,01:13:00,95.0,2.0,12.0,7.0,0.0,0.0,341.0,12.0,1.0,37.0,51.0,32.0,37.0,10.0,14.0,1.0,1.0,10.0,134.0,6.0,26.0,7.0,18.0,2.0,4.0,9.0,42.0,51.0,13.0,44.0,55.0,t,f,4,t,USA,0.0,7.0,12.0,0.0,281.0,8.0,1.0,26.0,44.0,20.0,26.0,11.0,18.0,2.0,4.0,9.0,43.0,5.0,37.0,4.0,14.0,0.0,1.0,10.0,31.0,44.0,9.0,51.0,40.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,andy-roddick,A. Roddick,nicolas-mahut,N. Mahut,atlanta,Round of 16,2.0,f,250,4,01:38:00,138.0,2.0,13.0,9.0,1.0,1.0,298.0,10.0,1.0,50.0,75.0,38.0,50.0,14.0,25.0,4.0,5.0,11.0,144.0,7.0,38.0,14.0,25.0,2.0,4.0,10.0,52.0,75.0,21.0,63.0,73.0,t,f,4,t,USA,0.0,9.0,13.0,0.0,280.0,15.0,1.0,38.0,63.0,31.0,38.0,11.0,25.0,2.0,4.0,10.0,97.0,12.0,50.0,11.0,25.0,1.0,5.0,11.0,42.0,63.0,23.0,75.0,65.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,bradley-cox,B. Cox,drake-bernstein,D. Bernstein,atlanta,1st Round Qualifying,2.0,f,250,0,00:57:00,98.0,0.0,3.0,11.0,0.0,0.0,185.0,4.0,5.0,29.0,54.0,18.0,29.0,7.0,25.0,1.0,5.0,7.0,54.0,5.0,27.0,6.0,17.0,0.0,2.0,7.0,25.0,54.0,11.0,44.0,36.0,f,t,,f,USA,2.0,11.0,3.0,0.0,313.0,9.0,3.0,27.0,44.0,22.0,27.0,11.0,17.0,2.0,2.0,7.0,247.0,11.0,29.0,18.0,25.0,4.0,5.0,7.0,33.0,44.0,29.0,54.0,62.0,t,t,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,brian-baker,B. Baker,igor-kunitsyn,I. Kunitsyn,atlanta,Round of 32,3.0,f,250,3,02:21:00,207.0,1.0,14.0,18.0,1.0,1.0,257.0,6.0,4.0,67.0,101.0,44.0,67.0,17.0,34.0,4.0,8.0,15.0,121.0,15.0,54.0,25.0,52.0,2.0,6.0,16.0,61.0,101.0,40.0,106.0,101.0,f,f,WC,f,USA,2.0,18.0,14.0,0.0,265.0,7.0,4.0,54.0,106.0,39.0,54.0,27.0,52.0,4.0,6.0,16.0,160.0,23.0,67.0,17.0,34.0,4.0,8.0,15.0,66.0,106.0,40.0,101.0,106.0,t,f,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,catalin-ionut-gard,C. Gard,juan-carlos-spir,J. Spir,atlanta,1st Round Qualifying,2.0,f,250,0,01:15:00,127.0,2.0,13.0,7.0,1.0,1.0,280.0,3.0,7.0,38.0,63.0,31.0,38.0,13.0,25.0,1.0,2.0,10.0,199.0,13.0,40.0,14.0,24.0,3.0,4.0,9.0,44.0,63.0,27.0,64.0,71.0,t,f,,t,USA,0.0,7.0,13.0,0.0,236.0,3.0,6.0,40.0,64.0,27.0,40.0,10.0,24.0,1.0,4.0,9.0,126.0,7.0,38.0,12.0,25.0,1.0,2.0,10.0,37.0,64.0,19.0,63.0,56.0,f,f,f,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,catalin-ionut-gard,C. Gard,sergei-bubka,S. Bubka,atlanta,2nd Round Qualifying,2.0,f,250,1,01:32:00,139.0,0.0,10.0,13.0,0.0,1.0,207.0,0.0,9.0,45.0,72.0,28.0,45.0,10.0,27.0,4.0,9.0,11.0,218.0,12.0,45.0,12.0,22.0,4.0,4.0,11.0,38.0,72.0,24.0,67.0,62.0,f,f,,f,USA,2.0,13.0,10.0,1.0,245.0,2.0,5.0,45.0,67.0,33.0,45.0,10.0,22.0,0.0,4.0,11.0,202.0,17.0,45.0,17.0,27.0,5.0,9.0,11.0,43.0,67.0,34.0,72.0,77.0,t,f,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,christopher-eubanks,C. Eubanks,lukas-dlouhy,L. Dlouhy,atlanta,1st Round Qualifying,2.0,f,250,0,00:51:00,112.0,0.0,6.0,13.0,0.0,1.0,208.0,2.0,6.0,38.0,62.0,24.0,38.0,8.0,24.0,3.0,7.0,9.0,164.0,5.0,34.0,6.0,16.0,1.0,1.0,9.0,32.0,62.0,11.0,50.0,43.0,f,f,WC,f,USA,2.0,13.0,6.0,1.0,299.0,0.0,5.0,34.0,50.0,29.0,34.0,10.0,16.0,0.0,1.0,9.0,205.0,14.0,38.0,16.0,24.0,4.0,7.0,9.0,39.0,50.0,30.0,62.0,69.0,t,f,t,USA
2012-07-16,2012-07-22,USA,Hard,477900.0,$,2012,david-span,D. Span,mbonisi-ndimande,M. Ndimande,atlanta,1st Round Qualifying,2.0,f,250,0,00:58:00,85.0,0.0,3.0,12.0,0.0,0.0,171.0,0.0,6.0,20.0,45.0,12.0,20.0,9.0,25.0,6.0,11.0,8.0,51.0,3.0,21.0,7.0,19.0,0.0,0.0,7.0,21.0,45.0,10.0,40.0,31.0,f,f,WC,f,USA,2.0,12.0,3.0,0.0,299.0,1.0,4.0,21.0,40.0,18.0,21.0,12.0,19.0,0.0,0.0,7.0,211.0,8.0,20.0,16.0,25.0,5.0,11.0,8.0,30.0,40.0,24.0,45.0,54.0,t,f,t,USA
