,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,alejandro-gonzalez,A. Gonzalez,jack-sock,J. Sock,atlanta,Round of 32,2.0,f,250,3,01:06:00,102.0,0.0,6.0,12.0,0.0,0.0,240.0,2.0,2.0,29.0,51.0,18.0,29.0,12.0,22.0,3.0,6.0,9.0,46.0,3.0,28.0,8.0,23.0,0.0,1.0,9.0,30.0,51.0,11.0,51.0,41.0,f,f,,f,USA,2.0,12.0,6.0,0.0,317.0,9.0,1.0,28.0,51.0,25.0,28.0,15.0,23.0,1.0,1.0,9.0,166.0,11.0,29.0,10.0,22.0,3.0,6.0,9.0,40.0,51.0,21.0,51.0,61.0,t,f,t,USA
1,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,illya-marchenko,I. Marchenko,atlanta,3rd Round Qualifying,3.0,f,250,2,01:56:00,161.0,1.0,12.0,15.0,0.0,0.0,240.0,5.0,3.0,32.0,67.0,24.0,32.0,16.0,35.0,0.0,4.0,13.0,128.0,19.0,58.0,16.0,36.0,3.0,10.0,14.0,40.0,67.0,35.0,94.0,75.0,f,f,2,f,USA,2.0,15.0,12.0,0.0,260.0,4.0,7.0,58.0,94.0,39.0,58.0,20.0,36.0,7.0,10.0,14.0,209.0,8.0,32.0,19.0,35.0,4.0,4.0,13.0,59.0,94.0,27.0,67.0,86.0,t,f,t,USA
2,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,michael-shabaz,M. Shabaz,atlanta,2nd Round Qualifying,2.0,f,250,1,01:43:00,118.0,2.0,12.0,5.0,0.0,0.0,309.0,12.0,0.0,31.0,55.0,27.0,31.0,13.0,24.0,1.0,1.0,9.0,156.0,8.0,32.0,19.0,31.0,3.0,9.0,8.0,40.0,55.0,27.0,63.0,67.0,t,f,2,t,USA,0.0,5.0,12.0,0.0,228.0,4.0,3.0,32.0,63.0,24.0,32.0,12.0,31.0,6.0,9.0,8.0,59.0,4.0,31.0,11.0,24.0,0.0,1.0,9.0,36.0,63.0,15.0,55.0,51.0,f,f,f,USA
3,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,alex-kuznetsov,A. Kuznetsov,yen-hsun-lu,Y. Lu,atlanta,Round of 32,2.0,f,250,3,01:22:00,122.0,0.0,8.0,12.0,0.0,0.0,238.0,3.0,5.0,39.0,59.0,27.0,39.0,7.0,20.0,5.0,8.0,10.0,94.0,7.0,35.0,14.0,28.0,1.0,7.0,10.0,34.0,59.0,21.0,63.0,55.0,f,f,LL,f,USA,2.0,12.0,8.0,0.0,274.0,4.0,6.0,35.0,63.0,28.0,35.0,14.0,28.0,6.0,7.0,10.0,164.0,12.0,39.0,13.0,20.0,3.0,8.0,10.0,42.0,63.0,25.0,59.0,67.0,t,f,t,USA
4,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,andrew-carter,A. Carter,juan-carlos-spir,J. Spir,atlanta,1st Round Qualifying,3.0,f,250,0,01:39:00,186.0,1.0,14.0,19.0,1.0,2.0,273.0,1.0,3.0,63.0,87.0,48.0,63.0,13.0,24.0,2.0,6.0,15.0,109.0,12.0,65.0,17.0,34.0,2.0,7.0,16.0,61.0,87.0,29.0,99.0,90.0,f,f,,f,USA,2.0,19.0,14.0,1.0,284.0,4.0,5.0,65.0,99.0,53.0,65.0,17.0,34.0,5.0,7.0,16.0,163.0,15.0,63.0,11.0,24.0,4.0,6.0,15.0,70.0,99.0,26.0,87.0,96.0,t,f,t,USA
5,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,becker-o'shaughnessey,B. O'Shaughnessey,kevin-king,K. King,atlanta,2nd Round Qualifying,2.0,f,250,1,01:05:00,104.0,0.0,5.0,12.0,0.0,0.0,238.0,0.0,2.0,31.0,45.0,16.0,31.0,8.0,14.0,1.0,4.0,8.0,65.0,5.0,30.0,14.0,29.0,0.0,3.0,9.0,24.0,45.0,19.0,59.0,43.0,f,f,WC,f,USA,2.0,12.0,5.0,0.0,287.0,7.0,6.0,30.0,59.0,25.0,30.0,15.0,29.0,3.0,3.0,9.0,203.0,15.0,31.0,6.0,14.0,3.0,4.0,8.0,40.0,59.0,21.0,45.0,61.0,t,f,t,USA
6,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,becker-o'shaughnessey,B. O'Shaughnessey,santiago-gonzalez,S. Gonzalez,atlanta,1st Round Qualifying,2.0,f,250,0,01:12:00,128.0,2.0,12.0,6.0,0.0,0.0,292.0,3.0,3.0,32.0,51.0,25.0,32.0,12.0,19.0,1.0,2.0,9.0,177.0,11.0,35.0,26.0,42.0,4.0,10.0,9.0,37.0,51.0,37.0,77.0,74.0,t,f,WC,t,USA,0.0,6.0,12.0,0.0,205.0,4.0,6.0,35.0,77.0,24.0,35.0,16.0,42.0,6.0,10.0,9.0,120.0,7.0,32.0,7.0,19.0,1.0,2.0,9.0,40.0,77.0,14.0,51.0,54.0,f,f,f,USA
7,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,benjamin-balleret,B. Balleret,frances-tiafoe,F. Tiafoe,atlanta,1st Round Qualifying,2.0,f,250,0,00:52:00,119.0,0.0,6.0,12.0,0.0,0.0,223.0,4.0,3.0,43.0,66.0,27.0,43.0,9.0,23.0,6.0,10.0,9.0,104.0,10.0,35.0,7.0,18.0,1.0,4.0,9.0,36.0,66.0,17.0,53.0,53.0,f,f,,f,USA,2.0,12.0,6.0,0.0,286.0,4.0,4.0,35.0,53.0,25.0,35.0,11.0,18.0,3.0,4.0,9.0,182.0,16.0,43.0,14.0,23.0,4.0,10.0,9.0,36.0,53.0,30.0,66.0,66.0,t,f,t,USA
8,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,benjamin-becker,B. Becker,dudi-sela,D. Sela,atlanta,Semi-Finals,3.0,f,250,6,01:51:00,166.0,1.0,12.0,15.0,0.0,0.0,253.0,7.0,3.0,47.0,81.0,35.0,47.0,14.0,34.0,7.0,10.0,13.0,116.0,13.0,48.0,17.0,37.0,2.0,7.0,14.0,49.0,81.0,30.0,85.0,79.0,f,f,,f,USA,2.0,15.0,12.0,0.0,267.0,3.0,4.0,48.0,85.0,35.0,48.0,20.0,37.0,5.0,7.0,14.0,138.0,12.0,47.0,20.0,34.0,3.0,10.0,13.0,55.0,85.0,32.0,81.0,87.0,t,f,t,USA
9,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,benjamin-becker,B. Becker,matthew-ebden,M. Ebden,atlanta,Round of 32,2.0,f,250,3,01:05:00,113.0,2.0,12.0,6.0,0.0,0.0,291.0,4.0,4.0,25.0,44.0,22.0,25.0,11.0,19.0,1.0,2.0,9.0,176.0,8.0,36.0,26.0,33.0,4.0,13.0,9.0,33.0,44.0,34.0,69.0,67.0,t,f,,t,USA,0.0,6.0,12.0,0.0,197.0,4.0,13.0,36.0,69.0,28.0,36.0,7.0,33.0,9.0,13.0,9.0,115.0,3.0,25.0,8.0,19.0,1.0,2.0,9.0,35.0,69.0,11.0,44.0,46.0,f,f,f,USA
10,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,benjamin-becker,B. Becker,thiemo-de-bakker,T. de Bakker,atlanta,Quarter-Finals,2.0,f,250,5,01:05:00,107.0,2.0,12.0,6.0,0.0,0.0,309.0,6.0,0.0,27.0,51.0,18.0,27.0,20.0,24.0,1.0,1.0,9.0,162.0,9.0,32.0,14.0,24.0,3.0,7.0,9.0,38.0,51.0,23.0,56.0,61.0,t,f,,t,USA,0.0,6.0,12.0,0.0,246.0,10.0,1.0,32.0,56.0,23.0,32.0,10.0,24.0,4.0,7.0,9.0,50.0,9.0,27.0,4.0,24.0,0.0,1.0,9.0,33.0,56.0,13.0,51.0,46.0,f,f,f,USA
11,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,benjamin-becker,B. Becker,yen-hsun-lu,Y. Lu,atlanta,Round of 16,2.0,f,250,4,01:19:00,131.0,2.0,12.0,7.0,0.0,0.0,294.0,6.0,2.0,30.0,59.0,26.0,30.0,15.0,29.0,2.0,2.0,9.0,159.0,16.0,44.0,14.0,28.0,3.0,7.0,10.0,41.0,59.0,30.0,72.0,71.0,t,f,,t,USA,0.0,7.0,12.0,0.0,241.0,2.0,6.0,44.0,72.0,28.0,44.0,14.0,28.0,4.0,7.0,10.0,61.0,4.0,30.0,14.0,29.0,0.0,2.0,9.0,42.0,72.0,18.0,59.0,60.0,f,f,f,USA
12,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,denis-istomin,D. Istomin,lukas-lacko,L. Lacko,atlanta,Round of 16,3.0,f,250,4,01:54:00,183.0,1.0,12.0,17.0,0.0,0.0,218.0,4.0,6.0,44.0,75.0,33.0,44.0,9.0,31.0,1.0,7.0,14.0,142.0,17.0,58.0,27.0,50.0,4.0,12.0,15.0,42.0,75.0,44.0,108.0,86.0,f,f,6,t,USA,2.0,17.0,12.0,0.0,243.0,5.0,6.0,58.0,108.0,41.0,58.0,23.0,50.0,8.0,12.0,15.0,224.0,11.0,44.0,22.0,31.0,6.0,7.0,14.0,64.0,108.0,33.0,75.0,97.0,t,f,f,USA
13,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,denis-istomin,D. Istomin,rajeev-ram,R. Ram,atlanta,Round of 32,2.0,f,250,3,01:09:00,107.0,2.0,12.0,5.0,0.0,0.0,316.0,8.0,0.0,29.0,49.0,23.0,29.0,14.0,20.0,0.0,0.0,9.0,189.0,12.0,33.0,14.0,25.0,3.0,5.0,8.0,37.0,49.0,26.0,58.0,63.0,t,f,6,t,USA,0.0,5.0,12.0,0.0,226.0,2.0,3.0,33.0,58.0,21.0,33.0,11.0,25.0,2.0,5.0,8.0,51.0,6.0,29.0,6.0,20.0,0.0,0.0,9.0,32.0,58.0,12.0,49.0,44.0,f,f,f,USA
14,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,donald-young,D. Young,dudi-sela,D. Sela,atlanta,Round of 32,2.0,f,250,3,01:01:00,101.0,0.0,3.0,12.0,0.0,0.0,179.0,0.0,1.0,27.0,47.0,15.0,27.0,6.0,20.0,3.0,8.0,8.0,85.0,11.0,40.0,8.0,14.0,0.0,3.0,7.0,21.0,47.0,19.0,54.0,40.0,f,f,,f,USA,2.0,12.0,3.0,0.0,285.0,0.0,5.0,40.0,54.0,29.0,40.0,6.0,14.0,3.0,3.0,7.0,239.0,12.0,27.0,14.0,20.0,5.0,8.0,8.0,35.0,54.0,26.0,47.0,61.0,t,f,t,USA
15,2014-07-21,2014-07-27,USA,Hard,568805.0,$,2014,dudi-sela,D. Sela,john-isner,J. Isner,atlanta,Finals,2.0,f,250,7,01:11:00,109.0,0.0,7.0,12.0,0.0,0.0,258.0,2.0,4.0,33.0,51.0,26.0,33.0,7.0,18.0,0.0,2.0,9.0,59.0,5.0,33.0,11.0,25.0,0.0,1.0,10.0,33.0,51.0,16.0,58.0,49.0,f,f,,f,USA,2.0,12.0,7.0,0.0,311.0,15.0,2.0,33.0,58.0,28.0,33.0,14.0,25.0,1.0,1.0,10.0,204.0,7.0,33.0,11.0,18.0,2.0,2.0,9.0,42.0,58.0,18.0,51.0,60.0,t,f,t,USA
