,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,albert-ramos-vinolas,A. Ramos-Vinolas,thiemo-de-bakker,T. de Bakker,auckland,Round of 32,2.0,f,250,3,01:07:00,102.0,0.0,7.0,12.0,0.0,0.0,250.0,1.0,1.0,33.0,57.0,24.0,33.0,10.0,24.0,2.0,4.0,9.0,30.0,1.0,30.0,4.0,15.0,0.0,0.0,10.0,34.0,57.0,5.0,45.0,39.0,f,f,,f,New Zealand,2.0,12.0,7.0,0.0,343.0,6.0,0.0,30.0,45.0,29.0,30.0,11.0,15.0,0.0,0.0,10.0,157.0,9.0,33.0,14.0,24.0,2.0,4.0,9.0,40.0,45.0,23.0,57.0,63.0,t,f,t,New Zealand
1,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,aljaz-bedene,A. Bedene,sam-querrey,S. Querrey,auckland,Round of 32,3.0,f,250,3,01:56:00,189.0,1.0,14.0,15.0,1.0,2.0,295.0,11.0,2.0,60.0,98.0,48.0,60.0,20.0,38.0,4.0,5.0,13.0,118.0,4.0,53.0,20.0,38.0,1.0,2.0,14.0,68.0,98.0,24.0,91.0,92.0,f,t,,t,New Zealand,2.0,15.0,14.0,1.0,308.0,22.0,3.0,53.0,91.0,49.0,53.0,18.0,38.0,1.0,2.0,14.0,94.0,12.0,60.0,18.0,38.0,1.0,5.0,13.0,67.0,91.0,30.0,98.0,97.0,t,t,f,New Zealand
2,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,artem-sitak,A. Sitak,matthew-barton,M. Barton,auckland,1st Round Qualifying,2.0,f,250,1,01:09:00,136.0,0.0,6.0,13.0,0.0,1.0,207.0,1.0,10.0,41.0,73.0,29.0,41.0,11.0,32.0,2.0,6.0,9.0,181.0,7.0,38.0,13.0,25.0,1.0,1.0,9.0,40.0,73.0,20.0,63.0,60.0,f,f,WC,f,New Zealand,2.0,13.0,6.0,1.0,281.0,6.0,3.0,38.0,63.0,31.0,38.0,12.0,25.0,0.0,1.0,9.0,206.0,12.0,41.0,21.0,32.0,4.0,6.0,9.0,43.0,63.0,33.0,73.0,76.0,t,f,t,New Zealand
3,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,benjamin-becker,B. Becker,cameron-norrie,C. Norrie,auckland,2nd Round Qualifying,2.0,f,250,2,00:49:00,103.0,2.0,12.0,3.0,0.0,0.0,276.0,5.0,2.0,22.0,39.0,16.0,22.0,10.0,17.0,1.0,2.0,7.0,254.0,18.0,40.0,19.0,24.0,6.0,11.0,8.0,26.0,39.0,37.0,64.0,63.0,t,f,3,t,New Zealand,0.0,3.0,12.0,0.0,163.0,4.0,5.0,40.0,64.0,22.0,40.0,5.0,24.0,5.0,11.0,8.0,132.0,6.0,22.0,7.0,17.0,1.0,2.0,7.0,27.0,64.0,13.0,39.0,40.0,f,f,f,New Zealand
4,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,benjamin-becker,B. Becker,philipp-kohlschreiber,P. Kohlschreiber,auckland,Round of 32,2.0,f,250,3,01:24:00,141.0,0.0,9.0,13.0,0.0,1.0,284.0,8.0,2.0,50.0,69.0,42.0,50.0,6.0,19.0,7.0,8.0,10.0,57.0,6.0,38.0,14.0,34.0,0.0,2.0,11.0,48.0,69.0,20.0,72.0,68.0,f,f,Q,f,New Zealand,2.0,13.0,9.0,1.0,295.0,4.0,5.0,38.0,72.0,32.0,38.0,20.0,34.0,2.0,2.0,11.0,107.0,8.0,50.0,13.0,19.0,1.0,8.0,10.0,52.0,72.0,21.0,69.0,73.0,t,f,t,New Zealand
5,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,benjamin-becker,B. Becker,scott-lipsky,S. Lipsky,auckland,1st Round Qualifying,2.0,f,250,1,00:44:00,100.0,2.0,12.0,4.0,0.0,0.0,328.0,9.0,1.0,26.0,41.0,20.0,26.0,12.0,15.0,0.0,0.0,8.0,199.0,16.0,38.0,12.0,21.0,4.0,8.0,8.0,32.0,41.0,28.0,59.0,60.0,t,f,3,t,New Zealand,0.0,4.0,12.0,0.0,213.0,3.0,5.0,38.0,59.0,22.0,38.0,9.0,21.0,4.0,8.0,8.0,43.0,6.0,26.0,3.0,15.0,0.0,0.0,8.0,31.0,59.0,9.0,41.0,40.0,f,f,f,New Zealand
6,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,benoit-paire,B. Paire,lukas-rosol,L. Rosol,auckland,Round of 16,2.0,f,250,4,01:19:00,157.0,0.0,10.0,13.0,0.0,1.0,260.0,13.0,5.0,59.0,85.0,44.0,59.0,7.0,26.0,4.0,6.0,11.0,107.0,10.0,39.0,13.0,33.0,1.0,3.0,11.0,51.0,85.0,23.0,72.0,74.0,f,f,5,f,New Zealand,2.0,13.0,10.0,1.0,279.0,2.0,2.0,39.0,72.0,29.0,39.0,20.0,33.0,2.0,3.0,11.0,149.0,15.0,59.0,19.0,26.0,2.0,6.0,11.0,49.0,72.0,34.0,85.0,83.0,t,f,t,New Zealand
7,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,benoit-paire,B. Paire,michael-venus,M. Venus,auckland,Round of 32,2.0,f,250,3,01:27:00,162.0,2.0,13.0,10.0,1.0,1.0,286.0,11.0,6.0,42.0,93.0,35.0,42.0,27.0,51.0,5.0,5.0,11.0,133.0,7.0,41.0,16.0,28.0,1.0,2.0,11.0,62.0,93.0,23.0,69.0,85.0,t,f,5,t,New Zealand,0.0,10.0,13.0,0.0,276.0,3.0,2.0,41.0,69.0,34.0,41.0,12.0,28.0,1.0,2.0,11.0,64.0,7.0,42.0,24.0,51.0,0.0,5.0,11.0,46.0,69.0,31.0,93.0,77.0,f,f,f,New Zealand
8,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,cameron-norrie,C. Norrie,chung-hyo-woo,C. Woo,auckland,1st Round Qualifying,2.0,f,250,1,00:40:00,86.0,2.0,12.0,3.0,0.0,0.0,285.0,7.0,5.0,26.0,42.0,25.0,26.0,6.0,16.0,0.0,1.0,8.0,286.0,16.0,30.0,11.0,14.0,5.0,6.0,7.0,31.0,42.0,27.0,44.0,58.0,t,f,8 WC,t,New Zealand,0.0,3.0,12.0,0.0,158.0,1.0,7.0,30.0,44.0,14.0,30.0,3.0,14.0,1.0,6.0,7.0,179.0,1.0,26.0,10.0,16.0,1.0,1.0,8.0,17.0,44.0,11.0,42.0,28.0,f,f,f,New Zealand
9,2016-01-11,2016-01-17,New Zealand,Hard,463520.0,$,2016,david-ferrer,D. Ferrer,jack-sock,J. Sock,auckland,Semi-Finals,3.0,f,250,6,01:19:00,127.0,1.0,9.0,15.0,0.0,0.0,259.0,3.0,2.0,40.0,60.0,28.0,40.0,11.0,20.0,2.0,6.0,12.0,101.0,6.0,34.0,14.0,33.0,1.0,3.0,12.0,39.0,60.0,20.0,67.0,59.0,f,f,1 WC,t,New Zealand,2.0,15.0,9.0,0.0,294.0,13.0,1.0,34.0,67.0,28.0,34.0,19.0,33.0,2.0,3.0,12.0,175.0,12.0,40.0,9.0,20.0,4.0,6.0,12.0,47.0,67.0,21.0,60.0,68.0,t,f,f,New Zealand
