start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,adam-pavlasek,A. Pavlasek,pedja-krstin,P. Krstin,australian-open,1st Round Qualifying,3.0,f,2000,-2,01:51:00,187.0,1.0,15.0,16.0,0.0,1.0,272.0,12.0,1.0,67.0,100.0,44.0,67.0,16.0,33.0,9.0,12.0,15.0,164.0,12.0,48.0,17.0,39.0,3.0,4.0,15.0,60.0,100.0,29.0,87.0,89.0,f,f,,t,Australia,2.0,16.0,15.0,1.0,256.0,0.0,10.0,48.0,87.0,36.0,48.0,22.0,39.0,1.0,4.0,15.0,131.0,23.0,67.0,17.0,33.0,3.0,12.0,15.0,58.0,87.0,40.0,100.0,98.0,t,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,adrian-mannarino,A. Mannarino,dominic-thiem,D. Thiem,australian-open,Round of 32,3.0,f,2000,3,02:08:00,179.0,0.0,11.0,19.0,0.0,0.0,222.0,3.0,3.0,56.0,92.0,30.0,56.0,17.0,36.0,6.0,12.0,15.0,149.0,15.0,52.0,14.0,35.0,2.0,3.0,15.0,47.0,92.0,29.0,87.0,76.0,f,f,26,f,Australia,3.0,19.0,11.0,0.0,284.0,9.0,2.0,52.0,87.0,37.0,52.0,21.0,35.0,1.0,3.0,15.0,189.0,26.0,56.0,19.0,36.0,6.0,12.0,15.0,58.0,87.0,45.0,92.0,103.0,t,f,t,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,adrian-mannarino,A. Mannarino,jiri-vesely,J. Vesely,australian-open,Round of 64,4.0,f,2000,2,03:08:00,267.0,3.0,24.0,19.0,1.0,1.0,277.0,19.0,8.0,80.0,132.0,62.0,80.0,26.0,52.0,7.0,12.0,22.0,177.0,27.0,86.0,30.0,49.0,6.0,11.0,20.0,88.0,132.0,57.0,135.0,145.0,t,f,26,t,Australia,1.0,19.0,24.0,0.0,244.0,13.0,11.0,86.0,135.0,59.0,86.0,19.0,49.0,5.0,11.0,20.0,137.0,18.0,80.0,26.0,52.0,5.0,12.0,22.0,78.0,135.0,44.0,132.0,122.0,f,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,adrian-mannarino,A. Mannarino,matteo-berrettini,M. Berrettini,australian-open,Round of 128,3.0,f,2000,1,01:47:00,157.0,3.0,18.0,12.0,0.0,0.0,312.0,1.0,2.0,47.0,78.0,40.0,47.0,21.0,31.0,1.0,1.0,15.0,163.0,11.0,48.0,14.0,31.0,3.0,4.0,15.0,61.0,78.0,25.0,79.0,86.0,t,f,26,t,Australia,0.0,12.0,18.0,0.0,283.0,12.0,2.0,48.0,79.0,37.0,48.0,17.0,31.0,1.0,4.0,15.0,47.0,7.0,47.0,10.0,31.0,0.0,1.0,15.0,54.0,79.0,17.0,78.0,71.0,f,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,adrian-menendez-maceiras,A. Menendez-Maceiras,frank-dancevic,F. Dancevic,australian-open,1st Round Qualifying,3.0,f,2000,-2,02:00:00,196.0,1.0,15.0,16.0,0.0,1.0,288.0,16.0,2.0,53.0,87.0,46.0,53.0,14.0,34.0,1.0,3.0,14.0,119.0,23.0,73.0,13.0,36.0,3.0,9.0,16.0,60.0,87.0,36.0,109.0,96.0,f,f,18,t,Australia,2.0,16.0,15.0,1.0,293.0,14.0,1.0,73.0,109.0,50.0,73.0,23.0,36.0,6.0,9.0,16.0,153.0,7.0,53.0,20.0,34.0,2.0,3.0,14.0,73.0,109.0,27.0,87.0,100.0,t,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,novak-djokovic,N. Djokovic,australian-open,Round of 32,3.0,f,2000,3,02:21:00,183.0,0.0,8.0,18.0,0.0,0.0,231.0,3.0,3.0,57.0,96.0,34.0,57.0,20.0,39.0,7.0,12.0,13.0,70.0,11.0,55.0,16.0,32.0,0.0,6.0,13.0,54.0,96.0,27.0,87.0,81.0,f,f,21,f,Australia,3.0,18.0,8.0,0.0,292.0,2.0,3.0,55.0,87.0,44.0,55.0,16.0,32.0,6.0,6.0,13.0,169.0,23.0,57.0,19.0,39.0,5.0,12.0,13.0,60.0,87.0,42.0,96.0,102.0,t,f,t,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,albert-ramos-vinolas,A. Ramos-Vinolas,tim-smyczek,T. Smyczek,australian-open,Round of 64,3.0,f,2000,2,02:08:00,182.0,3.0,19.0,12.0,1.0,1.0,315.0,6.0,4.0,49.0,83.0,45.0,49.0,21.0,34.0,3.0,3.0,15.0,129.0,20.0,64.0,18.0,35.0,3.0,11.0,15.0,66.0,83.0,38.0,99.0,104.0,t,f,21,t,Australia,0.0,12.0,19.0,0.0,271.0,8.0,0.0,64.0,99.0,44.0,64.0,17.0,35.0,8.0,11.0,15.0,46.0,4.0,49.0,13.0,34.0,0.0,3.0,15.0,61.0,99.0,17.0,83.0,78.0,f,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,albert-ramos-viñolas,A. Ramos Viñolas,jared-donaldson,J. Donaldson,australian-open,Round of 128,3.0,f,2000,1,01:51:00,151.0,3.0,18.0,9.0,0.0,0.0,284.0,3.0,2.0,46.0,84.0,36.0,46.0,22.0,38.0,5.0,6.0,14.0,186.0,6.0,31.0,21.0,36.0,5.0,7.0,13.0,58.0,84.0,27.0,67.0,85.0,t,f,21,t,Australia,0.0,9.0,18.0,0.0,236.0,9.0,3.0,31.0,67.0,25.0,31.0,15.0,36.0,2.0,7.0,13.0,88.0,10.0,46.0,16.0,38.0,1.0,6.0,14.0,40.0,67.0,26.0,84.0,66.0,f,f,f,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,aldin-setkic,A. Setkic,john-patrick-smith,J. Smith,australian-open,1st Round Qualifying,3.0,f,2000,-2,01:57:00,173.0,1.0,12.0,18.0,1.0,1.0,270.0,4.0,2.0,58.0,85.0,36.0,58.0,18.0,27.0,0.0,4.0,14.0,76.0,13.0,62.0,9.0,26.0,1.0,7.0,15.0,54.0,85.0,22.0,88.0,76.0,f,f,,f,Australia,2.0,18.0,12.0,0.0,314.0,8.0,1.0,62.0,88.0,49.0,62.0,17.0,26.0,6.0,7.0,15.0,199.0,22.0,58.0,9.0,27.0,4.0,4.0,14.0,66.0,88.0,31.0,85.0,97.0,t,f,t,Australia
2018-01-15,2018-01-28,Australia,Hard,25096000.0,A$,2018,alejandro-gonzalez,A. Gonzalez,calvin-hemery-,C. Hemery,australian-open,2nd Round Qualifying,2.0,f,2000,-1,01:32:00,119.0,2.0,12.0,7.0,0.0,0.0,296.0,0.0,1.0,39.0,57.0,28.0,39.0,12.0,18.0,3.0,4.0,10.0,166.0,11.0,35.0,14.0,27.0,3.0,6.0,9.0,40.0,57.0,25.0,62.0,65.0,t,f,PR,t,Australia,0.0,7.0,12.0,0.0,238.0,4.0,5.0,35.0,62.0,24.0,35.0,13.0,27.0,3.0,6.0,9.0,96.0,11.0,39.0,6.0,18.0,1.0,4.0,10.0,37.0,62.0,17.0,57.0,54.0,f,f,f,Australia
