start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,bumpei-sato,B. Sato,kyle-edmund,K. Edmund,bangkok_challenger,Round of 32,2.0,f,100,3,00:55:00,88.0,0.0,1.0,12.0,0.0,0.0,151.0,1.0,2.0,30.0,55.0,14.0,30.0,9.0,25.0,5.0,11.0,7.0,54.0,2.0,19.0,6.0,14.0,0.0,1.0,6.0,23.0,55.0,8.0,33.0,31.0,f,f,,f,Thailand,2.0,12.0,1.0,0.0,304.0,3.0,3.0,19.0,33.0,17.0,19.0,8.0,14.0,1.0,1.0,6.0,257.0,16.0,30.0,16.0,25.0,6.0,11.0,7.0,25.0,33.0,32.0,55.0,57.0,t,f,t,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,bumpei-sato,,warot-udomsuk,,bangkok_challenger,1st Round Qualifying,1.0,f,100,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,3,,Thailand,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chaleechan-tanasugarn,C. Tanasugarn,peter-pornprayuth,P. Pornprayuth,bangkok_challenger,2nd Round Qualifying,2.0,f,100,1,00:38:00,60.0,2.0,8.0,1.0,0.0,0.0,366.0,3.0,0.0,12.0,17.0,11.0,12.0,5.0,5.0,0.0,0.0,4.0,236.0,10.0,22.0,14.0,21.0,4.0,9.0,5.0,16.0,17.0,24.0,43.0,40.0,t,t,,t,Thailand,0.0,1.0,8.0,0.0,155.0,0.0,4.0,22.0,43.0,12.0,22.0,7.0,21.0,5.0,9.0,5.0,8.0,1.0,12.0,0.0,5.0,0.0,0.0,4.0,19.0,43.0,1.0,17.0,20.0,f,t,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chaleechan-tanasugarn,C. Tanasugarn,phongsapak-kerdlaphee,P. Kerdlaphee,bangkok_challenger,1st Round Qualifying,2.0,f,100,0,01:37:00,172.0,2.0,14.0,12.0,2.0,2.0,253.0,5.0,4.0,60.0,82.0,43.0,60.0,9.0,22.0,6.0,10.0,12.0,145.0,9.0,40.0,29.0,50.0,4.0,13.0,12.0,52.0,82.0,38.0,90.0,90.0,t,f,,t,Thailand,0.0,12.0,14.0,0.0,238.0,14.0,6.0,40.0,90.0,31.0,40.0,21.0,50.0,9.0,13.0,12.0,160.0,17.0,60.0,13.0,22.0,4.0,10.0,12.0,52.0,90.0,30.0,82.0,82.0,f,f,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chaleechan-tanasugarn,C. Tanasugarn,sarvar-ikramov,S. Ikramov,bangkok_challenger,3rd Round Qualifying,3.0,f,100,2,02:13:00,203.0,2.0,17.0,13.0,1.0,1.0,274.0,16.0,4.0,61.0,110.0,43.0,61.0,28.0,49.0,9.0,12.0,15.0,170.0,21.0,58.0,17.0,35.0,4.0,7.0,14.0,71.0,110.0,38.0,93.0,109.0,t,f,,t,Thailand,1.0,13.0,17.0,0.0,248.0,5.0,5.0,58.0,93.0,37.0,58.0,18.0,35.0,3.0,7.0,14.0,118.0,18.0,61.0,21.0,49.0,3.0,12.0,15.0,55.0,93.0,39.0,110.0,94.0,f,f,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chaleechan-tanasugarn,C. Tanasugarn,sasi-kumar-mukund,S. Mukund,bangkok_challenger,Round of 32,3.0,f,100,3,01:33:00,158.0,1.0,9.0,15.0,0.0,0.0,185.0,0.0,4.0,55.0,78.0,30.0,55.0,7.0,23.0,5.0,13.0,12.0,185.0,18.0,50.0,19.0,30.0,5.0,11.0,12.0,37.0,78.0,37.0,80.0,74.0,f,f,Q,t,Thailand,2.0,15.0,9.0,0.0,229.0,10.0,3.0,50.0,80.0,32.0,50.0,11.0,30.0,6.0,11.0,12.0,243.0,25.0,55.0,16.0,23.0,8.0,13.0,12.0,43.0,80.0,41.0,78.0,84.0,t,f,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chayanon-kaewsuto,C. Kaewsuto,christopher-rungkat,C. Rungkat,bangkok_challenger,3rd Round Qualifying,2.0,f,100,2,01:18:00,112.0,0.0,6.0,13.0,0.0,0.0,208.0,2.0,2.0,34.0,67.0,23.0,34.0,13.0,33.0,8.0,13.0,10.0,162.0,5.0,26.0,6.0,19.0,1.0,1.0,9.0,36.0,67.0,11.0,45.0,47.0,f,f,WC,f,Thailand,2.0,13.0,6.0,0.0,298.0,3.0,0.0,26.0,45.0,21.0,26.0,13.0,19.0,0.0,1.0,9.0,181.0,11.0,34.0,20.0,33.0,5.0,13.0,10.0,34.0,45.0,31.0,67.0,65.0,t,f,t,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chayanon-kaewsuto,C. Kaewsuto,thammanoon-rungsawang,T. Rungsawang,bangkok_challenger,2nd Round Qualifying,2.0,f,100,1,00:34:00,67.0,2.0,12.0,1.0,0.0,0.0,316.0,0.0,3.0,23.0,36.0,18.0,23.0,10.0,13.0,0.0,0.0,7.0,292.0,9.0,17.0,13.0,14.0,5.0,8.0,6.0,28.0,36.0,22.0,31.0,50.0,t,f,WC,t,Thailand,0.0,1.0,12.0,0.0,118.0,0.0,7.0,17.0,31.0,8.0,17.0,1.0,14.0,3.0,8.0,6.0,45.0,5.0,23.0,3.0,13.0,0.0,0.0,7.0,9.0,31.0,8.0,36.0,17.0,f,f,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,chayanon-kaewsuto,C. Kaewsuto,warit-sornbutnark,W. Sornbutnark,bangkok_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,124.0,1.0,10.0,9.0,0.0,0.0,298.0,3.0,2.0,35.0,52.0,25.0,35.0,12.0,17.0,2.0,3.0,9.0,127.0,13.0,42.0,13.0,30.0,2.0,6.0,10.0,37.0,52.0,26.0,72.0,63.0,t,t,WC,t,Thailand,1.0,9.0,10.0,0.0,268.0,7.0,3.0,42.0,72.0,29.0,42.0,17.0,30.0,4.0,6.0,10.0,102.0,10.0,35.0,5.0,17.0,1.0,3.0,9.0,46.0,72.0,15.0,52.0,61.0,f,t,f,Thailand
2014-08-25,2014-08-31,Thailand,Hard,50000.0,$,2014,christopher-ho,C. Ho,nattan-benjasupawan,N. Benjasupawan,bangkok_challenger,1st Round Qualifying,2.0,f,100,0,01:09:00,123.0,0.0,8.0,13.0,0.0,1.0,182.0,3.0,8.0,41.0,68.0,22.0,41.0,9.0,27.0,3.0,9.0,10.0,179.0,8.0,25.0,17.0,30.0,4.0,8.0,10.0,31.0,68.0,25.0,55.0,56.0,f,f,,f,Thailand,2.0,13.0,8.0,1.0,210.0,1.0,7.0,25.0,55.0,17.0,25.0,13.0,30.0,4.0,8.0,10.0,240.0,19.0,41.0,18.0,27.0,6.0,9.0,10.0,30.0,55.0,37.0,68.0,67.0,t,f,t,Thailand
