,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,adam-el-mihdawy,A. El Mihdawy,marcelo-arevalo,M. Arevalo,barranquilla_challenger,Round of 32,1.0,f,100,3,00:16:00,21.0,0.0,0.0,3.0,0.0,0.0,92.0,0.0,4.0,5.0,9.0,2.0,5.0,0.0,4.0,0.0,1.0,1.0,50.0,1.0,4.0,2.0,8.0,0.0,0.0,2.0,2.0,9.0,3.0,12.0,5.0,f,t,,f,Colombia,1.0,3.0,0.0,0.0,284.0,1.0,0.0,4.0,12.0,3.0,4.0,6.0,8.0,0.0,0.0,2.0,360.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,9.0,12.0,7.0,9.0,16.0,t,t,t,Colombia
1,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,alejandro-gomez,A. Gomez,marcel-granollers,M. Granollers,barranquilla_challenger,Round of 32,2.0,f,100,3,01:20:00,103.0,0.0,4.0,12.0,0.0,0.0,200.0,1.0,4.0,24.0,53.0,15.0,24.0,13.0,29.0,2.0,6.0,8.0,65.0,8.0,36.0,6.0,14.0,0.0,2.0,8.0,28.0,53.0,14.0,50.0,42.0,f,f,,f,Colombia,2.0,12.0,4.0,0.0,308.0,1.0,0.0,36.0,50.0,28.0,36.0,8.0,14.0,2.0,2.0,8.0,210.0,9.0,24.0,16.0,29.0,4.0,6.0,8.0,36.0,50.0,25.0,53.0,61.0,t,f,t,Colombia
2,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,alejandro-gonzalez,A. Gonzalez,felipe-mantilla,F. Mantilla,barranquilla_challenger,Round of 32,2.0,f,100,3,01:18:00,106.0,2.0,12.0,5.0,0.0,0.0,282.0,6.0,1.0,38.0,55.0,30.0,38.0,7.0,17.0,1.0,2.0,9.0,203.0,14.0,33.0,12.0,18.0,4.0,9.0,8.0,37.0,55.0,26.0,51.0,63.0,t,f,5,t,Colombia,0.0,5.0,12.0,0.0,203.0,0.0,3.0,33.0,51.0,19.0,33.0,6.0,18.0,5.0,9.0,8.0,141.0,8.0,38.0,10.0,17.0,1.0,2.0,9.0,25.0,51.0,18.0,55.0,43.0,f,f,f,Colombia
3,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,alejandro-gonzalez,A. Gonzalez,rogerio-dutra-silva,R. Dutra Silva,barranquilla_challenger,Round of 16,2.0,f,100,4,01:43:00,129.0,0.0,8.0,12.0,0.0,0.0,241.0,3.0,3.0,34.0,60.0,23.0,34.0,12.0,26.0,3.0,6.0,10.0,101.0,9.0,36.0,17.0,33.0,1.0,7.0,10.0,35.0,60.0,26.0,69.0,61.0,f,f,5,f,Colombia,2.0,12.0,8.0,0.0,264.0,2.0,3.0,36.0,69.0,27.0,36.0,16.0,33.0,6.0,7.0,10.0,166.0,11.0,34.0,14.0,26.0,3.0,6.0,10.0,43.0,69.0,25.0,60.0,68.0,t,f,t,Colombia
4,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,andre-ghem,A. Ghem,guido-andreozzi,G. Andreozzi,barranquilla_challenger,Round of 32,2.0,f,100,3,01:38:00,134.0,1.0,11.0,11.0,0.0,0.0,240.0,3.0,4.0,40.0,70.0,30.0,40.0,11.0,30.0,5.0,8.0,11.0,166.0,4.0,28.0,18.0,36.0,3.0,4.0,11.0,41.0,70.0,22.0,64.0,63.0,t,t,6,f,Colombia,1.0,11.0,11.0,0.0,252.0,4.0,4.0,28.0,64.0,24.0,28.0,18.0,36.0,1.0,4.0,11.0,153.0,10.0,40.0,19.0,30.0,3.0,8.0,11.0,42.0,64.0,29.0,70.0,71.0,f,t,t,Colombia
5,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,andre-ghem,A. Ghem,juan-ignacio-londero,J. Londero,barranquilla_challenger,Round of 16,2.0,f,100,4,01:14:00,107.0,0.0,5.0,12.0,0.0,0.0,207.0,3.0,2.0,27.0,48.0,18.0,27.0,7.0,21.0,2.0,6.0,8.0,114.0,9.0,34.0,11.0,25.0,1.0,3.0,9.0,25.0,48.0,20.0,59.0,45.0,f,f,6,f,Colombia,2.0,12.0,5.0,0.0,273.0,2.0,5.0,34.0,59.0,25.0,34.0,14.0,25.0,2.0,3.0,9.0,217.0,9.0,27.0,14.0,21.0,4.0,6.0,8.0,39.0,59.0,23.0,48.0,62.0,t,f,t,Colombia
6,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,borna-coric,B. Coric,juan-ignacio-londero,J. Londero,barranquilla_challenger,Semi-Finals,2.0,f,100,6,01:12:00,98.0,2.0,12.0,5.0,0.0,0.0,303.0,3.0,2.0,32.0,54.0,28.0,32.0,12.0,22.0,2.0,2.0,9.0,197.0,6.0,24.0,12.0,20.0,3.0,4.0,8.0,40.0,54.0,18.0,44.0,58.0,t,f,1 WC,t,Colombia,0.0,5.0,12.0,0.0,228.0,1.0,5.0,24.0,44.0,18.0,24.0,8.0,20.0,1.0,4.0,8.0,58.0,4.0,32.0,10.0,22.0,0.0,2.0,9.0,26.0,44.0,14.0,54.0,40.0,f,f,f,Colombia
7,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,borna-coric,B. Coric,juan-sebastian-gomez,J. Gomez,barranquilla_challenger,Round of 16,2.0,f,100,4,02:23:00,191.0,2.0,14.0,11.0,1.0,1.0,199.0,2.0,6.0,60.0,102.0,42.0,60.0,10.0,42.0,9.0,15.0,12.0,222.0,28.0,63.0,19.0,26.0,7.0,15.0,12.0,52.0,102.0,47.0,89.0,99.0,t,f,1 WC,t,Colombia,0.0,11.0,14.0,0.0,186.0,0.0,9.0,63.0,89.0,35.0,63.0,7.0,26.0,8.0,15.0,12.0,196.0,18.0,60.0,32.0,42.0,6.0,15.0,12.0,42.0,89.0,50.0,102.0,92.0,f,f,f,Colombia
8,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,borna-coric,B. Coric,maximo-gonzalez,M. Gonzalez,barranquilla_challenger,Quarter-Finals,3.0,f,100,5,02:08:00,149.0,1.0,9.0,13.0,0.0,0.0,205.0,3.0,0.0,52.0,85.0,31.0,52.0,12.0,33.0,6.0,12.0,11.0,182.0,15.0,40.0,14.0,24.0,4.0,8.0,11.0,43.0,85.0,29.0,64.0,72.0,t,t,1 WC,f,Colombia,2.0,13.0,9.0,0.0,229.0,3.0,5.0,40.0,64.0,25.0,40.0,10.0,24.0,4.0,8.0,11.0,208.0,21.0,52.0,21.0,33.0,6.0,12.0,11.0,35.0,64.0,42.0,85.0,77.0,f,t,t,Colombia
9,2015-09-08,2015-09-13,Colombia,Clay,50000.0,$,2015,borna-coric,B. Coric,rogerio-dutra-silva,R. Dutra Silva,barranquilla_challenger,Finals,2.0,f,100,7,01:31:00,110.0,2.0,12.0,5.0,0.0,0.0,275.0,6.0,1.0,28.0,52.0,21.0,28.0,13.0,24.0,3.0,4.0,8.0,216.0,9.0,21.0,23.0,37.0,5.0,9.0,9.0,34.0,52.0,32.0,58.0,66.0,t,f,1 WC,t,Colombia,0.0,5.0,12.0,0.0,176.0,3.0,2.0,21.0,58.0,12.0,21.0,14.0,37.0,4.0,9.0,9.0,108.0,7.0,28.0,11.0,24.0,1.0,4.0,8.0,26.0,58.0,18.0,52.0,44.0,f,f,f,Colombia
