start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,adrian-bodmer,A. Bodmer,mikhail-kukushkin,M. Kukushkin,basel,1st Round Qualifying,2.0,f,500,1,01:30:00,132.0,0.0,8.0,13.0,0.0,0.0,225.0,7.0,2.0,28.0,65.0,22.0,28.0,14.0,37.0,4.0,8.0,10.0,130.0,10.0,39.0,13.0,28.0,2.0,5.0,11.0,36.0,65.0,23.0,67.0,59.0,f,f,WC,f,Switzerland,2.0,13.0,8.0,0.0,271.0,4.0,0.0,39.0,67.0,29.0,39.0,15.0,28.0,3.0,5.0,11.0,173.0,6.0,28.0,23.0,37.0,4.0,8.0,10.0,44.0,67.0,29.0,65.0,73.0,t,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,adrian-mannarino,A. Mannarino,denis-shapovalov,D. Shapovalov,basel,Round of 16,3.0,f,500,4,01:44:00,152.0,2.0,16.0,9.0,0.0,0.0,287.0,3.0,2.0,47.0,76.0,30.0,47.0,20.0,29.0,4.0,5.0,12.0,180.0,12.0,40.0,20.0,36.0,5.0,9.0,13.0,50.0,76.0,32.0,76.0,82.0,t,f,7,f,Switzerland,1.0,9.0,16.0,0.0,232.0,9.0,5.0,40.0,76.0,28.0,40.0,16.0,36.0,4.0,9.0,13.0,95.0,17.0,47.0,9.0,29.0,1.0,5.0,12.0,44.0,76.0,26.0,76.0,70.0,f,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,adrian-mannarino,A. Mannarino,roger-federer,R. Federer,basel,Quarter-Finals,3.0,f,500,5,01:43:00,155.0,1.0,10.0,16.0,0.0,0.0,241.0,1.0,1.0,42.0,83.0,26.0,42.0,24.0,41.0,4.0,8.0,13.0,100.0,6.0,38.0,15.0,34.0,1.0,3.0,13.0,50.0,83.0,21.0,72.0,71.0,f,f,7,t,Switzerland,2.0,16.0,10.0,0.0,295.0,12.0,2.0,38.0,72.0,32.0,38.0,19.0,34.0,2.0,3.0,13.0,159.0,16.0,42.0,17.0,41.0,4.0,8.0,13.0,51.0,72.0,33.0,83.0,84.0,t,f,f,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,adrian-mannarino,A. Mannarino,ruben-bemelmans,R. Bemelmans,basel,Round of 32,3.0,f,500,3,02:03:00,194.0,2.0,17.0,13.0,1.0,1.0,270.0,6.0,8.0,51.0,91.0,40.0,51.0,21.0,40.0,5.0,7.0,14.0,216.0,20.0,63.0,23.0,40.0,4.0,4.0,15.0,61.0,91.0,43.0,103.0,104.0,t,f,7,t,Switzerland,1.0,13.0,17.0,0.0,258.0,18.0,5.0,63.0,103.0,43.0,63.0,17.0,40.0,0.0,4.0,15.0,113.0,11.0,51.0,19.0,40.0,2.0,7.0,14.0,60.0,103.0,30.0,91.0,90.0,f,f,f,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,alexandr-dolgopolov,A. Dolgopolov,ryan-harrison,R. Harrison,basel,Round of 32,2.0,f,500,3,00:52:00,98.0,0.0,5.0,12.0,0.0,0.0,218.0,5.0,5.0,27.0,49.0,18.0,27.0,9.0,22.0,3.0,7.0,9.0,60.0,4.0,32.0,8.0,17.0,0.0,2.0,8.0,27.0,49.0,12.0,49.0,39.0,f,f,,f,Switzerland,2.0,12.0,5.0,0.0,311.0,7.0,2.0,32.0,49.0,28.0,32.0,9.0,17.0,2.0,2.0,8.0,193.0,9.0,27.0,13.0,22.0,4.0,7.0,9.0,37.0,49.0,22.0,49.0,59.0,t,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,benoit-paire,B. Paire,roger-federer,R. Federer,basel,Round of 16,2.0,f,500,4,00:58:00,105.0,0.0,4.0,12.0,0.0,0.0,206.0,4.0,2.0,28.0,49.0,18.0,28.0,7.0,21.0,5.0,9.0,8.0,65.0,10.0,34.0,8.0,22.0,0.0,0.0,8.0,25.0,49.0,18.0,56.0,43.0,f,f,,f,Switzerland,2.0,12.0,4.0,0.0,297.0,2.0,1.0,34.0,56.0,24.0,34.0,14.0,22.0,0.0,0.0,8.0,197.0,10.0,28.0,14.0,21.0,4.0,9.0,8.0,38.0,56.0,24.0,49.0,62.0,t,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,benoit-paire,B. Paire,steve-johnson,S. Johnson,basel,Round of 32,2.0,f,500,3,01:51:00,170.0,2.0,13.0,9.0,1.0,1.0,264.0,7.0,6.0,39.0,68.0,29.0,39.0,15.0,29.0,0.0,2.0,10.0,169.0,16.0,55.0,32.0,47.0,4.0,11.0,11.0,44.0,68.0,48.0,102.0,92.0,t,f,,t,Switzerland,0.0,9.0,13.0,0.0,215.0,5.0,10.0,55.0,102.0,39.0,55.0,15.0,47.0,7.0,11.0,11.0,194.0,10.0,39.0,14.0,29.0,2.0,2.0,10.0,54.0,102.0,24.0,68.0,78.0,f,f,f,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,borna-coric,B. Coric,henri-laaksonen,H. Laaksonen,basel,Round of 32,3.0,f,500,3,02:16:00,195.0,2.0,18.0,11.0,0.0,1.0,277.0,4.0,6.0,56.0,89.0,41.0,56.0,19.0,33.0,3.0,5.0,14.0,171.0,16.0,56.0,30.0,50.0,6.0,15.0,14.0,60.0,89.0,46.0,106.0,106.0,t,f,,f,Switzerland,1.0,11.0,18.0,1.0,218.0,9.0,12.0,56.0,106.0,40.0,56.0,20.0,50.0,9.0,15.0,14.0,123.0,15.0,56.0,14.0,33.0,2.0,5.0,14.0,60.0,106.0,29.0,89.0,89.0,f,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,borna-coric,B. Coric,marin-cilic,M. Cilic,basel,Round of 16,3.0,f,500,4,02:00:00,150.0,1.0,12.0,15.0,0.0,0.0,271.0,2.0,1.0,50.0,81.0,38.0,50.0,15.0,31.0,1.0,3.0,13.0,107.0,3.0,41.0,12.0,28.0,1.0,2.0,14.0,53.0,81.0,15.0,69.0,68.0,f,f,,f,Switzerland,2.0,15.0,12.0,0.0,305.0,10.0,6.0,41.0,69.0,38.0,41.0,16.0,28.0,1.0,2.0,14.0,158.0,12.0,50.0,16.0,31.0,2.0,3.0,13.0,54.0,69.0,28.0,81.0,82.0,t,f,t,Switzerland
2017-10-23,2017-10-29,Switzerland,Hard,1837425.0,€,2017,david-goffin,D. Goffin,hyeon-chung,H. Chung,basel,Round of 16,2.0,f,500,4,01:09:00,103.0,2.0,12.0,5.0,0.0,0.0,270.0,4.0,2.0,28.0,43.0,21.0,28.0,8.0,15.0,1.0,3.0,8.0,221.0,15.0,30.0,20.0,30.0,6.0,16.0,9.0,29.0,43.0,35.0,60.0,64.0,t,f,3,t,Switzerland,0.0,5.0,12.0,0.0,164.0,1.0,3.0,30.0,60.0,15.0,30.0,10.0,30.0,10.0,16.0,9.0,164.0,7.0,28.0,7.0,15.0,2.0,3.0,8.0,25.0,60.0,14.0,43.0,39.0,f,f,f,Switzerland
