,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,patrik-rosenholm,,andrew-coelho,,bastad,1st Round Qualifying,3.0,f,250,0,,,2.0,17.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Sweden,1.0,17.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Sweden
1,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,patrik-rosenholm,,lamine-ouahab,,bastad,2nd Round Qualifying,2.0,f,250,1,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Sweden,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Sweden
2,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,adam-vejmelka,,jesper-brunstrom,,bastad,1st Round Qualifying,2.0,f,250,0,,,2.0,12.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Sweden,0.0,4.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Sweden
3,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,adam-vejmelka,,peter-luczak,,bastad,2nd Round Qualifying,2.0,f,250,1,,,0.0,4.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,,f,Sweden,2.0,10.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,Sweden
4,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,alberto-martin,A. Martin,peter-luczak,P. Luczak,bastad,Round of 32,2.0,f,250,3,01:05:00,90.0,0.0,4.0,12.0,0.0,0.0,181.0,0.0,4.0,26.0,47.0,13.0,26.0,9.0,21.0,3.0,8.0,8.0,95.0,8.0,30.0,4.0,13.0,1.0,4.0,8.0,22.0,47.0,12.0,43.0,34.0,f,f,,f,Sweden,2.0,12.0,4.0,0.0,300.0,2.0,1.0,30.0,43.0,22.0,30.0,9.0,13.0,3.0,4.0,8.0,232.0,13.0,26.0,12.0,21.0,5.0,8.0,8.0,31.0,43.0,25.0,47.0,56.0,t,f,t,Sweden
5,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,anders-lindstrom,,markus-eriksson,,bastad,1st Round Qualifying,2.0,f,250,0,,,0.0,9.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Sweden,2.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Sweden
6,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,andreas-vinciguerra,A. Vinciguerra,florent-serra,F. Serra,bastad,Round of 32,3.0,f,250,3,02:25:00,236.0,2.0,18.0,14.0,0.0,1.0,286.0,9.0,5.0,84.0,127.0,62.0,84.0,21.0,43.0,15.0,16.0,16.0,132.0,26.0,75.0,15.0,34.0,3.0,9.0,15.0,83.0,127.0,41.0,109.0,124.0,t,f,WC,f,Sweden,1.0,14.0,18.0,1.0,270.0,2.0,2.0,75.0,109.0,49.0,75.0,19.0,34.0,6.0,9.0,15.0,89.0,22.0,84.0,22.0,43.0,1.0,16.0,16.0,68.0,109.0,44.0,127.0,112.0,f,f,t,Sweden
7,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,andreas-vinciguerra,A. Vinciguerra,guillermo-canas,G. Canas,bastad,Round of 16,3.0,f,250,4,02:43:00,186.0,2.0,18.0,14.0,0.0,1.0,298.0,1.0,1.0,62.0,89.0,47.0,62.0,16.0,27.0,2.0,3.0,15.0,154.0,14.0,47.0,21.0,50.0,4.0,7.0,16.0,63.0,89.0,35.0,97.0,98.0,t,f,WC,f,Sweden,1.0,14.0,18.0,1.0,250.0,4.0,5.0,47.0,97.0,33.0,47.0,29.0,50.0,3.0,7.0,16.0,104.0,15.0,62.0,11.0,27.0,1.0,3.0,15.0,62.0,97.0,26.0,89.0,88.0,f,f,t,Sweden
8,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,andreas-vinciguerra,A. Vinciguerra,jurgen-melzer,J. Melzer,bastad,Quarter-Finals,3.0,f,250,5,01:45:00,151.0,2.0,14.0,13.0,0.0,0.0,299.0,5.0,1.0,46.0,66.0,35.0,46.0,13.0,20.0,5.0,7.0,13.0,148.0,20.0,56.0,12.0,29.0,3.0,6.0,14.0,48.0,66.0,32.0,85.0,80.0,t,f,WC,f,Sweden,1.0,13.0,14.0,0.0,270.0,5.0,2.0,56.0,85.0,36.0,56.0,17.0,29.0,3.0,6.0,14.0,103.0,11.0,46.0,7.0,20.0,2.0,7.0,13.0,53.0,85.0,18.0,66.0,71.0,f,f,t,Sweden
9,2009-07-13,2009-07-19,Sweden,Clay,398250.0,€,2009,andreas-vinciguerra,A. Vinciguerra,robin-soderling,R. Soderling,bastad,Semi-Finals,2.0,f,250,6,01:23:00,134.0,0.0,7.0,13.0,0.0,1.0,240.0,6.0,2.0,52.0,71.0,34.0,52.0,6.0,19.0,6.0,9.0,9.0,124.0,3.0,36.0,15.0,27.0,1.0,2.0,10.0,40.0,71.0,18.0,63.0,58.0,f,f,WC,f,Sweden,2.0,13.0,7.0,1.0,289.0,7.0,1.0,36.0,63.0,33.0,36.0,12.0,27.0,1.0,2.0,10.0,169.0,18.0,52.0,13.0,19.0,3.0,9.0,9.0,45.0,63.0,31.0,71.0,76.0,t,f,t,Sweden
