,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,adam-el-mihdawy,A. El Mihdawy,jose-de-armas,J. De Armas,baton-rouge_challenger,1st Round Qualifying,2.0,f,100,0,01:12:00,125.0,0.0,6.0,13.0,0.0,0.0,194.0,2.0,3.0,31.0,60.0,19.0,31.0,11.0,29.0,8.0,13.0,9.0,122.0,11.0,38.0,13.0,27.0,2.0,8.0,10.0,30.0,60.0,24.0,65.0,54.0,f,f,,f,USA,2.0,13.0,6.0,0.0,258.0,3.0,6.0,38.0,65.0,27.0,38.0,14.0,27.0,6.0,8.0,10.0,194.0,12.0,31.0,18.0,29.0,5.0,13.0,9.0,41.0,65.0,30.0,60.0,71.0,t,f,t,USA
1,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,alexander-domijan,A. Domijan,daniel-evans,D. Evans,baton-rouge_challenger,Round of 32,2.0,f,100,3,01:22:00,131.0,2.0,12.0,7.0,0.0,0.0,300.0,4.0,1.0,42.0,64.0,32.0,42.0,12.0,22.0,6.0,6.0,9.0,187.0,21.0,53.0,8.0,14.0,3.0,5.0,10.0,44.0,64.0,29.0,67.0,73.0,t,f,WC,t,USA,0.0,7.0,12.0,0.0,253.0,4.0,3.0,53.0,67.0,32.0,53.0,6.0,14.0,2.0,5.0,10.0,69.0,10.0,42.0,10.0,22.0,0.0,6.0,9.0,38.0,67.0,20.0,64.0,58.0,f,f,f,USA
2,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,alexander-domijan,A. Domijan,robert-kendrick,R. Kendrick,baton-rouge_challenger,Round of 16,2.0,f,100,4,01:13:00,131.0,0.0,7.0,12.0,0.0,0.0,248.0,0.0,0.0,38.0,65.0,23.0,38.0,14.0,27.0,4.0,6.0,9.0,67.0,9.0,38.0,12.0,28.0,0.0,3.0,10.0,37.0,65.0,21.0,66.0,58.0,f,f,WC,f,USA,2.0,12.0,7.0,0.0,302.0,12.0,1.0,38.0,66.0,29.0,38.0,16.0,28.0,3.0,3.0,10.0,142.0,15.0,38.0,13.0,27.0,2.0,6.0,9.0,45.0,66.0,28.0,65.0,73.0,t,f,t,USA
3,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,alex-kuznetsov,A. Kuznetsov,brian-dabul,B. Dabul,baton-rouge_challenger,Round of 32,2.0,f,100,3,01:35:00,123.0,2.0,13.0,7.0,0.0,0.0,236.0,4.0,5.0,34.0,62.0,21.0,34.0,14.0,28.0,2.0,5.0,10.0,224.0,19.0,35.0,13.0,26.0,6.0,10.0,10.0,35.0,62.0,32.0,61.0,67.0,t,f,,t,USA,0.0,7.0,13.0,0.0,192.0,0.0,1.0,35.0,61.0,16.0,35.0,13.0,26.0,4.0,10.0,10.0,178.0,13.0,34.0,14.0,28.0,3.0,5.0,10.0,29.0,61.0,27.0,62.0,56.0,f,f,f,USA
4,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,alex-kuznetsov,A. Kuznetsov,go-soeda,G. Soeda,baton-rouge_challenger,Quarter-Finals,2.0,f,100,5,01:16:00,113.0,0.0,7.0,12.0,0.0,0.0,244.0,5.0,2.0,42.0,68.0,28.0,42.0,11.0,26.0,2.0,5.0,10.0,51.0,4.0,32.0,5.0,13.0,0.0,0.0,9.0,39.0,68.0,9.0,45.0,48.0,f,f,,f,USA,2.0,12.0,7.0,0.0,322.0,3.0,2.0,32.0,45.0,28.0,32.0,8.0,13.0,0.0,0.0,9.0,181.0,14.0,42.0,15.0,26.0,3.0,5.0,10.0,36.0,45.0,29.0,68.0,65.0,t,f,t,USA
5,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,alex-kuznetsov,A. Kuznetsov,tim-smyczek,T. Smyczek,baton-rouge_challenger,Round of 16,3.0,f,100,4,01:59:00,161.0,2.0,13.0,12.0,0.0,0.0,249.0,4.0,3.0,50.0,82.0,31.0,50.0,18.0,32.0,4.0,8.0,13.0,170.0,21.0,51.0,13.0,28.0,4.0,8.0,12.0,49.0,82.0,34.0,79.0,83.0,t,f,,t,USA,1.0,12.0,13.0,0.0,243.0,1.0,2.0,51.0,79.0,30.0,51.0,15.0,28.0,4.0,8.0,12.0,162.0,19.0,50.0,14.0,32.0,4.0,8.0,13.0,45.0,79.0,33.0,82.0,78.0,f,f,f,USA
6,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,ashwin-kumar,A. Kumar,michael-venus,M. Venus,baton-rouge_challenger,1st Round Qualifying,3.0,f,100,0,01:50:00,183.0,1.0,14.0,17.0,0.0,0.0,276.0,10.0,4.0,67.0,99.0,46.0,67.0,15.0,32.0,5.0,7.0,15.0,75.0,8.0,52.0,11.0,32.0,1.0,5.0,16.0,61.0,99.0,19.0,84.0,80.0,f,f,,f,USA,2.0,17.0,14.0,0.0,320.0,15.0,1.0,52.0,84.0,44.0,52.0,21.0,32.0,4.0,5.0,16.0,126.0,21.0,67.0,17.0,32.0,2.0,7.0,15.0,65.0,84.0,38.0,99.0,103.0,t,f,t,USA
7,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,blake-strode,B. Strode,david-martin,D. Martin,baton-rouge_challenger,2nd Round Qualifying,2.0,f,100,1,01:25:00,127.0,0.0,9.0,13.0,0.0,0.0,224.0,5.0,5.0,41.0,65.0,25.0,41.0,11.0,24.0,1.0,6.0,11.0,164.0,10.0,35.0,13.0,27.0,3.0,5.0,11.0,36.0,65.0,23.0,62.0,59.0,f,f,,f,USA,2.0,13.0,9.0,0.0,249.0,1.0,3.0,35.0,62.0,25.0,35.0,14.0,27.0,2.0,5.0,11.0,221.0,16.0,41.0,13.0,24.0,5.0,6.0,11.0,39.0,62.0,29.0,65.0,68.0,t,f,t,USA
8,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,blake-strode,B. Strode,piero-luisi,P. Luisi,baton-rouge_challenger,1st Round Qualifying,2.0,f,100,0,00:56:00,96.0,2.0,12.0,3.0,0.0,0.0,276.0,5.0,4.0,27.0,41.0,22.0,27.0,6.0,14.0,1.0,2.0,7.0,229.0,19.0,32.0,13.0,23.0,6.0,16.0,8.0,28.0,41.0,32.0,55.0,60.0,t,f,,t,USA,0.0,3.0,12.0,0.0,165.0,0.0,2.0,32.0,55.0,13.0,32.0,10.0,23.0,10.0,16.0,8.0,140.0,5.0,27.0,8.0,14.0,1.0,2.0,7.0,23.0,55.0,13.0,41.0,36.0,f,f,f,USA
9,2010-04-12,2010-04-18,USA,Hard,50000.0,$,2010,bobby-reynolds,B. Reynolds,cecil-mamiit,C. Mamiit,baton-rouge_challenger,Round of 32,3.0,f,100,3,02:39:00,213.0,1.0,15.0,17.0,0.0,0.0,236.0,2.0,3.0,65.0,92.0,41.0,65.0,11.0,27.0,5.0,11.0,16.0,159.0,24.0,62.0,30.0,59.0,5.0,13.0,16.0,52.0,92.0,54.0,121.0,106.0,f,f,WC,t,USA,2.0,17.0,15.0,0.0,237.0,9.0,1.0,62.0,121.0,38.0,62.0,29.0,59.0,8.0,13.0,16.0,188.0,24.0,65.0,16.0,27.0,6.0,11.0,16.0,67.0,121.0,40.0,92.0,107.0,t,f,f,USA
