start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,amir-weintraub,A. Weintraub,mao-xin-gong,M. Gong,beijing_challenger,Round of 32,3.0,f,100,3,02:25:00,194.0,1.0,16.0,17.0,0.0,1.0,286.0,13.0,3.0,61.0,96.0,45.0,61.0,20.0,35.0,4.0,7.0,16.0,133.0,16.0,65.0,17.0,33.0,3.0,8.0,16.0,65.0,96.0,33.0,98.0,98.0,f,f,4,f,China,2.0,17.0,16.0,1.0,273.0,4.0,1.0,65.0,98.0,49.0,65.0,16.0,33.0,5.0,8.0,16.0,130.0,16.0,61.0,15.0,35.0,3.0,7.0,16.0,65.0,98.0,31.0,96.0,96.0,t,f,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,andrey-kumantsov,A. Kumantsov,dudi-sela,D. Sela,beijing_challenger,Round of 32,2.0,f,100,3,00:55:00,89.0,0.0,4.0,10.0,0.0,0.0,203.0,1.0,3.0,38.0,53.0,24.0,38.0,2.0,15.0,5.0,8.0,7.0,44.0,3.0,23.0,4.0,13.0,0.0,0.0,7.0,26.0,53.0,7.0,36.0,33.0,f,t,,f,China,2.0,10.0,4.0,0.0,320.0,2.0,2.0,23.0,36.0,20.0,23.0,9.0,13.0,0.0,0.0,7.0,204.0,14.0,38.0,13.0,15.0,3.0,8.0,7.0,29.0,36.0,27.0,53.0,56.0,t,t,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,bolun-zhang,B. Zhang,yang-lu,Y. Lu,beijing_challenger,1st Round Qualifying,2.0,f,100,0,01:19:00,83.0,0.0,3.0,10.0,0.0,0.0,139.0,0.0,1.0,22.0,40.0,7.0,22.0,7.0,18.0,2.0,8.0,7.0,161.0,6.0,26.0,11.0,17.0,2.0,5.0,6.0,14.0,40.0,17.0,43.0,31.0,f,t,WC,f,China,2.0,10.0,3.0,0.0,241.0,5.0,2.0,26.0,43.0,20.0,26.0,6.0,17.0,3.0,5.0,6.0,289.0,15.0,22.0,11.0,18.0,6.0,8.0,7.0,26.0,43.0,26.0,40.0,52.0,t,t,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,bowen-ouyang,B. Ouyang,kittipong-wachiramanowong,K. Wachiramanowong,beijing_challenger,1st Round Qualifying,2.0,f,100,0,01:27:00,113.0,0.0,5.0,12.0,0.0,0.0,192.0,5.0,7.0,36.0,67.0,23.0,36.0,10.0,31.0,4.0,9.0,9.0,180.0,5.0,25.0,10.0,21.0,1.0,1.0,8.0,33.0,67.0,15.0,46.0,48.0,f,f,,f,China,2.0,12.0,5.0,0.0,273.0,1.0,1.0,25.0,46.0,20.0,25.0,11.0,21.0,0.0,1.0,8.0,215.0,13.0,36.0,21.0,31.0,5.0,9.0,9.0,31.0,46.0,34.0,67.0,65.0,t,f,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,bumpei-sato,,liang-chi-huang,,beijing_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,China,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,chuhan-wang,C. Wang,yuichi-ito,Y. Ito,beijing_challenger,1st Round Qualifying,3.0,f,100,0,02:05:00,176.0,1.0,10.0,15.0,0.0,0.0,239.0,1.0,1.0,55.0,85.0,34.0,55.0,13.0,30.0,9.0,13.0,13.0,91.0,23.0,60.0,11.0,31.0,1.0,10.0,12.0,47.0,85.0,34.0,91.0,81.0,f,f,,t,China,2.0,15.0,10.0,0.0,284.0,2.0,2.0,60.0,91.0,37.0,60.0,20.0,31.0,9.0,10.0,12.0,156.0,21.0,55.0,17.0,30.0,4.0,13.0,13.0,57.0,91.0,38.0,85.0,95.0,t,f,f,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,chu-huan-yi,C. Yi,junn-mitsuhashi,J. Mitsuhashi,beijing_challenger,3rd Round Qualifying,2.0,f,100,2,02:00:00,126.0,0.0,8.0,12.0,0.0,0.0,242.0,1.0,6.0,41.0,62.0,28.0,41.0,9.0,21.0,2.0,5.0,10.0,112.0,5.0,38.0,18.0,26.0,1.0,5.0,10.0,37.0,62.0,23.0,64.0,60.0,f,f,,f,China,2.0,12.0,8.0,0.0,273.0,7.0,1.0,38.0,64.0,33.0,38.0,8.0,26.0,4.0,5.0,10.0,179.0,13.0,41.0,12.0,21.0,3.0,5.0,10.0,41.0,64.0,25.0,62.0,66.0,t,f,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,chu-huan-yi,C. Yi,kittipong-wachiramanowong,K. Wachiramanowong,beijing_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,118.0,2.0,12.0,7.0,0.0,0.0,311.0,6.0,0.0,53.0,70.0,37.0,53.0,10.0,17.0,5.0,5.0,10.0,121.0,12.0,37.0,3.0,11.0,2.0,5.0,9.0,47.0,70.0,15.0,48.0,62.0,t,f,,t,China,0.0,7.0,12.0,0.0,299.0,4.0,0.0,37.0,48.0,25.0,37.0,8.0,11.0,3.0,5.0,9.0,71.0,16.0,53.0,7.0,17.0,0.0,5.0,10.0,33.0,48.0,23.0,70.0,56.0,f,f,f,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,chu-huan-yi,C. Yi,xin-gao,X. Gao,beijing_challenger,1st Round Qualifying,3.0,f,100,0,02:20:00,159.0,2.0,16.0,10.0,0.0,0.0,258.0,4.0,5.0,42.0,71.0,32.0,42.0,14.0,29.0,1.0,4.0,13.0,210.0,24.0,54.0,18.0,34.0,6.0,9.0,13.0,46.0,71.0,42.0,88.0,88.0,t,f,,f,China,1.0,10.0,16.0,0.0,216.0,0.0,1.0,54.0,88.0,30.0,54.0,16.0,34.0,3.0,9.0,13.0,174.0,10.0,42.0,15.0,29.0,3.0,4.0,13.0,46.0,88.0,25.0,71.0,71.0,f,f,t,China
2011-08-01,2011-08-07,China,Hard,75000.0,$,2011,chun-ming-yam,C. Yam,kento-takeuchi,K. Takeuchi,beijing_challenger,1st Round Qualifying,2.0,f,100,0,01:08:00,81.0,0.0,1.0,12.0,0.0,0.0,186.0,1.0,1.0,33.0,46.0,7.0,33.0,10.0,13.0,7.0,12.0,6.0,42.0,2.0,19.0,5.0,16.0,0.0,0.0,7.0,17.0,46.0,7.0,35.0,24.0,f,f,WC,f,China,2.0,12.0,1.0,0.0,312.0,1.0,1.0,19.0,35.0,17.0,19.0,11.0,16.0,0.0,0.0,7.0,227.0,26.0,33.0,3.0,13.0,5.0,12.0,6.0,28.0,35.0,29.0,46.0,57.0,t,f,t,China
