start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,aleksander-slovic,A. Slovic,jan-minar,J. Minar,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,00:59:00,108.0,0.0,8.0,13.0,0.0,0.0,254.0,6.0,1.0,34.0,51.0,24.0,34.0,7.0,17.0,2.0,5.0,10.0,166.0,8.0,37.0,7.0,20.0,1.0,1.0,11.0,31.0,51.0,15.0,57.0,46.0,f,f,,f,Serbia,2.0,13.0,8.0,0.0,305.0,9.0,2.0,37.0,57.0,29.0,37.0,13.0,20.0,0.0,1.0,11.0,178.0,10.0,34.0,10.0,17.0,3.0,5.0,10.0,42.0,57.0,20.0,51.0,62.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alexander-sadecky,A. Sadecky,ivan-zovko,I. Zovko,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,01:28:00,165.0,0.0,9.0,13.0,0.0,1.0,250.0,6.0,7.0,54.0,89.0,36.0,54.0,18.0,35.0,9.0,12.0,11.0,107.0,19.0,58.0,8.0,18.0,1.0,5.0,10.0,54.0,89.0,27.0,76.0,81.0,f,f,7,f,Serbia,2.0,13.0,9.0,1.0,286.0,3.0,6.0,58.0,76.0,39.0,58.0,10.0,18.0,4.0,5.0,10.0,134.0,18.0,54.0,17.0,35.0,3.0,12.0,11.0,49.0,76.0,35.0,89.0,84.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alexandre-sidorenko,A. Sidorenko,andrey-golubev,A. Golubev,belgrade_challenger,Round of 32,2.0,f,100,3,00:59:00,104.0,0.0,6.0,12.0,0.0,0.0,231.0,2.0,3.0,30.0,52.0,19.0,30.0,10.0,22.0,1.0,4.0,9.0,58.0,4.0,32.0,9.0,20.0,0.0,1.0,9.0,29.0,52.0,13.0,52.0,42.0,f,f,,f,Serbia,2.0,12.0,6.0,0.0,316.0,13.0,2.0,32.0,52.0,28.0,32.0,11.0,20.0,1.0,1.0,9.0,200.0,11.0,30.0,12.0,22.0,3.0,4.0,9.0,39.0,52.0,23.0,52.0,62.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alex-bogdanovic,A. Bogdanovic,filip-krajinovic,F. Krajinovic,belgrade_challenger,Round of 16,2.0,f,100,4,01:20:00,129.0,2.0,12.0,7.0,0.0,0.0,329.0,10.0,0.0,38.0,55.0,30.0,38.0,12.0,17.0,2.0,2.0,10.0,137.0,14.0,45.0,16.0,29.0,2.0,7.0,9.0,42.0,55.0,30.0,74.0,72.0,t,f,,t,Serbia,0.0,7.0,12.0,0.0,253.0,4.0,3.0,45.0,74.0,31.0,45.0,13.0,29.0,5.0,7.0,9.0,50.0,8.0,38.0,5.0,17.0,0.0,2.0,10.0,44.0,74.0,13.0,55.0,57.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alex-bogdanovic,A. Bogdanovic,ilija-bozoljac,I. Bozoljac,belgrade_challenger,Semi-Finals,2.0,f,100,6,01:43:00,159.0,0.0,11.0,14.0,0.0,1.0,268.0,7.0,3.0,51.0,85.0,37.0,51.0,19.0,34.0,8.0,11.0,12.0,125.0,7.0,48.0,14.0,26.0,2.0,5.0,12.0,56.0,85.0,21.0,74.0,77.0,f,f,,f,Serbia,2.0,14.0,11.0,1.0,291.0,17.0,5.0,48.0,74.0,41.0,48.0,12.0,26.0,3.0,5.0,12.0,123.0,14.0,51.0,15.0,34.0,3.0,11.0,12.0,53.0,74.0,29.0,85.0,82.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alex-bogdanovic,A. Bogdanovic,julian-reister,J. Reister,belgrade_challenger,Round of 32,3.0,f,100,3,02:10:00,203.0,2.0,18.0,14.0,0.0,1.0,301.0,8.0,3.0,83.0,114.0,62.0,83.0,15.0,31.0,7.0,7.0,16.0,115.0,18.0,68.0,9.0,21.0,2.0,6.0,15.0,77.0,114.0,27.0,89.0,104.0,t,f,,f,Serbia,1.0,14.0,18.0,1.0,294.0,4.0,3.0,68.0,89.0,50.0,68.0,12.0,21.0,4.0,6.0,15.0,77.0,21.0,83.0,16.0,31.0,0.0,7.0,16.0,62.0,89.0,37.0,114.0,99.0,f,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alex-bogdanovic,A. Bogdanovic,michal-przysiezny,M. Przysiezny,belgrade_challenger,Quarter-Finals,2.0,f,100,5,01:18:00,130.0,2.0,13.0,9.0,1.0,1.0,333.0,11.0,3.0,41.0,61.0,38.0,41.0,13.0,20.0,0.0,0.0,11.0,88.0,8.0,45.0,11.0,24.0,1.0,7.0,10.0,51.0,61.0,19.0,69.0,70.0,t,f,,t,Serbia,0.0,9.0,13.0,0.0,299.0,11.0,3.0,45.0,69.0,37.0,45.0,13.0,24.0,6.0,7.0,10.0,42.0,3.0,41.0,7.0,20.0,0.0,0.0,11.0,50.0,69.0,10.0,61.0,60.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,alex-kuznetsov,A. Kuznetsov,filip-prpic,F. Prpic,belgrade_challenger,Round of 32,2.0,f,100,3,00:56:00,90.0,0.0,4.0,12.0,0.0,0.0,229.0,3.0,1.0,30.0,45.0,13.0,30.0,10.0,15.0,1.0,5.0,8.0,57.0,5.0,30.0,6.0,15.0,0.0,1.0,8.0,23.0,45.0,11.0,45.0,34.0,f,f,AL,f,Serbia,2.0,12.0,4.0,0.0,312.0,3.0,1.0,30.0,45.0,25.0,30.0,9.0,15.0,1.0,1.0,8.0,220.0,17.0,30.0,5.0,15.0,4.0,5.0,8.0,34.0,45.0,22.0,45.0,56.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,andrey-golubev,A. Golubev,gilles-muller,G. Muller,belgrade_challenger,Round of 16,2.0,f,100,4,01:16:00,135.0,2.0,13.0,9.0,1.0,1.0,321.0,10.0,2.0,35.0,65.0,31.0,35.0,21.0,30.0,0.0,0.0,11.0,94.0,7.0,42.0,14.0,28.0,1.0,6.0,10.0,52.0,65.0,21.0,70.0,73.0,t,f,2,t,Serbia,0.0,9.0,13.0,0.0,295.0,13.0,1.0,42.0,70.0,35.0,42.0,14.0,28.0,5.0,6.0,10.0,41.0,4.0,35.0,9.0,30.0,0.0,0.0,11.0,49.0,70.0,13.0,65.0,62.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,andrey-golubev,A. Golubev,ilija-bozoljac,I. Bozoljac,belgrade_challenger,Quarter-Finals,2.0,f,100,5,01:08:00,114.0,0.0,7.0,11.0,0.0,0.0,241.0,3.0,7.0,40.0,74.0,29.0,40.0,14.0,34.0,9.0,11.0,9.0,22.0,2.0,26.0,2.0,14.0,0.0,0.0,9.0,43.0,74.0,4.0,40.0,47.0,f,t,2,f,Serbia,2.0,11.0,7.0,0.0,354.0,12.0,1.0,26.0,40.0,24.0,26.0,12.0,14.0,0.0,0.0,9.0,127.0,11.0,40.0,20.0,34.0,2.0,11.0,9.0,36.0,40.0,31.0,74.0,67.0,t,t,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,arsenije-zlatanovic,A. Zlatanovic,evgeny-donskoy,E. Donskoy,belgrade_challenger,2nd Round Qualifying,2.0,f,100,1,01:07:00,113.0,0.0,8.0,12.0,0.0,0.0,285.0,5.0,1.0,46.0,60.0,31.0,46.0,8.0,14.0,4.0,6.0,10.0,45.0,1.0,29.0,10.0,24.0,0.0,2.0,10.0,39.0,60.0,11.0,53.0,50.0,f,f,,f,Serbia,2.0,12.0,8.0,0.0,321.0,12.0,1.0,29.0,53.0,28.0,29.0,14.0,24.0,2.0,2.0,10.0,129.0,15.0,46.0,6.0,14.0,2.0,6.0,10.0,42.0,53.0,21.0,60.0,63.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,arsenije-zlatanovic,A. Zlatanovic,nebojsa-peric,N. Peric,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,89.0,2.0,12.0,1.0,0.0,0.0,313.0,6.0,0.0,27.0,46.0,20.0,27.0,14.0,19.0,4.0,4.0,7.0,258.0,16.0,28.0,11.0,15.0,5.0,11.0,6.0,34.0,46.0,27.0,43.0,61.0,t,f,,t,Serbia,0.0,1.0,12.0,0.0,149.0,0.0,2.0,28.0,43.0,12.0,28.0,4.0,15.0,6.0,11.0,6.0,52.0,7.0,27.0,5.0,19.0,0.0,4.0,7.0,16.0,43.0,12.0,46.0,28.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,bjorn-phau,B. Phau,lukas-rosol,L. Rosol,belgrade_challenger,Round of 32,3.0,f,100,3,01:50:00,194.0,1.0,13.0,19.0,1.0,2.0,212.0,8.0,6.0,54.0,97.0,32.0,54.0,18.0,43.0,6.0,13.0,15.0,203.0,18.0,54.0,19.0,43.0,4.0,4.0,15.0,50.0,97.0,37.0,97.0,87.0,f,f,5,t,Serbia,2.0,19.0,13.0,1.0,258.0,7.0,1.0,54.0,97.0,36.0,54.0,24.0,43.0,0.0,4.0,15.0,199.0,22.0,54.0,25.0,43.0,7.0,13.0,15.0,60.0,97.0,47.0,97.0,107.0,t,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,brendan-evans,B. Evans,michael-lammer,M. Lammer,belgrade_challenger,Round of 32,2.0,f,100,3,00:51:00,89.0,0.0,4.0,12.0,0.0,0.0,194.0,2.0,6.0,24.0,50.0,13.0,24.0,12.0,26.0,5.0,9.0,8.0,34.0,5.0,24.0,2.0,15.0,0.0,0.0,8.0,25.0,50.0,7.0,39.0,32.0,f,f,,f,Serbia,2.0,12.0,4.0,0.0,332.0,4.0,0.0,24.0,39.0,19.0,24.0,13.0,15.0,0.0,0.0,8.0,194.0,11.0,24.0,14.0,26.0,4.0,9.0,8.0,32.0,39.0,25.0,50.0,57.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,clinton-thomson,C. Thomson,goran-tosic,G. Tosic,belgrade_challenger,1st Round Qualifying,3.0,f,100,0,02:11:00,239.0,1.0,16.0,19.0,1.0,2.0,315.0,27.0,1.0,71.0,116.0,56.0,71.0,25.0,45.0,6.0,7.0,16.0,75.0,15.0,78.0,25.0,45.0,0.0,9.0,17.0,81.0,116.0,40.0,123.0,121.0,f,f,,t,Serbia,2.0,19.0,16.0,1.0,299.0,15.0,4.0,78.0,123.0,63.0,78.0,20.0,45.0,9.0,9.0,17.0,85.0,15.0,71.0,20.0,45.0,1.0,7.0,16.0,83.0,123.0,35.0,116.0,118.0,t,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,dieter-kindlmann,D. Kindlmann,michal-przysiezny,M. Przysiezny,belgrade_challenger,Round of 16,2.0,f,100,4,01:10:00,118.0,0.0,8.0,13.0,0.0,0.0,248.0,5.0,3.0,27.0,55.0,19.0,27.0,16.0,28.0,2.0,5.0,10.0,126.0,7.0,36.0,13.0,27.0,1.0,2.0,11.0,35.0,55.0,20.0,63.0,55.0,f,f,,f,Serbia,2.0,13.0,8.0,0.0,296.0,22.0,6.0,36.0,63.0,29.0,36.0,14.0,27.0,1.0,2.0,11.0,163.0,8.0,27.0,12.0,28.0,3.0,5.0,10.0,43.0,63.0,20.0,55.0,63.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,dieter-kindlmann,D. Kindlmann,raemon-sluiter,R. Sluiter,belgrade_challenger,Round of 32,2.0,f,100,3,00:55:00,103.0,2.0,12.0,6.0,0.0,0.0,315.0,5.0,3.0,26.0,46.0,25.0,26.0,12.0,20.0,1.0,1.0,9.0,180.0,10.0,35.0,15.0,22.0,3.0,6.0,9.0,37.0,46.0,25.0,57.0,62.0,t,f,,t,Serbia,0.0,6.0,12.0,0.0,237.0,10.0,3.0,35.0,57.0,25.0,35.0,7.0,22.0,3.0,6.0,9.0,44.0,1.0,26.0,8.0,20.0,0.0,1.0,9.0,32.0,57.0,9.0,46.0,41.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,dominik-hrbaty,D. Hrbaty,dustin-brown,D. Brown,belgrade_challenger,Round of 32,2.0,f,100,3,00:47:00,96.0,2.0,12.0,5.0,0.0,0.0,313.0,7.0,0.0,32.0,55.0,25.0,32.0,16.0,23.0,1.0,1.0,9.0,228.0,10.0,26.0,8.0,15.0,3.0,3.0,8.0,41.0,55.0,18.0,41.0,59.0,t,f,,t,Serbia,0.0,5.0,12.0,0.0,240.0,7.0,1.0,26.0,41.0,16.0,26.0,7.0,15.0,0.0,3.0,8.0,52.0,7.0,32.0,7.0,23.0,0.0,1.0,9.0,23.0,41.0,14.0,55.0,37.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,dominik-hrbaty,D. Hrbaty,ilija-bozoljac,I. Bozoljac,belgrade_challenger,Round of 16,2.0,f,100,4,01:29:00,136.0,0.0,10.0,13.0,0.0,1.0,273.0,4.0,5.0,35.0,69.0,28.0,35.0,18.0,34.0,2.0,3.0,11.0,54.0,4.0,42.0,11.0,25.0,0.0,2.0,11.0,46.0,69.0,15.0,67.0,61.0,f,f,,f,Serbia,2.0,13.0,10.0,1.0,320.0,14.0,3.0,42.0,67.0,38.0,42.0,14.0,25.0,2.0,2.0,11.0,109.0,7.0,35.0,16.0,34.0,1.0,3.0,11.0,52.0,67.0,23.0,69.0,75.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,dusan-lajovic,D. Lajovic,stefan-koubek,S. Koubek,belgrade_challenger,Round of 32,2.0,f,100,3,01:09:00,113.0,0.0,7.0,12.0,0.0,0.0,258.0,1.0,3.0,29.0,52.0,23.0,29.0,11.0,23.0,2.0,4.0,9.0,63.0,5.0,39.0,11.0,22.0,0.0,3.0,10.0,34.0,52.0,16.0,61.0,50.0,f,f,WC,f,Serbia,2.0,12.0,7.0,0.0,303.0,3.0,1.0,39.0,61.0,34.0,39.0,11.0,22.0,3.0,3.0,10.0,145.0,6.0,29.0,12.0,23.0,2.0,4.0,9.0,45.0,61.0,18.0,52.0,63.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,evgeny-donskoy,E. Donskoy,jan-minar,J. Minar,belgrade_challenger,3rd Round Qualifying,2.0,f,100,2,00:53:00,92.0,0.0,5.0,12.0,0.0,0.0,243.0,6.0,0.0,25.0,44.0,19.0,25.0,8.0,19.0,2.0,5.0,8.0,47.0,6.0,34.0,4.0,14.0,0.0,1.0,9.0,27.0,44.0,10.0,48.0,37.0,f,f,,f,Serbia,2.0,12.0,5.0,0.0,327.0,7.0,4.0,34.0,48.0,28.0,34.0,10.0,14.0,1.0,1.0,9.0,179.0,6.0,25.0,11.0,19.0,3.0,5.0,8.0,38.0,48.0,17.0,44.0,55.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,evgeny-donskoy,E. Donskoy,milos-raonic,M. Raonic,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,136.0,2.0,12.0,8.0,0.0,0.0,315.0,7.0,3.0,34.0,58.0,29.0,34.0,16.0,24.0,2.0,2.0,10.0,124.0,13.0,45.0,18.0,33.0,2.0,10.0,10.0,45.0,58.0,31.0,78.0,76.0,t,f,,t,Serbia,0.0,8.0,12.0,0.0,265.0,16.0,5.0,45.0,78.0,32.0,45.0,15.0,33.0,8.0,10.0,10.0,48.0,5.0,34.0,8.0,24.0,0.0,2.0,10.0,47.0,78.0,13.0,58.0,60.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,filip-krajinovic,F. Krajinovic,somdev-devvarman,S. Devvarman,belgrade_challenger,Round of 32,3.0,f,100,3,02:15:00,200.0,2.0,16.0,15.0,1.0,1.0,272.0,8.0,4.0,52.0,91.0,40.0,52.0,19.0,39.0,3.0,5.0,14.0,138.0,19.0,62.0,24.0,47.0,3.0,8.0,16.0,59.0,91.0,43.0,109.0,102.0,t,f,WC,f,Serbia,1.0,15.0,16.0,0.0,255.0,4.0,5.0,62.0,109.0,43.0,62.0,23.0,47.0,5.0,8.0,16.0,128.0,12.0,52.0,20.0,39.0,2.0,5.0,14.0,66.0,109.0,32.0,91.0,98.0,f,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,filip-prpic,F. Prpic,ilya-belyaev,I. Belyaev,belgrade_challenger,2nd Round Qualifying,2.0,f,100,1,01:03:00,110.0,2.0,12.0,8.0,0.0,0.0,292.0,2.0,1.0,38.0,60.0,28.0,38.0,14.0,22.0,2.0,3.0,10.0,205.0,3.0,22.0,17.0,28.0,3.0,3.0,10.0,42.0,60.0,20.0,50.0,62.0,t,f,4,t,Serbia,0.0,8.0,12.0,0.0,249.0,11.0,1.0,22.0,50.0,19.0,22.0,11.0,28.0,0.0,3.0,10.0,105.0,10.0,38.0,8.0,22.0,1.0,3.0,10.0,30.0,50.0,18.0,60.0,48.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,filip-prpic,F. Prpic,ivan-bjelica,I. Bjelica,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,107.0,2.0,12.0,6.0,0.0,0.0,308.0,4.0,3.0,29.0,52.0,26.0,29.0,14.0,23.0,1.0,1.0,9.0,174.0,15.0,37.0,9.0,18.0,3.0,6.0,9.0,40.0,52.0,24.0,55.0,64.0,t,f,4,t,Serbia,0.0,6.0,12.0,0.0,246.0,4.0,0.0,37.0,55.0,22.0,37.0,9.0,18.0,3.0,6.0,9.0,49.0,3.0,29.0,9.0,23.0,0.0,1.0,9.0,31.0,55.0,12.0,52.0,43.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,filip-prpic,F. Prpic,karol-beck,K. Beck,belgrade_challenger,Round of 16,3.0,f,100,4,01:39:00,153.0,1.0,13.0,16.0,0.0,0.0,246.0,5.0,1.0,48.0,78.0,35.0,48.0,14.0,30.0,3.0,9.0,15.0,185.0,7.0,37.0,22.0,38.0,4.0,5.0,14.0,49.0,78.0,29.0,75.0,78.0,f,f,Q,f,Serbia,2.0,16.0,13.0,0.0,253.0,13.0,3.0,37.0,75.0,30.0,37.0,16.0,38.0,1.0,5.0,14.0,187.0,13.0,48.0,16.0,30.0,6.0,9.0,15.0,46.0,75.0,29.0,78.0,75.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,filip-prpic,F. Prpic,sebastian-rieschick,S. Rieschick,belgrade_challenger,3rd Round Qualifying,2.0,f,100,2,01:10:00,129.0,2.0,13.0,9.0,0.0,0.0,289.0,6.0,2.0,41.0,63.0,29.0,41.0,15.0,22.0,2.0,4.0,11.0,176.0,13.0,39.0,17.0,27.0,4.0,9.0,11.0,44.0,63.0,30.0,66.0,74.0,t,f,4,t,Serbia,0.0,9.0,13.0,0.0,229.0,8.0,5.0,39.0,66.0,26.0,39.0,10.0,27.0,5.0,9.0,11.0,129.0,12.0,41.0,7.0,22.0,2.0,4.0,11.0,36.0,66.0,19.0,63.0,55.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,franko-skugor,F. Skugor,nemanja-lazic,N. Lazic,belgrade_challenger,1st Round Qualifying,2.0,f,100,0,00:47:00,93.0,2.0,12.0,4.0,0.0,0.0,329.0,12.0,1.0,26.0,40.0,25.0,26.0,8.0,14.0,0.0,0.0,8.0,184.0,11.0,26.0,16.0,27.0,4.0,12.0,8.0,33.0,40.0,27.0,53.0,60.0,t,f,,t,Serbia,0.0,4.0,12.0,0.0,194.0,0.0,4.0,26.0,53.0,15.0,26.0,11.0,27.0,8.0,12.0,8.0,47.0,1.0,26.0,6.0,14.0,0.0,0.0,8.0,26.0,53.0,7.0,40.0,33.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,franko-skugor,F. Skugor,simon-stadler,S. Stadler,belgrade_challenger,2nd Round Qualifying,2.0,f,100,1,00:51:00,106.0,0.0,5.0,12.0,0.0,0.0,220.0,4.0,3.0,28.0,56.0,18.0,28.0,12.0,28.0,3.0,6.0,8.0,56.0,6.0,34.0,6.0,16.0,0.0,0.0,9.0,30.0,56.0,12.0,50.0,42.0,f,f,,f,Serbia,2.0,12.0,5.0,0.0,317.0,5.0,1.0,34.0,50.0,28.0,34.0,10.0,16.0,0.0,0.0,9.0,180.0,10.0,28.0,16.0,28.0,3.0,6.0,8.0,38.0,50.0,26.0,56.0,64.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,gilles-muller,G. Muller,mario-ancic,M. Ancic,belgrade_challenger,Round of 32,2.0,f,100,3,02:06:00,166.0,2.0,14.0,12.0,2.0,2.0,329.0,19.0,2.0,64.0,92.0,50.0,64.0,18.0,28.0,5.0,5.0,12.0,44.0,4.0,43.0,11.0,31.0,0.0,0.0,12.0,68.0,92.0,15.0,74.0,83.0,t,f,SE,t,Serbia,0.0,12.0,14.0,0.0,324.0,16.0,6.0,43.0,74.0,39.0,43.0,20.0,31.0,0.0,0.0,12.0,58.0,14.0,64.0,10.0,28.0,0.0,5.0,12.0,59.0,74.0,24.0,92.0,83.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,goran-tosic,G. Tosic,martin-slanar,M. Slanar,belgrade_challenger,3rd Round Qualifying,3.0,f,100,2,01:34:00,167.0,1.0,11.0,16.0,0.0,0.0,268.0,1.0,2.0,57.0,80.0,37.0,57.0,13.0,23.0,6.0,9.0,13.0,93.0,14.0,58.0,13.0,29.0,1.0,6.0,14.0,50.0,80.0,27.0,87.0,77.0,f,f,5,t,Serbia,2.0,16.0,11.0,0.0,297.0,13.0,6.0,58.0,87.0,44.0,58.0,16.0,29.0,5.0,6.0,14.0,134.0,20.0,57.0,10.0,23.0,3.0,9.0,13.0,60.0,87.0,30.0,80.0,90.0,t,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,goran-tosic,G. Tosic,miljan-zekic,M. Zekic,belgrade_challenger,2nd Round Qualifying,2.0,f,100,1,00:54:00,98.0,2.0,12.0,8.0,0.0,0.0,331.0,6.0,1.0,31.0,48.0,28.0,31.0,12.0,17.0,0.0,0.0,10.0,158.0,7.0,34.0,8.0,16.0,2.0,3.0,10.0,40.0,48.0,15.0,50.0,55.0,t,f,5,t,Serbia,0.0,8.0,12.0,0.0,274.0,3.0,6.0,34.0,50.0,27.0,34.0,8.0,16.0,1.0,3.0,10.0,39.0,3.0,31.0,5.0,17.0,0.0,0.0,10.0,35.0,50.0,8.0,48.0,43.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,grega-zemlja,G. Zemlja,roko-karanusic,R. Karanusic,belgrade_challenger,Round of 32,2.0,f,100,3,01:08:00,110.0,0.0,6.0,12.0,0.0,0.0,222.0,2.0,1.0,37.0,58.0,22.0,37.0,9.0,21.0,3.0,7.0,9.0,133.0,10.0,36.0,7.0,16.0,1.0,2.0,9.0,31.0,58.0,17.0,52.0,48.0,f,f,,f,Serbia,2.0,12.0,6.0,0.0,288.0,4.0,1.0,36.0,52.0,26.0,36.0,9.0,16.0,1.0,2.0,9.0,199.0,15.0,37.0,12.0,21.0,4.0,7.0,9.0,35.0,52.0,27.0,58.0,62.0,t,f,t,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,ilija-bozoljac,I. Bozoljac,ivan-dodig,I. Dodig,belgrade_challenger,Round of 32,2.0,f,100,3,01:09:00,110.0,2.0,13.0,7.0,1.0,1.0,326.0,17.0,1.0,37.0,52.0,33.0,37.0,9.0,15.0,1.0,2.0,10.0,164.0,4.0,30.0,19.0,28.0,3.0,6.0,9.0,42.0,52.0,23.0,58.0,65.0,t,f,,t,Serbia,0.0,7.0,13.0,0.0,242.0,10.0,5.0,30.0,58.0,26.0,30.0,9.0,28.0,3.0,6.0,9.0,111.0,4.0,37.0,6.0,15.0,1.0,2.0,10.0,35.0,58.0,10.0,52.0,45.0,f,f,f,Serbia
2010-02-15,2010-02-21,Serbia,Carpet,106500.0,€,2010,ilija-bozoljac,I. Bozoljac,karol-beck,K. Beck,belgrade_challenger,Finals,2.0,f,100,7,01:48:00,152.0,0.0,11.0,14.0,0.0,1.0,251.0,12.0,2.0,38.0,83.0,27.0,38.0,22.0,45.0,5.0,8.0,12.0,127.0,5.0,44.0,15.0,25.0,2.0,5.0,12.0,49.0,83.0,20.0,69.0,69.0,f,f,,f,Serbia,2.0,14.0,11.0,1.0,283.0,11.0,4.0,44.0,69.0,39.0,44.0,10.0,25.0,3.0,5.0,12.0,143.0,11.0,38.0,23.0,45.0,3.0,8.0,12.0,49.0,69.0,34.0,83.0,83.0,t,f,t,Serbia
