start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,adam-el-mihdawy,A. El Mihdawy,alex-rybakov,A. Rybakov,binghamton_challenger,Round of 32,2.0,f,100,3,01:01:00,112.0,0.0,5.0,12.0,0.0,0.0,213.0,6.0,6.0,31.0,48.0,23.0,31.0,4.0,17.0,3.0,7.0,8.0,110.0,11.0,47.0,10.0,17.0,1.0,6.0,9.0,27.0,48.0,21.0,64.0,48.0,f,f,Q,f,USA,2.0,12.0,5.0,0.0,286.0,8.0,1.0,47.0,64.0,36.0,47.0,7.0,17.0,5.0,6.0,9.0,209.0,8.0,31.0,13.0,17.0,4.0,7.0,8.0,43.0,64.0,21.0,48.0,64.0,t,f,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,adam-el-mihdawy,A. El Mihdawy,jarryd-chaplin,J. Chaplin,binghamton_challenger,2nd Round Qualifying,2.0,f,100,2,00:52:00,85.0,2.0,12.0,2.0,0.0,0.0,302.0,1.0,3.0,14.0,35.0,13.0,14.0,15.0,21.0,0.0,0.0,7.0,249.0,14.0,32.0,14.0,18.0,5.0,9.0,7.0,28.0,35.0,28.0,50.0,56.0,t,f,1,t,USA,0.0,2.0,12.0,0.0,167.0,2.0,5.0,32.0,50.0,18.0,32.0,4.0,18.0,4.0,9.0,7.0,36.0,1.0,14.0,6.0,21.0,0.0,0.0,7.0,22.0,50.0,7.0,35.0,29.0,f,f,f,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,akira-santillan,A. Santillan,evan-song,E. Song,binghamton_challenger,Round of 32,3.0,f,100,3,02:08:00,211.0,2.0,16.0,12.0,1.0,1.0,279.0,11.0,4.0,59.0,104.0,48.0,59.0,19.0,45.0,10.0,11.0,13.0,157.0,23.0,66.0,21.0,41.0,3.0,6.0,14.0,67.0,104.0,44.0,107.0,111.0,t,f,4,f,USA,1.0,12.0,16.0,0.0,251.0,3.0,6.0,66.0,107.0,43.0,66.0,20.0,41.0,3.0,6.0,14.0,93.0,11.0,59.0,26.0,45.0,1.0,11.0,13.0,63.0,107.0,37.0,104.0,100.0,f,f,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,akira-santillan,A. Santillan,ze-zhang,Z. Zhang,binghamton_challenger,Round of 16,2.0,f,100,4,00:43:00,77.0,0.0,5.0,10.0,0.0,0.0,237.0,8.0,2.0,23.0,41.0,17.0,23.0,7.0,18.0,2.0,5.0,8.0,44.0,3.0,23.0,4.0,13.0,0.0,1.0,7.0,24.0,41.0,7.0,36.0,31.0,f,t,4,f,USA,2.0,10.0,5.0,0.0,321.0,2.0,1.0,23.0,36.0,20.0,23.0,9.0,13.0,1.0,1.0,7.0,184.0,6.0,23.0,11.0,18.0,3.0,5.0,8.0,29.0,36.0,17.0,41.0,46.0,t,t,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,christian-harrison,C. Harrison,binghamton_challenger,Quarter-Finals,3.0,f,100,5,02:25:00,245.0,1.0,16.0,19.0,1.0,1.0,249.0,15.0,6.0,64.0,118.0,45.0,64.0,25.0,54.0,5.0,10.0,17.0,126.0,29.0,81.0,22.0,46.0,3.0,12.0,17.0,70.0,118.0,51.0,127.0,121.0,f,f,2,f,USA,2.0,19.0,16.0,0.0,264.0,5.0,3.0,81.0,127.0,52.0,81.0,24.0,46.0,9.0,12.0,17.0,163.0,19.0,64.0,29.0,54.0,5.0,10.0,17.0,76.0,127.0,48.0,118.0,124.0,t,f,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,connor-farren,C. Farren,binghamton_challenger,Round of 32,3.0,f,100,3,02:00:00,207.0,2.0,18.0,16.0,0.0,0.0,253.0,11.0,8.0,57.0,112.0,45.0,57.0,24.0,55.0,12.0,16.0,17.0,160.0,28.0,59.0,10.0,36.0,5.0,9.0,17.0,69.0,112.0,38.0,95.0,107.0,t,f,2,t,USA,1.0,16.0,18.0,0.0,255.0,2.0,4.0,59.0,95.0,31.0,59.0,26.0,36.0,4.0,9.0,17.0,125.0,12.0,57.0,31.0,55.0,4.0,16.0,17.0,57.0,95.0,43.0,112.0,100.0,f,f,f,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,kevin-king,K. King,binghamton_challenger,Round of 16,3.0,f,100,4,01:31:00,159.0,2.0,14.0,12.0,0.0,0.0,270.0,13.0,9.0,46.0,83.0,36.0,46.0,18.0,37.0,5.0,7.0,13.0,136.0,17.0,52.0,10.0,24.0,3.0,8.0,13.0,54.0,83.0,27.0,76.0,81.0,t,f,2,f,USA,1.0,12.0,14.0,0.0,273.0,7.0,3.0,52.0,76.0,35.0,52.0,14.0,24.0,5.0,8.0,13.0,117.0,10.0,46.0,19.0,37.0,2.0,7.0,13.0,49.0,76.0,29.0,83.0,78.0,f,f,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alex-bolt,A. Bolt,blaz-rola,B. Rola,binghamton_challenger,Round of 16,2.0,f,100,4,00:59:00,99.0,0.0,5.0,12.0,0.0,0.0,228.0,3.0,1.0,24.0,42.0,15.0,24.0,8.0,18.0,2.0,5.0,8.0,64.0,7.0,34.0,10.0,23.0,0.0,2.0,9.0,23.0,42.0,17.0,57.0,40.0,f,f,,f,USA,2.0,12.0,5.0,0.0,297.0,3.0,2.0,34.0,57.0,27.0,34.0,13.0,23.0,2.0,2.0,9.0,191.0,9.0,24.0,10.0,18.0,3.0,5.0,8.0,40.0,57.0,19.0,42.0,59.0,t,f,t,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alex-bolt,A. Bolt,edan-leshem,E. Leshem,binghamton_challenger,Round of 32,2.0,f,100,3,00:53:00,87.0,2.0,12.0,5.0,0.0,0.0,326.0,8.0,1.0,25.0,45.0,22.0,25.0,15.0,20.0,0.0,0.0,9.0,222.0,8.0,20.0,10.0,22.0,3.0,3.0,8.0,37.0,45.0,18.0,42.0,55.0,t,f,,t,USA,0.0,5.0,12.0,0.0,221.0,0.0,4.0,20.0,42.0,12.0,20.0,12.0,22.0,0.0,3.0,8.0,37.0,3.0,25.0,5.0,20.0,0.0,0.0,9.0,24.0,42.0,8.0,45.0,32.0,f,f,f,USA
2017-07-24,2017-07-30,USA,Hard,75000.0,$,2017,alex-rybakov,A. Rybakov,jordan-thompson,J. Thompson,binghamton_challenger,Round of 16,2.0,f,100,4,01:30:00,116.0,0.0,6.0,12.0,0.0,0.0,221.0,2.0,2.0,29.0,49.0,18.0,29.0,9.0,20.0,2.0,6.0,9.0,91.0,8.0,35.0,15.0,32.0,1.0,10.0,9.0,27.0,49.0,23.0,67.0,50.0,f,f,WC,f,USA,2.0,12.0,6.0,0.0,270.0,4.0,4.0,35.0,67.0,27.0,35.0,17.0,32.0,9.0,10.0,9.0,204.0,11.0,29.0,11.0,20.0,4.0,6.0,9.0,44.0,67.0,22.0,49.0,66.0,t,f,t,USA
