,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-falla,A. Falla,caio-zampieri,C. Zampieri,bogota_challenger,Round of 16,3.0,f,100,4,01:32:00,144.0,2.0,17.0,11.0,0.0,0.0,305.0,4.0,0.0,34.0,67.0,27.0,34.0,26.0,33.0,0.0,1.0,14.0,151.0,13.0,45.0,16.0,32.0,4.0,9.0,14.0,53.0,67.0,29.0,77.0,82.0,t,f,1,f,Colombia,1.0,11.0,17.0,0.0,247.0,2.0,5.0,45.0,77.0,32.0,45.0,16.0,32.0,5.0,9.0,14.0,149.0,7.0,34.0,7.0,33.0,1.0,1.0,14.0,48.0,77.0,14.0,67.0,62.0,f,f,t,Colombia
1,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-falla,A. Falla,joao-souza,J. Souza,bogota_challenger,Finals,3.0,f,100,7,02:02:00,163.0,1.0,11.0,16.0,0.0,0.0,229.0,6.0,2.0,38.0,74.0,24.0,38.0,18.0,36.0,2.0,7.0,13.0,134.0,10.0,42.0,24.0,47.0,3.0,8.0,14.0,42.0,74.0,34.0,89.0,76.0,f,f,1,t,Colombia,2.0,16.0,11.0,0.0,251.0,6.0,5.0,42.0,89.0,32.0,42.0,23.0,47.0,5.0,8.0,14.0,196.0,14.0,38.0,18.0,36.0,5.0,7.0,13.0,55.0,89.0,32.0,74.0,87.0,t,f,f,Colombia
2,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-falla,A. Falla,juan-sebastian-cabal,J. Cabal,bogota_challenger,Semi-Finals,2.0,f,100,6,01:54:00,170.0,2.0,13.0,10.0,1.0,1.0,254.0,3.0,4.0,56.0,95.0,37.0,56.0,19.0,39.0,4.0,6.0,11.0,174.0,13.0,40.0,19.0,35.0,3.0,5.0,11.0,56.0,95.0,32.0,75.0,88.0,t,f,1,t,Colombia,0.0,10.0,13.0,0.0,238.0,1.0,2.0,40.0,75.0,27.0,40.0,16.0,35.0,2.0,5.0,11.0,136.0,19.0,56.0,20.0,39.0,2.0,6.0,11.0,43.0,75.0,39.0,95.0,82.0,f,f,f,Colombia
3,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-falla,A. Falla,martin-alund,M. Alund,bogota_challenger,Round of 32,3.0,f,100,3,03:01:00,254.0,2.0,18.0,16.0,1.0,1.0,215.0,3.0,5.0,58.0,119.0,36.0,58.0,29.0,61.0,9.0,16.0,17.0,189.0,37.0,84.0,32.0,51.0,7.0,18.0,16.0,65.0,119.0,69.0,135.0,134.0,t,f,1,t,Colombia,1.0,16.0,18.0,0.0,207.0,3.0,7.0,84.0,135.0,47.0,84.0,19.0,51.0,11.0,18.0,16.0,175.0,22.0,58.0,32.0,61.0,7.0,16.0,17.0,66.0,135.0,54.0,119.0,120.0,f,f,f,Colombia
4,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-falla,A. Falla,santiago-gonzalez,S. Gonzalez,bogota_challenger,Quarter-Finals,2.0,f,100,5,01:22:00,119.0,2.0,12.0,4.0,0.0,0.0,276.0,2.0,3.0,17.0,48.0,11.0,17.0,24.0,31.0,4.0,4.0,8.0,187.0,14.0,38.0,22.0,33.0,4.0,12.0,8.0,35.0,48.0,36.0,71.0,71.0,t,f,1,t,Colombia,0.0,4.0,12.0,0.0,198.0,3.0,5.0,38.0,71.0,24.0,38.0,11.0,33.0,8.0,12.0,8.0,58.0,6.0,17.0,7.0,31.0,0.0,4.0,8.0,35.0,71.0,13.0,48.0,48.0,f,f,f,Colombia
5,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alejandro-gonzalez,A. Gonzalez,caio-zampieri,C. Zampieri,bogota_challenger,Round of 32,2.0,f,100,3,01:45:00,158.0,0.0,10.0,13.0,0.0,1.0,238.0,0.0,0.0,43.0,70.0,25.0,43.0,15.0,27.0,3.0,7.0,11.0,146.0,17.0,53.0,20.0,35.0,3.0,10.0,11.0,40.0,70.0,37.0,88.0,77.0,f,f,,f,Colombia,2.0,13.0,10.0,1.0,243.0,3.0,3.0,53.0,88.0,36.0,53.0,15.0,35.0,7.0,10.0,11.0,179.0,18.0,43.0,12.0,27.0,4.0,7.0,11.0,51.0,88.0,30.0,70.0,81.0,t,f,t,Colombia
6,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alexander-satschko,A. Satschko,attila-balazs,A. Balazs,bogota_challenger,2nd Round Qualifying,3.0,f,100,1,02:40:00,223.0,1.0,16.0,19.0,1.0,1.0,212.0,6.0,8.0,55.0,118.0,36.0,55.0,28.0,63.0,7.0,14.0,17.0,186.0,18.0,60.0,25.0,45.0,5.0,7.0,17.0,64.0,118.0,43.0,105.0,107.0,f,f,,f,Colombia,2.0,19.0,16.0,0.0,233.0,3.0,11.0,60.0,105.0,42.0,60.0,20.0,45.0,2.0,7.0,17.0,182.0,19.0,55.0,35.0,63.0,7.0,14.0,17.0,62.0,105.0,54.0,118.0,116.0,t,f,t,Colombia
7,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alexander-satschko,A. Satschko,walter-valarezo,W. Valarezo,bogota_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,97.0,2.0,12.0,4.0,0.0,0.0,268.0,8.0,3.0,15.0,45.0,12.0,15.0,19.0,30.0,3.0,4.0,8.0,220.0,9.0,22.0,20.0,30.0,5.0,10.0,8.0,31.0,45.0,29.0,52.0,60.0,t,f,,t,Colombia,0.0,4.0,12.0,0.0,168.0,3.0,6.0,22.0,52.0,13.0,22.0,10.0,30.0,5.0,10.0,8.0,94.0,3.0,15.0,11.0,30.0,1.0,4.0,8.0,23.0,52.0,14.0,45.0,37.0,f,f,f,Colombia
8,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alexandre-sidorenko,A. Sidorenko,guillermo-olaso,G. Olaso,bogota_challenger,Round of 32,2.0,f,100,3,01:16:00,117.0,2.0,12.0,7.0,0.0,0.0,231.0,4.0,5.0,23.0,67.0,19.0,23.0,20.0,44.0,3.0,6.0,10.0,224.0,7.0,24.0,18.0,26.0,5.0,7.0,9.0,39.0,67.0,25.0,50.0,64.0,t,f,,t,Colombia,0.0,7.0,12.0,0.0,188.0,2.0,8.0,24.0,50.0,17.0,24.0,8.0,26.0,2.0,7.0,9.0,152.0,4.0,23.0,24.0,44.0,3.0,6.0,10.0,25.0,50.0,28.0,67.0,53.0,f,f,f,Colombia
9,2010-04-05,2010-04-11,Colombia,Clay,125000.0,$,2010,alexandre-sidorenko,A. Sidorenko,ricardo-mello,R. Mello,bogota_challenger,Round of 16,3.0,f,100,4,02:01:00,195.0,1.0,13.0,17.0,0.0,0.0,215.0,3.0,8.0,51.0,102.0,33.0,51.0,23.0,51.0,7.0,13.0,15.0,159.0,20.0,64.0,18.0,29.0,4.0,10.0,15.0,56.0,102.0,38.0,93.0,94.0,f,f,,t,Colombia,2.0,17.0,13.0,0.0,249.0,2.0,2.0,64.0,93.0,44.0,64.0,11.0,29.0,6.0,10.0,15.0,176.0,18.0,51.0,28.0,51.0,6.0,13.0,15.0,55.0,93.0,46.0,102.0,101.0,t,f,f,Colombia
