,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alejandro-fabbri,A. Fabbri,giovanni-lapentti,G. Lapentti,brasilia_challenger,Round of 32,3.0,f,100,3,02:09:00,187.0,1.0,14.0,16.0,0.0,0.0,265.0,7.0,2.0,67.0,107.0,45.0,67.0,20.0,40.0,6.0,9.0,15.0,187.0,9.0,56.0,14.0,24.0,2.0,2.0,15.0,65.0,107.0,23.0,80.0,88.0,f,f,,f,Brazil,2.0,16.0,14.0,0.0,284.0,7.0,5.0,56.0,80.0,47.0,56.0,10.0,24.0,0.0,2.0,15.0,136.0,22.0,67.0,20.0,40.0,3.0,9.0,15.0,57.0,80.0,42.0,107.0,99.0,t,f,t,Brazil
1,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alexandre-bonatto,A. Bonatto,james-ward,J. Ward,brasilia_challenger,Round of 32,2.0,f,100,3,01:41:00,152.0,2.0,13.0,9.0,1.0,1.0,251.0,2.0,2.0,41.0,63.0,27.0,41.0,11.0,22.0,2.0,5.0,10.0,188.0,18.0,50.0,27.0,39.0,5.0,13.0,11.0,38.0,63.0,45.0,89.0,83.0,t,f,LL,t,Brazil,0.0,9.0,13.0,0.0,204.0,8.0,9.0,50.0,89.0,32.0,50.0,12.0,39.0,8.0,13.0,11.0,174.0,14.0,41.0,11.0,22.0,3.0,5.0,10.0,44.0,89.0,25.0,63.0,69.0,f,f,f,Brazil
2,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alexandre-bonatto,A. Bonatto,ricardo-mello,R. Mello,brasilia_challenger,Round of 16,2.0,f,100,4,01:27:00,125.0,0.0,8.0,13.0,0.0,0.0,257.0,2.0,2.0,30.0,56.0,22.0,30.0,13.0,26.0,3.0,5.0,10.0,66.0,10.0,47.0,10.0,22.0,0.0,2.0,11.0,35.0,56.0,20.0,69.0,55.0,f,f,LL,f,Brazil,2.0,13.0,8.0,0.0,303.0,2.0,1.0,47.0,69.0,37.0,47.0,12.0,22.0,2.0,2.0,11.0,137.0,8.0,30.0,13.0,26.0,2.0,5.0,10.0,49.0,69.0,21.0,56.0,70.0,t,f,t,Brazil
3,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alexandre-bonatto,A. Bonatto,ricardo-siggia,R. Siggia,brasilia_challenger,2nd Round Qualifying,2.0,f,100,1,01:20:00,120.0,2.0,13.0,7.0,0.0,0.0,295.0,2.0,0.0,32.0,61.0,23.0,32.0,20.0,29.0,0.0,0.0,10.0,178.0,11.0,36.0,13.0,23.0,3.0,5.0,10.0,43.0,61.0,24.0,59.0,67.0,t,f,2,t,Brazil,0.0,7.0,13.0,0.0,242.0,1.0,2.0,36.0,59.0,25.0,36.0,10.0,23.0,2.0,5.0,10.0,59.0,9.0,32.0,9.0,29.0,0.0,0.0,10.0,35.0,59.0,18.0,61.0,53.0,f,f,f,Brazil
4,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alexandre-bonatto,A. Bonatto,rodrigo-guidolin,R. Guidolin,brasilia_challenger,3rd Round Qualifying,3.0,f,100,2,02:17:00,206.0,1.0,15.0,18.0,1.0,1.0,280.0,11.0,3.0,75.0,122.0,52.0,75.0,26.0,47.0,8.0,10.0,16.0,49.0,8.0,58.0,9.0,26.0,0.0,0.0,16.0,78.0,122.0,17.0,84.0,95.0,f,f,2,f,Brazil,2.0,18.0,15.0,0.0,330.0,10.0,0.0,58.0,84.0,50.0,58.0,17.0,26.0,0.0,0.0,16.0,108.0,23.0,75.0,21.0,47.0,2.0,10.0,16.0,67.0,84.0,44.0,122.0,111.0,t,f,t,Brazil
5,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,alex-blumenberg,A. Blumenberg,ivan-miranda,I. Miranda,brasilia_challenger,1st Round Qualifying,2.0,f,100,0,01:07:00,104.0,0.0,4.0,12.0,0.0,0.0,171.0,0.0,8.0,24.0,58.0,15.0,24.0,13.0,34.0,9.0,14.0,8.0,117.0,7.0,32.0,7.0,14.0,1.0,3.0,8.0,28.0,58.0,14.0,46.0,42.0,f,f,WC,f,Brazil,2.0,12.0,4.0,0.0,293.0,9.0,1.0,32.0,46.0,25.0,32.0,7.0,14.0,2.0,3.0,8.0,198.0,9.0,24.0,21.0,34.0,5.0,14.0,8.0,32.0,46.0,30.0,58.0,62.0,t,f,t,Brazil
6,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,andre-miele,A. Miele,andrew-anderson,A. Anderson,brasilia_challenger,2nd Round Qualifying,2.0,f,100,1,01:35:00,148.0,0.0,10.0,13.0,0.0,1.0,229.0,2.0,3.0,44.0,84.0,25.0,44.0,23.0,40.0,9.0,13.0,11.0,176.0,12.0,42.0,10.0,22.0,3.0,4.0,11.0,48.0,84.0,22.0,64.0,70.0,f,f,7,f,Brazil,2.0,13.0,10.0,1.0,267.0,4.0,1.0,42.0,64.0,30.0,42.0,12.0,22.0,1.0,4.0,11.0,153.0,19.0,44.0,17.0,40.0,4.0,13.0,11.0,42.0,64.0,36.0,84.0,78.0,t,f,t,Brazil
7,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,andre-miele,A. Miele,ashutosh-singh,A. Singh,brasilia_challenger,1st Round Qualifying,2.0,f,100,0,01:07:00,111.0,2.0,12.0,6.0,0.0,0.0,275.0,3.0,3.0,36.0,60.0,25.0,36.0,14.0,24.0,5.0,6.0,9.0,224.0,10.0,30.0,14.0,21.0,4.0,5.0,9.0,39.0,60.0,24.0,51.0,63.0,t,f,7,t,Brazil,0.0,6.0,12.0,0.0,214.0,3.0,3.0,30.0,51.0,20.0,30.0,7.0,21.0,1.0,5.0,9.0,101.0,11.0,36.0,10.0,24.0,1.0,6.0,9.0,27.0,51.0,21.0,60.0,48.0,f,f,f,Brazil
8,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,andrew-anderson,A. Anderson,fabrice-martin,F. Martin,brasilia_challenger,3rd Round Qualifying,2.0,f,100,2,00:58:00,92.0,0.0,5.0,12.0,0.0,0.0,258.0,4.0,0.0,28.0,40.0,18.0,28.0,7.0,12.0,0.0,3.0,8.0,58.0,7.0,27.0,8.0,25.0,0.0,1.0,9.0,25.0,40.0,15.0,52.0,40.0,f,f,,f,Brazil,2.0,12.0,5.0,0.0,296.0,6.0,4.0,27.0,52.0,20.0,27.0,17.0,25.0,1.0,1.0,9.0,215.0,10.0,28.0,5.0,12.0,3.0,3.0,8.0,37.0,52.0,15.0,40.0,52.0,t,f,t,Brazil
9,2009-08-10,2009-08-16,Brazil,Hard,35000.0,$,2009,andrew-anderson,A. Anderson,nikolai-nesterov,N. Nesterov,brasilia_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,91.0,2.0,12.0,4.0,0.0,0.0,289.0,7.0,4.0,26.0,42.0,21.0,26.0,9.0,16.0,1.0,2.0,8.0,231.0,13.0,30.0,12.0,19.0,5.0,8.0,8.0,30.0,42.0,25.0,49.0,55.0,t,f,,t,Brazil,0.0,4.0,12.0,0.0,191.0,1.0,2.0,30.0,49.0,17.0,30.0,7.0,19.0,3.0,8.0,8.0,125.0,5.0,26.0,7.0,16.0,1.0,2.0,8.0,24.0,49.0,12.0,42.0,36.0,f,f,f,Brazil
