start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,adelchi-virgili,A. Virgili,denis-matsukevich,D. Matsukevich,brescia_challenger,2nd Round Qualifying,2.0,f,100,1,00:53:00,108.0,0.0,6.0,12.0,0.0,0.0,218.0,3.0,6.0,39.0,63.0,24.0,39.0,10.0,24.0,6.0,10.0,9.0,156.0,6.0,28.0,4.0,17.0,1.0,1.0,9.0,34.0,63.0,10.0,45.0,44.0,f,f,,f,Italy,2.0,12.0,6.0,0.0,306.0,1.0,0.0,28.0,45.0,22.0,28.0,13.0,17.0,0.0,1.0,9.0,180.0,15.0,39.0,14.0,24.0,4.0,10.0,9.0,35.0,45.0,29.0,63.0,64.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,adelchi-virgili,A. Virgili,viktor-galovic,V. Galovic,brescia_challenger,1st Round Qualifying,3.0,f,100,0,02:23:00,253.0,2.0,19.0,17.0,1.0,2.0,313.0,10.0,5.0,66.0,116.0,56.0,66.0,33.0,50.0,7.0,7.0,17.0,96.0,20.0,86.0,26.0,51.0,1.0,6.0,17.0,89.0,116.0,46.0,137.0,135.0,t,f,,f,Italy,1.0,17.0,19.0,1.0,292.0,14.0,5.0,86.0,137.0,66.0,86.0,25.0,51.0,5.0,6.0,17.0,49.0,10.0,66.0,17.0,50.0,0.0,7.0,17.0,91.0,137.0,27.0,116.0,118.0,f,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,adrian-ungur,A. Ungur,viktor-troicki,V. Troicki,brescia_challenger,Round of 32,2.0,f,100,3,00:56:00,115.0,0.0,5.0,12.0,0.0,0.0,228.0,3.0,4.0,42.0,63.0,24.0,42.0,9.0,21.0,5.0,8.0,8.0,47.0,7.0,32.0,5.0,20.0,0.0,1.0,9.0,33.0,63.0,12.0,52.0,45.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,329.0,14.0,0.0,32.0,52.0,25.0,32.0,15.0,20.0,1.0,1.0,9.0,175.0,18.0,42.0,12.0,21.0,3.0,8.0,8.0,40.0,52.0,30.0,63.0,70.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andrea-agazzi,A. Agazzi,andriej-kapas,A. Kapas,brescia_challenger,1st Round Qualifying,2.0,f,100,0,01:15:00,127.0,0.0,8.0,13.0,0.0,1.0,271.0,2.0,0.0,50.0,63.0,36.0,50.0,5.0,13.0,0.0,2.0,10.0,54.0,11.0,48.0,5.0,16.0,0.0,1.0,10.0,41.0,63.0,16.0,64.0,57.0,f,f,WC,f,Italy,2.0,13.0,8.0,1.0,331.0,12.0,2.0,48.0,64.0,37.0,48.0,11.0,16.0,1.0,1.0,10.0,210.0,14.0,50.0,8.0,13.0,2.0,2.0,10.0,48.0,64.0,22.0,63.0,70.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andrea-arnaboldi,A. Arnaboldi,austin-krajicek,A. Krajicek,brescia_challenger,Round of 32,3.0,f,100,3,01:56:00,179.0,1.0,13.0,15.0,0.0,0.0,278.0,12.0,1.0,52.0,92.0,44.0,52.0,16.0,40.0,4.0,6.0,14.0,120.0,13.0,61.0,11.0,26.0,1.0,2.0,14.0,60.0,92.0,24.0,87.0,84.0,f,f,,f,Italy,2.0,15.0,13.0,0.0,317.0,19.0,1.0,61.0,87.0,48.0,61.0,15.0,26.0,1.0,2.0,14.0,122.0,8.0,52.0,24.0,40.0,2.0,6.0,14.0,63.0,87.0,32.0,92.0,95.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andrea-basso,A. Basso,franko-skugor,F. Skugor,brescia_challenger,1st Round Qualifying,3.0,f,100,0,01:48:00,185.0,1.0,15.0,16.0,0.0,1.0,299.0,11.0,0.0,75.0,96.0,59.0,75.0,8.0,21.0,2.0,3.0,15.0,116.0,7.0,53.0,17.0,36.0,1.0,2.0,15.0,67.0,96.0,24.0,89.0,91.0,f,f,,f,Italy,2.0,16.0,15.0,1.0,303.0,12.0,2.0,53.0,89.0,46.0,53.0,19.0,36.0,1.0,2.0,15.0,122.0,16.0,75.0,13.0,21.0,1.0,3.0,15.0,65.0,89.0,29.0,96.0,94.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andrea-pellegrino,A. Pellegrino,mirza-basic,M. Basic,brescia_challenger,1st Round Qualifying,2.0,f,100,0,01:07:00,120.0,0.0,8.0,13.0,0.0,1.0,240.0,6.0,2.0,31.0,57.0,23.0,31.0,10.0,26.0,0.0,3.0,10.0,125.0,6.0,39.0,12.0,24.0,1.0,2.0,10.0,33.0,57.0,18.0,63.0,51.0,f,f,WC,f,Italy,2.0,13.0,8.0,1.0,297.0,11.0,1.0,39.0,63.0,33.0,39.0,12.0,24.0,1.0,2.0,10.0,218.0,8.0,31.0,16.0,26.0,3.0,3.0,10.0,45.0,63.0,24.0,57.0,69.0,t,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andreas-beck,,denis-matsukevich,,brescia_challenger,Round of 32,1.0,f,100,3,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,,Italy,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andres-artunedo-martinavarro,A. Artunedo Martinavarro,anton-zaitcev,A. Zaitcev,brescia_challenger,2nd Round Qualifying,3.0,f,100,1,02:09:00,181.0,2.0,16.0,13.0,0.0,0.0,271.0,9.0,1.0,57.0,102.0,40.0,57.0,23.0,45.0,6.0,8.0,15.0,127.0,12.0,47.0,15.0,32.0,3.0,9.0,14.0,63.0,102.0,27.0,79.0,90.0,t,f,,f,Italy,1.0,13.0,16.0,0.0,263.0,3.0,4.0,47.0,79.0,35.0,47.0,17.0,32.0,6.0,9.0,14.0,117.0,17.0,57.0,22.0,45.0,2.0,8.0,15.0,52.0,79.0,39.0,102.0,91.0,f,f,t,Italy
2014-11-10,2014-11-16,Italy,Carpet,42500.0,€,2014,andres-artunedo-martinavarro,A. Artunedo Martinavarro,farrukh-dustov,F. Dustov,brescia_challenger,Round of 16,2.0,f,100,4,01:17:00,107.0,0.0,6.0,12.0,0.0,0.0,247.0,6.0,0.0,37.0,60.0,24.0,37.0,11.0,23.0,5.0,8.0,9.0,59.0,6.0,35.0,5.0,12.0,0.0,0.0,9.0,35.0,60.0,11.0,47.0,46.0,f,f,Q,f,Italy,2.0,12.0,6.0,0.0,319.0,4.0,0.0,35.0,47.0,29.0,35.0,7.0,12.0,0.0,0.0,9.0,158.0,13.0,37.0,12.0,23.0,3.0,8.0,9.0,36.0,47.0,25.0,60.0,61.0,t,f,t,Italy
