,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,adrian-menendez-maceiras,A. Menendez-Maceiras,jeremy-jahn,J. Jahn,brest_challenger,Round of 32,2.0,f,100,3,01:57:00,164.0,0.0,10.0,13.0,0.0,1.0,273.0,6.0,1.0,48.0,71.0,32.0,48.0,12.0,23.0,5.0,7.0,11.0,96.0,16.0,61.0,17.0,32.0,1.0,12.0,11.0,44.0,71.0,33.0,93.0,77.0,f,f,,f,France,2.0,13.0,10.0,1.0,277.0,3.0,3.0,61.0,93.0,45.0,61.0,15.0,32.0,11.0,12.0,11.0,128.0,16.0,48.0,11.0,23.0,2.0,7.0,11.0,60.0,93.0,27.0,71.0,87.0,t,f,t,France
1,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,adrien-bossel,A. Bossel,alexandre-penaud,A. Penaud,brest_challenger,1st Round Qualifying,3.0,f,100,0,02:24:00,233.0,1.0,16.0,18.0,0.0,1.0,274.0,13.0,3.0,70.0,107.0,47.0,70.0,19.0,37.0,3.0,6.0,16.0,115.0,20.0,79.0,26.0,47.0,3.0,17.0,17.0,66.0,107.0,46.0,126.0,112.0,f,f,,f,France,2.0,18.0,16.0,1.0,276.0,13.0,2.0,79.0,126.0,59.0,79.0,21.0,47.0,14.0,17.0,17.0,150.0,23.0,70.0,18.0,37.0,3.0,6.0,16.0,80.0,126.0,41.0,107.0,121.0,t,f,t,France
2,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,aldin-setkic,A. Setkic,alexandre-sidorenko,A. Sidorenko,brest_challenger,Round of 32,2.0,f,100,3,01:09:00,110.0,2.0,12.0,6.0,0.0,0.0,304.0,7.0,3.0,38.0,51.0,26.0,38.0,9.0,13.0,1.0,2.0,9.0,219.0,8.0,32.0,19.0,27.0,4.0,5.0,9.0,35.0,51.0,27.0,59.0,62.0,t,f,,t,France,0.0,6.0,12.0,0.0,209.0,4.0,9.0,32.0,59.0,24.0,32.0,8.0,27.0,1.0,5.0,9.0,124.0,12.0,38.0,4.0,13.0,1.0,2.0,9.0,32.0,59.0,16.0,51.0,48.0,f,f,f,France
3,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,aldin-setkic,A. Setkic,maximilian-neuchrist,M. Neuchrist,brest_challenger,Round of 16,3.0,f,100,4,02:12:00,176.0,2.0,17.0,14.0,0.0,0.0,295.0,9.0,3.0,53.0,85.0,41.0,53.0,20.0,32.0,4.0,6.0,16.0,135.0,19.0,56.0,15.0,35.0,3.0,8.0,15.0,61.0,85.0,34.0,91.0,95.0,t,f,,t,France,1.0,14.0,17.0,0.0,277.0,13.0,1.0,56.0,91.0,37.0,56.0,20.0,35.0,5.0,8.0,15.0,106.0,12.0,53.0,12.0,32.0,2.0,6.0,16.0,57.0,91.0,24.0,85.0,81.0,f,f,f,France
4,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,aldin-setkic,A. Setkic,yannik-reuter,Y. Reuter,brest_challenger,Quarter-Finals,2.0,f,100,5,01:23:00,120.0,0.0,6.0,12.0,0.0,0.0,239.0,10.0,5.0,44.0,69.0,30.0,44.0,9.0,25.0,8.0,11.0,9.0,56.0,4.0,30.0,9.0,21.0,0.0,0.0,9.0,39.0,69.0,13.0,51.0,52.0,f,f,,f,France,2.0,12.0,6.0,0.0,308.0,7.0,2.0,30.0,51.0,26.0,30.0,12.0,21.0,0.0,0.0,9.0,156.0,14.0,44.0,16.0,25.0,3.0,11.0,9.0,38.0,51.0,30.0,69.0,68.0,t,f,t,France
5,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,aleksandr-nedovyesov,A. Nedovyesov,jeremy-chardy,J. Chardy,brest_challenger,Round of 16,2.0,f,100,4,01:26:00,135.0,0.0,8.0,12.0,0.0,0.0,260.0,2.0,1.0,51.0,64.0,32.0,51.0,6.0,13.0,5.0,8.0,10.0,98.0,6.0,39.0,19.0,32.0,1.0,7.0,10.0,38.0,64.0,25.0,71.0,63.0,f,f,,f,France,2.0,12.0,8.0,0.0,269.0,3.0,5.0,39.0,71.0,33.0,39.0,13.0,32.0,6.0,7.0,10.0,159.0,19.0,51.0,7.0,13.0,3.0,8.0,10.0,46.0,71.0,26.0,64.0,72.0,t,f,t,France
6,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,aleksandr-nedovyesov,A. Nedovyesov,maxime-janvier,M. Janvier,brest_challenger,Round of 32,2.0,f,100,3,01:33:00,147.0,2.0,13.0,10.0,1.0,1.0,298.0,7.0,0.0,46.0,71.0,35.0,46.0,15.0,25.0,4.0,5.0,11.0,153.0,15.0,48.0,15.0,28.0,2.0,4.0,11.0,50.0,71.0,30.0,76.0,80.0,t,f,,t,France,0.0,10.0,13.0,0.0,259.0,2.0,2.0,48.0,76.0,33.0,48.0,13.0,28.0,2.0,4.0,11.0,93.0,11.0,46.0,10.0,25.0,1.0,5.0,11.0,46.0,76.0,21.0,71.0,67.0,f,f,f,France
7,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,alessandro-giannessi,A. Giannessi,maximilian-neuchrist,M. Neuchrist,brest_challenger,Round of 32,2.0,f,100,3,01:27:00,136.0,0.0,7.0,13.0,0.0,1.0,250.0,2.0,1.0,49.0,78.0,30.0,49.0,14.0,29.0,7.0,9.0,9.0,50.0,6.0,41.0,6.0,17.0,0.0,0.0,10.0,44.0,78.0,12.0,58.0,56.0,f,f,4,f,France,2.0,13.0,7.0,1.0,326.0,5.0,0.0,41.0,58.0,35.0,41.0,11.0,17.0,0.0,0.0,10.0,135.0,19.0,49.0,15.0,29.0,2.0,9.0,9.0,46.0,58.0,34.0,78.0,80.0,t,f,t,France
8,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,alexandre-penaud,A. Penaud,sander-gille,S. Gille,brest_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,141.0,0.0,8.0,12.0,0.0,0.0,267.0,4.0,1.0,48.0,77.0,32.0,48.0,16.0,29.0,6.0,8.0,10.0,57.0,10.0,38.0,8.0,26.0,0.0,4.0,10.0,48.0,77.0,18.0,64.0,66.0,f,f,,f,France,2.0,12.0,8.0,0.0,309.0,10.0,3.0,38.0,64.0,28.0,38.0,18.0,26.0,4.0,4.0,10.0,123.0,16.0,48.0,13.0,29.0,2.0,8.0,10.0,46.0,64.0,29.0,77.0,75.0,t,f,t,France
9,2016-10-17,2016-10-23,France,Hard,106500.0,€,2016,andrey-golubev,A. Golubev,marko-tepavac,M. Tepavac,brest_challenger,Round of 32,2.0,f,100,3,01:15:00,118.0,0.0,7.0,12.0,0.0,0.0,205.0,5.0,2.0,37.0,58.0,24.0,37.0,6.0,21.0,5.0,10.0,9.0,158.0,8.0,26.0,16.0,34.0,3.0,6.0,10.0,30.0,58.0,24.0,60.0,54.0,f,f,,f,France,2.0,12.0,7.0,0.0,235.0,3.0,3.0,26.0,60.0,18.0,26.0,18.0,34.0,3.0,6.0,10.0,211.0,13.0,37.0,15.0,21.0,5.0,10.0,9.0,36.0,60.0,28.0,58.0,64.0,t,f,t,France
