start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,adrian-mannarino,A. Mannarino,carsten-ball,C. Ball,brisbane,1st Round Qualifying,3.0,f,250,0,03:01:00,257.0,2.0,20.0,18.0,1.0,2.0,290.0,8.0,5.0,54.0,116.0,44.0,54.0,40.0,62.0,3.0,4.0,18.0,106.0,28.0,98.0,21.0,43.0,2.0,12.0,18.0,84.0,116.0,49.0,141.0,133.0,t,f,1,t,Australia,1.0,18.0,20.0,1.0,298.0,23.0,5.0,98.0,141.0,70.0,98.0,22.0,43.0,10.0,12.0,18.0,84.0,10.0,54.0,22.0,62.0,1.0,4.0,18.0,92.0,141.0,32.0,116.0,124.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,adrian-mannarino,A. Mannarino,mardy-fish,M. Fish,brisbane,Round of 32,2.0,f,250,3,01:19:00,119.0,0.0,5.0,12.0,0.0,0.0,211.0,1.0,6.0,37.0,68.0,24.0,37.0,11.0,31.0,3.0,6.0,8.0,48.0,5.0,28.0,7.0,23.0,0.0,1.0,9.0,35.0,68.0,12.0,51.0,47.0,f,f,Q,f,Australia,2.0,12.0,5.0,0.0,318.0,11.0,0.0,28.0,51.0,23.0,28.0,16.0,23.0,1.0,1.0,9.0,187.0,13.0,37.0,20.0,31.0,3.0,6.0,8.0,39.0,51.0,33.0,68.0,72.0,t,f,t,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,adrian-mannarino,A. Mannarino,peter-polansky,P. Polansky,brisbane,2nd Round Qualifying,2.0,f,250,1,01:16:00,114.0,2.0,12.0,8.0,0.0,0.0,300.0,4.0,0.0,31.0,57.0,24.0,31.0,17.0,26.0,3.0,3.0,10.0,186.0,3.0,28.0,16.0,29.0,2.0,2.0,10.0,41.0,57.0,19.0,57.0,60.0,t,f,1,t,Australia,0.0,8.0,12.0,0.0,267.0,7.0,3.0,28.0,57.0,25.0,28.0,13.0,29.0,0.0,2.0,10.0,58.0,7.0,31.0,9.0,26.0,0.0,3.0,10.0,38.0,57.0,16.0,57.0,54.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,adrian-mannarino,A. Mannarino,tatsuma-ito,T. Ito,brisbane,3rd Round Qualifying,3.0,f,250,2,02:16:00,183.0,2.0,17.0,14.0,0.0,0.0,288.0,13.0,2.0,59.0,94.0,45.0,59.0,18.0,35.0,2.0,4.0,16.0,120.0,10.0,49.0,21.0,40.0,3.0,11.0,15.0,63.0,94.0,31.0,89.0,94.0,t,f,1,t,Australia,1.0,14.0,17.0,0.0,267.0,8.0,4.0,49.0,89.0,39.0,49.0,19.0,40.0,8.0,11.0,15.0,135.0,14.0,59.0,17.0,35.0,2.0,4.0,16.0,58.0,89.0,31.0,94.0,89.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,alexander-peya,A. Peya,peter-luczak,P. Luczak,brisbane,1st Round Qualifying,3.0,f,250,0,02:09:00,188.0,1.0,11.0,16.0,0.0,0.0,238.0,11.0,7.0,52.0,98.0,39.0,52.0,17.0,46.0,14.0,18.0,13.0,130.0,14.0,62.0,18.0,28.0,2.0,7.0,14.0,56.0,98.0,32.0,90.0,88.0,f,f,,t,Australia,2.0,16.0,11.0,0.0,273.0,8.0,2.0,62.0,90.0,48.0,62.0,10.0,28.0,5.0,7.0,14.0,140.0,13.0,52.0,29.0,46.0,4.0,18.0,13.0,58.0,90.0,42.0,98.0,100.0,t,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,alexandr-dolgopolov,A. Dolgopolov,andy-roddick,A. Roddick,brisbane,Round of 16,2.0,f,250,4,00:57:00,98.0,0.0,5.0,12.0,0.0,0.0,216.0,7.0,3.0,33.0,56.0,21.0,33.0,9.0,23.0,7.0,11.0,8.0,90.0,4.0,30.0,4.0,12.0,1.0,3.0,9.0,30.0,56.0,8.0,42.0,38.0,f,f,,f,Australia,2.0,12.0,5.0,0.0,327.0,15.0,1.0,30.0,42.0,26.0,30.0,8.0,12.0,2.0,3.0,9.0,183.0,12.0,33.0,14.0,23.0,4.0,11.0,8.0,34.0,42.0,26.0,56.0,60.0,t,f,t,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,alexandr-dolgopolov,A. Dolgopolov,igor-andreev,I. Andreev,brisbane,Round of 32,2.0,f,250,3,01:07:00,110.0,2.0,12.0,6.0,0.0,0.0,301.0,7.0,3.0,29.0,55.0,26.0,29.0,14.0,26.0,1.0,1.0,9.0,163.0,12.0,34.0,12.0,21.0,3.0,8.0,9.0,40.0,55.0,24.0,55.0,64.0,t,f,,t,Australia,0.0,6.0,12.0,0.0,237.0,2.0,1.0,34.0,55.0,22.0,34.0,9.0,21.0,5.0,8.0,9.0,56.0,3.0,29.0,12.0,26.0,0.0,1.0,9.0,31.0,55.0,15.0,55.0,46.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,andy-roddick,A. Roddick,kevin-anderson,K. Anderson,brisbane,Semi-Finals,3.0,f,250,6,01:53:00,152.0,2.0,16.0,10.0,0.0,0.0,299.0,15.0,1.0,47.0,70.0,41.0,47.0,9.0,23.0,0.0,1.0,13.0,157.0,20.0,53.0,13.0,29.0,4.0,9.0,13.0,50.0,70.0,33.0,82.0,83.0,t,f,2,t,Australia,1.0,10.0,16.0,0.0,260.0,13.0,4.0,53.0,82.0,33.0,53.0,16.0,29.0,5.0,9.0,13.0,181.0,6.0,47.0,14.0,23.0,1.0,1.0,13.0,49.0,82.0,20.0,70.0,69.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,andy-roddick,A. Roddick,marcos-baghdatis,M. Baghdatis,brisbane,Quarter-Finals,2.0,f,250,5,01:14:00,97.0,2.0,12.0,5.0,0.0,0.0,296.0,7.0,0.0,31.0,48.0,24.0,31.0,10.0,17.0,3.0,4.0,9.0,188.0,4.0,19.0,20.0,30.0,4.0,8.0,8.0,34.0,48.0,24.0,49.0,58.0,t,f,2,t,Australia,0.0,5.0,12.0,0.0,204.0,3.0,0.0,19.0,49.0,15.0,19.0,10.0,30.0,4.0,8.0,8.0,100.0,7.0,31.0,7.0,17.0,1.0,4.0,9.0,25.0,49.0,14.0,48.0,39.0,f,f,f,Australia
2011-01-02,2011-01-09,Australia,Hard,422300.0,$,2011,andy-roddick,A. Roddick,marinko-matosevic,M. Matosevic,brisbane,Round of 32,2.0,f,250,3,01:13:00,95.0,2.0,12.0,5.0,0.0,0.0,305.0,5.0,1.0,29.0,47.0,23.0,29.0,13.0,18.0,3.0,4.0,9.0,216.0,10.0,22.0,14.0,26.0,4.0,6.0,8.0,36.0,47.0,24.0,48.0,60.0,t,f,2,t,Australia,0.0,5.0,12.0,0.0,199.0,2.0,0.0,22.0,48.0,12.0,22.0,12.0,26.0,2.0,6.0,8.0,85.0,6.0,29.0,5.0,18.0,1.0,4.0,9.0,24.0,48.0,11.0,47.0,35.0,f,f,f,Australia
