,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,facundo-mena,,diego-cristin,,buenos-aires_challenger,1st Round Qualifying,1.0,f,100,0,,,1.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,WC,t,Argentina,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Argentina
1,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,federico-ciarrochi,,juan-francisco-spina,,buenos-aires_challenger,1st Round Qualifying,2.0,f,100,0,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Argentina,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Argentina
2,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,juan-manuel-valverde,,agustin-picco,,buenos-aires_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,7,t,Argentina,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Argentina
3,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,juan-manuel-valverde,,juan-martin-aranguren,,buenos-aires_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,6.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,f,Argentina,2.0,13.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Argentina
4,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,agustin-velotti,A. Velotti,guillermo-alcaide,G. Alcaide,buenos-aires_challenger,Round of 32,1.0,f,100,3,00:23:00,32.0,1.0,4.0,1.0,0.0,0.0,346.0,0.0,0.0,11.0,15.0,8.0,11.0,4.0,4.0,0.0,0.0,3.0,271.0,5.0,10.0,5.0,7.0,1.0,1.0,2.0,12.0,15.0,10.0,17.0,22.0,t,t,WC,t,Argentina,0.0,1.0,4.0,0.0,188.0,0.0,0.0,10.0,17.0,5.0,10.0,2.0,7.0,0.0,1.0,2.0,27.0,3.0,11.0,0.0,4.0,0.0,0.0,3.0,7.0,17.0,3.0,15.0,10.0,f,t,f,Argentina
5,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,agustin-velotti,A. Velotti,nikola-ciric,N. Ciric,buenos-aires_challenger,Round of 16,2.0,f,100,4,01:36:00,132.0,0.0,7.0,13.0,0.0,1.0,240.0,1.0,2.0,38.0,58.0,28.0,38.0,7.0,20.0,3.0,6.0,9.0,107.0,12.0,46.0,15.0,28.0,1.0,6.0,10.0,35.0,58.0,27.0,74.0,62.0,f,f,WC,f,Argentina,2.0,13.0,7.0,1.0,276.0,6.0,2.0,46.0,74.0,34.0,46.0,13.0,28.0,5.0,6.0,10.0,174.0,10.0,38.0,13.0,20.0,3.0,6.0,9.0,47.0,74.0,23.0,58.0,70.0,t,f,t,Argentina
6,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,alejandro-fabbri,,andres-molteni,,buenos-aires_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,8,f,Argentina,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Argentina
7,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,alejandro-fabbri,,facundo-mena,,buenos-aires_challenger,2nd Round Qualifying,2.0,f,100,1,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,8,t,Argentina,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Argentina
8,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,alejandro-fabbri,,kevin-konfederak,,buenos-aires_challenger,1st Round Qualifying,2.0,f,100,0,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,8,t,Argentina,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Argentina
9,2010-10-04,2010-10-10,Argentina,Clay,75000.0,$,2010,alejandro-kon,,guido-pella,,buenos-aires_challenger,2nd Round Qualifying,2.0,f,100,1,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Argentina,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Argentina
