start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,agustin-velotti,A. Velotti,fred-gil,F. Gil,buenos-aires_challenger,Round of 16,2.0,f,100,4,01:19:00,116.0,0.0,8.0,12.0,0.0,0.0,236.0,3.0,2.0,32.0,53.0,23.0,32.0,9.0,21.0,3.0,7.0,10.0,137.0,12.0,42.0,10.0,21.0,2.0,5.0,10.0,32.0,53.0,22.0,63.0,54.0,f,f,WC,f,Argentina,2.0,12.0,8.0,0.0,277.0,8.0,1.0,42.0,63.0,30.0,42.0,11.0,21.0,3.0,5.0,10.0,182.0,9.0,32.0,12.0,21.0,4.0,7.0,10.0,41.0,63.0,21.0,53.0,62.0,t,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,agustin-velotti,A. Velotti,rogerio-dutra-silva,R. Dutra Silva,buenos-aires_challenger,Round of 32,3.0,f,100,3,01:49:00,151.0,2.0,13.0,13.0,0.0,0.0,233.0,1.0,4.0,41.0,75.0,28.0,41.0,15.0,34.0,4.0,8.0,13.0,163.0,14.0,45.0,14.0,31.0,4.0,7.0,13.0,43.0,75.0,28.0,76.0,71.0,t,f,WC,t,Argentina,1.0,13.0,13.0,0.0,252.0,2.0,2.0,45.0,76.0,31.0,45.0,17.0,31.0,3.0,7.0,13.0,168.0,13.0,41.0,19.0,34.0,4.0,8.0,13.0,48.0,76.0,32.0,75.0,80.0,f,f,f,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,alejandro-fabbri,A. Fabbri,cristhian-ignacio-benedetti,C. Benedetti,buenos-aires_challenger,1st Round Qualifying,2.0,f,100,0,01:23:00,105.0,2.0,12.0,7.0,0.0,0.0,281.0,3.0,4.0,28.0,51.0,23.0,28.0,13.0,23.0,1.0,2.0,9.0,199.0,11.0,31.0,13.0,23.0,4.0,6.0,10.0,36.0,51.0,24.0,54.0,60.0,t,f,,t,Argentina,0.0,7.0,12.0,0.0,222.0,1.0,4.0,31.0,54.0,20.0,31.0,10.0,23.0,2.0,6.0,10.0,122.0,5.0,28.0,10.0,23.0,1.0,2.0,9.0,30.0,54.0,15.0,51.0,45.0,f,f,f,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,alejandro-fabbri,A. Fabbri,diego-schwartzman,D. Schwartzman,buenos-aires_challenger,2nd Round Qualifying,2.0,f,100,1,01:47:00,131.0,0.0,7.0,13.0,0.0,0.0,175.0,0.0,6.0,30.0,63.0,17.0,30.0,12.0,33.0,2.0,8.0,10.0,151.0,18.0,44.0,10.0,24.0,3.0,8.0,10.0,29.0,63.0,28.0,68.0,57.0,f,f,,f,Argentina,2.0,13.0,7.0,0.0,253.0,2.0,1.0,44.0,68.0,26.0,44.0,14.0,24.0,5.0,8.0,10.0,242.0,13.0,30.0,21.0,33.0,6.0,8.0,10.0,40.0,68.0,34.0,63.0,74.0,t,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,alessandro-giannessi,A. Giannessi,facundo-bagnis,F. Bagnis,buenos-aires_challenger,Round of 32,2.0,f,100,3,01:43:00,133.0,0.0,8.0,13.0,0.0,1.0,194.0,0.0,2.0,32.0,63.0,15.0,32.0,15.0,31.0,4.0,9.0,10.0,200.0,16.0,47.0,14.0,23.0,3.0,4.0,10.0,30.0,63.0,30.0,70.0,60.0,f,f,,f,Argentina,2.0,13.0,8.0,1.0,239.0,1.0,4.0,47.0,70.0,31.0,47.0,9.0,23.0,1.0,4.0,10.0,211.0,17.0,32.0,16.0,31.0,5.0,9.0,10.0,40.0,70.0,33.0,63.0,73.0,t,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,alessio-di-mauro,A. Di Mauro,diego-junqueira,D. Junqueira,buenos-aires_challenger,Round of 16,2.0,f,100,4,01:18:00,98.0,0.0,3.0,12.0,0.0,0.0,137.0,2.0,3.0,22.0,47.0,9.0,22.0,9.0,25.0,4.0,10.0,7.0,146.0,17.0,41.0,3.0,10.0,2.0,4.0,8.0,18.0,47.0,20.0,51.0,38.0,f,f,,f,Argentina,2.0,12.0,3.0,0.0,283.0,0.0,1.0,41.0,51.0,24.0,41.0,7.0,10.0,2.0,4.0,8.0,268.0,13.0,22.0,16.0,25.0,6.0,10.0,7.0,31.0,51.0,29.0,47.0,60.0,t,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,alessio-di-mauro,A. Di Mauro,leandro-migani,L. Migani,buenos-aires_challenger,Round of 32,3.0,f,100,3,02:49:00,214.0,2.0,18.0,14.0,0.0,1.0,253.0,5.0,5.0,62.0,110.0,43.0,62.0,23.0,48.0,10.0,13.0,15.0,177.0,29.0,77.0,14.0,27.0,6.0,12.0,16.0,66.0,110.0,43.0,104.0,109.0,t,f,,f,Argentina,1.0,14.0,18.0,1.0,245.0,3.0,4.0,77.0,104.0,48.0,77.0,13.0,27.0,6.0,12.0,16.0,126.0,19.0,62.0,25.0,48.0,3.0,13.0,15.0,61.0,104.0,44.0,110.0,105.0,f,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,andrea-collarini,A. Collarini,renzo-olivo,R. Olivo,buenos-aires_challenger,1st Round Qualifying,3.0,f,100,0,02:20:00,167.0,1.0,13.0,15.0,0.0,0.0,270.0,3.0,3.0,57.0,83.0,37.0,57.0,15.0,26.0,0.0,3.0,14.0,127.0,18.0,60.0,12.0,24.0,2.0,6.0,14.0,52.0,83.0,30.0,84.0,82.0,f,f,,t,Argentina,2.0,15.0,13.0,0.0,272.0,1.0,5.0,60.0,84.0,42.0,60.0,12.0,24.0,4.0,6.0,14.0,198.0,20.0,57.0,11.0,26.0,3.0,3.0,14.0,54.0,84.0,31.0,83.0,85.0,t,f,f,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,andres-molteni,A. Molteni,facundo-arguello,F. Arguello,buenos-aires_challenger,Round of 32,2.0,f,100,3,01:36:00,114.0,0.0,6.0,13.0,0.0,0.0,188.0,0.0,5.0,34.0,61.0,18.0,34.0,12.0,27.0,7.0,13.0,10.0,128.0,9.0,29.0,10.0,24.0,2.0,6.0,9.0,30.0,61.0,19.0,53.0,49.0,f,f,,f,Argentina,2.0,13.0,6.0,0.0,255.0,0.0,4.0,29.0,53.0,20.0,29.0,14.0,24.0,4.0,6.0,9.0,209.0,16.0,34.0,15.0,27.0,6.0,13.0,10.0,34.0,53.0,31.0,61.0,65.0,t,f,t,Argentina
2011-11-07,2011-11-13,Argentina,Clay,75000.0,$,2011,andrey-kuznetsov,A. Kuznetsov,diego-junqueira,D. Junqueira,buenos-aires_challenger,Round of 32,3.0,f,100,3,01:49:00,163.0,1.0,11.0,14.0,0.0,0.0,204.0,5.0,3.0,34.0,65.0,22.0,34.0,11.0,31.0,5.0,11.0,12.0,176.0,33.0,80.0,11.0,18.0,5.0,14.0,13.0,33.0,65.0,44.0,98.0,77.0,f,f,Q,f,Argentina,2.0,14.0,11.0,0.0,239.0,0.0,2.0,80.0,98.0,47.0,80.0,7.0,18.0,9.0,14.0,13.0,205.0,12.0,34.0,20.0,31.0,6.0,11.0,12.0,54.0,98.0,32.0,65.0,86.0,t,f,t,Argentina
