start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,adam-feeney,A. Feeney,erik-chvojka,E. Chvojka,burnie_challenger,1st Round Qualifying,3.0,f,100,0,02:01:00,161.0,1.0,11.0,13.0,0.0,0.0,200.0,5.0,8.0,53.0,87.0,32.0,53.0,11.0,34.0,6.0,12.0,12.0,170.0,21.0,49.0,12.0,25.0,5.0,13.0,12.0,43.0,87.0,33.0,74.0,76.0,f,t,,t,Australia,2.0,13.0,11.0,0.0,234.0,5.0,4.0,49.0,74.0,28.0,49.0,13.0,25.0,8.0,13.0,12.0,208.0,21.0,53.0,23.0,34.0,6.0,12.0,12.0,41.0,74.0,44.0,87.0,85.0,t,t,f,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,alan-poric,,dennis-bloemke,,burnie_challenger,1st Round Qualifying,1.0,f,100,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Australia,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,alan-poric,A. Poric,matthew-barton,M. Barton,burnie_challenger,2nd Round Qualifying,2.0,f,100,1,00:42:00,81.0,0.0,1.0,12.0,0.0,0.0,144.0,1.0,4.0,29.0,47.0,15.0,29.0,3.0,18.0,4.0,9.0,6.0,37.0,1.0,18.0,5.0,16.0,0.0,0.0,7.0,18.0,47.0,6.0,34.0,24.0,f,f,,f,Australia,2.0,12.0,1.0,0.0,322.0,6.0,0.0,18.0,34.0,17.0,18.0,11.0,16.0,0.0,0.0,7.0,270.0,14.0,29.0,15.0,18.0,5.0,9.0,6.0,28.0,34.0,29.0,47.0,57.0,t,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,alex-j-trillini,A. Trillini,dane-propoggia,D. Propoggia,burnie_challenger,1st Round Qualifying,2.0,f,100,0,00:40:00,72.0,0.0,0.0,12.0,0.0,0.0,116.0,1.0,6.0,25.0,38.0,10.0,25.0,2.0,13.0,4.0,10.0,6.0,51.0,3.0,20.0,5.0,14.0,0.0,1.0,6.0,12.0,38.0,8.0,34.0,20.0,f,f,,f,Australia,2.0,12.0,0.0,0.0,310.0,3.0,1.0,20.0,34.0,17.0,20.0,9.0,14.0,1.0,1.0,6.0,305.0,15.0,25.0,11.0,13.0,6.0,10.0,6.0,26.0,34.0,26.0,38.0,52.0,t,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,andrew-gregory,A. Gregory,hiroki-moriya,H. Moriya,burnie_challenger,1st Round Qualifying,2.0,f,100,0,01:40:00,138.0,0.0,9.0,13.0,0.0,1.0,269.0,9.0,5.0,41.0,68.0,30.0,41.0,14.0,27.0,4.0,6.0,10.0,90.0,8.0,44.0,12.0,26.0,1.0,6.0,11.0,44.0,68.0,20.0,70.0,64.0,f,f,,f,Australia,2.0,13.0,9.0,1.0,290.0,4.0,3.0,44.0,70.0,36.0,44.0,14.0,26.0,5.0,6.0,11.0,128.0,11.0,41.0,13.0,27.0,2.0,6.0,10.0,50.0,70.0,24.0,68.0,74.0,t,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,andrew-whittington,A. Whittington,burnham-arlidge,B. Arlidge,burnie_challenger,1st Round Qualifying,1.0,f,100,0,00:52:00,91.0,1.0,7.0,5.0,0.0,0.0,247.0,0.0,3.0,25.0,46.0,14.0,25.0,12.0,21.0,3.0,4.0,6.0,168.0,11.0,31.0,10.0,14.0,2.0,7.0,6.0,26.0,46.0,21.0,45.0,47.0,t,t,WC,t,Australia,0.0,5.0,7.0,0.0,227.0,1.0,3.0,31.0,45.0,20.0,31.0,4.0,14.0,5.0,7.0,6.0,128.0,11.0,25.0,9.0,21.0,1.0,4.0,6.0,24.0,45.0,20.0,46.0,44.0,f,t,f,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,andrew-whittington,A. Whittington,dayne-kelly,D. Kelly,burnie_challenger,2nd Round Qualifying,2.0,f,100,1,00:59:00,92.0,0.0,4.0,12.0,0.0,0.0,201.0,2.0,5.0,27.0,49.0,17.0,27.0,8.0,22.0,1.0,5.0,8.0,65.0,5.0,33.0,5.0,10.0,0.0,0.0,8.0,25.0,49.0,10.0,43.0,35.0,f,f,WC,f,Australia,2.0,12.0,4.0,0.0,315.0,3.0,0.0,33.0,43.0,28.0,33.0,5.0,10.0,0.0,0.0,8.0,231.0,10.0,27.0,14.0,22.0,4.0,5.0,8.0,33.0,43.0,24.0,49.0,57.0,t,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,benjamin-mitchell,B. Mitchell,bernard-tomic,B. Tomic,burnie_challenger,Quarter-Finals,3.0,f,100,5,01:43:00,171.0,1.0,13.0,15.0,0.0,0.0,234.0,10.0,6.0,56.0,98.0,41.0,56.0,15.0,42.0,6.0,11.0,14.0,176.0,15.0,49.0,12.0,24.0,4.0,6.0,14.0,56.0,98.0,27.0,73.0,83.0,f,f,Q,f,Australia,2.0,15.0,13.0,0.0,260.0,4.0,1.0,49.0,73.0,34.0,49.0,12.0,24.0,2.0,6.0,14.0,171.0,15.0,56.0,27.0,42.0,5.0,11.0,14.0,46.0,73.0,42.0,98.0,88.0,t,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,benjamin-mitchell,B. Mitchell,erik-chvojka,E. Chvojka,burnie_challenger,Round of 16,3.0,f,100,4,02:04:00,164.0,2.0,15.0,11.0,0.0,0.0,228.0,3.0,1.0,46.0,83.0,27.0,46.0,19.0,37.0,8.0,13.0,13.0,237.0,28.0,59.0,13.0,22.0,7.0,9.0,13.0,46.0,83.0,41.0,81.0,87.0,t,f,Q,f,Australia,1.0,11.0,15.0,0.0,210.0,1.0,4.0,59.0,81.0,31.0,59.0,9.0,22.0,2.0,9.0,13.0,166.0,19.0,46.0,18.0,37.0,5.0,13.0,13.0,40.0,81.0,37.0,83.0,77.0,f,f,t,Australia
2011-01-31,2011-02-06,Australia,Hard,50000.0,$,2011,benjamin-mitchell,B. Mitchell,ivo-klec,I. Klec,burnie_challenger,Round of 32,3.0,f,100,3,02:18:00,211.0,2.0,17.0,14.0,0.0,0.0,276.0,7.0,3.0,62.0,95.0,44.0,62.0,18.0,33.0,2.0,5.0,16.0,134.0,31.0,69.0,18.0,47.0,4.0,16.0,15.0,62.0,95.0,49.0,116.0,111.0,t,f,Q,t,Australia,1.0,14.0,17.0,0.0,250.0,2.0,1.0,69.0,116.0,38.0,69.0,29.0,47.0,12.0,16.0,15.0,152.0,18.0,62.0,15.0,33.0,3.0,5.0,16.0,67.0,116.0,33.0,95.0,100.0,f,f,f,Australia
