start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,alexander-sarkissian,A. Sarkissian,duckhee-lee,D. Lee,busan_challenger,Round of 32,2.0,f,100,3,01:08:00,112.0,0.0,5.0,12.0,0.0,0.0,187.0,2.0,1.0,32.0,55.0,18.0,32.0,8.0,23.0,6.0,11.0,8.0,152.0,5.0,32.0,16.0,25.0,2.0,4.0,9.0,26.0,55.0,21.0,57.0,47.0,f,f,,f,Korea (Republic of),2.0,12.0,5.0,0.0,250.0,5.0,8.0,32.0,57.0,27.0,32.0,9.0,25.0,2.0,4.0,9.0,216.0,14.0,32.0,15.0,23.0,5.0,11.0,8.0,36.0,57.0,29.0,55.0,65.0,t,f,t,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,alexander-ward,A. Ward,liam-broady,L. Broady,busan_challenger,Round of 32,2.0,f,100,3,01:15:00,101.0,0.0,2.0,12.0,0.0,0.0,166.0,3.0,3.0,27.0,49.0,15.0,27.0,6.0,22.0,3.0,8.0,7.0,64.0,12.0,36.0,5.0,16.0,0.0,6.0,7.0,21.0,49.0,17.0,52.0,38.0,f,f,PR,f,Korea (Republic of),2.0,12.0,2.0,0.0,307.0,2.0,0.0,36.0,52.0,24.0,36.0,11.0,16.0,6.0,6.0,7.0,251.0,12.0,27.0,16.0,22.0,5.0,8.0,7.0,35.0,52.0,28.0,49.0,63.0,t,f,t,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,austin-krajicek,A. Krajicek,brydan-klein,B. Klein,busan_challenger,Round of 16,2.0,f,100,4,01:21:00,110.0,2.0,12.0,6.0,0.0,0.0,294.0,1.0,3.0,33.0,56.0,25.0,33.0,14.0,23.0,3.0,3.0,9.0,155.0,10.0,31.0,12.0,23.0,3.0,8.0,9.0,39.0,56.0,22.0,54.0,61.0,t,f,Q,t,Korea (Republic of),0.0,6.0,12.0,0.0,239.0,4.0,4.0,31.0,54.0,21.0,31.0,11.0,23.0,5.0,8.0,9.0,63.0,8.0,33.0,9.0,23.0,0.0,3.0,9.0,32.0,54.0,17.0,56.0,49.0,f,f,f,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,austin-krajicek,A. Krajicek,daniel-nguyen,D. Nguyen,busan_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,81.0,2.0,12.0,4.0,0.0,0.0,292.0,2.0,0.0,29.0,43.0,21.0,29.0,9.0,14.0,0.0,1.0,8.0,257.0,9.0,20.0,12.0,18.0,5.0,6.0,8.0,30.0,43.0,21.0,38.0,51.0,t,f,3,t,Korea (Republic of),0.0,4.0,12.0,0.0,179.0,2.0,1.0,20.0,38.0,11.0,20.0,6.0,18.0,1.0,6.0,8.0,176.0,8.0,29.0,5.0,14.0,1.0,1.0,8.0,17.0,38.0,13.0,43.0,30.0,f,f,f,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,austin-krajicek,A. Krajicek,dudi-sela,D. Sela,busan_challenger,Quarter-Finals,2.0,f,100,5,01:36:00,150.0,0.0,6.0,12.0,0.0,0.0,235.0,4.0,6.0,60.0,88.0,36.0,60.0,12.0,28.0,10.0,13.0,9.0,68.0,8.0,36.0,12.0,26.0,0.0,4.0,9.0,48.0,88.0,20.0,62.0,68.0,f,f,Q,f,Korea (Republic of),2.0,12.0,6.0,0.0,293.0,6.0,3.0,36.0,62.0,28.0,36.0,14.0,26.0,4.0,4.0,9.0,153.0,24.0,60.0,16.0,28.0,3.0,13.0,9.0,42.0,62.0,40.0,88.0,82.0,t,f,t,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,austin-krajicek,A. Krajicek,frederik-nielsen,F. Nielsen,busan_challenger,2nd Round Qualifying,2.0,f,100,1,01:05:00,95.0,2.0,12.0,5.0,0.0,0.0,290.0,2.0,0.0,28.0,46.0,19.0,28.0,13.0,18.0,4.0,5.0,8.0,234.0,17.0,33.0,9.0,16.0,5.0,7.0,9.0,32.0,46.0,26.0,49.0,58.0,t,f,3,t,Korea (Republic of),0.0,5.0,12.0,0.0,201.0,1.0,3.0,33.0,49.0,16.0,33.0,7.0,16.0,2.0,7.0,9.0,92.0,9.0,28.0,5.0,18.0,1.0,5.0,8.0,23.0,49.0,14.0,46.0,37.0,f,f,f,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,austin-krajicek,A. Krajicek,ruben-bemelmans,R. Bemelmans,busan_challenger,Round of 32,2.0,f,100,3,01:15:00,104.0,2.0,12.0,6.0,0.0,0.0,264.0,2.0,1.0,27.0,51.0,19.0,27.0,15.0,24.0,2.0,4.0,9.0,229.0,14.0,29.0,15.0,24.0,5.0,8.0,9.0,34.0,51.0,29.0,53.0,63.0,t,f,Q,t,Korea (Republic of),0.0,6.0,12.0,0.0,184.0,0.0,5.0,29.0,53.0,15.0,29.0,9.0,24.0,3.0,8.0,9.0,140.0,8.0,27.0,9.0,24.0,2.0,4.0,9.0,24.0,53.0,17.0,51.0,41.0,f,f,f,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,blaz-kavcic,B. Kavcic,go-soeda,G. Soeda,busan_challenger,Round of 16,3.0,f,100,4,02:03:00,149.0,1.0,13.0,12.0,0.0,0.0,224.0,4.0,6.0,40.0,72.0,30.0,40.0,11.0,32.0,2.0,7.0,13.0,182.0,20.0,49.0,14.0,28.0,5.0,10.0,12.0,41.0,72.0,34.0,77.0,75.0,f,f,3,f,Korea (Republic of),2.0,12.0,13.0,0.0,230.0,0.0,1.0,49.0,77.0,29.0,49.0,14.0,28.0,5.0,10.0,12.0,200.0,10.0,40.0,21.0,32.0,5.0,7.0,13.0,43.0,77.0,31.0,72.0,74.0,t,f,t,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,blaz-kavcic,B. Kavcic,sekou-bangoura,S. Bangoura,busan_challenger,Round of 32,3.0,f,100,3,02:36:00,197.0,2.0,19.0,12.0,0.0,1.0,228.0,5.0,10.0,63.0,103.0,43.0,63.0,15.0,40.0,9.0,14.0,15.0,232.0,31.0,58.0,18.0,36.0,9.0,13.0,15.0,58.0,103.0,49.0,94.0,107.0,t,f,3,t,Korea (Republic of),1.0,12.0,19.0,1.0,198.0,3.0,4.0,58.0,94.0,27.0,58.0,18.0,36.0,4.0,13.0,15.0,164.0,20.0,63.0,25.0,40.0,5.0,14.0,15.0,45.0,94.0,45.0,103.0,90.0,f,f,f,Korea (Republic of)
2017-05-15,2017-05-21,Korea (Republic of),Hard,150000.0,$,2017,bradley-mousley,B. Mousley,frederik-nielsen,F. Nielsen,busan_challenger,1st Round Qualifying,2.0,f,100,0,01:10:00,127.0,0.0,7.0,12.0,0.0,0.0,203.0,1.0,5.0,44.0,67.0,27.0,44.0,7.0,23.0,5.0,10.0,10.0,132.0,11.0,39.0,12.0,21.0,2.0,8.0,9.0,34.0,67.0,23.0,60.0,57.0,f,f,,f,Korea (Republic of),2.0,12.0,7.0,0.0,258.0,2.0,1.0,39.0,60.0,28.0,39.0,9.0,21.0,6.0,8.0,9.0,209.0,17.0,44.0,16.0,23.0,5.0,10.0,10.0,37.0,60.0,33.0,67.0,70.0,t,f,t,Korea (Republic of)
