start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adil-shamasdin,A. Shamasdin,artem-smirnov,A. Smirnov,bytom_challenger,2nd Round Qualifying,2.0,f,100,1,01:06:00,107.0,0.0,2.0,12.0,0.0,0.0,160.0,2.0,4.0,21.0,41.0,9.0,21.0,8.0,20.0,0.0,5.0,7.0,80.0,13.0,41.0,12.0,25.0,0.0,9.0,7.0,17.0,41.0,25.0,66.0,42.0,f,f,,f,Poland,2.0,12.0,2.0,0.0,286.0,5.0,1.0,41.0,66.0,28.0,41.0,13.0,25.0,9.0,9.0,7.0,288.0,12.0,21.0,12.0,20.0,5.0,5.0,7.0,41.0,66.0,24.0,41.0,65.0,t,f,t,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adil-shamasdin,A. Shamasdin,piotr-kropiwnicki,P. Kropiwnicki,bytom_challenger,1st Round Qualifying,2.0,f,100,0,01:06:00,104.0,2.0,12.0,4.0,0.0,0.0,273.0,1.0,1.0,31.0,45.0,18.0,31.0,10.0,14.0,1.0,3.0,8.0,238.0,11.0,28.0,25.0,31.0,6.0,14.0,8.0,28.0,45.0,36.0,59.0,64.0,t,f,,t,Poland,0.0,4.0,12.0,0.0,147.0,1.0,6.0,28.0,59.0,17.0,28.0,6.0,31.0,8.0,14.0,8.0,163.0,13.0,31.0,4.0,14.0,2.0,3.0,8.0,23.0,59.0,17.0,45.0,40.0,f,f,f,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adrian-garcia,A. Garcia,jakub-piter,J. Piter,bytom_challenger,1st Round Qualifying,3.0,f,100,0,01:38:00,155.0,1.0,13.0,15.0,0.0,0.0,249.0,2.0,11.0,52.0,82.0,35.0,52.0,15.0,30.0,3.0,6.0,14.0,185.0,11.0,53.0,10.0,20.0,2.0,2.0,14.0,50.0,82.0,21.0,73.0,71.0,f,f,2,f,Poland,2.0,15.0,13.0,0.0,289.0,4.0,2.0,53.0,73.0,42.0,53.0,10.0,20.0,0.0,2.0,14.0,154.0,17.0,52.0,15.0,30.0,3.0,6.0,14.0,52.0,73.0,32.0,82.0,84.0,t,f,t,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adrian-sikora,A. Sikora,maciej-rajski,M. Rajski,bytom_challenger,1st Round Qualifying,2.0,f,100,0,00:55:00,91.0,2.0,12.0,3.0,0.0,0.0,275.0,0.0,1.0,35.0,52.0,24.0,35.0,9.0,17.0,1.0,2.0,8.0,275.0,15.0,22.0,9.0,17.0,5.0,6.0,7.0,33.0,52.0,24.0,39.0,57.0,t,f,,t,Poland,0.0,3.0,12.0,0.0,164.0,1.0,0.0,22.0,39.0,7.0,22.0,8.0,17.0,1.0,6.0,7.0,140.0,11.0,35.0,8.0,17.0,1.0,2.0,8.0,15.0,39.0,19.0,52.0,34.0,f,f,f,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adrian-sikora,A. Sikora,mario-tupy,M. Tupy,bytom_challenger,2nd Round Qualifying,2.0,f,100,1,00:55:00,89.0,2.0,12.0,3.0,0.0,0.0,300.0,1.0,0.0,23.0,33.0,17.0,23.0,7.0,10.0,0.0,1.0,7.0,271.0,14.0,28.0,20.0,28.0,6.0,8.0,8.0,24.0,33.0,34.0,56.0,58.0,t,f,,t,Poland,0.0,3.0,12.0,0.0,150.0,1.0,5.0,28.0,56.0,14.0,28.0,8.0,28.0,2.0,8.0,8.0,170.0,6.0,23.0,3.0,10.0,1.0,1.0,7.0,22.0,56.0,9.0,33.0,31.0,f,f,f,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,adrian-sikora,A. Sikora,nicolas-todero,N. Todero,bytom_challenger,3rd Round Qualifying,2.0,f,100,2,01:22:00,125.0,0.0,8.0,13.0,0.0,1.0,258.0,1.0,2.0,53.0,68.0,31.0,53.0,8.0,15.0,6.0,9.0,10.0,100.0,7.0,42.0,6.0,15.0,1.0,3.0,10.0,39.0,68.0,13.0,57.0,52.0,f,f,,f,Poland,2.0,13.0,8.0,1.0,306.0,1.0,2.0,42.0,57.0,35.0,42.0,9.0,15.0,2.0,3.0,10.0,152.0,22.0,53.0,7.0,15.0,3.0,9.0,10.0,44.0,57.0,29.0,68.0,73.0,t,f,t,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,andrea-arnaboldi,A. Arnaboldi,artem-smirnov,A. Smirnov,bytom_challenger,Round of 32,2.0,f,100,3,01:47:00,137.0,0.0,9.0,13.0,0.0,1.0,261.0,1.0,0.0,49.0,71.0,27.0,49.0,14.0,22.0,3.0,6.0,11.0,130.0,10.0,34.0,13.0,32.0,1.0,2.0,10.0,41.0,71.0,23.0,66.0,64.0,f,f,,f,Poland,2.0,13.0,9.0,1.0,272.0,2.0,2.0,34.0,66.0,24.0,34.0,19.0,32.0,1.0,2.0,10.0,158.0,22.0,49.0,8.0,22.0,3.0,6.0,11.0,43.0,66.0,30.0,71.0,73.0,t,f,t,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,andriej-kapas,A. Kapas,jakub-jastrzebski,J. Jastrzebski,bytom_challenger,1st Round Qualifying,3.0,f,100,0,01:41:00,162.0,2.0,16.0,12.0,0.0,0.0,287.0,2.0,3.0,65.0,82.0,46.0,65.0,9.0,17.0,4.0,6.0,14.0,159.0,18.0,52.0,11.0,28.0,4.0,7.0,14.0,55.0,82.0,29.0,80.0,84.0,t,f,,t,Poland,1.0,12.0,16.0,0.0,263.0,4.0,3.0,52.0,80.0,34.0,52.0,17.0,28.0,3.0,7.0,14.0,123.0,19.0,65.0,8.0,17.0,2.0,6.0,14.0,51.0,80.0,27.0,82.0,78.0,f,f,f,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,andriej-kapas,A. Kapas,nicolas-todero,N. Todero,bytom_challenger,2nd Round Qualifying,2.0,f,100,1,01:10:00,121.0,0.0,6.0,12.0,0.0,0.0,224.0,3.0,2.0,47.0,72.0,26.0,47.0,12.0,25.0,4.0,8.0,9.0,90.0,5.0,29.0,9.0,20.0,1.0,6.0,9.0,38.0,72.0,14.0,49.0,52.0,f,f,,f,Poland,2.0,12.0,6.0,0.0,289.0,5.0,1.0,29.0,49.0,24.0,29.0,11.0,20.0,5.0,6.0,9.0,191.0,21.0,47.0,13.0,25.0,4.0,8.0,9.0,35.0,49.0,34.0,72.0,69.0,t,f,t,Poland
2009-06-15,2009-06-21,Poland,Clay,30000.0,€,2009,artem-smirnov,A. Smirnov,kaes-van't-hof,K. Van't Hof,bytom_challenger,3rd Round Qualifying,3.0,f,100,2,01:32:00,153.0,2.0,17.0,10.0,0.0,0.0,284.0,5.0,5.0,40.0,72.0,32.0,40.0,20.0,32.0,0.0,2.0,14.0,180.0,18.0,51.0,17.0,30.0,5.0,10.0,13.0,52.0,72.0,35.0,81.0,87.0,t,f,3,f,Poland,1.0,10.0,17.0,0.0,243.0,14.0,3.0,51.0,81.0,33.0,51.0,13.0,30.0,5.0,10.0,13.0,172.0,8.0,40.0,12.0,32.0,2.0,2.0,14.0,46.0,81.0,20.0,72.0,66.0,f,f,t,Poland
