,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adam-kellner,A. Kellner,adam-vejmelka,A. Vejmelka,bytom_challenger,Round of 32,3.0,f,100,3,01:46:00,183.0,2.0,15.0,11.0,0.0,0.0,256.0,2.0,3.0,57.0,87.0,39.0,57.0,14.0,30.0,11.0,14.0,13.0,189.0,30.0,70.0,15.0,26.0,5.0,10.0,13.0,53.0,87.0,45.0,96.0,98.0,t,f,Q,f,Poland,1.0,11.0,15.0,0.0,234.0,3.0,2.0,70.0,96.0,40.0,70.0,11.0,26.0,5.0,10.0,13.0,129.0,18.0,57.0,16.0,30.0,3.0,14.0,13.0,51.0,96.0,34.0,87.0,85.0,f,f,t,Poland
1,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adam-kellner,A. Kellner,alexander-lobkov,A. Lobkov,bytom_challenger,2nd Round Qualifying,2.0,f,100,1,01:14:00,112.0,2.0,12.0,3.0,0.0,0.0,261.0,1.0,5.0,30.0,54.0,21.0,30.0,13.0,24.0,7.0,8.0,7.0,253.0,18.0,32.0,16.0,26.0,6.0,10.0,8.0,34.0,54.0,34.0,58.0,68.0,t,f,8,t,Poland,0.0,3.0,12.0,0.0,162.0,2.0,2.0,32.0,58.0,14.0,32.0,10.0,26.0,4.0,10.0,8.0,103.0,9.0,30.0,11.0,24.0,1.0,8.0,7.0,24.0,58.0,20.0,54.0,44.0,f,f,f,Poland
2,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adam-kellner,A. Kellner,pablo-carreno-busta,P. Carreno Busta,bytom_challenger,3rd Round Qualifying,2.0,f,100,2,01:16:00,130.0,2.0,12.0,7.0,0.0,0.0,256.0,3.0,1.0,27.0,49.0,22.0,27.0,9.0,22.0,0.0,2.0,9.0,200.0,15.0,45.0,24.0,36.0,5.0,10.0,10.0,31.0,49.0,39.0,81.0,70.0,t,f,8,t,Poland,0.0,7.0,12.0,0.0,211.0,7.0,2.0,45.0,81.0,30.0,45.0,12.0,36.0,5.0,10.0,10.0,200.0,5.0,27.0,13.0,22.0,2.0,2.0,9.0,42.0,81.0,18.0,49.0,60.0,f,f,f,Poland
3,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adam-kellner,A. Kellner,paul-capdeville,P. Capdeville,bytom_challenger,Round of 16,3.0,f,100,4,02:35:00,223.0,1.0,14.0,18.0,1.0,1.0,236.0,3.0,1.0,62.0,122.0,36.0,62.0,34.0,60.0,13.0,18.0,16.0,107.0,21.0,70.0,13.0,31.0,2.0,9.0,15.0,70.0,122.0,34.0,101.0,104.0,f,f,Q,f,Poland,2.0,18.0,14.0,0.0,292.0,9.0,0.0,70.0,101.0,49.0,70.0,18.0,31.0,7.0,9.0,15.0,144.0,26.0,62.0,26.0,60.0,5.0,18.0,16.0,67.0,101.0,52.0,122.0,119.0,t,f,t,Poland
4,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adam-kellner,A. Kellner,robert-godlewski,R. Godlewski,bytom_challenger,1st Round Qualifying,2.0,f,100,0,01:15:00,120.0,2.0,12.0,8.0,0.0,0.0,308.0,1.0,1.0,30.0,55.0,22.0,30.0,20.0,25.0,1.0,1.0,10.0,130.0,12.0,33.0,11.0,32.0,2.0,5.0,10.0,42.0,55.0,23.0,65.0,65.0,t,f,8,t,Poland,0.0,8.0,12.0,0.0,264.0,3.0,0.0,33.0,65.0,21.0,33.0,21.0,32.0,3.0,5.0,10.0,47.0,8.0,30.0,5.0,25.0,0.0,1.0,10.0,42.0,65.0,13.0,55.0,55.0,f,f,f,Poland
5,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adrian-garcia,A. Garcia,blazej-koniusz,B. Koniusz,bytom_challenger,Round of 32,2.0,f,100,3,01:15:00,117.0,2.0,12.0,3.0,0.0,0.0,292.0,3.0,0.0,33.0,55.0,23.0,33.0,13.0,22.0,7.0,7.0,7.0,228.0,18.0,39.0,16.0,23.0,5.0,10.0,8.0,36.0,55.0,34.0,62.0,70.0,t,f,Q,t,Poland,0.0,3.0,12.0,0.0,183.0,3.0,4.0,39.0,62.0,21.0,39.0,7.0,23.0,5.0,10.0,8.0,71.0,10.0,33.0,9.0,22.0,0.0,7.0,7.0,28.0,62.0,19.0,55.0,47.0,f,f,f,Poland
6,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adrian-garcia,A. Garcia,jaroslav-pospisil,J. Pospisil,bytom_challenger,Round of 16,2.0,f,100,4,01:44:00,136.0,0.0,8.0,13.0,0.0,0.0,229.0,3.0,0.0,38.0,63.0,25.0,38.0,10.0,25.0,5.0,9.0,10.0,167.0,10.0,35.0,20.0,38.0,2.0,3.0,11.0,35.0,63.0,30.0,73.0,65.0,f,f,Q,f,Poland,2.0,13.0,8.0,0.0,248.0,3.0,2.0,35.0,73.0,25.0,35.0,18.0,38.0,1.0,3.0,11.0,178.0,13.0,38.0,15.0,25.0,4.0,9.0,10.0,43.0,73.0,28.0,63.0,71.0,t,f,t,Poland
7,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adrian-garcia,A. Garcia,marcin-gawron,M. Gawron,bytom_challenger,3rd Round Qualifying,2.0,f,100,2,01:41:00,140.0,2.0,13.0,10.0,1.0,1.0,261.0,2.0,3.0,48.0,66.0,32.0,48.0,9.0,18.0,3.0,6.0,11.0,168.0,26.0,57.0,9.0,17.0,4.0,12.0,11.0,41.0,66.0,35.0,74.0,76.0,t,f,6,t,Poland,0.0,10.0,13.0,0.0,242.0,1.0,0.0,57.0,74.0,31.0,57.0,8.0,17.0,8.0,12.0,11.0,160.0,16.0,48.0,9.0,18.0,3.0,6.0,11.0,39.0,74.0,25.0,66.0,64.0,f,f,f,Poland
8,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adrian-garcia,A. Garcia,mateusz-szmigiel,M. Szmigiel,bytom_challenger,2nd Round Qualifying,2.0,f,100,1,01:22:00,126.0,2.0,12.0,6.0,0.0,0.0,319.0,6.0,0.0,37.0,54.0,27.0,37.0,12.0,17.0,1.0,1.0,9.0,156.0,19.0,45.0,15.0,27.0,3.0,12.0,9.0,39.0,54.0,34.0,72.0,73.0,t,f,6,t,Poland,0.0,6.0,12.0,0.0,231.0,4.0,4.0,45.0,72.0,26.0,45.0,12.0,27.0,9.0,12.0,9.0,56.0,10.0,37.0,5.0,17.0,0.0,1.0,9.0,38.0,72.0,15.0,54.0,53.0,f,f,f,Poland
9,2010-06-14,2010-06-20,Poland,Clay,30000.0,€,2010,adrian-garcia,A. Garcia,piotr-gadomski,P. Gadomski,bytom_challenger,1st Round Qualifying,2.0,f,100,0,01:15:00,115.0,2.0,12.0,6.0,0.0,0.0,312.0,6.0,2.0,32.0,53.0,26.0,32.0,14.0,21.0,3.0,3.0,9.0,158.0,8.0,29.0,22.0,33.0,3.0,10.0,9.0,40.0,53.0,30.0,62.0,70.0,t,f,6,t,Poland,0.0,6.0,12.0,0.0,219.0,3.0,2.0,29.0,62.0,21.0,29.0,11.0,33.0,7.0,10.0,9.0,52.0,6.0,32.0,7.0,21.0,0.0,3.0,9.0,32.0,62.0,13.0,53.0,45.0,f,f,f,Poland
