start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,marco-cecchinato,M. Cecchinato,caltanissetta_challenger,Round of 16,2.0,f,100,4,00:49:00,63.0,0.0,1.0,10.0,0.0,0.0,149.0,0.0,3.0,20.0,30.0,11.0,20.0,1.0,10.0,1.0,5.0,5.0,56.0,2.0,20.0,6.0,13.0,0.0,0.0,6.0,12.0,30.0,8.0,33.0,20.0,f,t,,f,Italy,2.0,10.0,1.0,0.0,307.0,4.0,2.0,20.0,33.0,18.0,20.0,7.0,13.0,0.0,0.0,6.0,295.0,9.0,20.0,9.0,10.0,4.0,5.0,5.0,25.0,33.0,18.0,30.0,43.0,t,t,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,adrian-menendez-maceiras,A. Menendez-Maceiras,martin-alund,M. Alund,caltanissetta_challenger,Round of 32,3.0,f,100,3,02:40:00,208.0,2.0,17.0,14.0,0.0,0.0,274.0,2.0,1.0,57.0,92.0,40.0,57.0,21.0,35.0,1.0,4.0,16.0,150.0,32.0,80.0,16.0,36.0,4.0,10.0,15.0,61.0,92.0,48.0,116.0,109.0,t,f,,t,Italy,1.0,14.0,17.0,0.0,257.0,3.0,4.0,80.0,116.0,48.0,80.0,20.0,36.0,6.0,10.0,15.0,163.0,17.0,57.0,14.0,35.0,3.0,4.0,16.0,68.0,116.0,31.0,92.0,99.0,f,f,f,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,agustin-velotti,A. Velotti,guido-pella,G. Pella,caltanissetta_challenger,Round of 32,3.0,f,100,3,02:21:00,194.0,2.0,17.0,14.0,0.0,0.0,253.0,3.0,1.0,41.0,93.0,32.0,41.0,28.0,52.0,5.0,9.0,16.0,175.0,26.0,62.0,17.0,39.0,5.0,9.0,15.0,60.0,93.0,43.0,101.0,103.0,t,f,,f,Italy,1.0,14.0,17.0,0.0,237.0,2.0,6.0,62.0,101.0,36.0,62.0,22.0,39.0,4.0,9.0,15.0,137.0,9.0,41.0,24.0,52.0,4.0,9.0,16.0,58.0,101.0,33.0,93.0,91.0,f,f,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,agustin-velotti,A. Velotti,potito-starace,P. Starace,caltanissetta_challenger,Round of 16,2.0,f,100,4,01:11:00,105.0,0.0,5.0,12.0,0.0,0.0,192.0,2.0,3.0,27.0,58.0,17.0,27.0,12.0,31.0,6.0,11.0,9.0,140.0,8.0,34.0,7.0,13.0,1.0,2.0,8.0,29.0,58.0,15.0,47.0,44.0,f,f,,f,Italy,2.0,12.0,5.0,0.0,281.0,2.0,2.0,34.0,47.0,26.0,34.0,6.0,13.0,1.0,2.0,8.0,198.0,10.0,27.0,19.0,31.0,5.0,11.0,9.0,32.0,47.0,29.0,58.0,61.0,t,f,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,alberto-cammarata,A. Cammarata,maximilian-neuchrist,M. Neuchrist,caltanissetta_challenger,1st Round Qualifying,2.0,f,100,1,01:08:00,108.0,0.0,7.0,12.0,0.0,0.0,247.0,1.0,3.0,37.0,56.0,20.0,37.0,12.0,19.0,3.0,6.0,9.0,89.0,6.0,32.0,7.0,20.0,1.0,4.0,10.0,32.0,56.0,13.0,52.0,45.0,f,f,WC,f,Italy,2.0,12.0,7.0,0.0,299.0,5.0,4.0,32.0,52.0,26.0,32.0,13.0,20.0,3.0,4.0,10.0,166.0,17.0,37.0,7.0,19.0,3.0,6.0,9.0,39.0,52.0,24.0,56.0,63.0,t,f,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,alessandro-giannessi,A. Giannessi,federico-delbonis,F. Delbonis,caltanissetta_challenger,Round of 32,2.0,f,100,3,00:42:00,56.0,0.0,2.0,8.0,0.0,0.0,182.0,0.0,1.0,17.0,30.0,12.0,17.0,2.0,13.0,1.0,4.0,5.0,49.0,1.0,14.0,5.0,12.0,0.0,0.0,5.0,14.0,30.0,6.0,26.0,20.0,f,t,AL,f,Italy,2.0,8.0,2.0,0.0,307.0,2.0,0.0,14.0,26.0,13.0,14.0,7.0,12.0,0.0,0.0,5.0,249.0,5.0,17.0,11.0,13.0,3.0,4.0,5.0,20.0,26.0,16.0,30.0,36.0,t,t,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,alessio-di-mauro,A. Di Mauro,jorge-aguilar,J. Aguilar,caltanissetta_challenger,Round of 32,2.0,f,100,3,01:45:00,140.0,2.0,12.0,7.0,0.0,0.0,263.0,5.0,3.0,35.0,64.0,25.0,35.0,16.0,29.0,6.0,8.0,10.0,172.0,14.0,36.0,23.0,40.0,4.0,13.0,9.0,41.0,64.0,37.0,76.0,78.0,t,f,,t,Italy,0.0,7.0,12.0,0.0,199.0,2.0,9.0,36.0,76.0,22.0,36.0,17.0,40.0,9.0,13.0,9.0,119.0,10.0,35.0,13.0,29.0,2.0,8.0,10.0,39.0,76.0,23.0,64.0,62.0,f,f,f,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,alessio-di-mauro,A. Di Mauro,thiemo-de-bakker,T. de Bakker,caltanissetta_challenger,Round of 16,2.0,f,100,4,01:46:00,132.0,0.0,8.0,12.0,0.0,0.0,203.0,2.0,3.0,33.0,63.0,18.0,33.0,14.0,30.0,3.0,8.0,10.0,171.0,12.0,37.0,19.0,32.0,3.0,6.0,10.0,32.0,63.0,31.0,69.0,63.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,237.0,4.0,0.0,37.0,69.0,25.0,37.0,13.0,32.0,3.0,6.0,10.0,211.0,15.0,33.0,16.0,30.0,5.0,8.0,10.0,38.0,69.0,31.0,63.0,69.0,t,f,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,andrea-arnaboldi,A. Arnaboldi,dominik-meffert,D. Meffert,caltanissetta_challenger,Round of 32,2.0,f,100,3,01:10:00,106.0,0.0,5.0,12.0,0.0,0.0,237.0,1.0,1.0,29.0,45.0,16.0,29.0,9.0,16.0,1.0,4.0,8.0,77.0,9.0,43.0,10.0,18.0,0.0,0.0,9.0,25.0,45.0,19.0,61.0,44.0,f,f,Q,f,Italy,2.0,12.0,5.0,0.0,298.0,6.0,1.0,43.0,61.0,34.0,43.0,8.0,18.0,0.0,0.0,9.0,201.0,13.0,29.0,7.0,16.0,3.0,4.0,8.0,42.0,61.0,20.0,45.0,62.0,t,f,t,Italy
2013-06-04,2013-06-09,Italy,Clay,85000.0,€,2013,andrea-arnaboldi,A. Arnaboldi,ignazio-d'amico,I. D'amico,caltanissetta_challenger,1st Round Qualifying,2.0,f,100,1,00:47:00,82.0,2.0,12.0,2.0,0.0,0.0,287.0,3.0,1.0,23.0,39.0,21.0,23.0,8.0,16.0,2.0,3.0,7.0,288.0,14.0,26.0,14.0,17.0,6.0,9.0,7.0,29.0,39.0,28.0,43.0,57.0,t,f,3,t,Italy,0.0,2.0,12.0,0.0,135.0,0.0,3.0,26.0,43.0,12.0,26.0,3.0,17.0,3.0,9.0,7.0,106.0,2.0,23.0,8.0,16.0,1.0,3.0,7.0,15.0,43.0,10.0,39.0,25.0,f,f,f,Italy
