start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,albert-montanes,A. Montanes,edouard-roger-vasselin,E. Roger-Vasselin,casablanca,Round of 32,3.0,f,250,3,01:49:00,171.0,1.0,14.0,15.0,0.0,0.0,258.0,6.0,6.0,57.0,88.0,38.0,57.0,17.0,31.0,6.0,10.0,14.0,169.0,15.0,46.0,16.0,37.0,4.0,6.0,15.0,55.0,88.0,31.0,83.0,86.0,f,f,,t,Morocco,2.0,15.0,14.0,0.0,250.0,1.0,3.0,46.0,83.0,31.0,46.0,21.0,37.0,2.0,6.0,15.0,146.0,19.0,57.0,14.0,31.0,4.0,10.0,14.0,52.0,83.0,33.0,88.0,85.0,t,f,f,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,alessandro-giannessi,A. Giannessi,gianluca-naso,G. Naso,casablanca,1st Round Qualifying,2.0,f,250,0,01:30:00,123.0,0.0,9.0,13.0,0.0,1.0,236.0,4.0,2.0,35.0,55.0,21.0,35.0,10.0,20.0,0.0,4.0,10.0,195.0,17.0,51.0,6.0,17.0,3.0,3.0,11.0,31.0,55.0,23.0,68.0,54.0,f,f,,f,Morocco,2.0,13.0,9.0,1.0,283.0,4.0,0.0,51.0,68.0,34.0,51.0,11.0,17.0,0.0,3.0,11.0,230.0,14.0,35.0,10.0,20.0,4.0,4.0,10.0,45.0,68.0,24.0,55.0,69.0,t,f,t,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,alexander-peya,,roberto-carballes-baena,,casablanca,1st Round Qualifying,1.0,f,250,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,,,Morocco,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,aljaz-bedene,A. Bedene,benoit-paire,B. Paire,casablanca,Round of 16,3.0,f,250,4,02:03:00,194.0,1.0,13.0,16.0,0.0,0.0,218.0,4.0,8.0,48.0,103.0,34.0,48.0,24.0,55.0,9.0,15.0,15.0,151.0,10.0,35.0,28.0,56.0,4.0,9.0,14.0,58.0,103.0,38.0,91.0,96.0,f,f,,t,Morocco,2.0,16.0,13.0,0.0,237.0,11.0,4.0,35.0,91.0,25.0,35.0,28.0,56.0,5.0,9.0,14.0,165.0,14.0,48.0,31.0,55.0,6.0,15.0,15.0,53.0,91.0,45.0,103.0,98.0,t,f,f,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,aljaz-bedene,A. Bedene,marc-gicquel,M. Gicquel,casablanca,Round of 32,2.0,f,250,3,00:58:00,95.0,2.0,12.0,5.0,0.0,0.0,327.0,8.0,0.0,27.0,45.0,22.0,27.0,14.0,18.0,0.0,0.0,9.0,163.0,13.0,30.0,10.0,20.0,3.0,9.0,8.0,36.0,45.0,23.0,50.0,59.0,t,f,,t,Morocco,0.0,5.0,12.0,0.0,230.0,2.0,1.0,30.0,50.0,17.0,30.0,10.0,20.0,6.0,9.0,8.0,41.0,5.0,27.0,4.0,18.0,0.0,0.0,9.0,27.0,50.0,9.0,45.0,36.0,f,f,f,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,ayoub-chakrouni,A. Chakrouni,dominic-thiem,D. Thiem,casablanca,1st Round Qualifying,2.0,f,250,0,00:57:00,95.0,0.0,4.0,12.0,0.0,0.0,207.0,0.0,2.0,39.0,49.0,23.0,39.0,2.0,10.0,3.0,7.0,8.0,40.0,11.0,34.0,1.0,12.0,0.0,0.0,8.0,25.0,49.0,12.0,46.0,37.0,f,f,,f,Morocco,2.0,12.0,4.0,0.0,335.0,1.0,0.0,34.0,46.0,23.0,34.0,11.0,12.0,0.0,0.0,8.0,228.0,16.0,39.0,8.0,10.0,4.0,7.0,8.0,34.0,46.0,24.0,49.0,58.0,t,f,t,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,benoit-paire,B. Paire,tommy-robredo,T. Robredo,casablanca,Quarter-Finals,3.0,f,250,5,01:51:00,171.0,1.0,12.0,15.0,0.0,1.0,236.0,5.0,3.0,35.0,74.0,26.0,35.0,17.0,39.0,0.0,4.0,13.0,139.0,25.0,61.0,15.0,36.0,3.0,9.0,13.0,43.0,74.0,40.0,97.0,83.0,f,f,4,f,Morocco,2.0,15.0,12.0,1.0,255.0,3.0,4.0,61.0,97.0,36.0,61.0,21.0,36.0,6.0,9.0,13.0,212.0,9.0,35.0,22.0,39.0,4.0,4.0,13.0,57.0,97.0,31.0,74.0,88.0,t,f,t,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,bjorn-phau,B. Phau,henri-laaksonen,H. Laaksonen,casablanca,3rd Round Qualifying,2.0,f,250,2,01:08:00,112.0,0.0,4.0,12.0,0.0,0.0,209.0,2.0,3.0,36.0,62.0,20.0,36.0,12.0,26.0,4.0,8.0,8.0,55.0,5.0,23.0,9.0,27.0,0.0,2.0,8.0,32.0,62.0,14.0,50.0,46.0,f,f,3,f,Morocco,2.0,12.0,4.0,0.0,290.0,1.0,2.0,23.0,50.0,18.0,23.0,18.0,27.0,2.0,2.0,8.0,198.0,16.0,36.0,14.0,26.0,4.0,8.0,8.0,36.0,50.0,30.0,62.0,66.0,t,f,t,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,bjorn-phau,B. Phau,michal-mertinak,M. Mertinak,casablanca,2nd Round Qualifying,2.0,f,250,1,01:05:00,106.0,2.0,12.0,3.0,0.0,0.0,309.0,1.0,1.0,22.0,39.0,18.0,22.0,12.0,17.0,0.0,0.0,7.0,213.0,11.0,28.0,26.0,39.0,5.0,11.0,8.0,30.0,39.0,37.0,67.0,67.0,t,f,3,t,Morocco,0.0,3.0,12.0,0.0,168.0,1.0,6.0,28.0,67.0,17.0,28.0,13.0,39.0,6.0,11.0,8.0,47.0,4.0,22.0,5.0,17.0,0.0,0.0,7.0,30.0,67.0,9.0,39.0,39.0,f,f,f,Morocco
2013-04-08,2013-04-14,Morocco,Clay,410200.0,€,2013,bjorn-phau,B. Phau,youssef-tamimount,Y. Tamimount,casablanca,1st Round Qualifying,2.0,f,250,0,00:45:00,78.0,2.0,12.0,1.0,0.0,0.0,299.0,3.0,4.0,26.0,43.0,21.0,26.0,10.0,17.0,1.0,1.0,7.0,294.0,9.0,19.0,13.0,16.0,5.0,6.0,6.0,31.0,43.0,22.0,35.0,53.0,t,f,3,t,Morocco,0.0,1.0,12.0,0.0,135.0,0.0,7.0,19.0,35.0,10.0,19.0,3.0,16.0,1.0,6.0,6.0,60.0,5.0,26.0,7.0,17.0,0.0,1.0,7.0,13.0,35.0,12.0,43.0,25.0,f,f,f,Morocco
