,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,abdelkader-benabdellah,A. Benabdellah,mohamed-saber,M. Saber,casablanca_challenger,1st Round Qualifying,2.0,f,100,0,00:49:00,90.0,0.0,2.0,12.0,0.0,0.0,170.0,0.0,1.0,34.0,50.0,17.0,34.0,4.0,16.0,8.0,13.0,7.0,57.0,5.0,27.0,5.0,13.0,0.0,2.0,7.0,21.0,50.0,10.0,40.0,31.0,f,f,,f,Morocco,2.0,12.0,2.0,0.0,310.0,0.0,1.0,27.0,40.0,22.0,27.0,8.0,13.0,2.0,2.0,7.0,234.0,17.0,34.0,12.0,16.0,5.0,13.0,7.0,30.0,40.0,29.0,50.0,59.0,t,f,t,Morocco
1,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,alexander-flock,A. Flock,casablanca_challenger,3rd Round Qualifying,2.0,f,100,2,00:59:00,107.0,2.0,12.0,6.0,0.0,0.0,258.0,0.0,0.0,28.0,53.0,19.0,28.0,15.0,25.0,1.0,3.0,9.0,224.0,19.0,38.0,10.0,16.0,5.0,9.0,9.0,34.0,53.0,29.0,54.0,63.0,t,f,5,t,Morocco,0.0,6.0,12.0,0.0,202.0,0.0,0.0,38.0,54.0,19.0,38.0,6.0,16.0,4.0,9.0,9.0,161.0,9.0,28.0,10.0,25.0,2.0,3.0,9.0,25.0,54.0,19.0,53.0,44.0,f,f,f,Morocco
2,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,antonio-veic,A. Veic,casablanca_challenger,Round of 16,3.0,f,100,4,02:18:00,178.0,2.0,15.0,13.0,0.0,0.0,264.0,4.0,5.0,61.0,95.0,46.0,61.0,14.0,34.0,5.0,7.0,14.0,172.0,16.0,48.0,15.0,35.0,3.0,4.0,14.0,60.0,95.0,31.0,83.0,91.0,t,f,Q,f,Morocco,1.0,13.0,15.0,0.0,263.0,6.0,3.0,48.0,83.0,32.0,48.0,20.0,35.0,1.0,4.0,14.0,127.0,15.0,61.0,20.0,34.0,2.0,7.0,14.0,52.0,83.0,35.0,95.0,87.0,f,f,t,Morocco
3,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,ignacio-coll-riudavets,I. Coll-Riudavets,casablanca_challenger,1st Round Qualifying,2.0,f,100,0,01:11:00,100.0,2.0,12.0,3.0,0.0,0.0,301.0,5.0,3.0,26.0,48.0,20.0,26.0,15.0,22.0,1.0,1.0,8.0,227.0,15.0,33.0,11.0,19.0,4.0,6.0,7.0,35.0,48.0,26.0,52.0,61.0,t,f,5,t,Morocco,0.0,3.0,12.0,0.0,202.0,2.0,2.0,33.0,52.0,18.0,33.0,8.0,19.0,2.0,6.0,7.0,55.0,6.0,26.0,7.0,22.0,0.0,1.0,8.0,26.0,52.0,13.0,48.0,39.0,f,f,f,Morocco
4,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,jaroslav-pospisil,J. Pospisil,casablanca_challenger,Quarter-Finals,2.0,f,100,5,01:56:00,143.0,0.0,9.0,13.0,0.0,0.0,250.0,7.0,4.0,45.0,74.0,33.0,45.0,12.0,29.0,4.0,7.0,11.0,103.0,8.0,41.0,15.0,28.0,1.0,5.0,11.0,45.0,74.0,23.0,69.0,68.0,f,f,Q,f,Morocco,2.0,13.0,9.0,0.0,284.0,10.0,1.0,41.0,69.0,33.0,41.0,13.0,28.0,4.0,5.0,11.0,156.0,12.0,45.0,17.0,29.0,3.0,7.0,11.0,46.0,69.0,29.0,74.0,75.0,t,f,t,Morocco
5,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,reda-el-amrani,R. El Amrani,casablanca_challenger,Round of 32,2.0,f,100,3,01:25:00,123.0,2.0,13.0,6.0,1.0,1.0,253.0,2.0,1.0,37.0,59.0,25.0,37.0,12.0,22.0,4.0,7.0,9.0,249.0,22.0,45.0,15.0,19.0,6.0,11.0,9.0,37.0,59.0,37.0,64.0,74.0,t,f,Q,t,Morocco,0.0,6.0,13.0,0.0,168.0,1.0,8.0,45.0,64.0,23.0,45.0,4.0,19.0,5.0,11.0,9.0,153.0,12.0,37.0,10.0,22.0,3.0,7.0,9.0,27.0,64.0,22.0,59.0,49.0,f,f,f,Morocco
6,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,walter-trusendi,W. Trusendi,casablanca_challenger,2nd Round Qualifying,2.0,f,100,1,01:55:00,130.0,2.0,13.0,9.0,0.0,0.0,261.0,3.0,4.0,33.0,66.0,26.0,33.0,17.0,33.0,2.0,4.0,11.0,174.0,20.0,45.0,7.0,19.0,4.0,7.0,11.0,43.0,66.0,27.0,64.0,70.0,t,f,5,t,Morocco,0.0,9.0,13.0,0.0,251.0,0.0,1.0,45.0,64.0,25.0,45.0,12.0,19.0,3.0,7.0,11.0,137.0,7.0,33.0,16.0,33.0,2.0,4.0,11.0,37.0,64.0,23.0,66.0,60.0,f,f,f,Morocco
7,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,aldin-setkic,A. Setkic,andrea-arnaboldi,A. Arnaboldi,casablanca_challenger,1st Round Qualifying,3.0,f,100,0,01:53:00,167.0,1.0,9.0,15.0,0.0,0.0,231.0,8.0,7.0,45.0,78.0,33.0,45.0,11.0,33.0,5.0,9.0,12.0,89.0,18.0,53.0,14.0,36.0,1.0,12.0,12.0,44.0,78.0,32.0,89.0,76.0,f,f,,t,Morocco,2.0,15.0,9.0,0.0,277.0,3.0,4.0,53.0,89.0,35.0,53.0,22.0,36.0,11.0,12.0,12.0,171.0,12.0,45.0,22.0,33.0,4.0,9.0,12.0,57.0,89.0,34.0,78.0,91.0,t,f,f,Morocco
8,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,alessio-di-mauro,A. Di Mauro,evgeny-donskoy,E. Donskoy,casablanca_challenger,Finals,3.0,f,100,7,01:59:00,154.0,1.0,12.0,14.0,0.0,0.0,241.0,2.0,2.0,36.0,69.0,26.0,36.0,16.0,33.0,2.0,6.0,13.0,148.0,15.0,47.0,19.0,38.0,3.0,7.0,13.0,42.0,69.0,34.0,85.0,76.0,f,f,7,t,Morocco,2.0,14.0,12.0,0.0,251.0,3.0,1.0,47.0,85.0,32.0,47.0,19.0,38.0,4.0,7.0,13.0,177.0,10.0,36.0,17.0,33.0,4.0,6.0,13.0,51.0,85.0,27.0,69.0,78.0,t,f,f,Morocco
9,2011-02-21,2011-02-27,Morocco,Clay,30000.0,€,2011,alessio-di-mauro,A. Di Mauro,franko-skugor,F. Skugor,casablanca_challenger,Semi-Finals,3.0,f,100,6,02:44:00,216.0,2.0,19.0,15.0,1.0,2.0,269.0,7.0,3.0,50.0,105.0,35.0,50.0,33.0,55.0,4.0,6.0,16.0,145.0,23.0,71.0,19.0,40.0,4.0,10.0,16.0,68.0,105.0,42.0,111.0,110.0,t,f,7,f,Morocco,1.0,15.0,19.0,1.0,262.0,5.0,3.0,71.0,111.0,48.0,71.0,21.0,40.0,6.0,10.0,16.0,115.0,15.0,50.0,22.0,55.0,2.0,6.0,16.0,69.0,111.0,37.0,105.0,106.0,f,f,t,Morocco
