,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,abhijeet-tiwari,A. Tiwari,rohan-gajjar,R. Gajjar,chennai,1st Round Qualifying,3.0,f,250,0,01:38:00,157.0,1.0,12.0,15.0,0.0,1.0,223.0,1.0,5.0,53.0,81.0,33.0,53.0,11.0,28.0,8.0,13.0,13.0,201.0,14.0,43.0,19.0,33.0,4.0,5.0,13.0,44.0,81.0,33.0,76.0,77.0,f,f,WC,f,India,2.0,15.0,12.0,1.0,240.0,7.0,2.0,43.0,76.0,29.0,43.0,14.0,33.0,1.0,5.0,13.0,175.0,20.0,53.0,17.0,28.0,5.0,13.0,13.0,43.0,76.0,37.0,81.0,80.0,t,f,t,India
1,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alberto-martin,A. Martin,marin-cilic,M. Cilic,chennai,Round of 32,2.0,f,250,3,01:32:00,132.0,0.0,8.0,12.0,0.0,0.0,261.0,0.0,3.0,36.0,63.0,23.0,36.0,17.0,27.0,1.0,3.0,10.0,64.0,8.0,35.0,14.0,34.0,0.0,5.0,10.0,40.0,63.0,22.0,69.0,62.0,f,f,,f,India,2.0,12.0,8.0,0.0,288.0,4.0,3.0,35.0,69.0,27.0,35.0,20.0,34.0,5.0,5.0,10.0,160.0,13.0,36.0,10.0,27.0,2.0,3.0,10.0,47.0,69.0,23.0,63.0,70.0,t,f,t,India
2,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,rajeev-ram,R. Ram,chennai,3rd Round Qualifying,3.0,f,250,2,02:25:00,234.0,1.0,14.0,18.0,1.0,1.0,268.0,12.0,5.0,67.0,120.0,47.0,67.0,26.0,53.0,9.0,11.0,15.0,69.0,18.0,71.0,19.0,43.0,0.0,11.0,16.0,73.0,120.0,37.0,114.0,110.0,f,f,5,f,India,2.0,18.0,14.0,0.0,308.0,16.0,1.0,71.0,114.0,53.0,71.0,24.0,43.0,11.0,11.0,16.0,112.0,20.0,67.0,27.0,53.0,2.0,11.0,15.0,77.0,114.0,47.0,120.0,124.0,t,f,t,India
3,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,sunil-kumar-sipaeya,S. Sipaeya,chennai,1st Round Qualifying,2.0,f,250,0,01:24:00,142.0,2.0,13.0,9.0,0.0,0.0,258.0,6.0,4.0,43.0,81.0,33.0,43.0,17.0,38.0,5.0,7.0,11.0,215.0,12.0,35.0,17.0,26.0,4.0,5.0,11.0,50.0,81.0,29.0,61.0,79.0,t,f,5,t,India,0.0,9.0,13.0,0.0,217.0,2.0,6.0,35.0,61.0,23.0,35.0,9.0,26.0,1.0,5.0,11.0,125.0,10.0,43.0,21.0,38.0,2.0,7.0,11.0,32.0,61.0,31.0,81.0,63.0,f,f,f,India
4,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-kudryavtsev,A. Kudryavtsev,vignesh-peranamallur,V. Peranamallur,chennai,2nd Round Qualifying,2.0,f,250,1,01:33:00,140.0,2.0,13.0,7.0,1.0,1.0,281.0,6.0,4.0,48.0,73.0,33.0,48.0,14.0,25.0,9.0,10.0,9.0,196.0,14.0,41.0,17.0,26.0,4.0,7.0,10.0,47.0,73.0,31.0,67.0,78.0,t,f,5,t,India,0.0,7.0,13.0,0.0,223.0,2.0,1.0,41.0,67.0,27.0,41.0,9.0,26.0,3.0,7.0,10.0,96.0,15.0,48.0,11.0,25.0,1.0,10.0,9.0,36.0,67.0,26.0,73.0,62.0,f,f,f,India
5,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-satschko,A. Satschko,flavio-cipolla,F. Cipolla,chennai,3rd Round Qualifying,2.0,f,250,2,01:13:00,94.0,0.0,4.0,12.0,0.0,0.0,185.0,2.0,3.0,26.0,44.0,16.0,26.0,5.0,18.0,1.0,6.0,8.0,105.0,6.0,29.0,11.0,21.0,1.0,5.0,8.0,21.0,44.0,17.0,50.0,38.0,f,f,7,f,India,2.0,12.0,4.0,0.0,270.0,0.0,2.0,29.0,50.0,23.0,29.0,10.0,21.0,4.0,5.0,8.0,255.0,10.0,26.0,13.0,18.0,5.0,6.0,8.0,33.0,50.0,23.0,44.0,56.0,t,f,t,India
6,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-satschko,A. Satschko,lovro-zovko,L. Zovko,chennai,1st Round Qualifying,2.0,f,250,0,01:27:00,135.0,2.0,13.0,7.0,0.0,0.0,278.0,8.0,2.0,40.0,63.0,32.0,40.0,9.0,23.0,5.0,6.0,10.0,168.0,11.0,30.0,23.0,42.0,4.0,11.0,10.0,41.0,63.0,34.0,72.0,75.0,t,f,7,t,India,0.0,7.0,13.0,0.0,209.0,5.0,6.0,30.0,72.0,19.0,30.0,19.0,42.0,7.0,11.0,10.0,108.0,8.0,40.0,14.0,23.0,1.0,6.0,10.0,38.0,72.0,22.0,63.0,60.0,f,f,f,India
7,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,alexander-satschko,A. Satschko,rohan-gajjar,R. Gajjar,chennai,2nd Round Qualifying,2.0,f,250,1,01:16:00,107.0,2.0,12.0,6.0,0.0,0.0,296.0,1.0,1.0,26.0,51.0,21.0,26.0,16.0,25.0,0.0,0.0,9.0,171.0,6.0,27.0,19.0,29.0,3.0,6.0,9.0,37.0,51.0,25.0,56.0,62.0,t,f,7,t,India,0.0,6.0,12.0,0.0,223.0,0.0,3.0,27.0,56.0,21.0,27.0,10.0,29.0,3.0,6.0,9.0,55.0,5.0,26.0,9.0,25.0,0.0,0.0,9.0,31.0,56.0,14.0,51.0,45.0,f,f,f,India
8,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,andreas-beck,A. Beck,marcel-granollers,M. Granollers,chennai,Round of 16,2.0,f,250,4,01:00:00,119.0,0.0,5.0,12.0,0.0,0.0,191.0,1.0,6.0,40.0,70.0,23.0,40.0,11.0,30.0,10.0,15.0,9.0,107.0,5.0,28.0,11.0,21.0,1.0,4.0,8.0,34.0,70.0,16.0,49.0,50.0,f,f,,f,India,2.0,12.0,5.0,0.0,279.0,7.0,2.0,28.0,49.0,23.0,28.0,10.0,21.0,3.0,4.0,8.0,194.0,17.0,40.0,19.0,30.0,5.0,15.0,9.0,33.0,49.0,36.0,70.0,69.0,t,f,t,India
9,2009-01-05,2009-01-11,India,Hard,398250.0,$,2009,andreas-beck,A. Beck,roko-karanusic,R. Karanusic,chennai,Round of 32,2.0,f,250,3,00:39:00,76.0,2.0,12.0,1.0,0.0,0.0,343.0,3.0,0.0,25.0,31.0,19.0,25.0,5.0,6.0,0.0,0.0,6.0,297.0,20.0,36.0,8.0,9.0,6.0,9.0,7.0,24.0,31.0,28.0,45.0,52.0,t,f,,t,India,0.0,1.0,12.0,0.0,147.0,2.0,4.0,36.0,45.0,16.0,36.0,1.0,9.0,3.0,9.0,7.0,41.0,6.0,25.0,1.0,6.0,0.0,0.0,6.0,17.0,45.0,7.0,31.0,24.0,f,f,f,India
