start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,lukas-lacko,L. Lacko,yen-hsun-lu,Y. Lu,chennai,Round of 32,2.0,f,250,3,01:31:00,130.0,2.0,12.0,7.0,0.0,0.0,259.0,5.0,3.0,35.0,63.0,21.0,35.0,18.0,28.0,8.0,10.0,9.0,201.0,15.0,32.0,19.0,35.0,5.0,10.0,10.0,39.0,63.0,34.0,67.0,73.0,t,f,,t,India,0.0,7.0,12.0,0.0,191.0,0.0,6.0,32.0,67.0,17.0,32.0,16.0,35.0,5.0,10.0,10.0,118.0,14.0,35.0,10.0,28.0,2.0,10.0,9.0,33.0,67.0,24.0,63.0,57.0,f,f,f,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,aisam-ul-haq-qureshi,A. Qureshi,donald-young,D. Young,chennai,1st Round Qualifying,2.0,f,250,0,01:19:00,117.0,0.0,8.0,12.0,0.0,0.0,245.0,3.0,2.0,44.0,69.0,29.0,44.0,11.0,25.0,9.0,12.0,10.0,100.0,2.0,27.0,7.0,21.0,1.0,2.0,10.0,40.0,69.0,9.0,48.0,49.0,f,f,,f,India,2.0,12.0,8.0,0.0,307.0,3.0,2.0,27.0,48.0,25.0,27.0,14.0,21.0,1.0,2.0,10.0,145.0,15.0,44.0,14.0,25.0,3.0,12.0,10.0,39.0,48.0,29.0,69.0,68.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,alex-bogomolov-jr.,A. Bogomolov Jr.,tatsuma-ito,T. Ito,chennai,1st Round Qualifying,2.0,f,250,0,01:48:00,136.0,0.0,9.0,13.0,0.0,1.0,249.0,5.0,5.0,55.0,79.0,36.0,55.0,10.0,24.0,5.0,8.0,11.0,169.0,4.0,31.0,12.0,26.0,1.0,1.0,10.0,46.0,79.0,16.0,57.0,62.0,f,f,,f,India,2.0,13.0,9.0,1.0,293.0,10.0,2.0,31.0,57.0,27.0,31.0,14.0,26.0,0.0,1.0,10.0,158.0,19.0,55.0,14.0,24.0,3.0,8.0,11.0,41.0,57.0,33.0,79.0,74.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,benjamin-balleret,B. Balleret,louk-sorensen,L. Sorensen,chennai,1st Round Qualifying,3.0,f,250,0,01:44:00,157.0,1.0,8.0,14.0,0.0,0.0,209.0,3.0,4.0,53.0,97.0,31.0,53.0,19.0,44.0,12.0,17.0,11.0,156.0,10.0,41.0,9.0,19.0,2.0,3.0,11.0,50.0,97.0,19.0,60.0,69.0,f,f,,f,India,2.0,14.0,8.0,0.0,279.0,2.0,1.0,41.0,60.0,31.0,41.0,10.0,19.0,1.0,3.0,11.0,173.0,22.0,53.0,25.0,44.0,5.0,17.0,11.0,41.0,60.0,47.0,97.0,88.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,bjorn-phau,B. Phau,santiago-giraldo,S. Giraldo,chennai,Round of 32,3.0,f,250,3,02:03:00,186.0,1.0,14.0,18.0,1.0,1.0,252.0,4.0,3.0,45.0,88.0,32.0,45.0,24.0,43.0,1.0,5.0,15.0,127.0,10.0,52.0,21.0,46.0,2.0,4.0,16.0,56.0,88.0,31.0,98.0,87.0,f,f,,f,India,2.0,18.0,14.0,0.0,279.0,6.0,2.0,52.0,98.0,42.0,52.0,25.0,46.0,2.0,4.0,16.0,179.0,13.0,45.0,19.0,43.0,4.0,5.0,15.0,67.0,98.0,32.0,88.0,99.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,carlos-moya,C. Moya,janko-tipsarevic,J. Tipsarevic,chennai,Round of 32,2.0,f,250,3,01:32:00,122.0,0.0,9.0,13.0,0.0,1.0,256.0,3.0,3.0,38.0,61.0,27.0,38.0,10.0,23.0,2.0,4.0,10.0,161.0,6.0,35.0,9.0,26.0,1.0,1.0,11.0,37.0,61.0,15.0,61.0,52.0,f,f,WC,f,India,2.0,13.0,9.0,1.0,297.0,3.0,1.0,35.0,61.0,29.0,35.0,17.0,26.0,0.0,1.0,11.0,156.0,11.0,38.0,13.0,23.0,2.0,4.0,10.0,46.0,61.0,24.0,61.0,70.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,daniel-brands,D. Brands,kevin-kim,K. Kim,chennai,Round of 32,2.0,f,250,3,01:08:00,106.0,0.0,4.0,12.0,0.0,0.0,211.0,5.0,3.0,32.0,52.0,15.0,32.0,10.0,20.0,7.0,11.0,8.0,69.0,7.0,33.0,10.0,21.0,0.0,2.0,8.0,25.0,52.0,17.0,54.0,42.0,f,f,,f,India,2.0,12.0,4.0,0.0,294.0,5.0,3.0,33.0,54.0,26.0,33.0,11.0,21.0,2.0,2.0,8.0,189.0,17.0,32.0,10.0,20.0,4.0,11.0,8.0,37.0,54.0,27.0,52.0,64.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,denis-gremelmayr,D. Gremelmayr,illya-marchenko,I. Marchenko,chennai,1st Round Qualifying,2.0,f,250,0,01:20:00,109.0,0.0,6.0,12.0,0.0,0.0,197.0,0.0,0.0,35.0,60.0,18.0,35.0,11.0,25.0,5.0,10.0,9.0,155.0,9.0,29.0,7.0,20.0,2.0,3.0,9.0,29.0,60.0,16.0,49.0,45.0,f,f,,f,India,2.0,12.0,6.0,0.0,270.0,1.0,1.0,29.0,49.0,20.0,29.0,13.0,20.0,1.0,3.0,9.0,210.0,17.0,35.0,14.0,25.0,5.0,10.0,9.0,33.0,49.0,31.0,60.0,64.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,denis-istomin,D. Istomin,dudi-sela,D. Sela,chennai,Round of 32,2.0,f,250,3,00:59:00,89.0,0.0,3.0,12.0,0.0,0.0,166.0,1.0,2.0,31.0,48.0,15.0,31.0,5.0,17.0,4.0,10.0,8.0,114.0,5.0,19.0,9.0,22.0,1.0,3.0,7.0,20.0,48.0,14.0,41.0,34.0,f,f,,f,India,2.0,12.0,3.0,0.0,261.0,2.0,5.0,19.0,41.0,14.0,19.0,13.0,22.0,2.0,3.0,7.0,258.0,16.0,31.0,12.0,17.0,6.0,10.0,8.0,27.0,41.0,28.0,48.0,55.0,t,f,t,India
2010-01-04,2010-01-10,India,Hard,398250.0,$,2010,dieter-kindlmann,D. Kindlmann,tsung-hua-yang,T. Yang,chennai,1st Round Qualifying,3.0,f,250,0,02:33:00,234.0,1.0,17.0,19.0,1.0,2.0,252.0,8.0,6.0,69.0,121.0,49.0,69.0,24.0,52.0,6.0,10.0,17.0,117.0,16.0,73.0,21.0,40.0,3.0,12.0,17.0,73.0,121.0,37.0,113.0,110.0,f,f,5,t,India,2.0,19.0,17.0,1.0,270.0,6.0,9.0,73.0,113.0,57.0,73.0,19.0,40.0,9.0,12.0,17.0,146.0,20.0,69.0,28.0,52.0,4.0,10.0,17.0,76.0,113.0,48.0,121.0,124.0,t,f,f,India
