start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,agustin-calleri,A. Calleri,mikhail-youzhny,M. Youzhny,cincinnati,Round of 64,2.0,f,1000,2,01:14:00,117.0,0.0,6.0,12.0,0.0,0.0,191.0,7.0,5.0,29.0,57.0,20.0,29.0,7.0,28.0,4.0,9.0,9.0,127.0,9.0,30.0,15.0,30.0,2.0,8.0,9.0,27.0,57.0,24.0,60.0,51.0,f,f,,f,USA,2.0,12.0,6.0,0.0,252.0,6.0,1.0,30.0,60.0,21.0,30.0,15.0,30.0,6.0,8.0,9.0,217.0,9.0,29.0,21.0,28.0,5.0,9.0,9.0,36.0,60.0,30.0,57.0,66.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,albert-costa,A. Costa,arnaud-clement,A. Clement,cincinnati,Round of 64,2.0,f,1000,2,01:58:00,149.0,0.0,10.0,13.0,0.0,1.0,256.0,2.0,3.0,51.0,77.0,35.0,51.0,13.0,26.0,6.0,9.0,11.0,119.0,14.0,44.0,10.0,28.0,2.0,6.0,11.0,48.0,77.0,24.0,72.0,72.0,f,f,,f,USA,2.0,13.0,10.0,1.0,281.0,9.0,2.0,44.0,72.0,30.0,44.0,18.0,28.0,4.0,6.0,11.0,141.0,16.0,51.0,13.0,26.0,3.0,9.0,11.0,48.0,72.0,29.0,77.0,77.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,alex-corretja,A. Corretja,max-mirnyi,M. Mirnyi,cincinnati,Round of 64,3.0,f,1000,2,02:08:00,181.0,1.0,15.0,16.0,0.0,1.0,295.0,7.0,4.0,54.0,89.0,39.0,54.0,23.0,35.0,4.0,5.0,15.0,91.0,19.0,72.0,9.0,20.0,1.0,7.0,15.0,62.0,89.0,28.0,92.0,90.0,f,f,,t,USA,2.0,16.0,15.0,1.0,311.0,13.0,2.0,72.0,92.0,53.0,72.0,11.0,20.0,6.0,7.0,15.0,88.0,15.0,54.0,12.0,35.0,1.0,5.0,15.0,64.0,92.0,27.0,89.0,91.0,t,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,fernando-verdasco,F. Verdasco,cincinnati,Round of 64,2.0,f,1000,2,00:53:00,92.0,2.0,12.0,5.0,0.0,0.0,311.0,9.0,1.0,27.0,44.0,21.0,27.0,13.0,17.0,0.0,1.0,9.0,208.0,16.0,33.0,9.0,15.0,4.0,8.0,8.0,34.0,44.0,25.0,48.0,59.0,t,f,7,t,USA,0.0,5.0,12.0,0.0,214.0,4.0,1.0,33.0,48.0,17.0,33.0,6.0,15.0,4.0,8.0,8.0,157.0,6.0,27.0,4.0,17.0,1.0,1.0,9.0,23.0,48.0,10.0,44.0,33.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,ivan-ljubicic,I. Ljubicic,cincinnati,Round of 32,2.0,f,1000,3,00:57:00,95.0,2.0,12.0,5.0,0.0,0.0,305.0,10.0,1.0,35.0,51.0,29.0,35.0,7.0,16.0,0.0,0.0,9.0,200.0,6.0,20.0,14.0,24.0,3.0,4.0,8.0,36.0,51.0,20.0,44.0,56.0,t,f,7,t,USA,0.0,5.0,12.0,0.0,219.0,3.0,3.0,20.0,44.0,14.0,20.0,10.0,24.0,1.0,4.0,8.0,73.0,6.0,35.0,9.0,16.0,0.0,0.0,9.0,24.0,44.0,15.0,51.0,39.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,james-blake,J. Blake,cincinnati,Round of 16,2.0,f,1000,4,01:18:00,132.0,2.0,13.0,8.0,1.0,1.0,294.0,9.0,5.0,46.0,78.0,40.0,46.0,14.0,32.0,4.0,4.0,10.0,155.0,8.0,29.0,10.0,25.0,2.0,3.0,10.0,54.0,78.0,18.0,54.0,72.0,t,f,7,t,USA,0.0,8.0,13.0,0.0,274.0,9.0,1.0,29.0,54.0,21.0,29.0,15.0,25.0,1.0,3.0,10.0,69.0,6.0,46.0,18.0,32.0,0.0,4.0,10.0,36.0,54.0,24.0,78.0,60.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,mardy-fish,M. Fish,cincinnati,Finals,3.0,f,1000,7,02:29:00,242.0,2.0,18.0,18.0,2.0,2.0,299.0,13.0,6.0,66.0,111.0,55.0,66.0,25.0,45.0,5.0,6.0,17.0,70.0,14.0,69.0,31.0,62.0,0.0,5.0,17.0,80.0,111.0,45.0,131.0,125.0,t,f,7,f,USA,1.0,18.0,18.0,0.0,282.0,8.0,9.0,69.0,131.0,55.0,69.0,31.0,62.0,5.0,5.0,17.0,83.0,11.0,66.0,20.0,45.0,1.0,6.0,17.0,86.0,131.0,31.0,111.0,117.0,f,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,mariano-zabaleta,M. Zabaleta,cincinnati,Quarter-Finals,2.0,f,1000,5,01:00:00,96.0,2.0,12.0,3.0,0.0,0.0,316.0,7.0,1.0,27.0,43.0,21.0,27.0,11.0,16.0,0.0,0.0,8.0,233.0,15.0,32.0,13.0,21.0,4.0,6.0,7.0,32.0,43.0,28.0,53.0,60.0,t,f,7,t,USA,0.0,3.0,12.0,0.0,192.0,2.0,3.0,32.0,53.0,17.0,32.0,8.0,21.0,2.0,6.0,7.0,53.0,6.0,27.0,5.0,16.0,0.0,0.0,8.0,25.0,53.0,11.0,43.0,36.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,max-mirnyi,M. Mirnyi,cincinnati,Semi-Finals,2.0,f,1000,6,01:21:00,130.0,2.0,13.0,10.0,1.0,1.0,342.0,14.0,0.0,48.0,66.0,37.0,48.0,14.0,18.0,1.0,1.0,11.0,180.0,7.0,44.0,11.0,20.0,1.0,1.0,11.0,51.0,66.0,18.0,64.0,69.0,t,f,7,t,USA,0.0,10.0,13.0,0.0,295.0,9.0,2.0,44.0,64.0,37.0,44.0,9.0,20.0,0.0,1.0,11.0,45.0,11.0,48.0,4.0,18.0,0.0,1.0,11.0,46.0,64.0,15.0,66.0,61.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,arnaud-clement,A. Clement,greg-rusedski,G. Rusedski,cincinnati,Round of 32,3.0,f,1000,3,02:23:00,211.0,2.0,18.0,15.0,1.0,1.0,270.0,5.0,3.0,63.0,107.0,45.0,63.0,25.0,44.0,9.0,12.0,16.0,174.0,18.0,67.0,24.0,37.0,4.0,7.0,16.0,70.0,107.0,42.0,104.0,112.0,t,f,,t,USA,1.0,15.0,18.0,0.0,258.0,17.0,6.0,67.0,104.0,49.0,67.0,13.0,37.0,3.0,7.0,16.0,115.0,18.0,63.0,19.0,44.0,3.0,12.0,16.0,62.0,104.0,37.0,107.0,99.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,arnaud-clement,A. Clement,mardy-fish,M. Fish,cincinnati,Round of 16,2.0,f,1000,4,01:03:00,93.0,0.0,4.0,12.0,0.0,0.0,208.0,7.0,3.0,25.0,53.0,16.0,25.0,12.0,28.0,5.0,9.0,8.0,36.0,1.0,17.0,7.0,23.0,0.0,0.0,8.0,28.0,53.0,8.0,40.0,36.0,f,f,,f,USA,2.0,12.0,4.0,0.0,312.0,6.0,1.0,17.0,40.0,16.0,17.0,16.0,23.0,0.0,0.0,8.0,187.0,9.0,25.0,16.0,28.0,4.0,9.0,8.0,32.0,40.0,25.0,53.0,57.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,brian-vahaly,B. Vahaly,fernando-gonzalez,F. Gonzalez,cincinnati,Round of 64,2.0,f,1000,2,01:13:00,121.0,0.0,7.0,13.0,0.0,0.0,231.0,2.0,1.0,37.0,55.0,21.0,37.0,10.0,18.0,1.0,6.0,10.0,115.0,7.0,30.0,17.0,36.0,2.0,8.0,10.0,31.0,55.0,24.0,66.0,55.0,f,f,WC,f,USA,2.0,13.0,7.0,0.0,253.0,1.0,3.0,30.0,66.0,23.0,30.0,19.0,36.0,6.0,8.0,10.0,220.0,16.0,37.0,8.0,18.0,5.0,6.0,10.0,42.0,66.0,24.0,55.0,66.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,carlos-moya,C. Moya,fabrice-santoro,F. Santoro,cincinnati,Round of 64,3.0,f,1000,2,01:49:00,182.0,1.0,13.0,15.0,0.0,0.0,257.0,5.0,3.0,52.0,89.0,32.0,52.0,21.0,37.0,5.0,8.0,14.0,107.0,18.0,59.0,15.0,34.0,2.0,11.0,14.0,53.0,89.0,33.0,93.0,86.0,f,f,4,t,USA,2.0,15.0,13.0,0.0,275.0,6.0,4.0,59.0,93.0,41.0,59.0,19.0,34.0,9.0,11.0,14.0,140.0,20.0,52.0,16.0,37.0,3.0,8.0,14.0,60.0,93.0,36.0,89.0,96.0,t,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,david-nalbandian,D. Nalbandian,juan-ignacio-chela,J. Chela,cincinnati,Round of 16,2.0,f,1000,4,01:24:00,127.0,2.0,12.0,8.0,0.0,0.0,279.0,3.0,0.0,36.0,53.0,27.0,36.0,9.0,17.0,0.0,2.0,10.0,179.0,17.0,44.0,18.0,30.0,4.0,10.0,10.0,36.0,53.0,35.0,74.0,71.0,t,f,,t,USA,0.0,8.0,12.0,0.0,214.0,1.0,7.0,44.0,74.0,27.0,44.0,12.0,30.0,6.0,10.0,10.0,192.0,9.0,36.0,8.0,17.0,2.0,2.0,10.0,39.0,74.0,17.0,53.0,56.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,david-nalbandian,D. Nalbandian,mardy-fish,M. Fish,cincinnati,Quarter-Finals,2.0,f,1000,5,01:25:00,126.0,0.0,9.0,13.0,0.0,1.0,297.0,6.0,3.0,41.0,62.0,29.0,41.0,14.0,21.0,3.0,4.0,10.0,52.0,7.0,37.0,9.0,27.0,0.0,2.0,11.0,43.0,62.0,16.0,64.0,59.0,f,f,,f,USA,2.0,13.0,9.0,1.0,312.0,6.0,0.0,37.0,64.0,30.0,37.0,18.0,27.0,2.0,2.0,11.0,97.0,12.0,41.0,7.0,21.0,1.0,4.0,10.0,48.0,64.0,19.0,62.0,67.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,david-nalbandian,D. Nalbandian,roger-federer,R. Federer,cincinnati,Round of 32,2.0,f,1000,3,02:06:00,184.0,2.0,14.0,12.0,2.0,2.0,242.0,3.0,6.0,48.0,94.0,33.0,48.0,23.0,46.0,3.0,6.0,12.0,144.0,8.0,43.0,29.0,47.0,3.0,8.0,12.0,56.0,94.0,37.0,90.0,93.0,t,f,,t,USA,0.0,12.0,14.0,0.0,250.0,14.0,6.0,43.0,90.0,35.0,43.0,18.0,47.0,5.0,8.0,12.0,156.0,15.0,48.0,23.0,46.0,3.0,6.0,12.0,53.0,90.0,38.0,94.0,91.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,david-nalbandian,D. Nalbandian,wayne-arthurs,W. Arthurs,cincinnati,Round of 64,2.0,f,1000,2,00:47:00,82.0,2.0,12.0,4.0,0.0,0.0,331.0,7.0,0.0,22.0,38.0,20.0,22.0,12.0,16.0,0.0,0.0,8.0,213.0,9.0,22.0,12.0,22.0,4.0,6.0,8.0,32.0,38.0,21.0,44.0,53.0,t,f,,t,USA,0.0,4.0,12.0,0.0,209.0,8.0,3.0,22.0,44.0,13.0,22.0,10.0,22.0,2.0,6.0,8.0,34.0,2.0,22.0,4.0,16.0,0.0,0.0,8.0,23.0,44.0,6.0,38.0,29.0,f,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,david-sanchez,D. Sanchez,flavio-saretta,F. Saretta,cincinnati,Round of 64,3.0,f,1000,2,02:21:00,229.0,1.0,10.0,18.0,1.0,1.0,191.0,1.0,0.0,72.0,112.0,38.0,72.0,14.0,40.0,14.0,22.0,13.0,152.0,25.0,73.0,26.0,44.0,4.0,13.0,14.0,52.0,112.0,51.0,117.0,103.0,f,f,,t,USA,2.0,18.0,10.0,0.0,241.0,9.0,8.0,73.0,117.0,48.0,73.0,18.0,44.0,9.0,13.0,14.0,209.0,34.0,72.0,26.0,40.0,8.0,22.0,13.0,66.0,117.0,60.0,112.0,126.0,t,f,f,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,fabrice-santoro,F. Santoro,flavio-saretta,F. Saretta,cincinnati,Round of 32,2.0,f,1000,3,01:31:00,129.0,0.0,8.0,13.0,0.0,0.0,229.0,2.0,3.0,35.0,70.0,27.0,35.0,14.0,35.0,3.0,7.0,11.0,85.0,6.0,31.0,11.0,28.0,1.0,6.0,10.0,41.0,70.0,17.0,59.0,58.0,f,f,,f,USA,2.0,13.0,8.0,0.0,290.0,6.0,1.0,31.0,59.0,25.0,31.0,17.0,28.0,5.0,6.0,10.0,176.0,8.0,35.0,21.0,35.0,4.0,7.0,11.0,42.0,59.0,29.0,70.0,71.0,t,f,t,USA
2003-08-11,2003-08-17,USA,Hard,2200000.0,$,2003,feliciano-lopez,F. Lopez,paradorn-srichaphan,P. Srichaphan,cincinnati,Round of 64,3.0,f,1000,2,02:12:00,203.0,2.0,19.0,17.0,1.0,2.0,299.0,9.0,6.0,60.0,110.0,46.0,60.0,32.0,50.0,4.0,4.0,17.0,103.0,10.0,58.0,11.0,35.0,1.0,2.0,17.0,78.0,110.0,21.0,93.0,99.0,t,f,,f,USA,1.0,17.0,19.0,1.0,315.0,11.0,4.0,58.0,93.0,48.0,58.0,24.0,35.0,1.0,2.0,17.0,59.0,14.0,60.0,18.0,50.0,0.0,4.0,17.0,72.0,93.0,32.0,110.0,104.0,f,f,t,USA
