,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,borna-coric,B. Coric,benoit-paire,B. Paire,cincinnati,Round of 64,3.0,f,1000,2,01:37:00,148.0,2.0,13.0,13.0,0.0,0.0,253.0,5.0,1.0,42.0,73.0,27.0,42.0,18.0,31.0,3.0,7.0,13.0,134.0,3.0,28.0,25.0,47.0,4.0,10.0,13.0,45.0,73.0,28.0,75.0,73.0,t,f,,f,USA,1.0,13.0,13.0,0.0,241.0,8.0,9.0,28.0,75.0,25.0,28.0,22.0,47.0,6.0,10.0,13.0,165.0,15.0,42.0,13.0,31.0,4.0,7.0,13.0,47.0,75.0,28.0,73.0,75.0,f,f,t,USA
1,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,adrian-mannarino,A. Mannarino,mischa-zverev,M. Zverev,cincinnati,2nd Round Qualifying,2.0,f,1000,1,02:32:00,177.0,0.0,11.0,14.0,0.0,1.0,231.0,2.0,2.0,56.0,91.0,37.0,56.0,13.0,35.0,7.0,11.0,12.0,141.0,14.0,52.0,19.0,34.0,3.0,9.0,12.0,50.0,91.0,33.0,86.0,83.0,f,f,9,f,USA,2.0,14.0,11.0,1.0,255.0,5.0,2.0,52.0,86.0,38.0,52.0,15.0,34.0,6.0,9.0,12.0,166.0,19.0,56.0,22.0,35.0,4.0,11.0,12.0,53.0,86.0,41.0,91.0,94.0,t,f,t,USA
2,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,adrian-mannarino,A. Mannarino,quentin-halys,Q. Halys,cincinnati,1st Round Qualifying,2.0,f,1000,0,01:27:00,134.0,2.0,12.0,7.0,0.0,0.0,234.0,3.0,4.0,43.0,73.0,29.0,43.0,13.0,30.0,9.0,12.0,9.0,223.0,13.0,29.0,20.0,32.0,6.0,11.0,10.0,42.0,73.0,33.0,61.0,75.0,t,f,9,t,USA,0.0,7.0,12.0,0.0,173.0,0.0,8.0,29.0,61.0,16.0,29.0,12.0,32.0,5.0,11.0,10.0,148.0,14.0,43.0,17.0,30.0,3.0,12.0,9.0,28.0,61.0,31.0,73.0,59.0,f,f,f,USA
3,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,adrian-mannarino,A. Mannarino,richard-gasquet,R. Gasquet,cincinnati,Round of 64,3.0,f,1000,2,02:13:00,195.0,1.0,13.0,16.0,0.0,1.0,235.0,7.0,7.0,68.0,109.0,46.0,68.0,14.0,41.0,7.0,11.0,14.0,163.0,13.0,62.0,17.0,24.0,3.0,6.0,14.0,60.0,109.0,30.0,86.0,90.0,f,f,LL,f,USA,2.0,16.0,13.0,1.0,261.0,3.0,0.0,62.0,86.0,49.0,62.0,7.0,24.0,3.0,6.0,14.0,162.0,22.0,68.0,27.0,41.0,4.0,11.0,14.0,56.0,86.0,49.0,109.0,105.0,t,f,t,USA
4,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,albert-ramos-vinolas,A. Ramos-Vinolas,fernando-verdasco,F. Verdasco,cincinnati,Round of 64,2.0,f,1000,2,01:41:00,147.0,0.0,10.0,13.0,0.0,1.0,268.0,3.0,2.0,56.0,88.0,37.0,56.0,18.0,32.0,10.0,12.0,11.0,159.0,5.0,33.0,9.0,26.0,1.0,1.0,11.0,55.0,88.0,14.0,59.0,69.0,f,f,,f,USA,2.0,13.0,10.0,1.0,306.0,11.0,1.0,33.0,59.0,28.0,33.0,17.0,26.0,0.0,1.0,11.0,113.0,19.0,56.0,14.0,32.0,2.0,12.0,11.0,45.0,59.0,33.0,88.0,78.0,t,f,t,USA
5,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,alexander-zverev,A. Zverev,yuichi-sugita,Y. Sugita,cincinnati,Round of 64,3.0,f,1000,2,02:32:00,186.0,1.0,13.0,18.0,1.0,1.0,234.0,4.0,9.0,48.0,93.0,38.0,48.0,19.0,45.0,7.0,12.0,15.0,124.0,15.0,64.0,16.0,29.0,2.0,6.0,15.0,57.0,93.0,31.0,93.0,88.0,f,f,,t,USA,2.0,18.0,13.0,0.0,276.0,3.0,4.0,64.0,93.0,49.0,64.0,13.0,29.0,4.0,6.0,15.0,154.0,10.0,48.0,26.0,45.0,5.0,12.0,15.0,62.0,93.0,36.0,93.0,98.0,t,f,f,USA
6,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,alexandr-dolgopolov,A. Dolgopolov,kevin-anderson,K. Anderson,cincinnati,Round of 64,1.0,f,1000,2,00:49:00,75.0,0.0,5.0,7.0,0.0,0.0,275.0,2.0,1.0,22.0,36.0,16.0,22.0,8.0,14.0,1.0,2.0,6.0,57.0,6.0,23.0,5.0,16.0,0.0,1.0,6.0,24.0,36.0,11.0,39.0,35.0,f,t,,f,USA,1.0,7.0,5.0,0.0,311.0,10.0,1.0,23.0,39.0,17.0,23.0,11.0,16.0,1.0,1.0,6.0,136.0,6.0,22.0,6.0,14.0,1.0,2.0,6.0,28.0,39.0,12.0,36.0,40.0,t,t,t,USA
7,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,andy-murray,A. Murray,bernard-tomic,B. Tomic,cincinnati,Quarter-Finals,2.0,f,1000,5,01:18:00,115.0,2.0,12.0,8.0,0.0,0.0,297.0,10.0,4.0,40.0,63.0,34.0,40.0,10.0,23.0,2.0,2.0,10.0,165.0,5.0,29.0,14.0,23.0,2.0,3.0,10.0,44.0,63.0,19.0,52.0,63.0,t,f,1,t,USA,0.0,8.0,12.0,0.0,256.0,1.0,3.0,29.0,52.0,24.0,29.0,9.0,23.0,1.0,3.0,10.0,72.0,6.0,40.0,13.0,23.0,0.0,2.0,10.0,33.0,52.0,19.0,63.0,52.0,f,f,f,USA
8,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,andy-murray,A. Murray,juan-monaco,J. Monaco,cincinnati,Round of 32,2.0,f,1000,3,01:17:00,101.0,2.0,12.0,5.0,0.0,0.0,280.0,2.0,1.0,24.0,48.0,20.0,24.0,14.0,24.0,1.0,2.0,9.0,229.0,17.0,35.0,9.0,18.0,4.0,5.0,8.0,34.0,48.0,26.0,53.0,60.0,t,f,1,t,USA,0.0,5.0,12.0,0.0,217.0,0.0,0.0,35.0,53.0,18.0,35.0,9.0,18.0,1.0,5.0,8.0,120.0,4.0,24.0,10.0,24.0,1.0,2.0,9.0,27.0,53.0,14.0,48.0,41.0,f,f,f,USA
9,2016-08-14,2016-08-21,USA,Hard,4362385.0,$,2016,andy-murray,A. Murray,kevin-anderson,K. Anderson,cincinnati,Round of 16,2.0,f,1000,4,01:31:00,117.0,2.0,12.0,5.0,0.0,0.0,272.0,5.0,3.0,29.0,59.0,22.0,29.0,17.0,30.0,1.0,2.0,9.0,199.0,13.0,34.0,16.0,24.0,4.0,9.0,8.0,39.0,59.0,29.0,58.0,68.0,t,f,1,t,USA,0.0,5.0,12.0,0.0,208.0,7.0,3.0,34.0,58.0,21.0,34.0,8.0,24.0,5.0,9.0,8.0,128.0,7.0,29.0,13.0,30.0,1.0,2.0,9.0,29.0,58.0,20.0,59.0,49.0,f,f,f,USA
