start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,adrien-bossel,A. Bossel,ryan-harrison,R. Harrison,columbus_challenger,Round of 32,2.0,f,100,3,01:24:00,115.0,0.0,6.0,12.0,0.0,0.0,223.0,3.0,2.0,36.0,61.0,20.0,36.0,13.0,25.0,8.0,12.0,9.0,105.0,7.0,30.0,11.0,24.0,1.0,4.0,9.0,33.0,61.0,18.0,54.0,51.0,f,f,,f,USA,2.0,12.0,6.0,0.0,279.0,6.0,2.0,30.0,54.0,23.0,30.0,13.0,24.0,3.0,4.0,9.0,169.0,16.0,36.0,12.0,25.0,4.0,12.0,9.0,36.0,54.0,28.0,61.0,64.0,t,f,t,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alessandro-bega,A. Bega,bjorn-fratangelo,B. Fratangelo,columbus_challenger,Round of 16,3.0,f,100,4,01:47:00,154.0,1.0,10.0,16.0,0.0,0.0,215.0,1.0,5.0,55.0,80.0,29.0,55.0,11.0,25.0,2.0,8.0,13.0,147.0,14.0,50.0,11.0,24.0,3.0,6.0,13.0,40.0,80.0,25.0,74.0,65.0,f,f,,t,USA,2.0,16.0,10.0,0.0,278.0,9.0,1.0,50.0,74.0,36.0,50.0,13.0,24.0,3.0,6.0,13.0,224.0,26.0,55.0,14.0,25.0,6.0,8.0,13.0,49.0,74.0,40.0,80.0,89.0,t,f,f,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alessandro-bega,A. Bega,damon-gooch,D. Gooch,columbus_challenger,Round of 32,3.0,f,100,3,02:01:00,158.0,2.0,16.0,10.0,0.0,0.0,287.0,1.0,1.0,49.0,73.0,38.0,49.0,14.0,24.0,3.0,5.0,13.0,184.0,28.0,64.0,12.0,21.0,5.0,11.0,13.0,52.0,73.0,40.0,85.0,92.0,t,f,,f,USA,1.0,10.0,16.0,0.0,233.0,0.0,2.0,64.0,85.0,36.0,64.0,9.0,21.0,6.0,11.0,13.0,119.0,11.0,49.0,10.0,24.0,2.0,5.0,13.0,45.0,85.0,21.0,73.0,66.0,f,f,t,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alex-kuznetsov,A. Kuznetsov,bjorn-fratangelo,B. Fratangelo,columbus_challenger,Quarter-Finals,2.0,f,100,5,01:23:00,130.0,2.0,13.0,8.0,1.0,1.0,281.0,13.0,3.0,36.0,63.0,28.0,36.0,15.0,27.0,0.0,2.0,10.0,206.0,10.0,36.0,18.0,31.0,4.0,5.0,10.0,43.0,63.0,28.0,67.0,71.0,t,f,,t,USA,0.0,8.0,13.0,0.0,229.0,5.0,4.0,36.0,67.0,26.0,36.0,13.0,31.0,1.0,5.0,10.0,186.0,8.0,36.0,12.0,27.0,2.0,2.0,10.0,39.0,67.0,20.0,63.0,59.0,f,f,f,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alex-kuznetsov,A. Kuznetsov,brydan-klein,B. Klein,columbus_challenger,Round of 16,2.0,f,100,4,01:23:00,115.0,2.0,12.0,4.0,0.0,0.0,289.0,4.0,4.0,39.0,63.0,27.0,39.0,14.0,24.0,11.0,11.0,8.0,231.0,11.0,33.0,13.0,19.0,4.0,5.0,8.0,41.0,63.0,24.0,52.0,65.0,t,f,,t,USA,0.0,4.0,12.0,0.0,214.0,2.0,0.0,33.0,52.0,22.0,33.0,6.0,19.0,1.0,5.0,8.0,73.0,12.0,39.0,10.0,24.0,0.0,11.0,8.0,28.0,52.0,22.0,63.0,50.0,f,f,f,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alex-kuznetsov,A. Kuznetsov,connor-smith,C. Smith,columbus_challenger,Round of 32,2.0,f,100,3,01:35:00,133.0,2.0,13.0,8.0,0.0,0.0,326.0,5.0,1.0,32.0,54.0,26.0,32.0,18.0,22.0,0.0,0.0,11.0,129.0,23.0,60.0,10.0,19.0,2.0,11.0,10.0,44.0,54.0,33.0,79.0,77.0,t,f,,t,USA,0.0,8.0,13.0,0.0,264.0,2.0,3.0,60.0,79.0,37.0,60.0,9.0,19.0,9.0,11.0,10.0,37.0,6.0,32.0,4.0,22.0,0.0,0.0,11.0,46.0,79.0,10.0,54.0,56.0,f,f,f,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,alex-kuznetsov,A. Kuznetsov,dennis-novikov,D. Novikov,columbus_challenger,Semi-Finals,3.0,f,100,6,01:34:00,159.0,1.0,12.0,15.0,0.0,0.0,263.0,12.0,3.0,47.0,75.0,37.0,47.0,10.0,28.0,3.0,6.0,13.0,109.0,15.0,48.0,14.0,36.0,2.0,8.0,14.0,47.0,75.0,29.0,84.0,76.0,f,f,,f,USA,2.0,15.0,12.0,0.0,271.0,6.0,7.0,48.0,84.0,33.0,48.0,22.0,36.0,6.0,8.0,14.0,158.0,10.0,47.0,18.0,28.0,3.0,6.0,13.0,55.0,84.0,28.0,75.0,83.0,t,f,t,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,austin-krajicek,A. Krajicek,takanyi-garanganga,T. Garanganga,columbus_challenger,Round of 32,3.0,f,100,3,02:04:00,146.0,1.0,11.0,15.0,0.0,0.0,250.0,10.0,2.0,48.0,77.0,29.0,48.0,17.0,29.0,8.0,13.0,13.0,142.0,17.0,56.0,6.0,13.0,3.0,7.0,13.0,46.0,77.0,23.0,69.0,69.0,f,f,5,f,USA,2.0,15.0,11.0,0.0,282.0,2.0,1.0,56.0,69.0,39.0,56.0,7.0,13.0,4.0,7.0,13.0,157.0,19.0,48.0,12.0,29.0,5.0,13.0,13.0,46.0,69.0,31.0,77.0,77.0,t,f,t,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,bjorn-fratangelo,B. Fratangelo,peter-polansky,P. Polansky,columbus_challenger,Round of 32,3.0,f,100,3,02:17:00,205.0,2.0,18.0,17.0,1.0,1.0,281.0,4.0,1.0,71.0,108.0,53.0,71.0,18.0,37.0,6.0,8.0,17.0,190.0,16.0,68.0,16.0,29.0,2.0,2.0,17.0,71.0,108.0,32.0,97.0,103.0,t,f,3,f,USA,1.0,17.0,18.0,0.0,283.0,5.0,1.0,68.0,97.0,52.0,68.0,13.0,29.0,0.0,2.0,17.0,112.0,18.0,71.0,19.0,37.0,2.0,8.0,17.0,65.0,97.0,37.0,108.0,102.0,f,f,t,USA
2015-09-21,2015-09-27,USA,Hard,50000.0,$,2015,blaz-rola,B. Rola,rubin-statham,R. Statham,columbus_challenger,Round of 32,3.0,f,100,3,02:11:00,187.0,1.0,14.0,16.0,0.0,1.0,262.0,9.0,3.0,67.0,97.0,43.0,67.0,15.0,30.0,3.0,7.0,15.0,155.0,14.0,47.0,19.0,43.0,3.0,5.0,14.0,58.0,97.0,33.0,90.0,91.0,f,f,6,t,USA,2.0,16.0,14.0,1.0,257.0,5.0,4.0,47.0,90.0,33.0,47.0,24.0,43.0,2.0,5.0,14.0,169.0,24.0,67.0,15.0,30.0,4.0,7.0,15.0,57.0,90.0,39.0,97.0,96.0,t,f,f,USA
