start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adil-shamasdin,A. Shamasdin,vasek-pospisil,V. Pospisil,constanta_challenger,1st Round Qualifying,2.0,f,100,0,01:05:00,96.0,0.0,4.0,12.0,0.0,0.0,196.0,1.0,5.0,28.0,49.0,18.0,28.0,6.0,21.0,5.0,9.0,8.0,65.0,8.0,35.0,5.0,12.0,0.0,0.0,8.0,24.0,49.0,13.0,47.0,37.0,f,f,,f,Romania,2.0,12.0,4.0,0.0,313.0,6.0,2.0,35.0,47.0,27.0,35.0,7.0,12.0,0.0,0.0,8.0,201.0,10.0,28.0,15.0,21.0,4.0,9.0,8.0,34.0,47.0,25.0,49.0,59.0,t,f,t,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adnan-al-mahmoud,A. Al Mahmoud,paul-mihai-puscasu,P. Puscasu,constanta_challenger,1st Round Qualifying,2.0,f,100,0,01:29:00,155.0,0.0,9.0,13.0,0.0,1.0,230.0,5.0,6.0,56.0,85.0,36.0,56.0,11.0,29.0,4.0,8.0,11.0,117.0,14.0,42.0,11.0,28.0,2.0,8.0,10.0,47.0,85.0,25.0,70.0,72.0,f,f,WC,f,Romania,2.0,13.0,9.0,1.0,266.0,1.0,3.0,42.0,70.0,28.0,42.0,17.0,28.0,6.0,8.0,10.0,184.0,20.0,56.0,18.0,29.0,4.0,8.0,11.0,45.0,70.0,38.0,85.0,83.0,t,f,t,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-cruciat,A. Cruciat,boris-pashanski,B. Pashanski,constanta_challenger,Round of 32,1.0,f,100,3,00:32:00,42.0,1.0,3.0,3.0,0.0,0.0,281.0,5.0,1.0,14.0,27.0,11.0,14.0,6.0,13.0,3.0,3.0,3.0,40.0,2.0,10.0,1.0,5.0,0.0,0.0,3.0,17.0,27.0,3.0,15.0,20.0,f,t,,t,Romania,0.0,3.0,3.0,0.0,327.0,1.0,1.0,10.0,15.0,8.0,10.0,4.0,5.0,0.0,0.0,3.0,75.0,3.0,14.0,7.0,13.0,0.0,3.0,3.0,12.0,15.0,10.0,27.0,22.0,t,t,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-garcia,A. Garcia,valentin-dima,V. Dima,constanta_challenger,1st Round Qualifying,2.0,f,100,0,00:29:00,59.0,2.0,12.0,0.0,0.0,0.0,315.0,0.0,1.0,19.0,30.0,17.0,19.0,7.0,11.0,0.0,0.0,6.0,334.0,7.0,10.0,17.0,19.0,6.0,8.0,6.0,24.0,30.0,24.0,29.0,48.0,t,f,5,t,Romania,0.0,0.0,12.0,0.0,61.0,0.0,14.0,10.0,29.0,3.0,10.0,2.0,19.0,2.0,8.0,6.0,47.0,2.0,19.0,4.0,11.0,0.0,0.0,6.0,5.0,29.0,6.0,30.0,11.0,f,f,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-garcia,A. Garcia,vasek-pospisil,V. Pospisil,constanta_challenger,2nd Round Qualifying,3.0,f,100,1,02:33:00,215.0,1.0,16.0,17.0,0.0,1.0,250.0,3.0,10.0,57.0,99.0,41.0,57.0,22.0,42.0,4.0,8.0,16.0,153.0,29.0,78.0,18.0,38.0,4.0,9.0,16.0,63.0,99.0,47.0,116.0,110.0,f,f,5,t,Romania,2.0,17.0,16.0,1.0,255.0,3.0,6.0,78.0,116.0,49.0,78.0,20.0,38.0,5.0,9.0,16.0,151.0,16.0,57.0,20.0,42.0,4.0,8.0,16.0,69.0,116.0,36.0,99.0,105.0,t,f,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-marin-dancescu,A. Dancescu,andreas-haider-maurer,A. Haider-Maurer,constanta_challenger,Round of 32,2.0,f,100,3,01:00:00,101.0,0.0,5.0,12.0,0.0,0.0,239.0,4.0,1.0,27.0,45.0,19.0,27.0,8.0,18.0,1.0,4.0,8.0,64.0,8.0,37.0,8.0,19.0,0.0,0.0,9.0,27.0,45.0,16.0,56.0,43.0,f,f,WC,f,Romania,2.0,12.0,5.0,0.0,298.0,1.0,5.0,37.0,56.0,29.0,37.0,11.0,19.0,0.0,0.0,9.0,198.0,8.0,27.0,10.0,18.0,3.0,4.0,8.0,40.0,56.0,18.0,45.0,58.0,t,f,t,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-ungur,A. Ungur,blaz-kavcic,B. Kavcic,constanta_challenger,Quarter-Finals,3.0,f,100,5,02:08:00,166.0,1.0,10.0,13.0,0.0,0.0,199.0,1.0,5.0,45.0,75.0,25.0,45.0,11.0,30.0,7.0,13.0,12.0,160.0,30.0,69.0,11.0,22.0,4.0,13.0,11.0,36.0,75.0,41.0,91.0,77.0,f,f,,t,Romania,2.0,13.0,10.0,0.0,250.0,6.0,2.0,69.0,91.0,39.0,69.0,11.0,22.0,9.0,13.0,11.0,203.0,20.0,45.0,19.0,30.0,6.0,13.0,12.0,50.0,91.0,39.0,75.0,89.0,t,f,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-ungur,A. Ungur,boris-pashanski,B. Pashanski,constanta_challenger,Round of 16,2.0,f,100,4,01:24:00,98.0,2.0,10.0,6.0,1.0,1.0,310.0,4.0,1.0,33.0,52.0,25.0,33.0,13.0,19.0,5.0,5.0,7.0,132.0,6.0,23.0,11.0,23.0,2.0,6.0,8.0,38.0,52.0,17.0,46.0,55.0,t,t,,t,Romania,0.0,6.0,10.0,0.0,250.0,2.0,3.0,23.0,46.0,17.0,23.0,12.0,23.0,4.0,6.0,8.0,56.0,8.0,33.0,6.0,19.0,0.0,5.0,7.0,29.0,46.0,14.0,52.0,43.0,f,t,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,adrian-ungur,A. Ungur,junn-mitsuhashi,J. Mitsuhashi,constanta_challenger,Round of 32,2.0,f,100,3,01:11:00,104.0,2.0,12.0,3.0,0.0,0.0,297.0,2.0,2.0,29.0,48.0,23.0,29.0,11.0,19.0,1.0,1.0,8.0,215.0,16.0,35.0,13.0,21.0,4.0,8.0,7.0,34.0,48.0,29.0,56.0,63.0,t,f,,t,Romania,0.0,3.0,12.0,0.0,194.0,0.0,3.0,35.0,56.0,19.0,35.0,8.0,21.0,4.0,8.0,7.0,63.0,6.0,29.0,8.0,19.0,0.0,1.0,8.0,27.0,56.0,14.0,48.0,41.0,f,f,f,Romania
2009-06-22,2009-07-05,Romania,Clay,30000.0,€,2009,aleksandr-agafonov,A. Agafonov,todor-enev,T. Enev,constanta_challenger,1st Round Qualifying,2.0,f,100,0,01:31:00,119.0,0.0,7.0,13.0,0.0,0.0,239.0,2.0,4.0,42.0,59.0,24.0,42.0,9.0,17.0,2.0,6.0,10.0,103.0,8.0,36.0,11.0,24.0,1.0,4.0,10.0,33.0,59.0,19.0,60.0,52.0,f,f,,f,Romania,2.0,13.0,7.0,0.0,280.0,2.0,4.0,36.0,60.0,28.0,36.0,13.0,24.0,3.0,4.0,10.0,197.0,18.0,42.0,8.0,17.0,4.0,6.0,10.0,41.0,60.0,26.0,59.0,67.0,t,f,t,Romania
