start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,adelchi-virgili,A. Virgili,gregoire-burquier,G. Burquier,cordenons_challenger,Round of 32,2.0,f,100,3,01:07:00,100.0,0.0,4.0,12.0,0.0,0.0,206.0,0.0,2.0,37.0,62.0,20.0,37.0,11.0,25.0,6.0,10.0,8.0,38.0,4.0,30.0,2.0,8.0,0.0,0.0,8.0,31.0,62.0,6.0,38.0,37.0,f,f,WC,f,Italy,2.0,12.0,4.0,0.0,344.0,3.0,0.0,30.0,38.0,26.0,30.0,6.0,8.0,0.0,0.0,8.0,192.0,17.0,37.0,14.0,25.0,4.0,10.0,8.0,32.0,38.0,31.0,62.0,63.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,adrian-ungur,A. Ungur,alessandro-giannessi,A. Giannessi,cordenons_challenger,Round of 32,3.0,f,100,3,02:40:00,198.0,1.0,13.0,16.0,0.0,1.0,242.0,5.0,6.0,66.0,111.0,41.0,66.0,22.0,45.0,7.0,11.0,15.0,107.0,11.0,56.0,16.0,31.0,2.0,10.0,13.0,63.0,111.0,27.0,87.0,90.0,f,f,4,t,Italy,2.0,16.0,13.0,1.0,276.0,7.0,7.0,56.0,87.0,45.0,56.0,15.0,31.0,8.0,10.0,13.0,151.0,25.0,66.0,23.0,45.0,4.0,11.0,15.0,60.0,87.0,48.0,111.0,108.0,t,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,alessandro-giannessi,A. Giannessi,gregoire-burquier,G. Burquier,cordenons_challenger,Round of 16,2.0,f,100,4,01:48:00,140.0,0.0,8.0,13.0,0.0,0.0,177.0,1.0,5.0,33.0,68.0,19.0,33.0,12.0,35.0,5.0,11.0,10.0,170.0,23.0,52.0,8.0,20.0,4.0,8.0,11.0,31.0,68.0,31.0,72.0,62.0,f,f,,f,Italy,2.0,13.0,8.0,0.0,249.0,0.0,2.0,52.0,72.0,29.0,52.0,12.0,20.0,4.0,8.0,11.0,223.0,14.0,33.0,23.0,35.0,6.0,11.0,10.0,41.0,72.0,37.0,68.0,78.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,alessio-di-mauro,A. Di Mauro,marco-cecchinato,M. Cecchinato,cordenons_challenger,Round of 32,2.0,f,100,3,01:32:00,123.0,0.0,7.0,12.0,0.0,0.0,255.0,1.0,2.0,32.0,55.0,22.0,32.0,12.0,23.0,2.0,4.0,9.0,71.0,11.0,47.0,10.0,21.0,0.0,2.0,10.0,34.0,55.0,21.0,68.0,55.0,f,f,,f,Italy,2.0,12.0,7.0,0.0,299.0,2.0,1.0,47.0,68.0,36.0,47.0,11.0,21.0,2.0,2.0,10.0,151.0,10.0,32.0,11.0,23.0,2.0,4.0,9.0,47.0,68.0,21.0,55.0,68.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,alexandros-jakupovic,A. Jakupovic,janez-semrajc,J. Semrajc,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,01:52:00,138.0,0.0,9.0,13.0,0.0,1.0,234.0,0.0,3.0,42.0,65.0,28.0,42.0,8.0,23.0,3.0,6.0,10.0,107.0,9.0,37.0,13.0,36.0,2.0,7.0,11.0,36.0,65.0,22.0,73.0,58.0,f,f,,f,Italy,2.0,13.0,9.0,1.0,278.0,7.0,1.0,37.0,73.0,28.0,37.0,23.0,36.0,5.0,7.0,11.0,178.0,14.0,42.0,15.0,23.0,3.0,6.0,10.0,51.0,73.0,29.0,65.0,80.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,andrea-arnaboldi,A. Arnaboldi,taro-daniel,T. Daniel,cordenons_challenger,Round of 32,2.0,f,100,3,01:43:00,124.0,0.0,8.0,12.0,0.0,0.0,227.0,1.0,1.0,29.0,57.0,19.0,29.0,14.0,28.0,4.0,8.0,10.0,127.0,19.0,49.0,7.0,18.0,2.0,7.0,10.0,33.0,57.0,26.0,67.0,59.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,275.0,1.0,1.0,49.0,67.0,30.0,49.0,11.0,18.0,5.0,7.0,10.0,174.0,10.0,29.0,14.0,28.0,4.0,8.0,10.0,41.0,67.0,24.0,57.0,65.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,andrea-iuri,A. Iuri,reda-el-amrani,R. El Amrani,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,00:35:00,69.0,0.0,0.0,12.0,0.0,0.0,116.0,1.0,2.0,22.0,37.0,4.0,22.0,6.0,15.0,2.0,8.0,6.0,44.0,5.0,23.0,2.0,9.0,0.0,2.0,6.0,10.0,37.0,7.0,32.0,17.0,f,f,WC,f,Italy,2.0,12.0,0.0,0.0,328.0,2.0,2.0,23.0,32.0,18.0,23.0,7.0,9.0,2.0,2.0,6.0,317.0,18.0,22.0,9.0,15.0,6.0,8.0,6.0,25.0,32.0,27.0,37.0,52.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,andreas-haider-maurer,A. Haider-Maurer,erik-crepaldi,E. Crepaldi,cordenons_challenger,Round of 32,2.0,f,100,3,01:15:00,100.0,2.0,12.0,4.0,0.0,0.0,274.0,3.0,2.0,29.0,50.0,22.0,29.0,11.0,21.0,4.0,5.0,8.0,218.0,15.0,30.0,10.0,20.0,5.0,9.0,8.0,33.0,50.0,25.0,50.0,58.0,t,f,2,t,Italy,0.0,4.0,12.0,0.0,198.0,1.0,0.0,30.0,50.0,15.0,30.0,10.0,20.0,4.0,9.0,8.0,104.0,7.0,29.0,10.0,21.0,1.0,5.0,8.0,25.0,50.0,17.0,50.0,42.0,f,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,andreas-haider-maurer,A. Haider-Maurer,potito-starace,P. Starace,cordenons_challenger,Round of 16,2.0,f,100,4,01:28:00,128.0,0.0,8.0,12.0,0.0,0.0,258.0,8.0,7.0,43.0,72.0,31.0,43.0,13.0,29.0,4.0,6.0,10.0,45.0,12.0,45.0,2.0,11.0,0.0,0.0,10.0,44.0,72.0,14.0,56.0,58.0,f,f,2,f,Italy,2.0,12.0,8.0,0.0,336.0,1.0,0.0,45.0,56.0,33.0,45.0,9.0,11.0,0.0,0.0,10.0,136.0,12.0,43.0,16.0,29.0,2.0,6.0,10.0,42.0,56.0,28.0,72.0,70.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,antonio-sancic,A. Sancic,janez-semrajc,J. Semrajc,cordenons_challenger,3rd Round Qualifying,3.0,f,100,2,02:51:00,223.0,1.0,16.0,19.0,1.0,2.0,253.0,4.0,4.0,73.0,119.0,50.0,73.0,20.0,46.0,5.0,8.0,16.0,158.0,12.0,65.0,24.0,39.0,2.0,3.0,17.0,70.0,119.0,36.0,104.0,106.0,f,f,,f,Italy,2.0,19.0,16.0,1.0,274.0,7.0,4.0,65.0,104.0,53.0,65.0,15.0,39.0,1.0,3.0,17.0,145.0,23.0,73.0,26.0,46.0,3.0,8.0,16.0,68.0,104.0,49.0,119.0,117.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,antonio-sancic,A. Sancic,marin-draganja,M. Draganja,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,01:11:00,116.0,2.0,12.0,5.0,0.0,0.0,329.0,5.0,0.0,45.0,58.0,31.0,45.0,10.0,13.0,5.0,5.0,9.0,175.0,18.0,43.0,8.0,15.0,3.0,7.0,8.0,41.0,58.0,26.0,58.0,67.0,t,f,,t,Italy,0.0,5.0,12.0,0.0,240.0,0.0,1.0,43.0,58.0,25.0,43.0,7.0,15.0,4.0,7.0,8.0,54.0,14.0,45.0,3.0,13.0,0.0,5.0,9.0,32.0,58.0,17.0,58.0,49.0,f,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,antonio-sancic,,walter-trusendi,,cordenons_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,,Italy,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,antonio-veic,A. Veic,janez-semrajc,J. Semrajc,cordenons_challenger,Round of 32,3.0,f,100,3,02:48:00,215.0,1.0,14.0,16.0,0.0,0.0,259.0,0.0,2.0,74.0,100.0,51.0,74.0,10.0,26.0,4.0,7.0,15.0,109.0,19.0,69.0,25.0,46.0,2.0,14.0,15.0,61.0,100.0,44.0,115.0,105.0,f,f,6,t,Italy,2.0,16.0,14.0,0.0,268.0,5.0,1.0,69.0,115.0,50.0,69.0,21.0,46.0,12.0,14.0,15.0,156.0,23.0,74.0,16.0,26.0,3.0,7.0,15.0,71.0,115.0,39.0,100.0,110.0,t,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,augusto-virgili,A. Virgili,libor-salaba,L. Salaba,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,00:59:00,97.0,0.0,3.0,12.0,0.0,0.0,159.0,0.0,3.0,33.0,53.0,15.0,33.0,6.0,20.0,2.0,8.0,8.0,103.0,7.0,19.0,8.0,25.0,1.0,5.0,7.0,21.0,53.0,15.0,44.0,36.0,f,f,,f,Italy,2.0,12.0,3.0,0.0,257.0,1.0,3.0,19.0,44.0,12.0,19.0,17.0,25.0,4.0,5.0,7.0,275.0,18.0,33.0,14.0,20.0,6.0,8.0,8.0,29.0,44.0,32.0,53.0,61.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,boris-pashanski,B. Pashanski,norbert-gombos,N. Gombos,cordenons_challenger,Round of 32,2.0,f,100,3,01:02:00,86.0,0.0,4.0,12.0,0.0,0.0,135.0,0.0,3.0,20.0,47.0,8.0,20.0,8.0,27.0,2.0,8.0,8.0,160.0,8.0,25.0,5.0,14.0,2.0,3.0,8.0,16.0,47.0,13.0,39.0,29.0,f,f,7,f,Italy,2.0,12.0,4.0,0.0,272.0,2.0,1.0,25.0,39.0,17.0,25.0,9.0,14.0,1.0,3.0,8.0,280.0,12.0,20.0,19.0,27.0,6.0,8.0,8.0,26.0,39.0,31.0,47.0,57.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,damiano-di-ienno,D. Di Ienno,matthias-wolf,M. Wolf,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,00:53:00,87.0,0.0,2.0,12.0,0.0,0.0,189.0,1.0,3.0,42.0,51.0,20.0,42.0,3.0,9.0,4.0,9.0,7.0,55.0,4.0,26.0,4.0,10.0,0.0,0.0,7.0,23.0,51.0,8.0,36.0,31.0,f,f,,f,Italy,2.0,12.0,2.0,0.0,319.0,5.0,3.0,26.0,36.0,22.0,26.0,6.0,10.0,0.0,0.0,7.0,246.0,22.0,42.0,6.0,9.0,5.0,9.0,7.0,28.0,36.0,28.0,51.0,56.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,edward-corrie,E. Corrie,gianluca-naso,G. Naso,cordenons_challenger,Round of 32,3.0,f,100,3,01:51:00,145.0,1.0,11.0,14.0,0.0,0.0,222.0,2.0,4.0,44.0,69.0,29.0,44.0,9.0,25.0,2.0,7.0,12.0,186.0,19.0,54.0,9.0,22.0,4.0,5.0,13.0,38.0,69.0,28.0,76.0,66.0,f,f,,t,Italy,2.0,14.0,11.0,0.0,271.0,7.0,0.0,54.0,76.0,35.0,54.0,13.0,22.0,1.0,5.0,13.0,210.0,15.0,44.0,16.0,25.0,5.0,7.0,12.0,48.0,76.0,31.0,69.0,79.0,t,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,enrico-becuzzi,E. Becuzzi,nikola-ciric,N. Ciric,cordenons_challenger,1st Round Qualifying,2.0,f,100,0,00:50:00,85.0,0.0,1.0,12.0,0.0,0.0,147.0,0.0,3.0,33.0,53.0,13.0,33.0,7.0,20.0,5.0,11.0,7.0,73.0,4.0,25.0,4.0,7.0,0.0,0.0,6.0,20.0,53.0,8.0,32.0,28.0,f,f,,f,Italy,2.0,12.0,1.0,0.0,311.0,8.0,2.0,25.0,32.0,21.0,25.0,3.0,7.0,0.0,0.0,6.0,266.0,20.0,33.0,13.0,20.0,6.0,11.0,7.0,24.0,32.0,33.0,53.0,57.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,enrique-lopez-perez,E. Lopez Perez,gianluca-naso,G. Naso,cordenons_challenger,Round of 16,2.0,f,100,4,01:26:00,119.0,0.0,8.0,12.0,0.0,0.0,231.0,1.0,4.0,46.0,57.0,26.0,46.0,4.0,11.0,2.0,6.0,10.0,144.0,13.0,46.0,9.0,16.0,2.0,5.0,10.0,30.0,57.0,22.0,62.0,52.0,f,f,,f,Italy,2.0,12.0,8.0,0.0,276.0,6.0,0.0,46.0,62.0,33.0,46.0,7.0,16.0,3.0,5.0,10.0,214.0,20.0,46.0,7.0,11.0,4.0,6.0,10.0,40.0,62.0,27.0,57.0,67.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,enrique-lopez-perez,E. Lopez Perez,guillermo-olaso,G. Olaso,cordenons_challenger,Round of 32,3.0,f,100,3,02:26:00,191.0,2.0,17.0,13.0,0.0,0.0,252.0,5.0,7.0,60.0,94.0,42.0,60.0,16.0,34.0,5.0,9.0,15.0,184.0,14.0,41.0,31.0,56.0,6.0,11.0,15.0,58.0,94.0,45.0,97.0,103.0,t,f,,f,Italy,1.0,13.0,17.0,0.0,214.0,5.0,4.0,41.0,97.0,27.0,41.0,25.0,56.0,5.0,11.0,15.0,153.0,18.0,60.0,18.0,34.0,4.0,9.0,15.0,52.0,97.0,36.0,94.0,88.0,f,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,erik-crepaldi,E. Crepaldi,fabian-lipautz,F. Lipautz,cordenons_challenger,2nd Round Qualifying,3.0,f,100,1,02:13:00,178.0,2.0,18.0,8.0,0.0,1.0,273.0,2.0,1.0,51.0,89.0,29.0,51.0,28.0,38.0,8.0,10.0,13.0,211.0,21.0,49.0,25.0,40.0,7.0,15.0,12.0,57.0,89.0,46.0,89.0,103.0,t,f,,f,Italy,1.0,8.0,18.0,1.0,192.0,4.0,3.0,49.0,89.0,28.0,49.0,15.0,40.0,8.0,15.0,12.0,104.0,22.0,51.0,10.0,38.0,2.0,10.0,13.0,43.0,89.0,32.0,89.0,75.0,f,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,erik-crepaldi,E. Crepaldi,hugo-dellien,H. Dellien,cordenons_challenger,1st Round Qualifying,3.0,f,100,0,02:44:00,216.0,2.0,18.0,11.0,0.0,1.0,272.0,2.0,1.0,89.0,122.0,51.0,89.0,20.0,33.0,10.0,13.0,15.0,191.0,16.0,41.0,27.0,53.0,6.0,11.0,13.0,71.0,122.0,43.0,94.0,114.0,t,f,,t,Italy,1.0,11.0,18.0,1.0,203.0,2.0,6.0,41.0,94.0,25.0,41.0,26.0,53.0,5.0,11.0,13.0,125.0,38.0,89.0,13.0,33.0,3.0,13.0,15.0,51.0,94.0,51.0,122.0,102.0,f,f,f,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,erik-crepaldi,E. Crepaldi,roberto-marcora,R. Marcora,cordenons_challenger,3rd Round Qualifying,3.0,f,100,2,02:07:00,184.0,2.0,15.0,11.0,0.0,0.0,259.0,2.0,4.0,54.0,86.0,37.0,54.0,17.0,32.0,9.0,12.0,13.0,175.0,20.0,62.0,25.0,36.0,5.0,14.0,13.0,54.0,86.0,45.0,98.0,99.0,t,f,,f,Italy,1.0,11.0,15.0,0.0,223.0,5.0,5.0,62.0,98.0,42.0,62.0,11.0,36.0,9.0,14.0,13.0,126.0,17.0,54.0,15.0,32.0,3.0,12.0,13.0,53.0,98.0,32.0,86.0,85.0,f,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,fabian-lipautz,F. Lipautz,michele-longo,M. Longo,cordenons_challenger,1st Round Qualifying,3.0,f,100,0,01:57:00,165.0,2.0,16.0,8.0,0.0,0.0,263.0,1.0,2.0,48.0,84.0,29.0,48.0,23.0,36.0,8.0,10.0,12.0,193.0,15.0,41.0,24.0,40.0,6.0,13.0,12.0,52.0,84.0,39.0,81.0,91.0,t,f,WC,f,Italy,1.0,8.0,16.0,0.0,198.0,2.0,8.0,41.0,81.0,26.0,41.0,16.0,40.0,7.0,13.0,12.0,112.0,19.0,48.0,13.0,36.0,2.0,10.0,12.0,42.0,81.0,32.0,84.0,74.0,f,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,filippo-baldi,F. Baldi,potito-starace,P. Starace,cordenons_challenger,Round of 32,2.0,f,100,3,01:16:00,121.0,0.0,4.0,12.0,0.0,0.0,219.0,0.0,0.0,50.0,75.0,23.0,50.0,14.0,25.0,8.0,12.0,8.0,55.0,10.0,39.0,2.0,7.0,0.0,2.0,8.0,37.0,75.0,12.0,46.0,49.0,f,f,WC,f,Italy,2.0,12.0,4.0,0.0,331.0,1.0,0.0,39.0,46.0,29.0,39.0,5.0,7.0,2.0,2.0,8.0,181.0,27.0,50.0,11.0,25.0,4.0,12.0,8.0,34.0,46.0,38.0,75.0,72.0,t,f,t,Italy
2013-08-12,2013-08-18,Italy,Clay,42500.0,€,2013,filippo-volandri,F. Volandri,gregoire-burquier,G. Burquier,cordenons_challenger,Quarter-Finals,3.0,f,100,5,02:23:00,197.0,1.0,18.0,18.0,0.0,2.0,222.0,0.0,0.0,81.0,100.0,42.0,81.0,7.0,19.0,1.0,9.0,17.0,222.0,34.0,67.0,15.0,30.0,9.0,13.0,17.0,49.0,100.0,49.0,97.0,98.0,f,f,5,f,Italy,2.0,18.0,18.0,2.0,213.0,1.0,3.0,67.0,97.0,33.0,67.0,15.0,30.0,4.0,13.0,17.0,247.0,39.0,81.0,12.0,19.0,8.0,9.0,17.0,48.0,97.0,51.0,100.0,99.0,t,f,t,Italy
