,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,adam-pavlasek,A. Pavlasek,elias-ymer,E. Ymer,cordenons_challenger,Round of 16,2.0,f,100,4,01:02:00,101.0,0.0,5.0,12.0,0.0,0.0,193.0,0.0,3.0,25.0,53.0,15.0,25.0,11.0,28.0,3.0,7.0,8.0,121.0,6.0,27.0,8.0,21.0,1.0,2.0,9.0,26.0,53.0,14.0,48.0,40.0,f,f,3,f,Italy,2.0,12.0,5.0,0.0,285.0,2.0,1.0,27.0,48.0,21.0,27.0,13.0,21.0,1.0,2.0,9.0,208.0,10.0,25.0,17.0,28.0,4.0,7.0,8.0,34.0,48.0,27.0,53.0,61.0,t,f,t,Italy
1,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,adam-pavlasek,A. Pavlasek,gianluca-mager,G. Mager,cordenons_challenger,Round of 32,2.0,f,100,3,01:28:00,131.0,2.0,13.0,8.0,0.0,0.0,275.0,2.0,2.0,32.0,70.0,25.0,32.0,23.0,38.0,6.0,7.0,11.0,154.0,10.0,27.0,15.0,34.0,3.0,7.0,10.0,48.0,70.0,25.0,61.0,73.0,t,f,3,t,Italy,0.0,8.0,13.0,0.0,234.0,4.0,3.0,27.0,61.0,17.0,27.0,19.0,34.0,4.0,7.0,10.0,84.0,7.0,32.0,15.0,38.0,1.0,7.0,11.0,36.0,61.0,22.0,70.0,58.0,f,f,f,Italy
2,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,david-pichler,D. Pichler,cordenons_challenger,3rd Round Qualifying,3.0,f,100,2,02:30:00,204.0,2.0,18.0,14.0,0.0,0.0,220.0,4.0,9.0,55.0,109.0,37.0,55.0,25.0,54.0,12.0,18.0,16.0,241.0,19.0,48.0,29.0,47.0,8.0,9.0,16.0,62.0,109.0,48.0,95.0,110.0,t,f,7,t,Italy,1.0,14.0,18.0,0.0,195.0,1.0,5.0,48.0,95.0,29.0,48.0,18.0,47.0,1.0,9.0,16.0,157.0,18.0,55.0,29.0,54.0,6.0,18.0,16.0,47.0,95.0,47.0,109.0,94.0,f,f,f,Italy
3,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,matteo-marfia,M. Marfia,cordenons_challenger,2nd Round Qualifying,2.0,f,100,1,01:00:00,97.0,2.0,12.0,4.0,0.0,0.0,244.0,2.0,8.0,28.0,52.0,22.0,28.0,10.0,24.0,5.0,7.0,8.0,275.0,13.0,22.0,17.0,23.0,6.0,9.0,8.0,32.0,52.0,30.0,45.0,62.0,t,f,7,t,Italy,0.0,4.0,12.0,0.0,138.0,1.0,4.0,22.0,45.0,9.0,22.0,6.0,23.0,3.0,9.0,8.0,133.0,6.0,28.0,14.0,24.0,2.0,7.0,8.0,15.0,45.0,20.0,52.0,35.0,f,f,f,Italy
4,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,adelchi-virgili,A. Virgili,pedro-martinez,P. Martinez,cordenons_challenger,Round of 32,3.0,f,100,3,02:27:00,193.0,1.0,9.0,18.0,1.0,1.0,181.0,1.0,7.0,62.0,100.0,38.0,62.0,10.0,38.0,6.0,14.0,13.0,152.0,19.0,52.0,20.0,41.0,3.0,7.0,13.0,48.0,100.0,39.0,93.0,87.0,f,f,Q,f,Italy,2.0,18.0,9.0,0.0,239.0,0.0,7.0,52.0,93.0,33.0,52.0,21.0,41.0,4.0,7.0,13.0,231.0,24.0,62.0,28.0,38.0,8.0,14.0,13.0,54.0,93.0,52.0,100.0,106.0,t,f,t,Italy
5,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,andrea-arnaboldi,A. Arnaboldi,christian-lindell,C. Lindell,cordenons_challenger,Round of 32,2.0,f,100,3,01:23:00,107.0,2.0,12.0,5.0,0.0,0.0,272.0,2.0,1.0,33.0,60.0,25.0,33.0,14.0,27.0,1.0,2.0,9.0,211.0,11.0,29.0,10.0,18.0,4.0,6.0,8.0,39.0,60.0,21.0,47.0,60.0,t,f,8,t,Italy,0.0,5.0,12.0,0.0,217.0,1.0,2.0,29.0,47.0,18.0,29.0,8.0,18.0,2.0,6.0,8.0,133.0,8.0,33.0,13.0,27.0,1.0,2.0,9.0,26.0,47.0,21.0,60.0,47.0,f,f,f,Italy
6,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,andrea-arnaboldi,A. Arnaboldi,pedro-martinez,P. Martinez,cordenons_challenger,Round of 16,2.0,f,100,4,01:49:00,138.0,0.0,7.0,13.0,0.0,1.0,183.0,0.0,5.0,34.0,72.0,23.0,34.0,11.0,38.0,6.0,11.0,9.0,136.0,11.0,39.0,13.0,27.0,3.0,10.0,10.0,34.0,72.0,24.0,66.0,58.0,f,f,8,f,Italy,2.0,13.0,7.0,1.0,252.0,4.0,5.0,39.0,66.0,28.0,39.0,14.0,27.0,7.0,10.0,10.0,203.0,11.0,34.0,27.0,38.0,5.0,11.0,9.0,42.0,66.0,38.0,72.0,80.0,t,f,t,Italy
7,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,andrea-pellegrino,A. Pellegrino,danilo-petrovic,D. Petrovic,cordenons_challenger,Round of 16,3.0,f,100,4,02:20:00,205.0,2.0,17.0,14.0,0.0,0.0,242.0,7.0,7.0,53.0,103.0,39.0,53.0,22.0,50.0,7.0,11.0,15.0,164.0,21.0,56.0,21.0,46.0,6.0,14.0,16.0,61.0,103.0,42.0,102.0,103.0,t,f,WC,f,Italy,1.0,14.0,17.0,0.0,241.0,11.0,4.0,56.0,102.0,35.0,56.0,25.0,46.0,8.0,14.0,16.0,144.0,14.0,53.0,28.0,50.0,4.0,11.0,15.0,60.0,102.0,42.0,103.0,102.0,f,f,t,Italy
8,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,andrea-pellegrino,A. Pellegrino,dragos-dima,D. Dima,cordenons_challenger,Round of 32,2.0,f,100,3,01:14:00,109.0,2.0,12.0,7.0,0.0,0.0,246.0,3.0,4.0,33.0,59.0,26.0,33.0,11.0,26.0,2.0,5.0,10.0,263.0,19.0,38.0,9.0,12.0,5.0,6.0,9.0,37.0,59.0,28.0,50.0,65.0,t,f,WC,t,Italy,0.0,7.0,12.0,0.0,196.0,1.0,0.0,38.0,50.0,19.0,38.0,3.0,12.0,1.0,6.0,9.0,169.0,7.0,33.0,15.0,26.0,3.0,5.0,10.0,22.0,50.0,22.0,59.0,44.0,f,f,f,Italy
9,2017-08-14,2017-08-20,Italy,Clay,64000.0,€,2017,andrea-pellegrino,A. Pellegrino,lorenzo-giustino,L. Giustino,cordenons_challenger,Quarter-Finals,2.0,f,100,5,01:33:00,124.0,0.0,6.0,12.0,0.0,0.0,215.0,0.0,5.0,30.0,58.0,19.0,30.0,14.0,28.0,3.0,7.0,9.0,109.0,11.0,36.0,14.0,30.0,1.0,5.0,9.0,33.0,58.0,25.0,66.0,58.0,f,f,WC,f,Italy,2.0,12.0,6.0,0.0,268.0,4.0,1.0,36.0,66.0,25.0,36.0,16.0,30.0,4.0,5.0,9.0,188.0,11.0,30.0,14.0,28.0,4.0,7.0,9.0,41.0,66.0,25.0,58.0,66.0,t,f,t,Italy
