,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,albert-portas,,jose-checa-calvo,,cordoba_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,1,t,Spain,0.0,8.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
1,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,albert-portas,,juan-balcells,,cordoba_challenger,Round of 16,2.0,f,100,4,,,2.0,9.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,1,t,Spain,0.0,1.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Spain
2,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,albert-portas,,tuomas-ketola,,cordoba_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,4.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,1,f,Spain,2.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
3,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,cristiano-caratti,,jean-francois-bachelot,,cordoba_challenger,Round of 32,2.0,f,100,3,,,0.0,8.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Spain,2.0,13.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
4,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,cyril-saulnier,,pablo-santos,,cordoba_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,6,t,Spain,0.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
5,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,cyril-saulnier,,tuomas-ketola,,cordoba_challenger,Round of 16,3.0,f,100,4,,,1.0,18.0,17.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6,t,Spain,2.0,17.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Spain
6,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,dick-norman,,jean-francois-bachelot,,cordoba_challenger,Round of 16,3.0,f,100,4,,,2.0,17.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,4,t,Spain,1.0,16.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
7,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,dick-norman,,jose-antonio-sanchez-de-luna,,cordoba_challenger,Round of 32,3.0,f,100,3,,,2.0,13.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,4,t,Spain,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
8,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,dick-norman,,stefano-pescosolido,,cordoba_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,4,f,Spain,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
9,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,dmitry-tursunov,,ivan-miranda,,cordoba_challenger,Round of 16,3.0,f,100,4,,,1.0,16.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Spain,2.0,15.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Spain
10,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,dmitry-tursunov,,jimmy-wang,,cordoba_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Spain,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
11,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,domenic-marafiote,,lars-burgsmuller,,cordoba_challenger,Round of 32,2.0,f,100,3,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Spain,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
12,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,george-bastl,,jan-hernych,,cordoba_challenger,Round of 32,3.0,f,100,3,,,2.0,15.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Spain,1.0,13.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
13,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,george-bastl,,lars-burgsmuller,,cordoba_challenger,Round of 16,2.0,f,100,4,,,0.0,7.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Spain,2.0,12.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
14,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,gilles-elseneer,,nicolas-mahut,,cordoba_challenger,Round of 32,3.0,f,100,3,,,1.0,14.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Spain,2.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Spain
15,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,gouichi-motomura,,juan-balcells,,cordoba_challenger,Round of 32,2.0,f,100,3,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Spain,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
16,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,guillermo-garcia-lopez,,noam-okun,,cordoba_challenger,Round of 32,2.0,f,100,3,,,0.0,9.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Spain,2.0,13.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
17,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,harel-levy,,jan-vacek,,cordoba_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Spain,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
18,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,harel-levy,,noam-okun,,cordoba_challenger,Round of 16,3.0,f,100,4,,,1.0,9.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Spain,2.0,16.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Spain
19,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,ivan-miranda,,lars-burgsmuller,,cordoba_challenger,Quarter-Finals,3.0,f,100,5,,,1.0,8.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,t,Spain,2.0,15.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Spain
20,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,ivan-miranda,,maximilian-abel,,cordoba_challenger,Round of 32,2.0,f,100,3,,,2.0,14.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,7,t,Spain,0.0,11.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Spain
21,2003-06-30,2003-07-06,Spain,Hard,75000.0,$,2003,ivan-navarro,,nicolas-mahut,,cordoba_challenger,Round of 16,2.0,f,100,4,,,0.0,8.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Spain,2.0,12.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Spain
