start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,alexander-bublik,A. Bublik,jason-jung,J. Jung,dallas_challenger,Round of 32,2.0,f,100,3,01:13:00,123.0,0.0,8.0,12.0,0.0,0.0,256.0,6.0,6.0,31.0,59.0,26.0,31.0,11.0,28.0,4.0,6.0,10.0,62.0,5.0,34.0,14.0,30.0,0.0,4.0,10.0,37.0,59.0,19.0,64.0,56.0,f,f,5,f,USA,2.0,12.0,8.0,0.0,289.0,1.0,3.0,34.0,64.0,29.0,34.0,16.0,30.0,4.0,4.0,10.0,130.0,5.0,31.0,17.0,28.0,2.0,6.0,10.0,45.0,64.0,22.0,59.0,67.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,aliaksandr-bury,A. Bury,michael-zhu,M. Zhu,dallas_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,139.0,0.0,7.0,13.0,0.0,0.0,248.0,6.0,1.0,42.0,70.0,28.0,42.0,13.0,28.0,3.0,6.0,10.0,64.0,12.0,38.0,10.0,31.0,0.0,3.0,10.0,41.0,70.0,22.0,69.0,63.0,f,f,,f,USA,2.0,13.0,7.0,0.0,289.0,1.0,3.0,38.0,69.0,26.0,38.0,21.0,31.0,3.0,3.0,10.0,167.0,14.0,42.0,15.0,28.0,3.0,6.0,10.0,47.0,69.0,29.0,70.0,76.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,andrea-collarini,A. Collarini,ante-pavic,A. Pavic,dallas_challenger,Round of 32,3.0,f,100,3,02:27:00,220.0,2.0,15.0,18.0,2.0,2.0,279.0,6.0,6.0,74.0,109.0,56.0,74.0,17.0,35.0,6.0,8.0,15.0,59.0,8.0,58.0,24.0,53.0,0.0,4.0,16.0,73.0,109.0,32.0,111.0,105.0,t,f,,f,USA,1.0,18.0,15.0,0.0,300.0,15.0,8.0,58.0,111.0,50.0,58.0,29.0,53.0,4.0,4.0,16.0,113.0,18.0,74.0,18.0,35.0,2.0,8.0,15.0,79.0,111.0,36.0,109.0,115.0,f,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,andrea-collarini,A. Collarini,tim-smyczek,T. Smyczek,dallas_challenger,Round of 16,2.0,f,100,4,01:18:00,116.0,0.0,8.0,12.0,0.0,0.0,266.0,6.0,4.0,33.0,60.0,24.0,33.0,15.0,27.0,3.0,5.0,10.0,45.0,9.0,35.0,4.0,21.0,0.0,2.0,10.0,39.0,60.0,13.0,56.0,52.0,f,f,,f,USA,2.0,12.0,8.0,0.0,322.0,4.0,0.0,35.0,56.0,26.0,35.0,17.0,21.0,2.0,2.0,10.0,131.0,9.0,33.0,12.0,27.0,2.0,5.0,10.0,43.0,56.0,21.0,60.0,64.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,arnau-dachs,A. Dachs,guillermo-olaso,G. Olaso,dallas_challenger,1st Round Qualifying,2.0,f,100,0,01:34:00,144.0,0.0,7.0,12.0,0.0,0.0,192.0,4.0,0.0,47.0,78.0,25.0,47.0,11.0,31.0,7.0,13.0,10.0,163.0,13.0,35.0,17.0,31.0,3.0,8.0,9.0,36.0,78.0,30.0,66.0,66.0,f,f,WC,f,USA,2.0,12.0,7.0,0.0,226.0,2.0,3.0,35.0,66.0,22.0,35.0,14.0,31.0,5.0,8.0,9.0,218.0,22.0,47.0,20.0,31.0,6.0,13.0,10.0,36.0,66.0,42.0,78.0,78.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,austin-krajicek,A. Krajicek,filip-peliwo,F. Peliwo,dallas_challenger,Round of 32,2.0,f,100,3,01:03:00,112.0,2.0,12.0,6.0,0.0,0.0,329.0,8.0,1.0,31.0,44.0,28.0,31.0,8.0,13.0,0.0,0.0,9.0,142.0,12.0,36.0,17.0,32.0,3.0,13.0,9.0,36.0,44.0,29.0,68.0,65.0,t,f,,t,USA,0.0,6.0,12.0,0.0,233.0,6.0,6.0,36.0,68.0,24.0,36.0,15.0,32.0,10.0,13.0,9.0,48.0,3.0,31.0,5.0,13.0,0.0,0.0,9.0,39.0,68.0,8.0,44.0,47.0,f,f,f,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,austin-krajicek,A. Krajicek,miomir-kecmanovic,M. Kecmanovic,dallas_challenger,Round of 16,3.0,f,100,4,02:38:00,247.0,1.0,19.0,20.0,1.0,3.0,321.0,26.0,4.0,77.0,115.0,64.0,77.0,21.0,38.0,3.0,4.0,18.0,88.0,16.0,80.0,24.0,52.0,1.0,6.0,18.0,85.0,115.0,40.0,132.0,125.0,f,f,,f,USA,2.0,20.0,19.0,2.0,298.0,14.0,5.0,80.0,132.0,64.0,80.0,28.0,52.0,5.0,6.0,18.0,92.0,13.0,77.0,17.0,38.0,1.0,4.0,18.0,92.0,132.0,30.0,115.0,122.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,bjorn-fratangelo,B. Fratangelo,miomir-kecmanovic,M. Kecmanovic,dallas_challenger,Round of 32,3.0,f,100,3,01:54:00,176.0,1.0,14.0,15.0,0.0,0.0,235.0,4.0,6.0,37.0,90.0,28.0,37.0,26.0,53.0,3.0,7.0,14.0,142.0,12.0,46.0,20.0,40.0,4.0,10.0,15.0,54.0,90.0,32.0,86.0,86.0,f,f,4,f,USA,2.0,15.0,14.0,0.0,253.0,4.0,1.0,46.0,86.0,34.0,46.0,20.0,40.0,6.0,10.0,15.0,160.0,9.0,37.0,27.0,53.0,4.0,7.0,14.0,54.0,86.0,36.0,90.0,90.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,bradley-klahn,B. Klahn,marcos-giron,M. Giron,dallas_challenger,Round of 32,3.0,f,100,3,01:44:00,171.0,2.0,14.0,14.0,0.0,0.0,284.0,5.0,4.0,55.0,80.0,40.0,55.0,14.0,25.0,0.0,2.0,14.0,113.0,14.0,58.0,18.0,33.0,2.0,10.0,14.0,54.0,80.0,32.0,91.0,86.0,t,f,,t,USA,1.0,14.0,14.0,0.0,272.0,4.0,2.0,58.0,91.0,44.0,58.0,15.0,33.0,8.0,10.0,14.0,185.0,15.0,55.0,11.0,25.0,2.0,2.0,14.0,59.0,91.0,26.0,80.0,85.0,f,f,f,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,bradley-klahn,B. Klahn,taylor-fritz,T. Fritz,dallas_challenger,Round of 16,3.0,f,100,4,01:56:00,190.0,1.0,16.0,15.0,0.0,1.0,260.0,7.0,8.0,59.0,92.0,48.0,59.0,12.0,33.0,4.0,7.0,15.0,148.0,13.0,53.0,24.0,45.0,4.0,9.0,15.0,60.0,92.0,37.0,98.0,97.0,f,f,,f,USA,2.0,15.0,16.0,1.0,256.0,10.0,3.0,53.0,98.0,40.0,53.0,21.0,45.0,5.0,9.0,15.0,146.0,11.0,59.0,21.0,33.0,3.0,7.0,15.0,61.0,98.0,32.0,92.0,93.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,brayden-schnur,B. Schnur,jared-hiltzik,J. Hiltzik,dallas_challenger,Round of 32,3.0,f,100,3,02:00:00,206.0,1.0,15.0,18.0,0.0,1.0,270.0,12.0,4.0,76.0,102.0,50.0,76.0,12.0,26.0,5.0,9.0,16.0,148.0,12.0,63.0,25.0,41.0,3.0,6.0,16.0,62.0,102.0,37.0,104.0,99.0,f,f,,t,USA,2.0,18.0,15.0,1.0,275.0,16.0,3.0,63.0,104.0,51.0,63.0,16.0,41.0,3.0,6.0,16.0,157.0,26.0,76.0,14.0,26.0,4.0,9.0,16.0,67.0,104.0,40.0,102.0,107.0,t,f,f,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,christopher-eubanks,C. Eubanks,jan-satral,J. Satral,dallas_challenger,3rd Round Qualifying,2.0,f,100,2,01:30:00,162.0,0.0,10.0,13.0,0.0,1.0,278.0,10.0,2.0,50.0,84.0,35.0,50.0,17.0,34.0,6.0,7.0,11.0,66.0,14.0,56.0,9.0,22.0,0.0,2.0,11.0,52.0,84.0,23.0,78.0,75.0,f,f,3,f,USA,2.0,13.0,10.0,1.0,310.0,7.0,3.0,56.0,78.0,42.0,56.0,13.0,22.0,2.0,2.0,11.0,103.0,15.0,50.0,17.0,34.0,1.0,7.0,11.0,55.0,78.0,32.0,84.0,87.0,t,f,t,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,christopher-eubanks,C. Eubanks,luke-bambridge,L. Bambridge,dallas_challenger,2nd Round Qualifying,2.0,f,100,1,00:59:00,108.0,2.0,12.0,7.0,0.0,0.0,298.0,6.0,5.0,34.0,59.0,27.0,34.0,15.0,25.0,6.0,6.0,10.0,130.0,6.0,21.0,11.0,28.0,2.0,5.0,9.0,42.0,59.0,17.0,49.0,59.0,t,f,3,t,USA,0.0,7.0,12.0,0.0,259.0,8.0,1.0,21.0,49.0,15.0,21.0,17.0,28.0,3.0,5.0,9.0,61.0,7.0,34.0,10.0,25.0,0.0,6.0,10.0,32.0,49.0,17.0,59.0,49.0,f,f,f,USA
2018-01-29,2018-02-04,USA,Hard,125000.0,$,2018,christopher-g-haworth,C. Haworth,jan-satral,J. Satral,dallas_challenger,2nd Round Qualifying,2.0,f,100,1,00:59:00,96.0,0.0,5.0,12.0,0.0,0.0,230.0,1.0,3.0,28.0,51.0,15.0,28.0,14.0,23.0,4.0,7.0,8.0,33.0,6.0,28.0,2.0,17.0,0.0,0.0,9.0,29.0,51.0,8.0,45.0,37.0,f,f,,f,USA,2.0,12.0,5.0,0.0,332.0,3.0,0.0,28.0,45.0,22.0,28.0,15.0,17.0,0.0,0.0,9.0,165.0,13.0,28.0,9.0,23.0,3.0,7.0,8.0,37.0,45.0,22.0,51.0,59.0,t,f,t,USA
