,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,adrian-mannarino,A. Mannarino,grigor-dimitrov,G. Dimitrov,delray-beach,Quarter-Finals,2.0,f,250,5,01:20:00,114.0,0.0,9.0,13.0,0.0,0.0,252.0,2.0,1.0,32.0,58.0,21.0,32.0,15.0,26.0,2.0,5.0,11.0,167.0,5.0,32.0,10.0,24.0,1.0,1.0,11.0,36.0,58.0,15.0,56.0,51.0,f,f,8,f,USA,2.0,13.0,9.0,0.0,292.0,7.0,4.0,32.0,56.0,27.0,32.0,14.0,24.0,0.0,1.0,11.0,163.0,11.0,32.0,11.0,26.0,3.0,5.0,11.0,41.0,56.0,22.0,58.0,63.0,t,f,t,USA
1,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,adrian-mannarino,A. Mannarino,malek-jaziri,M. Jaziri,delray-beach,Round of 32,3.0,f,250,3,01:31:00,135.0,2.0,13.0,10.0,0.0,0.0,260.0,3.0,3.0,37.0,70.0,25.0,37.0,19.0,33.0,7.0,9.0,11.0,196.0,9.0,33.0,18.0,32.0,4.0,5.0,12.0,44.0,70.0,27.0,65.0,71.0,t,f,8,f,USA,1.0,10.0,13.0,0.0,236.0,6.0,4.0,33.0,65.0,24.0,33.0,14.0,32.0,1.0,5.0,12.0,114.0,12.0,37.0,14.0,33.0,2.0,9.0,11.0,38.0,65.0,26.0,70.0,64.0,f,f,t,USA
2,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,adrian-mannarino,A. Mannarino,tatsuma-ito,T. Ito,delray-beach,Round of 16,3.0,f,250,4,02:46:00,244.0,2.0,19.0,16.0,1.0,2.0,248.0,12.0,11.0,57.0,120.0,43.0,57.0,31.0,63.0,7.0,11.0,16.0,155.0,27.0,68.0,25.0,56.0,6.0,17.0,17.0,74.0,120.0,52.0,124.0,126.0,t,f,8,t,USA,1.0,16.0,19.0,1.0,228.0,3.0,9.0,68.0,124.0,41.0,68.0,31.0,56.0,11.0,17.0,17.0,137.0,14.0,57.0,32.0,63.0,4.0,11.0,16.0,72.0,124.0,46.0,120.0,118.0,f,f,f,USA
3,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,alejandro-falla,A. Falla,john-patrick-smith,J. Smith,delray-beach,2nd Round Qualifying,3.0,f,250,2,01:27:00,148.0,1.0,9.0,14.0,0.0,0.0,222.0,1.0,4.0,35.0,74.0,26.0,35.0,16.0,39.0,9.0,13.0,11.0,126.0,15.0,48.0,13.0,26.0,2.0,7.0,12.0,42.0,74.0,28.0,74.0,70.0,f,f,4,f,USA,2.0,14.0,9.0,0.0,270.0,6.0,3.0,48.0,74.0,33.0,48.0,13.0,26.0,5.0,7.0,12.0,152.0,9.0,35.0,23.0,39.0,4.0,13.0,11.0,46.0,74.0,32.0,74.0,78.0,t,f,t,USA
4,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,alejandro-falla,A. Falla,somdev-devvarman,S. Devvarman,delray-beach,1st Round Qualifying,3.0,f,250,1,02:05:00,189.0,2.0,17.0,10.0,0.0,0.0,220.0,6.0,9.0,62.0,116.0,40.0,62.0,22.0,54.0,16.0,21.0,14.0,240.0,17.0,39.0,21.0,34.0,8.0,11.0,13.0,62.0,116.0,38.0,73.0,100.0,t,f,4,f,USA,1.0,10.0,17.0,0.0,183.0,4.0,6.0,39.0,73.0,22.0,39.0,13.0,34.0,3.0,11.0,13.0,153.0,22.0,62.0,32.0,54.0,5.0,21.0,14.0,35.0,73.0,54.0,116.0,89.0,f,f,t,USA
5,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,andrey-rublev,A. Rublev,john-patrick-smith,J. Smith,delray-beach,1st Round Qualifying,3.0,f,250,1,01:33:00,158.0,1.0,9.0,16.0,0.0,0.0,232.0,3.0,3.0,39.0,76.0,22.0,39.0,22.0,37.0,4.0,8.0,12.0,174.0,14.0,56.0,11.0,26.0,1.0,1.0,13.0,44.0,76.0,25.0,82.0,69.0,f,f,,t,USA,2.0,16.0,9.0,0.0,302.0,10.0,1.0,56.0,82.0,42.0,56.0,15.0,26.0,0.0,1.0,13.0,168.0,17.0,39.0,15.0,37.0,4.0,8.0,12.0,57.0,82.0,32.0,76.0,89.0,t,f,f,USA
6,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,artem-smirnov,A. Smirnov,luca-vanni,L. Vanni,delray-beach,1st Round Qualifying,2.0,f,250,1,01:34:00,145.0,0.0,7.0,13.0,0.0,0.0,222.0,4.0,8.0,50.0,83.0,32.0,50.0,14.0,33.0,11.0,15.0,10.0,109.0,7.0,29.0,14.0,33.0,1.0,3.0,10.0,46.0,83.0,21.0,62.0,67.0,f,f,AL,f,USA,2.0,13.0,7.0,0.0,277.0,9.0,3.0,29.0,62.0,22.0,29.0,19.0,33.0,2.0,3.0,10.0,161.0,18.0,50.0,19.0,33.0,4.0,15.0,10.0,41.0,62.0,37.0,83.0,78.0,t,f,t,USA
7,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,austin-krajicek,A. Krajicek,kevin-anderson,K. Anderson,delray-beach,Round of 32,1.0,f,250,3,01:00:00,80.0,1.0,7.0,6.0,1.0,1.0,222.0,3.0,1.0,14.0,40.0,7.0,14.0,18.0,26.0,1.0,3.0,6.0,158.0,3.0,17.0,13.0,23.0,2.0,4.0,6.0,25.0,40.0,16.0,40.0,41.0,t,t,,t,USA,0.0,6.0,7.0,0.0,232.0,4.0,6.0,17.0,40.0,14.0,17.0,10.0,23.0,2.0,4.0,6.0,181.0,7.0,14.0,8.0,26.0,2.0,3.0,6.0,24.0,40.0,15.0,40.0,39.0,f,t,f,USA
8,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,austin-krajicek,A. Krajicek,sam-querrey,S. Querrey,delray-beach,Round of 16,2.0,f,250,4,01:09:00,115.0,0.0,7.0,12.0,0.0,0.0,229.0,4.0,2.0,38.0,54.0,22.0,38.0,7.0,16.0,5.0,9.0,9.0,126.0,9.0,33.0,15.0,28.0,2.0,8.0,10.0,29.0,54.0,24.0,61.0,53.0,f,f,,f,USA,2.0,12.0,7.0,0.0,259.0,10.0,4.0,33.0,61.0,24.0,33.0,13.0,28.0,6.0,8.0,10.0,186.0,16.0,38.0,9.0,16.0,4.0,9.0,9.0,37.0,61.0,25.0,54.0,62.0,t,f,t,USA
9,2016-02-15,2016-02-21,USA,Hard,514065.0,$,2016,benjamin-becker,B. Becker,radu-albot,R. Albot,delray-beach,Round of 32,2.0,f,250,3,01:11:00,110.0,2.0,12.0,5.0,0.0,0.0,250.0,7.0,3.0,30.0,49.0,22.0,30.0,7.0,19.0,3.0,5.0,8.0,256.0,19.0,34.0,16.0,27.0,6.0,8.0,9.0,29.0,49.0,35.0,61.0,64.0,t,f,,t,USA,0.0,5.0,12.0,0.0,171.0,0.0,3.0,34.0,61.0,15.0,34.0,11.0,27.0,2.0,8.0,9.0,155.0,8.0,30.0,12.0,19.0,2.0,5.0,8.0,26.0,61.0,20.0,49.0,46.0,f,f,f,USA
