,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,laurynas-grigelis,,andreas-tattermusch,,eckental_challenger,2nd Round Qualifying,2.0,f,100,1,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Germany,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Germany
1,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,laurynas-grigelis,,antal-van-der-duim,,eckental_challenger,3rd Round Qualifying,2.0,f,100,2,,,0.0,10.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Germany,2.0,13.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Germany
2,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,laurynas-grigelis,,louk-sorensen,,eckental_challenger,1st Round Qualifying,3.0,f,100,0,,,2.0,18.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Germany,1.0,16.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Germany
3,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,alexander-peya,A. Peya,denis-gremelmayr,D. Gremelmayr,eckental_challenger,Round of 32,3.0,f,100,3,01:05:00,134.0,2.0,13.0,11.0,0.0,0.0,264.0,7.0,3.0,39.0,64.0,28.0,39.0,13.0,25.0,1.0,4.0,12.0,165.0,14.0,40.0,14.0,30.0,4.0,8.0,12.0,41.0,64.0,28.0,70.0,69.0,t,f,,f,Germany,1.0,11.0,13.0,0.0,244.0,7.0,4.0,40.0,70.0,26.0,40.0,16.0,30.0,4.0,8.0,12.0,176.0,11.0,39.0,12.0,25.0,3.0,4.0,12.0,42.0,70.0,23.0,64.0,65.0,f,f,t,Germany
4,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,alexander-peya,A. Peya,josh-goodall,J. Goodall,eckental_challenger,Round of 16,2.0,f,100,4,00:38:00,63.0,2.0,8.0,4.0,0.0,0.0,316.0,3.0,1.0,14.0,29.0,12.0,14.0,12.0,15.0,0.0,0.0,6.0,154.0,4.0,19.0,10.0,15.0,2.0,6.0,6.0,24.0,29.0,14.0,34.0,38.0,t,t,,t,Germany,0.0,4.0,8.0,0.0,238.0,5.0,1.0,19.0,34.0,15.0,19.0,5.0,15.0,4.0,6.0,6.0,34.0,2.0,14.0,3.0,15.0,0.0,0.0,6.0,20.0,34.0,5.0,29.0,25.0,f,t,f,Germany
5,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,alexander-peya,A. Peya,sebastien-de-chaunac,S. De Chaunac,eckental_challenger,Quarter-Finals,2.0,f,100,5,01:46:00,153.0,0.0,10.0,13.0,0.0,1.0,257.0,7.0,5.0,44.0,78.0,35.0,44.0,13.0,34.0,6.0,8.0,11.0,109.0,7.0,38.0,18.0,37.0,1.0,3.0,11.0,48.0,78.0,25.0,75.0,73.0,f,f,,f,Germany,2.0,13.0,10.0,1.0,274.0,6.0,6.0,38.0,75.0,31.0,38.0,19.0,37.0,2.0,3.0,11.0,125.0,9.0,44.0,21.0,34.0,2.0,8.0,11.0,50.0,75.0,30.0,78.0,80.0,t,f,t,Germany
6,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,alex-bogdanovic,A. Bogdanovic,dominik-meffert,D. Meffert,eckental_challenger,Round of 32,3.0,f,100,3,02:03:00,196.0,2.0,16.0,15.0,1.0,1.0,286.0,15.0,5.0,57.0,101.0,45.0,57.0,24.0,44.0,9.0,11.0,15.0,127.0,11.0,61.0,19.0,34.0,2.0,5.0,15.0,69.0,101.0,30.0,95.0,99.0,t,f,,t,Germany,1.0,15.0,16.0,0.0,288.0,15.0,3.0,61.0,95.0,50.0,61.0,15.0,34.0,3.0,5.0,15.0,97.0,12.0,57.0,20.0,44.0,2.0,11.0,15.0,65.0,95.0,32.0,101.0,97.0,f,f,f,Germany
7,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,alex-bogdanovic,A. Bogdanovic,nils-langer,N. Langer,eckental_challenger,Round of 16,3.0,f,100,4,01:42:00,181.0,1.0,12.0,18.0,1.0,1.0,265.0,11.0,7.0,58.0,92.0,46.0,58.0,14.0,34.0,6.0,9.0,14.0,60.0,9.0,54.0,15.0,35.0,0.0,0.0,15.0,60.0,92.0,24.0,89.0,84.0,f,f,,f,Germany,2.0,18.0,12.0,0.0,303.0,6.0,4.0,54.0,89.0,45.0,54.0,20.0,35.0,0.0,0.0,15.0,134.0,12.0,58.0,20.0,34.0,3.0,9.0,14.0,65.0,89.0,32.0,92.0,97.0,t,f,t,Germany
8,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,andrea-arnaboldi,A. Arnaboldi,dustin-brown,D. Brown,eckental_challenger,Round of 16,2.0,f,100,4,01:07:00,124.0,0.0,6.0,12.0,0.0,0.0,207.0,1.0,6.0,32.0,67.0,20.0,32.0,16.0,35.0,10.0,14.0,9.0,87.0,0.0,23.0,19.0,34.0,1.0,5.0,9.0,36.0,67.0,19.0,57.0,55.0,f,f,,f,Germany,2.0,12.0,6.0,0.0,277.0,10.0,5.0,23.0,57.0,23.0,23.0,15.0,34.0,4.0,5.0,9.0,165.0,12.0,32.0,19.0,35.0,4.0,14.0,9.0,38.0,57.0,31.0,67.0,69.0,t,f,t,Germany
9,2009-11-02,2009-11-08,Germany,Carpet,30000.0,€,2009,andrea-arnaboldi,,yannick-mertens,,eckental_challenger,Round of 32,2.0,f,100,3,,,2.0,13.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Germany,0.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Germany
