start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,adrian-mannarino,A. Mannarino,jeremy-chardy,J. Chardy,estoril,Round of 32,2.0,f,250,3,01:31:00,139.0,0.0,7.0,12.0,0.0,0.0,205.0,1.0,3.0,47.0,76.0,27.0,47.0,11.0,29.0,12.0,17.0,10.0,137.0,8.0,34.0,18.0,29.0,2.0,7.0,9.0,38.0,76.0,26.0,63.0,64.0,f,f,,f,Portugal,2.0,12.0,7.0,0.0,249.0,8.0,4.0,34.0,63.0,26.0,34.0,11.0,29.0,5.0,7.0,9.0,184.0,20.0,47.0,18.0,29.0,5.0,17.0,10.0,37.0,63.0,38.0,76.0,75.0,t,f,t,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,guillermo-olaso,G. Olaso,estoril,1st Round Qualifying,2.0,f,250,0,01:01:00,87.0,2.0,12.0,3.0,0.0,0.0,308.0,4.0,1.0,24.0,39.0,20.0,24.0,9.0,15.0,0.0,0.0,7.0,261.0,8.0,27.0,18.0,21.0,5.0,6.0,8.0,29.0,39.0,26.0,48.0,55.0,t,f,,t,Portugal,0.0,3.0,12.0,0.0,169.0,0.0,8.0,27.0,48.0,19.0,27.0,3.0,21.0,1.0,6.0,8.0,57.0,4.0,24.0,6.0,15.0,0.0,0.0,7.0,22.0,48.0,10.0,39.0,32.0,f,f,f,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,adrian-menendez-maceiras,A. Menendez-Maceiras,pablo-carreno-busta,P. Carreno Busta,estoril,2nd Round Qualifying,2.0,f,250,1,01:35:00,129.0,0.0,7.0,13.0,0.0,1.0,223.0,5.0,0.0,41.0,68.0,25.0,41.0,10.0,27.0,1.0,5.0,10.0,105.0,8.0,29.0,13.0,32.0,1.0,4.0,9.0,35.0,68.0,21.0,61.0,56.0,f,f,,f,Portugal,2.0,13.0,7.0,1.0,266.0,0.0,1.0,29.0,61.0,21.0,29.0,19.0,32.0,3.0,4.0,9.0,222.0,16.0,41.0,17.0,27.0,4.0,5.0,10.0,40.0,61.0,33.0,68.0,73.0,t,f,t,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,albert-ramos-vinolas,A. Ramos-Vinolas,goncalo-falcao,G. Falcao,estoril,1st Round Qualifying,2.0,f,250,0,01:36:00,132.0,2.0,12.0,8.0,0.0,0.0,258.0,2.0,0.0,41.0,61.0,24.0,41.0,12.0,20.0,3.0,6.0,10.0,214.0,19.0,43.0,16.0,28.0,5.0,8.0,10.0,36.0,61.0,35.0,71.0,71.0,t,f,1,t,Portugal,0.0,8.0,12.0,0.0,206.0,0.0,4.0,43.0,71.0,24.0,43.0,12.0,28.0,3.0,8.0,10.0,161.0,17.0,41.0,8.0,20.0,3.0,6.0,10.0,36.0,71.0,25.0,61.0,61.0,f,f,f,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,albert-ramos-vinolas,A. Ramos-Vinolas,pablo-martin-adalia,P. Martin-Adalia,estoril,2nd Round Qualifying,2.0,f,250,1,01:34:00,132.0,2.0,13.0,9.0,1.0,1.0,253.0,5.0,0.0,40.0,68.0,25.0,40.0,15.0,28.0,1.0,4.0,11.0,207.0,19.0,45.0,13.0,19.0,4.0,7.0,10.0,40.0,68.0,32.0,64.0,72.0,t,f,1,t,Portugal,0.0,9.0,13.0,0.0,218.0,0.0,2.0,45.0,64.0,26.0,45.0,6.0,19.0,3.0,7.0,10.0,186.0,15.0,40.0,13.0,28.0,3.0,4.0,11.0,32.0,64.0,28.0,68.0,60.0,f,f,f,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,albert-ramos-vinolas,A. Ramos-Vinolas,pedro-sousa,P. Sousa,estoril,3rd Round Qualifying,3.0,f,250,2,02:15:00,203.0,1.0,16.0,18.0,0.0,0.0,213.0,2.0,3.0,69.0,99.0,38.0,69.0,11.0,30.0,8.0,16.0,17.0,172.0,32.0,77.0,13.0,27.0,7.0,17.0,17.0,49.0,99.0,45.0,104.0,94.0,f,f,1,t,Portugal,2.0,18.0,16.0,0.0,244.0,6.0,4.0,77.0,104.0,45.0,77.0,14.0,27.0,10.0,17.0,17.0,205.0,31.0,69.0,19.0,30.0,8.0,16.0,17.0,59.0,104.0,50.0,99.0,109.0,t,f,f,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,alejandro-falla,A. Falla,juan-martin-del-potro,J. del Potro,estoril,Round of 16,2.0,f,250,4,01:11:00,95.0,0.0,3.0,12.0,0.0,0.0,200.0,2.0,3.0,36.0,57.0,19.0,36.0,9.0,21.0,3.0,7.0,7.0,33.0,3.0,23.0,3.0,15.0,0.0,0.0,8.0,28.0,57.0,6.0,38.0,34.0,f,f,,f,Portugal,2.0,12.0,3.0,0.0,331.0,3.0,0.0,23.0,38.0,20.0,23.0,12.0,15.0,0.0,0.0,8.0,218.0,17.0,36.0,12.0,21.0,4.0,7.0,7.0,32.0,38.0,29.0,57.0,61.0,t,f,t,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,alejandro-falla,A. Falla,pablo-andujar,P. Andujar,estoril,Round of 32,3.0,f,250,3,02:02:00,143.0,1.0,14.0,11.0,0.0,0.0,300.0,2.0,0.0,39.0,65.0,27.0,39.0,22.0,26.0,2.0,4.0,13.0,153.0,17.0,46.0,17.0,32.0,3.0,8.0,12.0,49.0,65.0,34.0,78.0,83.0,t,t,,f,Portugal,2.0,11.0,14.0,0.0,243.0,2.0,3.0,46.0,78.0,29.0,46.0,15.0,32.0,5.0,8.0,12.0,111.0,12.0,39.0,4.0,26.0,2.0,4.0,13.0,44.0,78.0,16.0,65.0,60.0,f,t,t,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,andrey-kumantsov,A. Kumantsov,pedro-sousa,P. Sousa,estoril,2nd Round Qualifying,3.0,f,250,1,01:47:00,156.0,1.0,12.0,14.0,0.0,0.0,259.0,4.0,2.0,55.0,79.0,35.0,55.0,13.0,24.0,3.0,7.0,13.0,141.0,14.0,55.0,15.0,22.0,3.0,12.0,13.0,48.0,79.0,29.0,77.0,77.0,f,f,,f,Portugal,2.0,14.0,12.0,0.0,253.0,1.0,2.0,55.0,77.0,41.0,55.0,7.0,22.0,9.0,12.0,13.0,169.0,20.0,55.0,11.0,24.0,4.0,7.0,13.0,48.0,77.0,31.0,79.0,79.0,t,f,t,Portugal
2011-04-25,2011-05-01,Portugal,Clay,398250.0,€,2011,andrey-kumantsov,A. Kumantsov,simone-vagnozzi,S. Vagnozzi,estoril,1st Round Qualifying,3.0,f,250,0,02:38:00,180.0,2.0,17.0,14.0,0.0,0.0,237.0,1.0,1.0,69.0,92.0,37.0,69.0,12.0,23.0,9.0,16.0,16.0,223.0,38.0,75.0,10.0,13.0,8.0,19.0,15.0,49.0,92.0,48.0,88.0,97.0,t,f,,f,Portugal,1.0,14.0,17.0,0.0,203.0,0.0,0.0,75.0,88.0,37.0,75.0,3.0,13.0,11.0,19.0,15.0,181.0,32.0,69.0,11.0,23.0,7.0,16.0,16.0,40.0,88.0,43.0,92.0,83.0,f,f,t,Portugal
