start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-falla,A. Falla,ruan-roelofse,R. Roelofse,fairfield_challenger,1st Round Qualifying,3.0,f,100,0,02:11:00,236.0,1.0,16.0,18.0,0.0,0.0,259.0,10.0,7.0,73.0,128.0,51.0,73.0,26.0,55.0,7.0,10.0,17.0,116.0,14.0,61.0,23.0,47.0,2.0,6.0,17.0,77.0,128.0,37.0,108.0,114.0,f,f,7,t,USA,2.0,18.0,16.0,0.0,277.0,13.0,8.0,61.0,108.0,47.0,61.0,24.0,47.0,4.0,6.0,17.0,130.0,22.0,73.0,29.0,55.0,3.0,10.0,17.0,71.0,108.0,51.0,128.0,122.0,t,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-gonzalez,A. Gonzalez,bjorn-fratangelo,B. Fratangelo,fairfield_challenger,Round of 16,2.0,f,100,4,01:42:00,154.0,0.0,12.0,14.0,0.0,2.0,256.0,2.0,3.0,44.0,77.0,28.0,44.0,20.0,33.0,0.0,3.0,12.0,171.0,11.0,41.0,16.0,36.0,3.0,4.0,12.0,48.0,77.0,27.0,77.0,75.0,f,f,LL,f,USA,2.0,14.0,12.0,2.0,259.0,5.0,3.0,41.0,77.0,30.0,41.0,20.0,36.0,1.0,4.0,12.0,200.0,16.0,44.0,13.0,33.0,3.0,3.0,12.0,50.0,77.0,29.0,77.0,79.0,t,f,t,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-gonzalez,A. Gonzalez,dominik-koepfer,D. Koepfer,fairfield_challenger,2nd Round Qualifying,3.0,f,100,1,01:57:00,178.0,2.0,16.0,13.0,0.0,0.0,251.0,1.0,3.0,56.0,87.0,38.0,56.0,15.0,31.0,3.0,7.0,15.0,161.0,21.0,54.0,19.0,37.0,5.0,14.0,14.0,53.0,87.0,40.0,91.0,93.0,t,f,,t,USA,1.0,13.0,16.0,0.0,230.0,1.0,4.0,54.0,91.0,33.0,54.0,18.0,37.0,9.0,14.0,14.0,167.0,18.0,56.0,16.0,31.0,4.0,7.0,15.0,51.0,91.0,34.0,87.0,85.0,f,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-gonzalez,A. Gonzalez,john-patrick-smith,J. Smith,fairfield_challenger,Round of 32,2.0,f,100,3,01:15:00,119.0,2.0,12.0,5.0,0.0,0.0,302.0,1.0,3.0,50.0,72.0,29.0,50.0,17.0,22.0,6.0,6.0,9.0,179.0,13.0,33.0,6.0,14.0,3.0,5.0,8.0,46.0,72.0,19.0,47.0,65.0,t,f,LL,t,USA,0.0,5.0,12.0,0.0,251.0,2.0,1.0,33.0,47.0,20.0,33.0,8.0,14.0,2.0,5.0,8.0,65.0,21.0,50.0,5.0,22.0,0.0,6.0,9.0,28.0,47.0,26.0,72.0,54.0,f,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-gonzalez,A. Gonzalez,ruan-roelofse,R. Roelofse,fairfield_challenger,3rd Round Qualifying,2.0,f,100,2,01:28:00,136.0,0.0,8.0,13.0,0.0,1.0,226.0,0.0,3.0,48.0,76.0,30.0,48.0,12.0,28.0,5.0,9.0,10.0,126.0,6.0,33.0,13.0,27.0,2.0,5.0,10.0,42.0,76.0,19.0,60.0,61.0,f,f,,f,USA,2.0,13.0,8.0,1.0,273.0,6.0,2.0,33.0,60.0,27.0,33.0,14.0,27.0,3.0,5.0,10.0,179.0,18.0,48.0,16.0,28.0,4.0,9.0,10.0,41.0,60.0,34.0,76.0,75.0,t,f,t,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alejandro-gonzalez,A. Gonzalez,timothy-sah,T. Sah,fairfield_challenger,1st Round Qualifying,2.0,f,100,0,01:13:00,126.0,2.0,12.0,8.0,0.0,0.0,282.0,2.0,2.0,36.0,60.0,25.0,36.0,15.0,24.0,1.0,2.0,10.0,157.0,11.0,28.0,17.0,38.0,3.0,7.0,10.0,40.0,60.0,28.0,66.0,68.0,t,f,,t,USA,0.0,8.0,12.0,0.0,229.0,4.0,3.0,28.0,66.0,17.0,28.0,21.0,38.0,4.0,7.0,10.0,129.0,11.0,36.0,9.0,24.0,1.0,2.0,10.0,38.0,66.0,20.0,60.0,58.0,f,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alexander-sarkissian,A. Sarkissian,ernesto-escobedo,E. Escobedo,fairfield_challenger,Round of 32,3.0,f,100,3,01:38:00,154.0,1.0,9.0,17.0,0.0,0.0,205.0,8.0,6.0,37.0,74.0,25.0,37.0,12.0,37.0,6.0,12.0,13.0,110.0,9.0,46.0,18.0,34.0,2.0,9.0,13.0,37.0,74.0,27.0,80.0,64.0,f,f,WC,t,USA,2.0,17.0,9.0,0.0,276.0,12.0,5.0,46.0,80.0,37.0,46.0,16.0,34.0,7.0,9.0,13.0,196.0,12.0,37.0,25.0,37.0,6.0,12.0,13.0,53.0,80.0,37.0,74.0,90.0,t,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alexander-ward,A. Ward,bjorn-fratangelo,B. Fratangelo,fairfield_challenger,Round of 32,3.0,f,100,3,02:28:00,211.0,1.0,16.0,16.0,0.0,1.0,256.0,6.0,7.0,56.0,103.0,43.0,56.0,21.0,47.0,3.0,6.0,16.0,139.0,20.0,59.0,23.0,49.0,3.0,8.0,15.0,64.0,103.0,43.0,108.0,107.0,f,f,LL,t,USA,2.0,16.0,16.0,1.0,254.0,4.0,4.0,59.0,108.0,39.0,59.0,26.0,49.0,5.0,8.0,15.0,146.0,13.0,56.0,26.0,47.0,3.0,6.0,16.0,65.0,108.0,39.0,103.0,104.0,t,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alexander-ward,A. Ward,greg-jones,G. Jones,fairfield_challenger,2nd Round Qualifying,2.0,f,100,1,01:24:00,120.0,2.0,12.0,7.0,0.0,0.0,233.0,4.0,6.0,26.0,59.0,19.0,26.0,17.0,33.0,3.0,6.0,9.0,226.0,16.0,32.0,19.0,29.0,6.0,12.0,10.0,36.0,59.0,35.0,61.0,71.0,t,f,,t,USA,0.0,7.0,12.0,0.0,174.0,1.0,3.0,32.0,61.0,16.0,32.0,10.0,29.0,6.0,12.0,10.0,158.0,7.0,26.0,16.0,33.0,3.0,6.0,9.0,26.0,61.0,23.0,59.0,49.0,f,f,f,USA
2017-10-09,2017-10-15,USA,Hard,100000.0,$,2017,alexander-ward,A. Ward,roberto-ortega-olmedo,R. Ortega-Olmedo,fairfield_challenger,1st Round Qualifying,2.0,f,100,0,00:50:00,77.0,2.0,12.0,2.0,0.0,0.0,307.0,6.0,3.0,20.0,38.0,18.0,20.0,11.0,18.0,0.0,0.0,7.0,247.0,11.0,21.0,11.0,18.0,5.0,8.0,7.0,29.0,38.0,22.0,39.0,51.0,t,f,,t,USA,0.0,2.0,12.0,0.0,168.0,1.0,2.0,21.0,39.0,10.0,21.0,7.0,18.0,3.0,8.0,7.0,49.0,2.0,20.0,7.0,18.0,0.0,0.0,7.0,17.0,39.0,9.0,38.0,26.0,f,f,f,USA
