start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,abduvoris-saitmukhamedov,A. Saitmukhamedov,andrey-boldarev,A. Boldarev,fergana_challenger,2nd Round Qualifying,3.0,f,100,1,01:32:00,157.0,1.0,10.0,15.0,0.0,0.0,205.0,7.0,7.0,40.0,84.0,26.0,40.0,17.0,44.0,7.0,13.0,13.0,161.0,15.0,44.0,15.0,29.0,3.0,6.0,12.0,43.0,84.0,30.0,73.0,73.0,f,f,,f,Uzbekistan,2.0,15.0,10.0,0.0,249.0,1.0,1.0,44.0,73.0,29.0,44.0,14.0,29.0,3.0,6.0,12.0,188.0,14.0,40.0,27.0,44.0,6.0,13.0,13.0,43.0,73.0,41.0,84.0,84.0,t,f,t,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,abduvoris-saitmukhamedov,A. Saitmukhamedov,odil-akramov,O. Akramov,fergana_challenger,1st Round Qualifying,2.0,f,100,0,01:40:00,145.0,2.0,13.0,9.0,0.0,0.0,273.0,0.0,2.0,43.0,74.0,34.0,43.0,15.0,31.0,6.0,7.0,11.0,151.0,27.0,55.0,4.0,16.0,3.0,6.0,11.0,49.0,74.0,31.0,71.0,80.0,t,f,,t,Uzbekistan,0.0,9.0,13.0,0.0,274.0,1.0,2.0,55.0,71.0,28.0,55.0,12.0,16.0,3.0,6.0,11.0,96.0,9.0,43.0,16.0,31.0,1.0,7.0,11.0,40.0,71.0,25.0,74.0,65.0,f,f,f,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,abror-isakov,A. Isakov,daniiar-duldaev,D. Duldaev,fergana_challenger,2nd Round Qualifying,3.0,f,100,1,02:26:00,222.0,1.0,18.0,18.0,0.0,2.0,269.0,2.0,1.0,80.0,104.0,46.0,80.0,15.0,24.0,6.0,11.0,17.0,155.0,11.0,49.0,38.0,69.0,6.0,14.0,17.0,61.0,104.0,49.0,118.0,110.0,f,f,,f,Uzbekistan,2.0,18.0,18.0,2.0,225.0,2.0,6.0,49.0,118.0,38.0,49.0,31.0,69.0,8.0,14.0,17.0,155.0,34.0,80.0,9.0,24.0,5.0,11.0,17.0,69.0,118.0,43.0,104.0,112.0,t,f,t,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,abror-isakov,A. Isakov,sherzod-kadirov,S. Kadirov,fergana_challenger,1st Round Qualifying,2.0,f,100,0,00:41:00,92.0,2.0,12.0,3.0,0.0,0.0,281.0,0.0,3.0,30.0,45.0,23.0,30.0,8.0,15.0,0.0,1.0,8.0,237.0,10.0,17.0,17.0,30.0,5.0,10.0,7.0,31.0,45.0,27.0,47.0,58.0,t,f,,t,Uzbekistan,0.0,3.0,12.0,0.0,142.0,0.0,6.0,17.0,47.0,7.0,17.0,13.0,30.0,5.0,10.0,7.0,182.0,7.0,30.0,7.0,15.0,1.0,1.0,8.0,20.0,47.0,14.0,45.0,34.0,f,f,f,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,akhmed-djamal-mukhamed,A. Mukhamed,ilya-chkoniya,I. Chkoniya,fergana_challenger,1st Round Qualifying,2.0,f,100,0,01:07:00,121.0,0.0,7.0,13.0,0.0,0.0,206.0,1.0,2.0,36.0,65.0,17.0,36.0,16.0,29.0,4.0,9.0,10.0,130.0,4.0,27.0,13.0,29.0,2.0,4.0,10.0,33.0,65.0,17.0,56.0,50.0,f,f,,f,Uzbekistan,2.0,13.0,7.0,0.0,268.0,2.0,2.0,27.0,56.0,23.0,27.0,16.0,29.0,2.0,4.0,10.0,204.0,19.0,36.0,13.0,29.0,5.0,9.0,10.0,39.0,56.0,32.0,65.0,71.0,t,f,t,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,amir-weintraub,A. Weintraub,brydan-klein,B. Klein,fergana_challenger,Quarter-Finals,3.0,f,100,5,02:06:00,194.0,2.0,17.0,12.0,0.0,0.0,268.0,5.0,4.0,58.0,100.0,40.0,58.0,23.0,42.0,8.0,10.0,14.0,173.0,19.0,61.0,22.0,33.0,5.0,12.0,15.0,63.0,100.0,41.0,94.0,104.0,t,f,4,f,Uzbekistan,1.0,12.0,17.0,0.0,230.0,4.0,7.0,61.0,94.0,42.0,61.0,11.0,33.0,7.0,12.0,15.0,110.0,18.0,58.0,19.0,42.0,2.0,10.0,14.0,53.0,94.0,37.0,100.0,90.0,f,f,t,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,amir-weintraub,A. Weintraub,evgeny-kirillov,E. Kirillov,fergana_challenger,Semi-Finals,2.0,f,100,6,01:08:00,121.0,2.0,12.0,7.0,0.0,0.0,299.0,3.0,1.0,44.0,62.0,33.0,44.0,11.0,18.0,4.0,5.0,10.0,179.0,9.0,31.0,16.0,28.0,3.0,5.0,9.0,44.0,62.0,25.0,59.0,69.0,t,f,4,t,Uzbekistan,0.0,7.0,12.0,0.0,232.0,4.0,5.0,31.0,59.0,22.0,31.0,12.0,28.0,2.0,5.0,9.0,94.0,11.0,44.0,7.0,18.0,1.0,5.0,10.0,34.0,59.0,18.0,62.0,52.0,f,f,f,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,amir-weintraub,A. Weintraub,nikolaus-moser,N. Moser,fergana_challenger,Round of 16,2.0,f,100,4,01:22:00,127.0,2.0,13.0,9.0,0.0,0.0,262.0,0.0,2.0,37.0,63.0,29.0,37.0,12.0,26.0,2.0,4.0,11.0,178.0,9.0,29.0,19.0,35.0,4.0,7.0,11.0,41.0,63.0,28.0,64.0,69.0,t,f,4,t,Uzbekistan,0.0,9.0,13.0,0.0,227.0,8.0,4.0,29.0,64.0,20.0,29.0,16.0,35.0,3.0,7.0,11.0,144.0,8.0,37.0,14.0,26.0,2.0,4.0,11.0,36.0,64.0,22.0,63.0,58.0,f,f,f,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,amir-weintraub,A. Weintraub,yasutaka-uchiyama,Y. Uchiyama,fergana_challenger,Round of 32,2.0,f,100,3,01:35:00,155.0,2.0,14.0,12.0,2.0,2.0,286.0,6.0,7.0,53.0,84.0,45.0,53.0,15.0,31.0,2.0,3.0,12.0,120.0,6.0,44.0,13.0,27.0,1.0,2.0,12.0,60.0,84.0,19.0,71.0,79.0,t,f,4,t,Uzbekistan,0.0,12.0,14.0,0.0,300.0,14.0,5.0,44.0,71.0,38.0,44.0,14.0,27.0,1.0,2.0,12.0,108.0,8.0,53.0,16.0,31.0,1.0,3.0,12.0,52.0,71.0,24.0,84.0,76.0,f,f,f,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,amir-weintraub,A. Weintraub,yuki-bhambri,Y. Bhambri,fergana_challenger,Finals,2.0,f,100,7,01:17:00,128.0,0.0,6.0,12.0,0.0,0.0,223.0,4.0,2.0,44.0,67.0,25.0,44.0,10.0,23.0,4.0,8.0,9.0,116.0,13.0,47.0,9.0,14.0,1.0,8.0,9.0,35.0,67.0,22.0,61.0,57.0,f,f,4,f,Uzbekistan,2.0,12.0,6.0,0.0,274.0,4.0,3.0,47.0,61.0,34.0,47.0,5.0,14.0,7.0,8.0,9.0,194.0,19.0,44.0,13.0,23.0,4.0,8.0,9.0,39.0,61.0,32.0,67.0,71.0,t,f,t,Uzbekistan
2012-05-14,2012-05-20,Uzbekistan,Hard,35000.0,$,2012,andrei-vasilevski,A. Vasilevski,batyr-sapaev,B. Sapaev,fergana_challenger,3rd Round Qualifying,2.0,f,100,2,01:08:00,112.0,0.0,7.0,12.0,0.0,0.0,266.0,5.0,2.0,24.0,42.0,19.0,24.0,9.0,18.0,0.0,2.0,9.0,65.0,11.0,35.0,12.0,35.0,0.0,4.0,10.0,28.0,42.0,23.0,70.0,51.0,f,f,3,f,Uzbekistan,2.0,12.0,7.0,0.0,284.0,0.0,1.0,35.0,70.0,24.0,35.0,23.0,35.0,4.0,4.0,10.0,193.0,5.0,24.0,9.0,18.0,2.0,2.0,9.0,47.0,70.0,14.0,42.0,61.0,t,f,t,Uzbekistan
