,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,alejandro-gonzalez,A. Gonzalez,matija-pecotic,M. Pecotic,gatineau_challenger,Round of 32,2.0,f,100,3,01:13:00,105.0,0.0,5.0,12.0,0.0,0.0,195.0,2.0,2.0,28.0,54.0,17.0,28.0,10.0,26.0,4.0,9.0,9.0,128.0,8.0,34.0,10.0,17.0,1.0,3.0,8.0,27.0,54.0,18.0,51.0,45.0,f,f,4,f,Canada,2.0,12.0,5.0,0.0,272.0,2.0,1.0,34.0,51.0,26.0,34.0,7.0,17.0,2.0,3.0,8.0,212.0,11.0,28.0,16.0,26.0,5.0,9.0,9.0,33.0,51.0,27.0,54.0,60.0,t,f,t,Canada
1,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,alejandro-tabilo,A. Tabilo,blake-mott,B. Mott,gatineau_challenger,Round of 32,2.0,f,100,3,01:01:00,98.0,0.0,2.0,12.0,0.0,0.0,112.0,0.0,11.0,20.0,38.0,10.0,20.0,1.0,18.0,1.0,7.0,7.0,146.0,12.0,43.0,12.0,17.0,1.0,3.0,7.0,11.0,38.0,24.0,60.0,35.0,f,f,WC,f,Canada,2.0,12.0,2.0,0.0,258.0,5.0,5.0,43.0,60.0,31.0,43.0,5.0,17.0,2.0,3.0,7.0,315.0,10.0,20.0,17.0,18.0,6.0,7.0,7.0,36.0,60.0,27.0,38.0,63.0,t,f,t,Canada
2,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,alexis-galarneau,A. Galarneau,thomas-susen,T. Susen,gatineau_challenger,1st Round Qualifying,3.0,f,100,1,02:22:00,214.0,1.0,14.0,16.0,0.0,0.0,249.0,7.0,10.0,49.0,123.0,36.0,49.0,39.0,74.0,12.0,14.0,15.0,86.0,9.0,44.0,19.0,47.0,1.0,5.0,15.0,75.0,123.0,28.0,91.0,103.0,f,f,8 WC,t,Canada,2.0,16.0,14.0,0.0,274.0,2.0,9.0,44.0,91.0,35.0,44.0,28.0,47.0,4.0,5.0,15.0,101.0,13.0,49.0,35.0,74.0,2.0,14.0,15.0,63.0,91.0,48.0,123.0,111.0,t,f,f,Canada
3,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,andrew-whittington,A. Whittington,filip-peliwo,F. Peliwo,gatineau_challenger,Round of 32,3.0,f,100,3,02:41:00,231.0,1.0,15.0,19.0,1.0,2.0,218.0,5.0,8.0,67.0,116.0,43.0,67.0,18.0,49.0,8.0,14.0,16.0,147.0,21.0,74.0,25.0,41.0,4.0,12.0,16.0,61.0,116.0,46.0,115.0,107.0,f,f,7,t,Canada,2.0,19.0,15.0,1.0,244.0,2.0,8.0,74.0,115.0,53.0,74.0,16.0,41.0,8.0,12.0,16.0,179.0,24.0,67.0,31.0,49.0,6.0,14.0,16.0,69.0,115.0,55.0,116.0,124.0,t,f,f,Canada
4,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,andrey-golubev,A. Golubev,brydan-klein,B. Klein,gatineau_challenger,Round of 32,2.0,f,100,3,01:10:00,105.0,0.0,5.0,12.0,0.0,0.0,205.0,3.0,4.0,23.0,41.0,14.0,23.0,7.0,18.0,1.0,5.0,8.0,116.0,11.0,39.0,15.0,25.0,1.0,6.0,9.0,21.0,41.0,26.0,64.0,47.0,f,f,,f,Canada,2.0,12.0,5.0,0.0,260.0,3.0,4.0,39.0,64.0,28.0,39.0,10.0,25.0,5.0,6.0,9.0,230.0,9.0,23.0,11.0,18.0,4.0,5.0,8.0,38.0,64.0,20.0,41.0,58.0,t,f,t,Canada
5,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,blake-mott,B. Mott,saketh-myneni,S. Myneni,gatineau_challenger,Round of 16,2.0,f,100,4,01:10:00,108.0,0.0,5.0,12.0,0.0,0.0,203.0,0.0,5.0,36.0,54.0,21.0,36.0,6.0,18.0,5.0,9.0,8.0,94.0,5.0,30.0,11.0,24.0,1.0,5.0,9.0,27.0,54.0,16.0,54.0,43.0,f,f,,f,Canada,2.0,12.0,5.0,0.0,286.0,5.0,0.0,30.0,54.0,25.0,30.0,13.0,24.0,4.0,5.0,9.0,203.0,15.0,36.0,12.0,18.0,4.0,9.0,8.0,38.0,54.0,27.0,54.0,65.0,t,f,t,Canada
6,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,brayden-schnur,B. Schnur,greg-jones,G. Jones,gatineau_challenger,Round of 32,2.0,f,100,3,01:00:00,92.0,0.0,3.0,12.0,0.0,0.0,204.0,4.0,4.0,28.0,46.0,16.0,28.0,8.0,18.0,0.0,4.0,7.0,63.0,7.0,31.0,6.0,15.0,0.0,3.0,8.0,24.0,46.0,13.0,46.0,37.0,f,f,WC,f,Canada,2.0,12.0,3.0,0.0,310.0,7.0,1.0,31.0,46.0,24.0,31.0,9.0,15.0,3.0,3.0,8.0,256.0,12.0,28.0,10.0,18.0,4.0,4.0,7.0,33.0,46.0,22.0,46.0,55.0,t,f,t,Canada
7,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,brydan-klein,B. Klein,vincent-millot,V. Millot,gatineau_challenger,Round of 16,3.0,f,100,4,02:12:00,182.0,1.0,12.0,18.0,1.0,1.0,256.0,8.0,5.0,56.0,85.0,38.0,56.0,14.0,29.0,6.0,10.0,14.0,85.0,10.0,49.0,20.0,48.0,1.0,6.0,15.0,52.0,85.0,30.0,97.0,82.0,f,f,,t,Canada,2.0,18.0,12.0,0.0,277.0,2.0,7.0,49.0,97.0,39.0,49.0,28.0,48.0,5.0,6.0,15.0,152.0,18.0,56.0,15.0,29.0,4.0,10.0,14.0,67.0,97.0,33.0,85.0,100.0,t,f,f,Canada
8,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,dan--martin,D. Martin,raleigh-smith,R. Smith,gatineau_challenger,1st Round Qualifying,2.0,f,100,1,01:43:00,135.0,0.0,7.0,12.0,0.0,0.0,213.0,2.0,4.0,36.0,69.0,21.0,36.0,15.0,33.0,7.0,11.0,10.0,101.0,12.0,43.0,12.0,23.0,1.0,10.0,9.0,36.0,69.0,24.0,66.0,60.0,f,f,WC,f,Canada,2.0,12.0,7.0,0.0,272.0,3.0,4.0,43.0,66.0,31.0,43.0,11.0,23.0,9.0,10.0,9.0,173.0,15.0,36.0,18.0,33.0,4.0,11.0,10.0,42.0,66.0,33.0,69.0,75.0,t,f,t,Canada
9,2016-08-08,2016-08-14,Canada,Hard,75000.0,$,2016,denis-shapovalov,D. Shapovalov,frank-dancevic,F. Dancevic,gatineau_challenger,Quarter-Finals,2.0,f,100,5,00:53:00,111.0,2.0,13.0,6.0,0.0,0.0,303.0,6.0,4.0,31.0,57.0,23.0,31.0,19.0,26.0,1.0,1.0,10.0,195.0,13.0,33.0,10.0,21.0,3.0,4.0,9.0,42.0,57.0,23.0,54.0,65.0,t,f,WC,t,Canada,0.0,6.0,13.0,0.0,243.0,6.0,3.0,33.0,54.0,20.0,33.0,11.0,21.0,1.0,4.0,9.0,53.0,8.0,31.0,7.0,26.0,0.0,1.0,10.0,31.0,54.0,15.0,57.0,46.0,f,f,f,Canada
