,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,adil-shamasdin,A. Shamasdin,philipp-marx,P. Marx,geneva_challenger,2nd Round Qualifying,2.0,f,100,1,01:20:00,121.0,0.0,6.0,12.0,0.0,0.0,206.0,0.0,6.0,34.0,62.0,20.0,34.0,12.0,28.0,4.0,8.0,9.0,105.0,6.0,31.0,14.0,28.0,1.0,4.0,9.0,32.0,62.0,20.0,59.0,52.0,f,f,7,f,Switzerland,2.0,12.0,6.0,0.0,274.0,7.0,5.0,31.0,59.0,25.0,31.0,14.0,28.0,3.0,4.0,9.0,192.0,14.0,34.0,16.0,28.0,4.0,8.0,9.0,39.0,59.0,30.0,62.0,69.0,t,f,t,Switzerland
1,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,adrien-bossel,,jerome-inzerillo,,geneva_challenger,2nd Round Qualifying,1.0,f,100,1,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,6 WC,,Switzerland,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,Switzerland
2,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,alexander-peya,A. Peya,jan-hajek,J. Hajek,geneva_challenger,Round of 32,2.0,f,100,3,01:09:00,122.0,0.0,7.0,12.0,0.0,0.0,253.0,1.0,3.0,28.0,49.0,18.0,28.0,12.0,21.0,0.0,2.0,9.0,72.0,15.0,43.0,11.0,30.0,0.0,3.0,10.0,30.0,49.0,26.0,73.0,56.0,f,f,,f,Switzerland,2.0,12.0,7.0,0.0,284.0,0.0,3.0,43.0,73.0,28.0,43.0,19.0,30.0,3.0,3.0,10.0,201.0,10.0,28.0,9.0,21.0,2.0,2.0,9.0,47.0,73.0,19.0,49.0,66.0,t,f,t,Switzerland
3,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,alexander-sadecky,A. Sadecky,stephane-bohli,S. Bohli,geneva_challenger,Round of 32,2.0,f,100,3,01:25:00,135.0,0.0,9.0,13.0,0.0,1.0,264.0,3.0,4.0,47.0,73.0,33.0,47.0,13.0,26.0,3.0,5.0,11.0,53.0,5.0,33.0,11.0,29.0,0.0,1.0,10.0,46.0,73.0,16.0,62.0,62.0,f,f,WC,f,Switzerland,2.0,13.0,9.0,1.0,297.0,2.0,5.0,33.0,62.0,28.0,33.0,18.0,29.0,1.0,1.0,10.0,138.0,14.0,47.0,13.0,26.0,2.0,5.0,11.0,46.0,62.0,27.0,73.0,73.0,t,f,t,Switzerland
4,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,andrei-gorban,A. Gorban,jerome-inzerillo,J. Inzerillo,geneva_challenger,3rd Round Qualifying,3.0,f,100,2,02:00:00,160.0,2.0,14.0,11.0,0.0,0.0,264.0,6.0,2.0,55.0,84.0,40.0,55.0,11.0,29.0,2.0,4.0,13.0,144.0,19.0,51.0,11.0,25.0,3.0,8.0,12.0,51.0,84.0,30.0,76.0,81.0,t,f,3,f,Switzerland,1.0,11.0,14.0,0.0,262.0,4.0,3.0,51.0,76.0,32.0,51.0,14.0,25.0,5.0,8.0,12.0,154.0,15.0,55.0,18.0,29.0,2.0,4.0,13.0,46.0,76.0,33.0,84.0,79.0,f,f,t,Switzerland
5,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,andrei-gorban,A. Gorban,joel-spicher,J. Spicher,geneva_challenger,2nd Round Qualifying,2.0,f,100,1,01:07:00,91.0,2.0,12.0,2.0,0.0,0.0,264.0,1.0,3.0,30.0,42.0,23.0,30.0,4.0,12.0,2.0,3.0,7.0,274.0,10.0,24.0,20.0,25.0,6.0,9.0,7.0,27.0,42.0,30.0,49.0,57.0,t,f,3,t,Switzerland,0.0,2.0,12.0,0.0,142.0,3.0,2.0,24.0,49.0,14.0,24.0,5.0,25.0,3.0,9.0,7.0,137.0,7.0,30.0,8.0,12.0,1.0,3.0,7.0,19.0,49.0,15.0,42.0,34.0,f,f,f,Switzerland
6,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,andrei-gorban,A. Gorban,pavol-cervenak,P. Cervenak,geneva_challenger,Round of 32,2.0,f,100,3,01:38:00,143.0,0.0,10.0,13.0,0.0,1.0,247.0,1.0,1.0,62.0,79.0,35.0,62.0,7.0,17.0,0.0,3.0,11.0,103.0,10.0,35.0,9.0,29.0,2.0,8.0,11.0,42.0,79.0,19.0,64.0,61.0,f,f,Q,f,Switzerland,2.0,13.0,10.0,1.0,275.0,5.0,6.0,35.0,64.0,25.0,35.0,20.0,29.0,6.0,8.0,11.0,230.0,27.0,62.0,10.0,17.0,3.0,3.0,11.0,45.0,64.0,37.0,79.0,82.0,t,f,t,Switzerland
7,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,antony-dupuis,A. Dupuis,thierry-ascione,T. Ascione,geneva_challenger,Round of 32,2.0,f,100,3,01:23:00,130.0,0.0,8.0,13.0,0.0,1.0,258.0,1.0,2.0,46.0,70.0,29.0,46.0,12.0,24.0,5.0,7.0,10.0,49.0,9.0,46.0,4.0,14.0,0.0,1.0,10.0,41.0,70.0,13.0,60.0,54.0,f,f,WC,f,Switzerland,2.0,13.0,8.0,1.0,334.0,7.0,1.0,46.0,60.0,37.0,46.0,10.0,14.0,1.0,1.0,10.0,136.0,17.0,46.0,12.0,24.0,2.0,7.0,10.0,47.0,60.0,29.0,70.0,76.0,t,f,t,Switzerland
8,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,benjamin-balleret,B. Balleret,dominik-meffert,D. Meffert,geneva_challenger,Finals,2.0,f,100,7,01:01:00,97.0,0.0,4.0,12.0,0.0,0.0,192.0,6.0,2.0,27.0,47.0,16.0,27.0,7.0,20.0,1.0,6.0,8.0,100.0,5.0,28.0,11.0,22.0,1.0,5.0,8.0,23.0,47.0,16.0,50.0,39.0,f,f,,f,Switzerland,2.0,12.0,4.0,0.0,276.0,5.0,4.0,28.0,50.0,23.0,28.0,11.0,22.0,4.0,5.0,8.0,251.0,11.0,27.0,13.0,20.0,5.0,6.0,8.0,34.0,50.0,24.0,47.0,58.0,t,f,t,Switzerland
9,2009-08-17,2009-08-23,Switzerland,Hard,30000.0,€,2009,benjamin-balleret,B. Balleret,gregoire-burquier,G. Burquier,geneva_challenger,Round of 16,3.0,f,100,4,02:04:00,178.0,2.0,16.0,10.0,0.0,0.0,260.0,9.0,1.0,56.0,102.0,36.0,56.0,26.0,46.0,7.0,10.0,13.0,206.0,18.0,44.0,19.0,32.0,6.0,10.0,13.0,62.0,102.0,37.0,76.0,99.0,t,f,,t,Switzerland,1.0,10.0,16.0,0.0,210.0,1.0,2.0,44.0,76.0,26.0,44.0,13.0,32.0,4.0,10.0,13.0,132.0,20.0,56.0,20.0,46.0,3.0,10.0,13.0,39.0,76.0,40.0,102.0,79.0,f,f,f,Switzerland
