start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,adrien-bossel,A. Bossel,ante-pavic,A. Pavic,geneva_challenger,3rd Round Qualifying,2.0,f,100,2,01:15:00,116.0,2.0,12.0,5.0,0.0,0.0,271.0,3.0,3.0,30.0,59.0,23.0,30.0,16.0,29.0,6.0,7.0,9.0,211.0,16.0,34.0,13.0,23.0,4.0,7.0,8.0,39.0,59.0,29.0,57.0,68.0,t,f,4,t,Switzerland,0.0,5.0,12.0,0.0,209.0,6.0,3.0,34.0,57.0,18.0,34.0,10.0,23.0,3.0,7.0,8.0,93.0,7.0,30.0,13.0,29.0,1.0,7.0,9.0,28.0,57.0,20.0,59.0,48.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,adrien-bossel,A. Bossel,evgeny-donskoy,E. Donskoy,geneva_challenger,Round of 32,2.0,f,100,3,01:48:00,161.0,0.0,12.0,14.0,0.0,2.0,272.0,8.0,5.0,43.0,86.0,34.0,43.0,21.0,43.0,2.0,3.0,12.0,101.0,7.0,49.0,12.0,26.0,1.0,3.0,12.0,55.0,86.0,19.0,75.0,74.0,f,f,Q,f,Switzerland,2.0,14.0,12.0,2.0,304.0,10.0,2.0,49.0,75.0,42.0,49.0,14.0,26.0,2.0,3.0,12.0,113.0,9.0,43.0,22.0,43.0,1.0,3.0,12.0,56.0,75.0,31.0,86.0,87.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,adrien-bossel,A. Bossel,ivo-klec,I. Klec,geneva_challenger,2nd Round Qualifying,2.0,f,100,1,01:21:00,139.0,2.0,13.0,7.0,1.0,1.0,320.0,9.0,2.0,30.0,58.0,28.0,30.0,19.0,28.0,0.0,0.0,10.0,118.0,13.0,39.0,19.0,42.0,2.0,11.0,9.0,47.0,58.0,32.0,81.0,79.0,t,f,4,t,Switzerland,0.0,7.0,13.0,0.0,251.0,9.0,5.0,39.0,81.0,26.0,39.0,23.0,42.0,9.0,11.0,9.0,39.0,2.0,30.0,9.0,28.0,0.0,0.0,10.0,49.0,81.0,11.0,58.0,60.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,adrien-bossel,A. Bossel,marin-draganja,M. Draganja,geneva_challenger,1st Round Qualifying,2.0,f,100,0,01:20:00,137.0,2.0,13.0,8.0,1.0,1.0,299.0,5.0,1.0,41.0,71.0,33.0,41.0,17.0,30.0,0.0,0.0,10.0,137.0,12.0,43.0,9.0,23.0,2.0,4.0,10.0,50.0,71.0,21.0,66.0,71.0,t,f,4,t,Switzerland,0.0,8.0,13.0,0.0,281.0,3.0,0.0,43.0,66.0,31.0,43.0,14.0,23.0,2.0,4.0,10.0,63.0,8.0,41.0,13.0,30.0,0.0,0.0,10.0,45.0,66.0,21.0,71.0,66.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,alexander-rumyantsev,A. Rumyantsev,igor-kunitsyn,I. Kunitsyn,geneva_challenger,Round of 32,2.0,f,100,3,01:18:00,108.0,0.0,4.0,12.0,0.0,0.0,158.0,0.0,3.0,34.0,60.0,19.0,34.0,6.0,26.0,7.0,13.0,8.0,134.0,14.0,31.0,4.0,17.0,2.0,5.0,8.0,25.0,60.0,18.0,48.0,43.0,f,f,WC,f,Switzerland,2.0,12.0,4.0,0.0,271.0,1.0,1.0,31.0,48.0,17.0,31.0,13.0,17.0,3.0,5.0,8.0,242.0,15.0,34.0,20.0,26.0,6.0,13.0,8.0,30.0,48.0,35.0,60.0,65.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,alexandre-penaud,A. Penaud,andreas-vinciguerra,A. Vinciguerra,geneva_challenger,1st Round Qualifying,2.0,f,100,0,00:57:00,102.0,0.0,3.0,10.0,0.0,0.0,192.0,2.0,3.0,28.0,54.0,18.0,28.0,9.0,26.0,4.0,8.0,7.0,74.0,7.0,27.0,10.0,21.0,0.0,5.0,6.0,27.0,54.0,17.0,48.0,44.0,f,t,,f,Switzerland,2.0,10.0,3.0,0.0,281.0,1.0,2.0,27.0,48.0,20.0,27.0,11.0,21.0,5.0,5.0,6.0,208.0,10.0,28.0,17.0,26.0,4.0,8.0,7.0,31.0,48.0,27.0,54.0,58.0,t,t,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,aljaz-bedene,A. Bedene,marc-gicquel,M. Gicquel,geneva_challenger,Round of 32,2.0,f,100,3,01:39:00,140.0,0.0,9.0,13.0,0.0,1.0,265.0,5.0,7.0,37.0,68.0,31.0,37.0,12.0,31.0,1.0,2.0,10.0,54.0,3.0,34.0,17.0,38.0,0.0,2.0,11.0,43.0,68.0,20.0,72.0,63.0,f,f,3,f,Switzerland,2.0,13.0,9.0,1.0,297.0,6.0,2.0,34.0,72.0,31.0,34.0,21.0,38.0,2.0,2.0,11.0,137.0,6.0,37.0,19.0,31.0,1.0,2.0,10.0,52.0,72.0,25.0,68.0,77.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andrea-arnaboldi,A. Arnaboldi,danilo-petrovic,D. Petrovic,geneva_challenger,1st Round Qualifying,2.0,f,100,0,01:14:00,114.0,2.0,12.0,8.0,0.0,0.0,309.0,3.0,0.0,31.0,57.0,27.0,31.0,17.0,26.0,4.0,4.0,10.0,197.0,8.0,32.0,13.0,25.0,2.0,2.0,10.0,44.0,57.0,21.0,57.0,65.0,t,f,7,t,Switzerland,0.0,8.0,12.0,0.0,264.0,6.0,1.0,32.0,57.0,24.0,32.0,12.0,25.0,0.0,2.0,10.0,48.0,4.0,31.0,9.0,26.0,0.0,4.0,10.0,36.0,57.0,13.0,57.0,49.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andrea-arnaboldi,A. Arnaboldi,gregoire-burquier,G. Burquier,geneva_challenger,3rd Round Qualifying,2.0,f,100,2,00:57:00,85.0,0.0,2.0,12.0,0.0,0.0,162.0,1.0,5.0,26.0,47.0,14.0,26.0,6.0,21.0,1.0,6.0,7.0,45.0,3.0,22.0,5.0,16.0,0.0,0.0,7.0,20.0,47.0,8.0,38.0,28.0,f,f,7,f,Switzerland,2.0,12.0,2.0,0.0,318.0,6.0,1.0,22.0,38.0,19.0,22.0,11.0,16.0,0.0,0.0,7.0,271.0,12.0,26.0,15.0,21.0,5.0,6.0,7.0,30.0,38.0,27.0,47.0,57.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andrea-arnaboldi,A. Arnaboldi,hugo-nys,H. Nys,geneva_challenger,2nd Round Qualifying,3.0,f,100,1,02:09:00,176.0,2.0,18.0,13.0,0.0,1.0,309.0,2.0,4.0,61.0,91.0,47.0,61.0,20.0,30.0,1.0,1.0,15.0,143.0,6.0,42.0,21.0,43.0,3.0,5.0,15.0,67.0,91.0,27.0,85.0,94.0,t,f,7,t,Switzerland,1.0,13.0,18.0,1.0,270.0,8.0,4.0,42.0,85.0,36.0,42.0,22.0,43.0,2.0,5.0,15.0,56.0,14.0,61.0,10.0,30.0,0.0,1.0,15.0,58.0,85.0,24.0,91.0,82.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andreas-vinciguerra,A. Vinciguerra,gregoire-burquier,G. Burquier,geneva_challenger,2nd Round Qualifying,2.0,f,100,1,01:14:00,127.0,0.0,6.0,13.0,0.0,0.0,217.0,2.0,3.0,39.0,64.0,24.0,39.0,10.0,25.0,4.0,8.0,9.0,112.0,8.0,38.0,12.0,25.0,1.0,3.0,10.0,34.0,64.0,20.0,63.0,54.0,f,f,,f,Switzerland,2.0,13.0,6.0,0.0,284.0,7.0,4.0,38.0,63.0,30.0,38.0,13.0,25.0,2.0,3.0,10.0,192.0,15.0,39.0,15.0,25.0,4.0,8.0,9.0,43.0,63.0,30.0,64.0,73.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andres-artunedo-martinavarro,A. Artunedo Martinavarro,jonathan-eysseric,J. Eysseric,geneva_challenger,2nd Round Qualifying,2.0,f,100,1,01:33:00,126.0,0.0,8.0,13.0,0.0,0.0,262.0,1.0,0.0,36.0,58.0,22.0,36.0,15.0,22.0,7.0,10.0,10.0,107.0,8.0,42.0,12.0,26.0,1.0,3.0,11.0,37.0,58.0,20.0,68.0,57.0,f,f,,f,Switzerland,2.0,13.0,8.0,0.0,285.0,1.0,3.0,42.0,68.0,34.0,42.0,14.0,26.0,2.0,3.0,11.0,131.0,14.0,36.0,7.0,22.0,3.0,10.0,10.0,48.0,68.0,21.0,58.0,69.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andres-artunedo-martinavarro,A. Artunedo Martinavarro,kevin-botti,K. Botti,geneva_challenger,1st Round Qualifying,2.0,f,100,0,01:16:00,112.0,2.0,13.0,6.0,1.0,1.0,322.0,5.0,0.0,35.0,52.0,32.0,35.0,10.0,17.0,1.0,1.0,9.0,166.0,10.0,32.0,18.0,28.0,3.0,8.0,9.0,42.0,52.0,28.0,60.0,70.0,t,f,,t,Switzerland,0.0,6.0,13.0,0.0,220.0,2.0,6.0,32.0,60.0,22.0,32.0,10.0,28.0,5.0,8.0,9.0,50.0,3.0,35.0,7.0,17.0,0.0,1.0,9.0,32.0,60.0,10.0,52.0,42.0,f,f,f,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,andrey-golubev,A. Golubev,ivan-sergeyev,I. Sergeyev,geneva_challenger,Round of 32,2.0,f,100,3,01:12:00,118.0,0.0,6.0,12.0,0.0,0.0,232.0,4.0,8.0,32.0,63.0,27.0,32.0,11.0,31.0,6.0,9.0,9.0,57.0,5.0,30.0,10.0,25.0,0.0,3.0,9.0,38.0,63.0,15.0,55.0,53.0,f,f,,f,Switzerland,2.0,12.0,6.0,0.0,297.0,2.0,3.0,30.0,55.0,25.0,30.0,15.0,25.0,3.0,3.0,9.0,147.0,5.0,32.0,20.0,31.0,3.0,9.0,9.0,40.0,55.0,25.0,63.0,65.0,t,f,t,Switzerland
2012-10-29,2012-11-04,Switzerland,Hard,64000.0,€,2012,ante-pavic,A. Pavic,djordje-djokovic,D. Djokovic,geneva_challenger,1st Round Qualifying,3.0,f,100,0,01:59:00,194.0,2.0,16.0,15.0,1.0,1.0,264.0,7.0,8.0,53.0,89.0,38.0,53.0,19.0,36.0,2.0,5.0,15.0,130.0,18.0,46.0,26.0,59.0,3.0,11.0,15.0,57.0,89.0,44.0,105.0,101.0,t,f,8,f,Switzerland,1.0,15.0,16.0,0.0,234.0,1.0,8.0,46.0,105.0,28.0,46.0,33.0,59.0,8.0,11.0,15.0,155.0,15.0,53.0,17.0,36.0,3.0,5.0,15.0,61.0,105.0,32.0,89.0,93.0,f,f,t,Switzerland
