start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,alexander-sarkissian,A. Sarkissian,blake-mott,B. Mott,gimcheon_challenger,Round of 32,2.0,f,100,3,01:31:00,156.0,2.0,13.0,9.0,1.0,1.0,259.0,3.0,5.0,43.0,72.0,27.0,43.0,19.0,29.0,5.0,8.0,11.0,168.0,21.0,47.0,22.0,37.0,4.0,17.0,10.0,46.0,72.0,43.0,84.0,89.0,t,f,8,t,Korea (Republic of),0.0,9.0,13.0,0.0,206.0,1.0,7.0,47.0,84.0,26.0,47.0,15.0,37.0,13.0,17.0,10.0,136.0,16.0,43.0,10.0,29.0,3.0,8.0,11.0,41.0,84.0,26.0,72.0,67.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,alexander-sarkissian,A. Sarkissian,cheong-eui-kim,C. Kim,gimcheon_challenger,Semi-Finals,3.0,f,100,6,01:45:00,165.0,2.0,17.0,12.0,0.0,0.0,269.0,10.0,6.0,44.0,84.0,35.0,44.0,21.0,40.0,3.0,6.0,15.0,179.0,17.0,52.0,16.0,29.0,5.0,9.0,14.0,56.0,84.0,33.0,81.0,89.0,t,f,8,t,Korea (Republic of),1.0,12.0,17.0,0.0,244.0,6.0,2.0,52.0,81.0,35.0,52.0,13.0,29.0,4.0,9.0,14.0,138.0,9.0,44.0,19.0,40.0,3.0,6.0,15.0,48.0,81.0,28.0,84.0,76.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,alexander-sarkissian,A. Sarkissian,connor-smith,C. Smith,gimcheon_challenger,Finals,2.0,f,100,7,01:54:00,163.0,2.0,13.0,10.0,1.0,1.0,244.0,5.0,7.0,39.0,79.0,30.0,39.0,19.0,40.0,4.0,7.0,11.0,173.0,19.0,55.0,18.0,29.0,4.0,10.0,11.0,49.0,79.0,37.0,84.0,86.0,t,f,8,t,Korea (Republic of),0.0,10.0,13.0,0.0,232.0,3.0,2.0,55.0,84.0,36.0,55.0,11.0,29.0,6.0,10.0,11.0,146.0,9.0,39.0,21.0,40.0,3.0,7.0,11.0,47.0,84.0,30.0,79.0,77.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,alexander-sarkissian,A. Sarkissian,young-seok-kim,Y. Kim,gimcheon_challenger,Quarter-Finals,2.0,f,100,5,01:41:00,141.0,2.0,12.0,8.0,0.0,0.0,283.0,2.0,2.0,30.0,60.0,27.0,30.0,16.0,30.0,2.0,3.0,10.0,142.0,25.0,52.0,9.0,29.0,3.0,9.0,10.0,43.0,60.0,34.0,81.0,77.0,t,f,8,t,Korea (Republic of),0.0,8.0,12.0,0.0,256.0,2.0,1.0,52.0,81.0,27.0,52.0,20.0,29.0,6.0,9.0,10.0,100.0,3.0,30.0,14.0,30.0,1.0,3.0,10.0,47.0,81.0,17.0,60.0,64.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,alexander-sarkissian,A. Sarkissian,zhe-li,Z. Li,gimcheon_challenger,Round of 16,2.0,f,100,4,01:19:00,116.0,2.0,12.0,6.0,0.0,0.0,282.0,6.0,0.0,35.0,61.0,27.0,35.0,14.0,26.0,4.0,5.0,9.0,241.0,10.0,30.0,16.0,25.0,4.0,4.0,9.0,41.0,61.0,26.0,55.0,67.0,t,f,8,t,Korea (Republic of),0.0,6.0,12.0,0.0,214.0,5.0,4.0,30.0,55.0,20.0,30.0,9.0,25.0,0.0,4.0,9.0,100.0,8.0,35.0,12.0,26.0,1.0,5.0,9.0,29.0,55.0,20.0,61.0,49.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,blake-mott,B. Mott,sung-min-yun,S. Yun,gimcheon_challenger,2nd Round Qualifying,2.0,f,100,1,00:39:00,76.0,2.0,12.0,1.0,0.0,0.0,268.0,2.0,4.0,20.0,36.0,15.0,20.0,9.0,16.0,2.0,3.0,6.0,304.0,15.0,22.0,14.0,18.0,7.0,12.0,7.0,24.0,36.0,29.0,40.0,53.0,t,f,5,t,Korea (Republic of),0.0,1.0,12.0,0.0,102.0,0.0,7.0,22.0,40.0,7.0,22.0,4.0,18.0,5.0,12.0,7.0,118.0,5.0,20.0,7.0,16.0,1.0,3.0,6.0,11.0,40.0,12.0,36.0,23.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,blake-mott,B. Mott,ze-zhang,Z. Zhang,gimcheon_challenger,3rd Round Qualifying,2.0,f,100,2,01:01:00,104.0,2.0,12.0,6.0,0.0,0.0,240.0,3.0,5.0,29.0,46.0,21.0,29.0,7.0,17.0,1.0,4.0,9.0,247.0,16.0,34.0,16.0,24.0,6.0,9.0,9.0,28.0,46.0,32.0,58.0,60.0,t,f,5,t,Korea (Republic of),0.0,6.0,12.0,0.0,171.0,0.0,7.0,34.0,58.0,18.0,34.0,8.0,24.0,3.0,9.0,9.0,195.0,8.0,29.0,10.0,17.0,3.0,4.0,9.0,26.0,58.0,18.0,46.0,44.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,cheong-eui-kim,C. Kim,christopher-o'connell,C. O'Connell,gimcheon_challenger,Quarter-Finals,2.0,f,100,5,01:32:00,147.0,2.0,13.0,9.0,0.0,0.0,265.0,6.0,3.0,46.0,75.0,33.0,46.0,14.0,29.0,6.0,8.0,11.0,201.0,19.0,42.0,12.0,30.0,4.0,5.0,11.0,47.0,75.0,31.0,72.0,78.0,t,f,,t,Korea (Republic of),0.0,9.0,13.0,0.0,237.0,3.0,2.0,42.0,72.0,23.0,42.0,18.0,30.0,1.0,5.0,11.0,123.0,13.0,46.0,15.0,29.0,2.0,8.0,11.0,41.0,72.0,28.0,75.0,69.0,f,f,f,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,cheong-eui-kim,C. Kim,go-soeda,G. Soeda,gimcheon_challenger,Round of 16,3.0,f,100,4,02:10:00,227.0,2.0,19.0,14.0,0.0,1.0,284.0,3.0,7.0,72.0,104.0,55.0,72.0,16.0,32.0,9.0,10.0,16.0,148.0,31.0,84.0,18.0,39.0,4.0,10.0,16.0,71.0,104.0,49.0,123.0,120.0,t,f,,f,Korea (Republic of),1.0,14.0,19.0,1.0,255.0,2.0,7.0,84.0,123.0,53.0,84.0,21.0,39.0,6.0,10.0,16.0,90.0,17.0,72.0,16.0,32.0,1.0,10.0,16.0,74.0,123.0,33.0,104.0,107.0,f,f,t,Korea (Republic of)
2015-06-02,2015-06-07,Korea (Republic of),Hard,50000.0,$,2015,cheong-eui-kim,C. Kim,toshihide-matsui,T. Matsui,gimcheon_challenger,Round of 32,2.0,f,100,3,00:32:00,49.0,2.0,7.0,2.0,0.0,0.0,344.0,1.0,0.0,11.0,18.0,9.0,11.0,7.0,7.0,0.0,0.0,4.0,243.0,9.0,16.0,10.0,15.0,3.0,5.0,5.0,16.0,18.0,19.0,31.0,35.0,t,t,,t,Korea (Republic of),0.0,2.0,7.0,0.0,164.0,1.0,6.0,16.0,31.0,7.0,16.0,5.0,15.0,2.0,5.0,5.0,18.0,2.0,11.0,0.0,7.0,0.0,0.0,4.0,12.0,31.0,2.0,18.0,14.0,f,t,f,Korea (Republic of)
