,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,adrien-bossel,A. Bossel,connor-thomson,C. Thomson,glasgow_challenger,1st Round Qualifying,2.0,f,100,1,01:10:00,119.0,2.0,12.0,7.0,0.0,0.0,311.0,8.0,2.0,33.0,58.0,29.0,33.0,15.0,25.0,0.0,0.0,10.0,151.0,10.0,32.0,14.0,29.0,2.0,4.0,9.0,44.0,58.0,24.0,61.0,68.0,t,f,6,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,249.0,5.0,6.0,32.0,61.0,22.0,32.0,15.0,29.0,2.0,4.0,9.0,52.0,4.0,33.0,10.0,25.0,0.0,0.0,10.0,37.0,61.0,14.0,58.0,51.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
1,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,adrien-bossel,A. Bossel,harri-heliovaara,H. Heliovaara,glasgow_challenger,2nd Round Qualifying,3.0,f,100,2,01:39:00,171.0,1.0,16.0,15.0,0.0,1.0,292.0,9.0,3.0,44.0,88.0,38.0,44.0,25.0,44.0,0.0,1.0,15.0,174.0,7.0,42.0,18.0,41.0,2.0,2.0,15.0,63.0,88.0,25.0,83.0,88.0,f,f,6,t,United Kingdom of Great Britain and Northern Ireland,2.0,15.0,16.0,1.0,288.0,16.0,4.0,42.0,83.0,35.0,42.0,23.0,41.0,0.0,2.0,15.0,163.0,6.0,44.0,19.0,44.0,1.0,1.0,15.0,58.0,83.0,25.0,88.0,83.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
2,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,aidan-mchugh,A. Mchugh,david-guez,D. Guez,glasgow_challenger,Round of 32,2.0,f,100,3,01:38:00,141.0,0.0,9.0,13.0,0.0,1.0,220.0,8.0,7.0,45.0,73.0,30.0,45.0,10.0,28.0,3.0,8.0,11.0,144.0,9.0,37.0,16.0,31.0,3.0,8.0,10.0,40.0,73.0,25.0,68.0,65.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,9.0,1.0,246.0,1.0,3.0,37.0,68.0,28.0,37.0,15.0,31.0,5.0,8.0,10.0,205.0,15.0,45.0,18.0,28.0,5.0,8.0,11.0,43.0,68.0,33.0,73.0,76.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
3,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,alessandro-bega,A. Bega,robin-kern,R. Kern,glasgow_challenger,Round of 32,2.0,f,100,3,00:53:00,99.0,0.0,4.0,12.0,0.0,0.0,206.0,0.0,2.0,30.0,50.0,16.0,30.0,9.0,20.0,2.0,6.0,8.0,56.0,7.0,31.0,6.0,18.0,0.0,3.0,8.0,25.0,50.0,13.0,49.0,38.0,f,f,,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,4.0,0.0,314.0,8.0,1.0,31.0,49.0,24.0,31.0,12.0,18.0,3.0,3.0,8.0,219.0,14.0,30.0,11.0,20.0,4.0,6.0,8.0,36.0,49.0,25.0,50.0,61.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
4,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,bernabe-zapata-miralles,B. Zapata Miralles,igor-sijsling,I. Sijsling,glasgow_challenger,Round of 32,2.0,f,100,3,00:53:00,95.0,0.0,4.0,12.0,0.0,0.0,149.0,2.0,4.0,25.0,48.0,11.0,25.0,7.0,23.0,1.0,7.0,8.0,138.0,6.0,26.0,12.0,21.0,2.0,6.0,8.0,18.0,48.0,18.0,47.0,36.0,f,f,5,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,4.0,0.0,252.0,3.0,1.0,26.0,47.0,20.0,26.0,9.0,21.0,4.0,6.0,8.0,287.0,14.0,25.0,16.0,23.0,6.0,7.0,8.0,29.0,47.0,30.0,48.0,59.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
5,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,brandon-murphy,B. Murphy,emil-ruusuvuori,E. Ruusuvuori,glasgow_challenger,1st Round Qualifying,2.0,f,100,1,00:58:00,103.0,0.0,3.0,12.0,0.0,0.0,172.0,1.0,9.0,18.0,43.0,13.0,18.0,6.0,25.0,1.0,5.0,7.0,70.0,11.0,38.0,9.0,22.0,0.0,6.0,8.0,19.0,43.0,20.0,60.0,39.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,3.0,0.0,297.0,6.0,2.0,38.0,60.0,27.0,38.0,13.0,22.0,6.0,6.0,8.0,241.0,5.0,18.0,19.0,25.0,4.0,5.0,7.0,40.0,60.0,24.0,43.0,64.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
6,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,daniel-brands,D. Brands,david-guez,D. Guez,glasgow_challenger,Quarter-Finals,3.0,f,100,5,02:25:00,225.0,1.0,13.0,17.0,0.0,0.0,258.0,16.0,5.0,81.0,123.0,51.0,81.0,19.0,42.0,15.0,19.0,15.0,107.0,18.0,58.0,19.0,44.0,2.0,10.0,15.0,70.0,123.0,37.0,102.0,107.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,2.0,17.0,13.0,0.0,273.0,5.0,1.0,58.0,102.0,40.0,58.0,25.0,44.0,8.0,10.0,15.0,139.0,30.0,81.0,23.0,42.0,4.0,19.0,15.0,65.0,102.0,53.0,123.0,118.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
7,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,daniel-brands,D. Brands,emil-ruusuvuori,E. Ruusuvuori,glasgow_challenger,2nd Round Qualifying,2.0,f,100,2,01:20:00,133.0,2.0,13.0,9.0,1.0,1.0,313.0,15.0,2.0,48.0,65.0,37.0,48.0,10.0,17.0,0.0,1.0,11.0,113.0,4.0,32.0,21.0,36.0,2.0,9.0,10.0,47.0,65.0,25.0,68.0,72.0,t,f,1,t,United Kingdom of Great Britain and Northern Ireland,0.0,9.0,13.0,0.0,260.0,8.0,5.0,32.0,68.0,28.0,32.0,15.0,36.0,7.0,9.0,10.0,173.0,11.0,48.0,7.0,17.0,1.0,1.0,11.0,43.0,68.0,18.0,65.0,61.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
8,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,daniel-brands,D. Brands,jacob-fearnley,J. Fearnley,glasgow_challenger,1st Round Qualifying,2.0,f,100,1,00:51:00,100.0,2.0,12.0,5.0,0.0,0.0,319.0,5.0,2.0,31.0,42.0,27.0,31.0,6.0,11.0,0.0,0.0,8.0,187.0,16.0,36.0,13.0,22.0,4.0,10.0,9.0,33.0,42.0,29.0,58.0,62.0,t,f,1,t,United Kingdom of Great Britain and Northern Ireland,0.0,5.0,12.0,0.0,218.0,7.0,3.0,36.0,58.0,20.0,36.0,9.0,22.0,6.0,10.0,9.0,58.0,4.0,31.0,5.0,11.0,0.0,0.0,8.0,29.0,58.0,9.0,42.0,38.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
9,2018-04-30,2018-05-06,United Kingdom of Great Britain and Northern Ireland,Hard,85000.0,€,2018,daniel-brands,D. Brands,jared-hiltzik,J. Hiltzik,glasgow_challenger,Round of 32,2.0,f,100,3,00:58:00,101.0,2.0,12.0,7.0,0.0,0.0,300.0,6.0,0.0,37.0,53.0,29.0,37.0,9.0,16.0,1.0,2.0,10.0,209.0,7.0,33.0,12.0,15.0,3.0,4.0,9.0,38.0,53.0,19.0,48.0,57.0,t,f,Q,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,234.0,1.0,1.0,33.0,48.0,26.0,33.0,3.0,15.0,1.0,4.0,9.0,126.0,8.0,37.0,7.0,16.0,1.0,2.0,10.0,29.0,48.0,15.0,53.0,44.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
