start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,adrian-ungur,A. Ungur,guillermo-garcia-lopez,G. Garcia-Lopez,gstaad,Round of 32,3.0,f,250,3,02:00:00,187.0,1.0,12.0,18.0,1.0,1.0,235.0,6.0,7.0,72.0,110.0,49.0,72.0,14.0,38.0,8.0,13.0,15.0,112.0,6.0,35.0,16.0,42.0,1.0,2.0,14.0,63.0,110.0,22.0,77.0,85.0,f,f,,f,Switzerland,2.0,18.0,12.0,0.0,284.0,8.0,6.0,35.0,77.0,29.0,35.0,26.0,42.0,1.0,2.0,14.0,166.0,23.0,72.0,24.0,38.0,5.0,13.0,15.0,55.0,77.0,47.0,110.0,102.0,t,f,t,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alejandro-mendoza,A. Mendoza,florian-reynet,F. Reynet,gstaad,2nd Round Qualifying,2.0,f,250,1,00:48:00,80.0,0.0,2.0,12.0,0.0,0.0,156.0,0.0,5.0,23.0,40.0,13.0,23.0,3.0,17.0,3.0,8.0,7.0,50.0,6.0,23.0,4.0,17.0,0.0,0.0,7.0,16.0,40.0,10.0,40.0,26.0,f,f,,f,Switzerland,2.0,12.0,2.0,0.0,310.0,4.0,2.0,23.0,40.0,17.0,23.0,13.0,17.0,0.0,0.0,7.0,259.0,10.0,23.0,14.0,17.0,5.0,8.0,7.0,30.0,40.0,24.0,40.0,54.0,t,f,t,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alejandro-mendoza,A. Mendoza,francesco-vilardo,F. Vilardo,gstaad,1st Round Qualifying,2.0,f,250,0,01:19:00,117.0,2.0,12.0,5.0,0.0,0.0,251.0,3.0,4.0,43.0,69.0,29.0,43.0,12.0,26.0,5.0,7.0,9.0,236.0,11.0,21.0,16.0,27.0,5.0,8.0,8.0,41.0,69.0,27.0,48.0,68.0,t,f,,t,Switzerland,0.0,5.0,12.0,0.0,168.0,0.0,2.0,21.0,48.0,10.0,21.0,11.0,27.0,3.0,8.0,8.0,138.0,14.0,43.0,14.0,26.0,2.0,7.0,9.0,21.0,48.0,28.0,69.0,49.0,f,f,f,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexander-ritschard,A. Ritschard,dustin-brown,D. Brown,gstaad,2nd Round Qualifying,2.0,f,250,1,01:14:00,143.0,0.0,8.0,13.0,0.0,1.0,229.0,3.0,5.0,39.0,75.0,24.0,39.0,17.0,36.0,9.0,12.0,10.0,95.0,8.0,41.0,13.0,27.0,1.0,6.0,10.0,41.0,75.0,21.0,68.0,62.0,f,f,WC,f,Switzerland,2.0,13.0,8.0,1.0,283.0,6.0,5.0,41.0,68.0,33.0,41.0,14.0,27.0,5.0,6.0,10.0,146.0,15.0,39.0,19.0,36.0,3.0,12.0,10.0,47.0,68.0,34.0,75.0,81.0,t,f,t,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexander-ritschard,A. Ritschard,joss-espasandin,J. Espasandin,gstaad,1st Round Qualifying,2.0,f,250,0,01:30:00,137.0,2.0,13.0,9.0,0.0,0.0,286.0,3.0,2.0,40.0,77.0,26.0,40.0,25.0,37.0,2.0,2.0,11.0,110.0,11.0,33.0,8.0,27.0,2.0,7.0,11.0,51.0,77.0,19.0,60.0,70.0,t,f,WC,t,Switzerland,0.0,9.0,13.0,0.0,274.0,3.0,2.0,33.0,60.0,22.0,33.0,19.0,27.0,5.0,7.0,11.0,67.0,14.0,40.0,12.0,37.0,0.0,2.0,11.0,41.0,60.0,26.0,77.0,67.0,f,f,f,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexander-sadecky,A. Sadecky,jacob-kahoun,J. Kahoun,gstaad,1st Round Qualifying,2.0,f,250,0,01:25:00,149.0,2.0,13.0,7.0,1.0,1.0,305.0,5.0,1.0,33.0,52.0,25.0,33.0,14.0,19.0,1.0,2.0,9.0,167.0,21.0,51.0,26.0,46.0,4.0,14.0,10.0,39.0,52.0,47.0,97.0,86.0,t,f,,t,Switzerland,0.0,7.0,13.0,0.0,214.0,4.0,5.0,51.0,97.0,30.0,51.0,20.0,46.0,10.0,14.0,10.0,111.0,8.0,33.0,5.0,19.0,1.0,2.0,9.0,50.0,97.0,13.0,52.0,63.0,f,f,f,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexander-sadecky,A. Sadecky,joao-souza,J. Souza,gstaad,2nd Round Qualifying,2.0,f,250,1,01:16:00,131.0,0.0,6.0,12.0,0.0,0.0,225.0,4.0,2.0,28.0,68.0,19.0,28.0,19.0,40.0,3.0,6.0,9.0,64.0,8.0,37.0,11.0,26.0,0.0,2.0,9.0,38.0,68.0,19.0,63.0,57.0,f,f,,f,Switzerland,2.0,12.0,6.0,0.0,297.0,3.0,1.0,37.0,63.0,29.0,37.0,15.0,26.0,2.0,2.0,9.0,168.0,9.0,28.0,21.0,40.0,3.0,6.0,9.0,44.0,63.0,30.0,68.0,74.0,t,f,t,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexandre-penaud,A. Penaud,guilherme-clezar,G. Clezar,gstaad,2nd Round Qualifying,2.0,f,250,1,01:17:00,131.0,0.0,6.0,13.0,0.0,0.0,230.0,1.0,0.0,50.0,71.0,28.0,50.0,10.0,21.0,9.0,13.0,9.0,88.0,9.0,36.0,8.0,24.0,1.0,5.0,10.0,38.0,71.0,17.0,60.0,55.0,f,f,,f,Switzerland,2.0,13.0,6.0,0.0,300.0,8.0,0.0,36.0,60.0,27.0,36.0,16.0,24.0,4.0,5.0,10.0,171.0,22.0,50.0,11.0,21.0,4.0,13.0,9.0,43.0,60.0,33.0,71.0,76.0,t,f,t,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexandre-penaud,A. Penaud,thierry-roggi,T. Roggi,gstaad,1st Round Qualifying,2.0,f,250,0,01:07:00,112.0,2.0,12.0,4.0,0.0,0.0,269.0,1.0,2.0,32.0,44.0,23.0,32.0,6.0,12.0,0.0,2.0,8.0,219.0,13.0,30.0,26.0,38.0,6.0,18.0,8.0,29.0,44.0,39.0,68.0,68.0,t,f,,t,Switzerland,0.0,4.0,12.0,0.0,152.0,0.0,6.0,30.0,68.0,17.0,30.0,12.0,38.0,12.0,18.0,8.0,203.0,9.0,32.0,6.0,12.0,2.0,2.0,8.0,29.0,68.0,15.0,44.0,44.0,f,f,f,Switzerland
2013-07-22,2013-07-28,Switzerland,Clay,410200.0,€,2013,alexandros-jakupovic,A. Jakupovic,loic-perret,L. Perret,gstaad,1st Round Qualifying,2.0,f,250,0,01:37:00,141.0,0.0,9.0,13.0,0.0,0.0,215.0,1.0,4.0,52.0,77.0,31.0,52.0,9.0,25.0,6.0,11.0,11.0,146.0,14.0,46.0,10.0,18.0,3.0,9.0,11.0,40.0,77.0,24.0,64.0,64.0,f,f,,f,Switzerland,2.0,13.0,9.0,0.0,260.0,4.0,2.0,46.0,64.0,32.0,46.0,8.0,18.0,6.0,9.0,11.0,194.0,21.0,52.0,16.0,25.0,5.0,11.0,11.0,40.0,64.0,37.0,77.0,77.0,t,f,t,Switzerland
