,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,albano-olivetti,A. Olivetti,alexander-kudryavtsev,A. Kudryavtsev,halle,2nd Round Qualifying,2.0,f,250,1,01:18:00,131.0,0.0,6.0,12.0,0.0,0.0,236.0,6.0,4.0,36.0,65.0,21.0,36.0,16.0,29.0,3.0,6.0,9.0,67.0,10.0,40.0,11.0,26.0,0.0,4.0,9.0,37.0,65.0,21.0,66.0,58.0,f,f,,f,Germany,2.0,12.0,6.0,0.0,293.0,2.0,3.0,40.0,66.0,30.0,40.0,15.0,26.0,4.0,4.0,9.0,170.0,15.0,36.0,13.0,29.0,3.0,6.0,9.0,45.0,66.0,28.0,65.0,73.0,t,f,t,Germany
1,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,albano-olivetti,A. Olivetti,philipp-marx,P. Marx,halle,1st Round Qualifying,2.0,f,250,0,01:04:00,108.0,2.0,12.0,7.0,0.0,0.0,308.0,5.0,5.0,29.0,53.0,25.0,29.0,16.0,24.0,3.0,3.0,10.0,146.0,2.0,28.0,18.0,27.0,2.0,4.0,9.0,41.0,53.0,20.0,55.0,61.0,t,f,,t,Germany,0.0,7.0,12.0,0.0,253.0,3.0,4.0,28.0,55.0,26.0,28.0,9.0,27.0,2.0,4.0,9.0,47.0,4.0,29.0,8.0,24.0,0.0,3.0,10.0,35.0,55.0,12.0,53.0,47.0,f,f,f,Germany
2,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,alexander-kudryavtsev,A. Kudryavtsev,konstantin-kravchuk,K. Kravchuk,halle,3rd Round Qualifying,1.0,f,250,2,00:32:00,53.0,0.0,2.0,5.0,0.0,0.0,177.0,0.0,0.0,18.0,26.0,9.0,18.0,2.0,8.0,1.0,3.0,3.0,155.0,7.0,15.0,4.0,12.0,1.0,2.0,4.0,11.0,26.0,11.0,27.0,22.0,f,t,3,f,Germany,1.0,5.0,2.0,0.0,253.0,3.0,1.0,15.0,27.0,8.0,15.0,8.0,12.0,1.0,2.0,4.0,258.0,9.0,18.0,6.0,8.0,2.0,3.0,3.0,16.0,27.0,15.0,26.0,31.0,t,t,t,Germany
3,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,alexandr-dolgopolov,A. Dolgopolov,mikhail-youzhny,M. Youzhny,halle,Round of 16,3.0,f,250,4,01:50:00,176.0,1.0,13.0,15.0,0.0,0.0,273.0,11.0,4.0,56.0,99.0,40.0,56.0,23.0,43.0,5.0,7.0,14.0,118.0,12.0,50.0,10.0,27.0,1.0,2.0,14.0,63.0,99.0,22.0,77.0,85.0,f,f,4,f,Germany,2.0,15.0,13.0,0.0,300.0,4.0,0.0,50.0,77.0,38.0,50.0,17.0,27.0,1.0,2.0,14.0,119.0,16.0,56.0,20.0,43.0,2.0,7.0,14.0,55.0,77.0,36.0,99.0,91.0,t,f,t,Germany
4,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,alex-kuznetsov,A. Kuznetsov,jan-lennard-struff,J. Struff,halle,1st Round Qualifying,3.0,f,250,0,01:50:00,174.0,2.0,17.0,12.0,0.0,0.0,291.0,4.0,2.0,52.0,82.0,40.0,52.0,19.0,30.0,7.0,9.0,15.0,153.0,19.0,52.0,19.0,40.0,4.0,10.0,14.0,59.0,82.0,38.0,92.0,97.0,t,f,,t,Germany,1.0,12.0,17.0,0.0,243.0,2.0,3.0,52.0,92.0,33.0,52.0,21.0,40.0,6.0,10.0,14.0,95.0,12.0,52.0,11.0,30.0,2.0,9.0,15.0,54.0,92.0,23.0,82.0,77.0,f,f,f,Germany
5,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,alex-kuznetsov,A. Kuznetsov,maxime-authom,M. Authom,halle,2nd Round Qualifying,2.0,f,250,1,01:11:00,107.0,0.0,6.0,12.0,0.0,0.0,247.0,4.0,1.0,35.0,56.0,22.0,35.0,11.0,21.0,2.0,5.0,9.0,40.0,12.0,42.0,1.0,9.0,0.0,2.0,9.0,33.0,56.0,13.0,51.0,46.0,f,f,,f,Germany,2.0,12.0,6.0,0.0,343.0,2.0,1.0,42.0,51.0,30.0,42.0,8.0,9.0,2.0,2.0,9.0,178.0,13.0,35.0,10.0,21.0,3.0,5.0,9.0,38.0,51.0,23.0,56.0,61.0,t,f,t,Germany
6,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,andreas-seppi,A. Seppi,radek-stepanek,R. Stepanek,halle,Round of 32,3.0,f,250,3,02:54:00,247.0,1.0,18.0,18.0,0.0,2.0,293.0,9.0,2.0,72.0,125.0,55.0,72.0,31.0,53.0,8.0,9.0,17.0,97.0,19.0,72.0,20.0,50.0,2.0,10.0,17.0,86.0,125.0,39.0,122.0,125.0,f,f,7,f,Germany,2.0,18.0,18.0,2.0,284.0,8.0,5.0,72.0,122.0,53.0,72.0,30.0,50.0,8.0,10.0,17.0,82.0,17.0,72.0,22.0,53.0,1.0,9.0,17.0,83.0,122.0,39.0,125.0,122.0,t,f,t,Germany
7,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,andre-begemann,A. Begemann,mikhail-ledovskikh,M. Ledovskikh,halle,1st Round Qualifying,2.0,f,250,0,01:35:00,149.0,0.0,10.0,14.0,0.0,0.0,230.0,10.0,8.0,41.0,79.0,28.0,41.0,16.0,38.0,5.0,9.0,12.0,120.0,12.0,42.0,14.0,28.0,2.0,8.0,12.0,44.0,79.0,26.0,70.0,70.0,f,f,,f,Germany,2.0,14.0,10.0,0.0,270.0,7.0,1.0,42.0,70.0,30.0,42.0,14.0,28.0,6.0,8.0,12.0,167.0,13.0,41.0,22.0,38.0,4.0,9.0,12.0,44.0,70.0,35.0,79.0,79.0,t,f,t,Germany
8,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,andre-ghem,A. Ghem,john-millman,J. Millman,halle,1st Round Qualifying,3.0,f,250,0,01:42:00,170.0,1.0,14.0,17.0,0.0,0.0,273.0,5.0,5.0,53.0,79.0,38.0,53.0,14.0,26.0,0.0,3.0,15.0,176.0,16.0,58.0,12.0,33.0,2.0,2.0,16.0,52.0,79.0,28.0,91.0,80.0,f,f,,f,Germany,2.0,17.0,14.0,0.0,291.0,6.0,2.0,58.0,91.0,42.0,58.0,21.0,33.0,0.0,2.0,16.0,194.0,15.0,53.0,12.0,26.0,3.0,3.0,15.0,63.0,91.0,27.0,79.0,90.0,t,f,t,Germany
9,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,benjamin-becker,B. Becker,viktor-troicki,V. Troicki,halle,Round of 32,2.0,f,250,3,01:21:00,134.0,0.0,8.0,13.0,0.0,1.0,254.0,5.0,5.0,40.0,69.0,31.0,40.0,11.0,29.0,3.0,5.0,10.0,67.0,9.0,46.0,9.0,19.0,0.0,2.0,10.0,42.0,69.0,18.0,65.0,60.0,f,f,,f,Germany,2.0,13.0,8.0,1.0,322.0,21.0,3.0,46.0,65.0,37.0,46.0,10.0,19.0,2.0,2.0,10.0,145.0,9.0,40.0,18.0,29.0,2.0,5.0,10.0,47.0,65.0,27.0,69.0,74.0,t,f,t,Germany
10,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,bernard-tomic,B. Tomic,tommy-haas,T. Haas,halle,Round of 32,1.0,f,250,3,00:23:00,40.0,0.0,2.0,5.0,0.0,0.0,274.0,1.0,0.0,15.0,21.0,8.0,15.0,5.0,6.0,1.0,2.0,3.0,37.0,1.0,12.0,2.0,7.0,0.0,0.0,4.0,13.0,21.0,3.0,19.0,16.0,f,t,,f,Germany,1.0,5.0,2.0,0.0,328.0,2.0,0.0,12.0,19.0,11.0,12.0,5.0,7.0,0.0,0.0,4.0,147.0,7.0,15.0,1.0,6.0,1.0,2.0,3.0,16.0,19.0,8.0,21.0,24.0,t,t,t,Germany
11,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,carlos-berlocq,C. Berlocq,cedrik-marcel-stebe,C. Stebe,halle,Round of 32,3.0,f,250,3,02:46:00,225.0,1.0,14.0,16.0,0.0,0.0,264.0,4.0,7.0,80.0,125.0,58.0,80.0,20.0,45.0,15.0,17.0,15.0,88.0,16.0,65.0,17.0,35.0,1.0,12.0,15.0,78.0,125.0,33.0,100.0,111.0,f,f,,f,Germany,2.0,16.0,14.0,0.0,286.0,6.0,4.0,65.0,100.0,49.0,65.0,18.0,35.0,11.0,12.0,15.0,109.0,22.0,80.0,25.0,45.0,2.0,17.0,15.0,67.0,100.0,47.0,125.0,114.0,t,f,t,Germany
12,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,cedrik-marcel-stebe,C. Stebe,radek-stepanek,R. Stepanek,halle,Round of 16,2.0,f,250,4,01:27:00,124.0,0.0,8.0,12.0,0.0,0.0,278.0,5.0,2.0,52.0,69.0,35.0,52.0,9.0,17.0,3.0,5.0,10.0,50.0,8.0,37.0,5.0,18.0,0.0,0.0,10.0,44.0,69.0,13.0,55.0,57.0,f,f,,f,Germany,2.0,12.0,8.0,0.0,318.0,2.0,1.0,37.0,55.0,29.0,37.0,13.0,18.0,0.0,0.0,10.0,140.0,17.0,52.0,8.0,17.0,2.0,5.0,10.0,42.0,55.0,25.0,69.0,67.0,t,f,t,Germany
13,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,denys-molchanov,D. Molchanov,ilija-bozoljac,I. Bozoljac,halle,1st Round Qualifying,3.0,f,250,0,01:56:00,198.0,2.0,15.0,16.0,1.0,1.0,282.0,5.0,3.0,64.0,105.0,46.0,64.0,25.0,41.0,11.0,13.0,15.0,80.0,13.0,54.0,13.0,39.0,1.0,6.0,15.0,71.0,105.0,26.0,93.0,97.0,t,f,,t,Germany,1.0,16.0,15.0,0.0,298.0,9.0,5.0,54.0,93.0,41.0,54.0,26.0,39.0,5.0,6.0,15.0,95.0,18.0,64.0,16.0,41.0,2.0,13.0,15.0,67.0,93.0,34.0,105.0,101.0,f,f,f,Germany
14,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,denys-molchanov,D. Molchanov,marco-chiudinelli,M. Chiudinelli,halle,2nd Round Qualifying,3.0,f,250,1,02:12:00,204.0,2.0,17.0,13.0,0.0,0.0,285.0,6.0,1.0,57.0,92.0,41.0,57.0,21.0,35.0,8.0,10.0,15.0,152.0,27.0,72.0,22.0,40.0,4.0,12.0,15.0,62.0,92.0,49.0,112.0,111.0,t,f,,t,Germany,1.0,13.0,17.0,0.0,242.0,2.0,5.0,72.0,112.0,45.0,72.0,18.0,40.0,8.0,12.0,15.0,101.0,16.0,57.0,14.0,35.0,2.0,10.0,15.0,63.0,112.0,30.0,92.0,93.0,f,f,f,Germany
15,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,denys-molchanov,D. Molchanov,ze-zhang,Z. Zhang,halle,3rd Round Qualifying,3.0,f,250,2,01:47:00,168.0,1.0,11.0,13.0,0.0,0.0,226.0,2.0,3.0,48.0,84.0,27.0,48.0,20.0,36.0,5.0,10.0,12.0,177.0,15.0,46.0,23.0,38.0,4.0,8.0,12.0,47.0,84.0,38.0,84.0,85.0,f,f,,t,Germany,2.0,13.0,11.0,0.0,216.0,1.0,12.0,46.0,84.0,31.0,46.0,15.0,38.0,4.0,8.0,12.0,179.0,21.0,48.0,16.0,36.0,5.0,10.0,12.0,46.0,84.0,37.0,84.0,83.0,t,f,f,Germany
16,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,dustin-brown,D. Brown,philipp-kohlschreiber,P. Kohlschreiber,halle,Round of 32,2.0,f,250,3,01:23:00,144.0,0.0,12.0,14.0,0.0,2.0,291.0,10.0,4.0,45.0,77.0,36.0,45.0,18.0,32.0,1.0,2.0,12.0,146.0,6.0,42.0,6.0,25.0,1.0,1.0,12.0,54.0,77.0,12.0,67.0,66.0,f,f,WC,f,Germany,2.0,14.0,12.0,2.0,321.0,6.0,1.0,42.0,67.0,36.0,42.0,19.0,25.0,0.0,1.0,12.0,122.0,9.0,45.0,14.0,32.0,1.0,2.0,12.0,55.0,67.0,23.0,77.0,78.0,t,f,t,Germany
17,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,erik-chvojka,E. Chvojka,evgeny-kirillov,E. Kirillov,halle,1st Round Qualifying,2.0,f,250,0,00:52:00,80.0,2.0,9.0,3.0,0.0,0.0,296.0,5.0,2.0,22.0,40.0,18.0,22.0,10.0,18.0,3.0,3.0,6.0,213.0,7.0,18.0,14.0,22.0,3.0,5.0,6.0,28.0,40.0,21.0,40.0,49.0,t,t,,t,Germany,0.0,3.0,9.0,0.0,188.0,1.0,5.0,18.0,40.0,11.0,18.0,8.0,22.0,2.0,5.0,6.0,62.0,4.0,22.0,8.0,18.0,0.0,3.0,6.0,19.0,40.0,12.0,40.0,31.0,f,t,f,Germany
18,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,erik-chvojka,E. Chvojka,jan-hernych,J. Hernych,halle,2nd Round Qualifying,3.0,f,250,1,01:35:00,158.0,1.0,12.0,15.0,0.0,0.0,261.0,6.0,4.0,54.0,83.0,38.0,54.0,14.0,29.0,5.0,8.0,13.0,126.0,11.0,42.0,12.0,33.0,2.0,4.0,14.0,52.0,83.0,23.0,75.0,75.0,f,f,,t,Germany,2.0,15.0,12.0,0.0,285.0,9.0,3.0,42.0,75.0,31.0,42.0,21.0,33.0,2.0,4.0,14.0,143.0,16.0,54.0,15.0,29.0,3.0,8.0,13.0,52.0,75.0,31.0,83.0,83.0,t,f,f,Germany
19,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,florian-mayer,F. Mayer,roger-federer,R. Federer,halle,Round of 16,2.0,f,250,4,01:14:00,129.0,0.0,9.0,13.0,0.0,0.0,277.0,5.0,1.0,40.0,70.0,31.0,40.0,17.0,30.0,4.0,6.0,11.0,48.0,10.0,42.0,4.0,17.0,0.0,1.0,11.0,48.0,70.0,14.0,59.0,62.0,f,f,,f,Germany,2.0,13.0,9.0,0.0,333.0,11.0,1.0,42.0,59.0,32.0,42.0,13.0,17.0,1.0,1.0,11.0,117.0,9.0,40.0,13.0,30.0,2.0,6.0,11.0,45.0,59.0,22.0,70.0,67.0,t,f,t,Germany
20,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,florian-mayer,F. Mayer,tim-smyczek,T. Smyczek,halle,Round of 32,2.0,f,250,3,01:09:00,113.0,2.0,12.0,8.0,0.0,0.0,337.0,6.0,0.0,30.0,46.0,29.0,30.0,11.0,16.0,0.0,0.0,10.0,133.0,9.0,36.0,17.0,31.0,2.0,6.0,10.0,40.0,46.0,26.0,67.0,66.0,t,f,,t,Germany,0.0,8.0,12.0,0.0,255.0,2.0,1.0,36.0,67.0,27.0,36.0,14.0,31.0,4.0,6.0,10.0,34.0,1.0,30.0,5.0,16.0,0.0,0.0,10.0,41.0,67.0,6.0,46.0,47.0,f,f,f,Germany
21,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,igor-sijsling,I. Sijsling,mischa-zverev,M. Zverev,halle,2nd Round Qualifying,3.0,f,250,1,01:22:00,163.0,1.0,12.0,15.0,0.0,0.0,277.0,4.0,3.0,66.0,89.0,44.0,66.0,13.0,23.0,5.0,8.0,14.0,175.0,10.0,46.0,13.0,28.0,1.0,1.0,13.0,57.0,89.0,23.0,74.0,80.0,f,f,1,t,Germany,2.0,15.0,12.0,0.0,287.0,3.0,2.0,46.0,74.0,36.0,46.0,15.0,28.0,0.0,1.0,13.0,135.0,22.0,66.0,10.0,23.0,3.0,8.0,14.0,51.0,74.0,32.0,89.0,83.0,t,f,f,Germany
22,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,jaan-frederik-brunken,J. Brunken,johan-brunstrom,J. Brunstrom,halle,1st Round Qualifying,2.0,f,250,0,01:10:00,119.0,2.0,12.0,8.0,0.0,0.0,296.0,10.0,2.0,39.0,61.0,31.0,39.0,12.0,22.0,4.0,5.0,10.0,164.0,8.0,34.0,16.0,24.0,3.0,7.0,10.0,43.0,61.0,24.0,58.0,67.0,t,f,,t,Germany,0.0,8.0,12.0,0.0,248.0,12.0,2.0,34.0,58.0,26.0,34.0,8.0,24.0,4.0,7.0,10.0,96.0,8.0,39.0,10.0,22.0,1.0,5.0,10.0,34.0,58.0,18.0,61.0,52.0,f,f,f,Germany
23,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,jaan-frederik-brunken,J. Brunken,konstantin-kravchuk,K. Kravchuk,halle,2nd Round Qualifying,2.0,f,250,1,01:04:00,110.0,0.0,6.0,12.0,0.0,0.0,224.0,2.0,2.0,46.0,61.0,28.0,46.0,5.0,15.0,7.0,11.0,9.0,103.0,7.0,33.0,6.0,16.0,1.0,3.0,9.0,33.0,61.0,13.0,49.0,46.0,f,f,,f,Germany,2.0,12.0,6.0,0.0,304.0,7.0,0.0,33.0,49.0,26.0,33.0,10.0,16.0,2.0,3.0,9.0,186.0,18.0,46.0,10.0,15.0,4.0,11.0,9.0,36.0,49.0,28.0,61.0,64.0,t,f,t,Germany
24,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,jan-hernych,J. Hernych,mischa-zverev,M. Zverev,halle,3rd Round Qualifying,2.0,f,250,2,01:25:00,157.0,0.0,7.0,12.0,0.0,0.0,244.0,2.0,1.0,66.0,102.0,36.0,66.0,19.0,36.0,10.0,13.0,10.0,70.0,5.0,37.0,10.0,18.0,0.0,1.0,9.0,55.0,102.0,15.0,55.0,70.0,f,f,6,f,Germany,2.0,12.0,7.0,0.0,297.0,2.0,2.0,37.0,55.0,32.0,37.0,8.0,18.0,1.0,1.0,9.0,145.0,30.0,66.0,17.0,36.0,3.0,13.0,10.0,40.0,55.0,47.0,102.0,87.0,t,f,t,Germany
25,2012-06-11,2012-06-17,Germany,Grass,663750.0,€,2012,jarkko-nieminen,J. Nieminen,lukasz-kubot,L. Kubot,halle,Round of 32,2.0,f,250,3,01:17:00,124.0,0.0,8.0,12.0,0.0,0.0,260.0,5.0,2.0,46.0,71.0,35.0,46.0,9.0,25.0,8.0,10.0,10.0,51.0,7.0,33.0,6.0,20.0,0.0,0.0,10.0,44.0,71.0,13.0,53.0,57.0,f,f,,f,Germany,2.0,12.0,8.0,0.0,318.0,7.0,0.0,33.0,53.0,26.0,33.0,14.0,20.0,0.0,0.0,10.0,128.0,11.0,46.0,16.0,25.0,2.0,10.0,10.0,40.0,53.0,27.0,71.0,67.0,t,f,t,Germany
