,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,albert-costa,A. Costa,david-ferrer,D. Ferrer,hamburg,Round of 16,3.0,f,1000,4,02:36:00,210.0,1.0,14.0,17.0,0.0,0.0,207.0,2.0,3.0,65.0,102.0,33.0,65.0,16.0,37.0,5.0,13.0,16.0,182.0,23.0,66.0,27.0,42.0,6.0,14.0,15.0,49.0,102.0,50.0,108.0,99.0,f,f,,t,Germany,2.0,17.0,14.0,0.0,219.0,1.0,4.0,66.0,108.0,43.0,66.0,15.0,42.0,8.0,14.0,15.0,218.0,32.0,65.0,21.0,37.0,8.0,13.0,16.0,58.0,108.0,53.0,102.0,111.0,t,f,f,Germany
1,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,albert-costa,A. Costa,olivier-rochus,O. Rochus,hamburg,Round of 32,2.0,f,1000,3,01:56:00,156.0,2.0,13.0,9.0,0.0,0.0,264.0,1.0,0.0,64.0,75.0,45.0,64.0,3.0,11.0,5.0,7.0,11.0,162.0,23.0,53.0,12.0,28.0,4.0,10.0,11.0,48.0,75.0,35.0,81.0,83.0,t,f,,t,Germany,0.0,9.0,13.0,0.0,241.0,1.0,2.0,53.0,81.0,30.0,53.0,16.0,28.0,6.0,10.0,11.0,150.0,19.0,64.0,8.0,11.0,2.0,7.0,11.0,46.0,81.0,27.0,75.0,73.0,f,f,f,Germany
2,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,albert-costa,A. Costa,xavier-malisse,X. Malisse,hamburg,Round of 64,2.0,f,1000,2,01:34:00,109.0,2.0,12.0,7.0,0.0,0.0,252.0,1.0,2.0,31.0,57.0,19.0,31.0,15.0,26.0,0.0,2.0,10.0,193.0,11.0,25.0,13.0,27.0,4.0,7.0,9.0,34.0,57.0,24.0,52.0,58.0,t,f,,t,Germany,0.0,7.0,12.0,0.0,212.0,3.0,2.0,25.0,52.0,14.0,25.0,14.0,27.0,3.0,7.0,9.0,201.0,12.0,31.0,11.0,26.0,2.0,2.0,10.0,28.0,52.0,23.0,57.0,51.0,f,f,f,Germany
3,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,alberto-martin,A. Martin,carlos-moya,C. Moya,hamburg,Round of 32,2.0,f,1000,3,00:55:00,99.0,0.0,5.0,12.0,0.0,0.0,233.0,0.0,2.0,27.0,42.0,15.0,27.0,8.0,15.0,0.0,3.0,8.0,62.0,8.0,37.0,8.0,20.0,0.0,3.0,9.0,23.0,42.0,16.0,57.0,39.0,f,f,,f,Germany,2.0,12.0,5.0,0.0,306.0,3.0,0.0,37.0,57.0,29.0,37.0,12.0,20.0,3.0,3.0,9.0,228.0,12.0,27.0,7.0,15.0,3.0,3.0,8.0,41.0,57.0,19.0,42.0,60.0,t,f,t,Germany
4,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,alberto-martin,A. Martin,hicham-arazi,H. Arazi,hamburg,Round of 64,3.0,f,1000,2,01:56:00,171.0,2.0,16.0,10.0,0.0,0.0,263.0,4.0,2.0,46.0,88.0,30.0,46.0,25.0,42.0,7.0,9.0,13.0,207.0,21.0,48.0,19.0,35.0,5.0,7.0,13.0,55.0,88.0,40.0,83.0,95.0,t,f,,f,Germany,1.0,10.0,16.0,0.0,219.0,2.0,4.0,48.0,83.0,27.0,48.0,16.0,35.0,2.0,7.0,13.0,112.0,16.0,46.0,17.0,42.0,2.0,9.0,13.0,43.0,83.0,33.0,88.0,76.0,f,f,t,Germany
5,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,albert-portas,A. Portas,alex-corretja,A. Corretja,hamburg,Round of 64,2.0,f,1000,2,01:39:00,141.0,2.0,13.0,9.0,0.0,0.0,262.0,2.0,3.0,47.0,74.0,33.0,47.0,13.0,27.0,6.0,8.0,11.0,171.0,16.0,41.0,12.0,26.0,4.0,8.0,11.0,46.0,74.0,28.0,67.0,74.0,t,f,Q,t,Germany,0.0,9.0,13.0,0.0,241.0,4.0,2.0,41.0,67.0,25.0,41.0,14.0,26.0,4.0,8.0,11.0,125.0,14.0,47.0,14.0,27.0,2.0,8.0,11.0,39.0,67.0,28.0,74.0,67.0,f,f,f,Germany
6,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,albert-portas,A. Portas,florian-mayer,F. Mayer,hamburg,Round of 32,2.0,f,1000,3,01:06:00,109.0,0.0,7.0,12.0,0.0,0.0,226.0,2.0,3.0,30.0,54.0,19.0,30.0,10.0,24.0,5.0,8.0,9.0,126.0,10.0,37.0,7.0,18.0,1.0,2.0,10.0,29.0,54.0,17.0,55.0,46.0,f,f,Q,f,Germany,2.0,12.0,7.0,0.0,291.0,4.0,4.0,37.0,55.0,27.0,37.0,11.0,18.0,1.0,2.0,10.0,166.0,11.0,30.0,14.0,24.0,3.0,8.0,9.0,38.0,55.0,25.0,54.0,63.0,t,f,t,Germany
7,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,andreas-seppi,A. Seppi,tim-henman,T. Henman,hamburg,Round of 64,3.0,f,1000,2,02:05:00,191.0,1.0,14.0,14.0,0.0,0.0,239.0,4.0,6.0,60.0,108.0,42.0,60.0,21.0,48.0,14.0,18.0,14.0,152.0,12.0,45.0,20.0,38.0,4.0,9.0,14.0,63.0,108.0,32.0,83.0,95.0,f,f,Q,f,Germany,2.0,14.0,14.0,0.0,242.0,3.0,6.0,45.0,83.0,33.0,45.0,18.0,38.0,5.0,9.0,14.0,136.0,18.0,60.0,27.0,48.0,4.0,18.0,14.0,51.0,83.0,45.0,108.0,96.0,t,f,t,Germany
8,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,andrei-pavel,A. Pavel,cyril-saulnier,C. Saulnier,hamburg,Round of 64,2.0,f,1000,2,01:22:00,126.0,2.0,13.0,7.0,0.0,0.0,314.0,2.0,1.0,46.0,64.0,34.0,46.0,12.0,18.0,2.0,2.0,10.0,142.0,11.0,33.0,15.0,29.0,3.0,11.0,10.0,46.0,64.0,26.0,62.0,72.0,t,f,,t,Germany,0.0,7.0,13.0,0.0,240.0,5.0,3.0,33.0,62.0,22.0,33.0,14.0,29.0,8.0,11.0,10.0,59.0,12.0,46.0,6.0,18.0,0.0,2.0,10.0,36.0,62.0,18.0,64.0,54.0,f,f,f,Germany
9,2004-05-10,2004-05-16,Germany,Clay,2200000.0,$,2004,andrei-pavel,A. Pavel,ivan-ljubicic,I. Ljubicic,hamburg,Round of 16,3.0,f,1000,4,02:13:00,186.0,1.0,13.0,16.0,0.0,0.0,274.0,3.0,1.0,72.0,98.0,45.0,72.0,15.0,26.0,6.0,9.0,14.0,113.0,16.0,61.0,11.0,27.0,2.0,6.0,15.0,60.0,98.0,27.0,88.0,87.0,f,f,,t,Germany,2.0,16.0,13.0,0.0,292.0,5.0,1.0,61.0,88.0,45.0,61.0,16.0,27.0,4.0,6.0,15.0,134.0,27.0,72.0,11.0,26.0,3.0,9.0,14.0,61.0,88.0,38.0,98.0,99.0,t,f,f,Germany
