start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,alexander-zverev,A. Zverev,inigo-cervantes,I. Cervantes,hamburg,Round of 32,2.0,f,500,3,01:41:00,146.0,0.0,11.0,14.0,0.0,1.0,211.0,2.0,7.0,46.0,70.0,29.0,46.0,7.0,24.0,2.0,7.0,12.0,204.0,16.0,51.0,15.0,25.0,4.0,5.0,12.0,36.0,70.0,31.0,76.0,67.0,f,f,4,f,Germany,2.0,14.0,11.0,1.0,250.0,9.0,1.0,51.0,76.0,35.0,51.0,10.0,25.0,1.0,5.0,12.0,220.0,17.0,46.0,17.0,24.0,5.0,7.0,12.0,45.0,76.0,34.0,70.0,79.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,axel-michon,A. Michon,matteo-viola,M. Viola,hamburg,1st Round Qualifying,2.0,f,500,1,01:13:00,119.0,0.0,3.0,12.0,0.0,0.0,174.0,0.0,3.0,32.0,51.0,14.0,32.0,8.0,19.0,2.0,7.0,7.0,117.0,16.0,46.0,11.0,22.0,1.0,5.0,8.0,22.0,51.0,27.0,68.0,49.0,f,f,5,f,Germany,2.0,12.0,3.0,0.0,269.0,1.0,2.0,46.0,68.0,30.0,46.0,11.0,22.0,4.0,5.0,8.0,256.0,18.0,32.0,11.0,19.0,5.0,7.0,7.0,41.0,68.0,29.0,51.0,70.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,benoit-paire,B. Paire,daniel-gimeno-traver,D. Gimeno-Traver,hamburg,Round of 32,3.0,f,500,3,02:09:00,217.0,1.0,15.0,16.0,0.0,0.0,214.0,8.0,4.0,51.0,97.0,34.0,51.0,17.0,46.0,3.0,10.0,15.0,176.0,27.0,76.0,28.0,44.0,7.0,21.0,16.0,51.0,97.0,55.0,120.0,106.0,f,f,2,f,Germany,2.0,16.0,15.0,0.0,215.0,2.0,6.0,76.0,120.0,49.0,76.0,16.0,44.0,14.0,21.0,16.0,212.0,17.0,51.0,29.0,46.0,7.0,10.0,15.0,65.0,120.0,46.0,97.0,111.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,carlos-berlocq,C. Berlocq,philipp-kohlschreiber,P. Kohlschreiber,hamburg,Round of 32,3.0,f,500,3,02:36:00,211.0,1.0,13.0,18.0,1.0,1.0,246.0,2.0,5.0,96.0,131.0,55.0,96.0,18.0,35.0,14.0,19.0,16.0,170.0,10.0,47.0,14.0,33.0,1.0,1.0,14.0,73.0,131.0,24.0,80.0,97.0,f,f,,f,Germany,2.0,18.0,13.0,0.0,289.0,6.0,5.0,47.0,80.0,37.0,47.0,19.0,33.0,0.0,1.0,14.0,149.0,41.0,96.0,17.0,35.0,5.0,19.0,16.0,56.0,80.0,58.0,131.0,114.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,cedrik-marcel-stebe,C. Stebe,guido-andreozzi,G. Andreozzi,hamburg,1st Round Qualifying,2.0,f,500,1,00:59:00,89.0,2.0,12.0,3.0,0.0,0.0,281.0,0.0,3.0,26.0,45.0,21.0,26.0,11.0,19.0,1.0,2.0,8.0,289.0,13.0,22.0,13.0,22.0,5.0,5.0,7.0,32.0,45.0,26.0,44.0,58.0,t,f,WC,t,Germany,0.0,3.0,12.0,0.0,161.0,1.0,0.0,22.0,44.0,9.0,22.0,9.0,22.0,0.0,5.0,7.0,123.0,5.0,26.0,8.0,19.0,1.0,2.0,8.0,18.0,44.0,13.0,45.0,31.0,f,f,f,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,cedrik-marcel-stebe,C. Stebe,jan-satral,J. Satral,hamburg,2nd Round Qualifying,2.0,f,500,2,01:19:00,117.0,0.0,8.0,12.0,0.0,0.0,271.0,1.0,1.0,39.0,53.0,26.0,39.0,7.0,14.0,2.0,4.0,10.0,61.0,13.0,36.0,7.0,28.0,0.0,2.0,10.0,33.0,53.0,20.0,64.0,53.0,f,f,WC,f,Germany,2.0,12.0,8.0,0.0,297.0,3.0,1.0,36.0,64.0,23.0,36.0,21.0,28.0,2.0,2.0,10.0,153.0,13.0,39.0,7.0,14.0,2.0,4.0,10.0,44.0,64.0,20.0,53.0,64.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,daniil-medvedev,D. Medvedev,hamburg,Round of 16,3.0,f,500,4,03:08:00,277.0,2.0,19.0,19.0,2.0,2.0,257.0,1.0,6.0,97.0,149.0,58.0,97.0,31.0,52.0,14.0,18.0,18.0,119.0,19.0,67.0,29.0,61.0,3.0,11.0,18.0,89.0,149.0,48.0,128.0,137.0,t,f,,f,Germany,1.0,19.0,19.0,0.0,262.0,5.0,2.0,67.0,128.0,48.0,67.0,32.0,61.0,8.0,11.0,18.0,124.0,39.0,97.0,21.0,52.0,4.0,18.0,18.0,80.0,128.0,60.0,149.0,140.0,f,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,daniel-gimeno-traver,D. Gimeno-Traver,martin-klizan,M. Klizan,hamburg,Quarter-Finals,2.0,f,500,5,01:17:00,113.0,0.0,7.0,12.0,0.0,0.0,213.0,2.0,2.0,36.0,60.0,19.0,36.0,12.0,24.0,3.0,8.0,10.0,143.0,10.0,34.0,8.0,19.0,2.0,4.0,9.0,31.0,60.0,18.0,53.0,49.0,f,f,,f,Germany,2.0,12.0,7.0,0.0,269.0,0.0,1.0,34.0,53.0,24.0,34.0,11.0,19.0,2.0,4.0,9.0,210.0,17.0,36.0,12.0,24.0,5.0,8.0,10.0,35.0,53.0,29.0,60.0,64.0,t,f,t,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,daniel-masur,D. Masur,michal-konecny,M. Konecny,hamburg,1st Round Qualifying,2.0,f,500,1,01:17:00,124.0,2.0,12.0,6.0,0.0,0.0,253.0,1.0,1.0,26.0,55.0,20.0,26.0,15.0,29.0,0.0,2.0,9.0,230.0,15.0,36.0,23.0,33.0,5.0,8.0,9.0,35.0,55.0,38.0,69.0,73.0,t,f,,t,Germany,0.0,6.0,12.0,0.0,182.0,6.0,8.0,36.0,69.0,21.0,36.0,10.0,33.0,3.0,8.0,9.0,193.0,6.0,26.0,14.0,29.0,2.0,2.0,9.0,31.0,69.0,20.0,55.0,51.0,f,f,f,Germany
2016-07-11,2016-07-17,Germany,Clay,1388830.0,€,2016,daniel-masur,D. Masur,thiago-monteiro,T. Monteiro,hamburg,2nd Round Qualifying,3.0,f,500,2,02:43:00,228.0,1.0,16.0,19.0,1.0,2.0,306.0,12.0,2.0,66.0,104.0,56.0,66.0,21.0,38.0,3.0,4.0,16.0,67.0,21.0,79.0,18.0,45.0,0.0,6.0,17.0,77.0,104.0,39.0,124.0,116.0,f,f,,f,Germany,2.0,19.0,16.0,1.0,301.0,8.0,4.0,79.0,124.0,58.0,79.0,27.0,45.0,6.0,6.0,17.0,91.0,10.0,66.0,17.0,38.0,1.0,4.0,16.0,85.0,124.0,27.0,104.0,112.0,t,f,t,Germany
