start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,brydan-klein,B. Klein,happy-valley_challenger,3rd Round Qualifying,3.0,f,100,2,02:22:00,239.0,2.0,18.0,17.0,1.0,1.0,219.0,9.0,12.0,61.0,120.0,44.0,61.0,24.0,59.0,5.0,12.0,17.0,190.0,28.0,66.0,26.0,53.0,7.0,12.0,17.0,68.0,120.0,54.0,119.0,122.0,t,f,2,f,Australia,1.0,17.0,18.0,0.0,216.0,4.0,10.0,66.0,119.0,38.0,66.0,27.0,53.0,5.0,12.0,17.0,186.0,17.0,61.0,35.0,59.0,7.0,12.0,17.0,65.0,119.0,52.0,120.0,117.0,f,f,t,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,kimmer-coppejans,K. Coppejans,happy-valley_challenger,Round of 32,3.0,f,100,3,01:27:00,159.0,1.0,11.0,15.0,0.0,0.0,240.0,13.0,11.0,41.0,78.0,32.0,41.0,14.0,37.0,5.0,9.0,13.0,115.0,12.0,49.0,15.0,32.0,2.0,7.0,13.0,46.0,78.0,27.0,81.0,73.0,f,f,Q,t,Australia,2.0,15.0,11.0,0.0,278.0,6.0,1.0,49.0,81.0,37.0,49.0,17.0,32.0,5.0,7.0,13.0,158.0,9.0,41.0,23.0,37.0,4.0,9.0,13.0,54.0,81.0,32.0,78.0,86.0,t,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alexander-bublik,A. Bublik,sean-van-rensburg,S. Van Rensburg,happy-valley_challenger,2nd Round Qualifying,2.0,f,100,1,00:44:00,84.0,2.0,12.0,3.0,0.0,0.0,281.0,6.0,2.0,20.0,37.0,17.0,20.0,9.0,17.0,0.0,1.0,7.0,247.0,12.0,20.0,14.0,27.0,6.0,10.0,8.0,26.0,37.0,26.0,47.0,52.0,t,f,2,t,Australia,0.0,3.0,12.0,0.0,152.0,0.0,4.0,20.0,47.0,8.0,20.0,13.0,27.0,4.0,10.0,8.0,176.0,3.0,20.0,8.0,17.0,1.0,1.0,7.0,21.0,47.0,11.0,37.0,32.0,f,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alexander-sarkissian,A. Sarkissian,darian-king,D. King,happy-valley_challenger,Round of 32,2.0,f,100,3,01:14:00,123.0,0.0,8.0,12.0,0.0,0.0,258.0,3.0,3.0,38.0,55.0,25.0,38.0,9.0,17.0,4.0,7.0,10.0,132.0,16.0,47.0,8.0,21.0,1.0,2.0,10.0,34.0,55.0,24.0,68.0,58.0,f,f,,f,Australia,2.0,12.0,8.0,0.0,291.0,5.0,1.0,47.0,68.0,31.0,47.0,13.0,21.0,1.0,2.0,10.0,154.0,13.0,38.0,8.0,17.0,3.0,7.0,10.0,44.0,68.0,21.0,55.0,65.0,t,f,t,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alex-bolt,A. Bolt,andrey-golubev,A. Golubev,happy-valley_challenger,2nd Round Qualifying,2.0,f,100,1,00:49:00,96.0,2.0,12.0,5.0,0.0,0.0,322.0,7.0,1.0,28.0,47.0,23.0,28.0,14.0,19.0,1.0,1.0,9.0,175.0,11.0,36.0,9.0,13.0,3.0,8.0,8.0,37.0,47.0,20.0,49.0,57.0,t,f,,t,Australia,0.0,5.0,12.0,0.0,234.0,4.0,5.0,36.0,49.0,25.0,36.0,4.0,13.0,5.0,8.0,8.0,44.0,5.0,28.0,5.0,19.0,0.0,1.0,9.0,29.0,49.0,10.0,47.0,39.0,f,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alex-bolt,A. Bolt,dayne-kelly,D. Kelly,happy-valley_challenger,3rd Round Qualifying,2.0,f,100,2,01:21:00,130.0,2.0,13.0,9.0,1.0,1.0,313.0,9.0,1.0,29.0,60.0,25.0,29.0,22.0,31.0,4.0,4.0,10.0,172.0,19.0,52.0,9.0,18.0,2.0,3.0,11.0,47.0,60.0,28.0,70.0,75.0,t,f,,t,Australia,0.0,9.0,13.0,0.0,271.0,6.0,3.0,52.0,70.0,33.0,52.0,9.0,18.0,1.0,3.0,11.0,43.0,4.0,29.0,9.0,31.0,0.0,4.0,10.0,42.0,70.0,13.0,60.0,55.0,f,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alex-bolt,A. Bolt,omar-jasika,O. Jasika,happy-valley_challenger,Round of 16,2.0,f,100,4,00:58:00,105.0,0.0,6.0,12.0,0.0,0.0,235.0,5.0,6.0,23.0,48.0,18.0,23.0,11.0,25.0,3.0,6.0,9.0,63.0,10.0,38.0,7.0,19.0,0.0,0.0,9.0,29.0,48.0,17.0,57.0,46.0,f,f,Q,f,Australia,2.0,12.0,6.0,0.0,308.0,5.0,1.0,38.0,57.0,28.0,38.0,12.0,19.0,0.0,0.0,9.0,161.0,5.0,23.0,14.0,25.0,3.0,6.0,9.0,40.0,57.0,19.0,48.0,59.0,t,f,t,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alex-bolt,A. Bolt,patrick-fitzgerald,P. Fitzgerald,happy-valley_challenger,1st Round Qualifying,2.0,f,100,0,01:01:00,101.0,2.0,13.0,7.0,0.0,0.0,284.0,3.0,2.0,21.0,44.0,17.0,21.0,17.0,23.0,1.0,3.0,10.0,204.0,15.0,36.0,14.0,21.0,5.0,11.0,10.0,34.0,44.0,29.0,57.0,63.0,t,f,,t,Australia,0.0,7.0,13.0,0.0,200.0,0.0,4.0,36.0,57.0,21.0,36.0,7.0,21.0,6.0,11.0,10.0,132.0,4.0,21.0,6.0,23.0,2.0,3.0,10.0,28.0,57.0,10.0,44.0,38.0,f,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,alex-bolt,A. Bolt,tatsuma-ito,T. Ito,happy-valley_challenger,Round of 32,2.0,f,100,3,01:10:00,111.0,2.0,12.0,5.0,0.0,0.0,267.0,5.0,3.0,31.0,59.0,25.0,31.0,12.0,28.0,2.0,3.0,9.0,216.0,11.0,34.0,12.0,18.0,4.0,6.0,8.0,37.0,59.0,23.0,52.0,60.0,t,f,Q,t,Australia,0.0,5.0,12.0,0.0,215.0,3.0,4.0,34.0,52.0,23.0,34.0,6.0,18.0,2.0,6.0,8.0,120.0,6.0,31.0,16.0,28.0,1.0,3.0,9.0,29.0,52.0,22.0,59.0,51.0,f,f,f,Australia
2017-01-02,2017-01-08,Australia,Hard,75000.0,$,2017,blake-mott,B. Mott,daniel-brands,D. Brands,happy-valley_challenger,Round of 32,3.0,f,100,3,02:23:00,234.0,1.0,17.0,19.0,1.0,2.0,291.0,11.0,6.0,72.0,112.0,54.0,72.0,21.0,40.0,2.0,3.0,17.0,68.0,19.0,84.0,17.0,38.0,0.0,6.0,17.0,75.0,112.0,36.0,122.0,111.0,f,f,WC,f,Australia,2.0,19.0,17.0,1.0,318.0,18.0,1.0,84.0,122.0,65.0,84.0,21.0,38.0,6.0,6.0,17.0,111.0,18.0,72.0,19.0,40.0,1.0,3.0,17.0,86.0,122.0,37.0,112.0,123.0,t,f,t,Australia
