start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,benjamin-becker,B. Becker,michael-berrer,M. Berrer,houston,Round of 32,2.0,f,250,3,01:13:00,113.0,2.0,13.0,6.0,1.0,1.0,294.0,5.0,2.0,28.0,52.0,23.0,28.0,16.0,24.0,0.0,1.0,9.0,207.0,18.0,45.0,9.0,16.0,4.0,6.0,9.0,39.0,52.0,27.0,61.0,66.0,t,f,,t,USA,0.0,6.0,13.0,0.0,236.0,4.0,1.0,45.0,61.0,27.0,45.0,7.0,16.0,2.0,6.0,9.0,162.0,5.0,28.0,8.0,24.0,1.0,1.0,9.0,34.0,61.0,13.0,52.0,47.0,f,f,f,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,benjamin-becker,B. Becker,sam-querrey,S. Querrey,houston,Round of 16,2.0,f,250,4,00:50:00,96.0,0.0,6.0,12.0,0.0,0.0,245.0,7.0,0.0,36.0,46.0,23.0,36.0,3.0,10.0,0.0,3.0,9.0,56.0,5.0,33.0,7.0,17.0,0.0,2.0,9.0,26.0,46.0,12.0,50.0,38.0,f,f,,f,USA,2.0,12.0,6.0,0.0,323.0,13.0,0.0,33.0,50.0,28.0,33.0,10.0,17.0,2.0,2.0,9.0,239.0,13.0,36.0,7.0,10.0,3.0,3.0,9.0,38.0,50.0,20.0,46.0,58.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,benoit-paire,B. Paire,juan-monaco,J. Monaco,houston,Round of 16,2.0,f,250,4,01:34:00,153.0,0.0,8.0,13.0,0.0,0.0,201.0,1.0,6.0,25.0,71.0,17.0,25.0,20.0,46.0,7.0,11.0,10.0,120.0,20.0,61.0,11.0,21.0,2.0,12.0,11.0,37.0,71.0,31.0,82.0,68.0,f,f,2,f,USA,2.0,13.0,8.0,0.0,268.0,0.0,2.0,61.0,82.0,41.0,61.0,10.0,21.0,10.0,12.0,11.0,165.0,8.0,25.0,26.0,46.0,4.0,11.0,10.0,51.0,82.0,34.0,71.0,85.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,bjorn-fratangelo,B. Fratangelo,ernesto-escobedo,E. Escobedo,houston,1st Round Qualifying,2.0,f,250,1,01:08:00,115.0,2.0,13.0,7.0,0.0,0.0,263.0,1.0,4.0,37.0,58.0,26.0,37.0,11.0,21.0,4.0,6.0,10.0,223.0,15.0,35.0,13.0,22.0,5.0,7.0,10.0,37.0,58.0,28.0,57.0,65.0,t,f,1,t,USA,0.0,7.0,13.0,0.0,210.0,4.0,3.0,35.0,57.0,20.0,35.0,9.0,22.0,2.0,7.0,10.0,131.0,11.0,37.0,10.0,21.0,2.0,6.0,10.0,29.0,57.0,21.0,58.0,50.0,f,f,f,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,bjorn-fratangelo,B. Fratangelo,mischa-zverev,M. Zverev,houston,2nd Round Qualifying,2.0,f,250,2,01:21:00,129.0,0.0,4.0,12.0,0.0,0.0,184.0,3.0,6.0,40.0,67.0,21.0,40.0,10.0,27.0,4.0,9.0,8.0,120.0,10.0,42.0,14.0,20.0,1.0,7.0,8.0,31.0,67.0,24.0,62.0,55.0,f,f,1,f,USA,2.0,12.0,4.0,0.0,265.0,6.0,2.0,42.0,62.0,32.0,42.0,6.0,20.0,6.0,7.0,8.0,229.0,19.0,40.0,17.0,27.0,5.0,9.0,8.0,38.0,62.0,36.0,67.0,74.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,brian-baker,B. Baker,carlos-berlocq,C. Berlocq,houston,2nd Round Qualifying,2.0,f,250,2,01:14:00,103.0,0.0,4.0,12.0,0.0,0.0,175.0,1.0,5.0,32.0,51.0,17.0,32.0,5.0,19.0,2.0,7.0,8.0,113.0,12.0,41.0,6.0,11.0,1.0,6.0,8.0,22.0,51.0,18.0,52.0,40.0,f,f,WC,f,USA,2.0,12.0,4.0,0.0,281.0,1.0,2.0,41.0,52.0,29.0,41.0,5.0,11.0,5.0,6.0,8.0,254.0,15.0,32.0,14.0,19.0,5.0,7.0,8.0,34.0,52.0,29.0,51.0,63.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,brian-baker,B. Baker,guilherme-clezar,G. Clezar,houston,1st Round Qualifying,2.0,f,250,1,01:19:00,118.0,2.0,13.0,8.0,1.0,1.0,279.0,5.0,1.0,34.0,55.0,24.0,34.0,13.0,21.0,0.0,2.0,10.0,180.0,16.0,36.0,15.0,27.0,4.0,10.0,10.0,37.0,55.0,31.0,63.0,68.0,t,f,WC,t,USA,0.0,8.0,13.0,0.0,215.0,1.0,3.0,36.0,63.0,20.0,36.0,12.0,27.0,6.0,10.0,10.0,187.0,10.0,34.0,8.0,21.0,2.0,2.0,10.0,32.0,63.0,18.0,55.0,50.0,f,f,f,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,carlos-berlocq,C. Berlocq,david-warren,D. Warren,houston,1st Round Qualifying,2.0,f,250,1,01:05:00,91.0,2.0,12.0,2.0,0.0,0.0,276.0,1.0,2.0,30.0,50.0,20.0,30.0,13.0,20.0,6.0,7.0,7.0,301.0,13.0,20.0,16.0,21.0,6.0,8.0,7.0,33.0,50.0,29.0,41.0,62.0,t,f,2,t,USA,0.0,2.0,12.0,0.0,120.0,0.0,2.0,20.0,41.0,7.0,20.0,5.0,21.0,2.0,8.0,7.0,96.0,10.0,30.0,7.0,20.0,1.0,7.0,7.0,12.0,41.0,17.0,50.0,29.0,f,f,f,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,carlos-berlocq,C. Berlocq,fernando-verdasco,F. Verdasco,houston,Round of 32,2.0,f,250,3,01:40:00,133.0,0.0,7.0,12.0,0.0,0.0,231.0,1.0,3.0,59.0,78.0,32.0,59.0,10.0,19.0,9.0,14.0,10.0,144.0,6.0,27.0,14.0,28.0,2.0,4.0,9.0,42.0,78.0,20.0,55.0,62.0,f,f,Q,f,USA,2.0,12.0,7.0,0.0,256.0,4.0,2.0,27.0,55.0,21.0,27.0,14.0,28.0,2.0,4.0,9.0,179.0,27.0,59.0,9.0,19.0,5.0,14.0,10.0,35.0,55.0,36.0,78.0,71.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,denis-kudla,D. Kudla,john-isner,J. Isner,houston,Round of 16,2.0,f,250,4,01:37:00,153.0,0.0,12.0,14.0,0.0,2.0,311.0,9.0,1.0,48.0,80.0,37.0,48.0,21.0,32.0,3.0,3.0,12.0,49.0,5.0,47.0,10.0,26.0,0.0,0.0,12.0,58.0,80.0,15.0,73.0,73.0,f,f,,f,USA,2.0,14.0,12.0,2.0,337.0,24.0,2.0,47.0,73.0,42.0,47.0,16.0,26.0,0.0,0.0,12.0,57.0,11.0,48.0,11.0,32.0,0.0,3.0,12.0,58.0,73.0,22.0,80.0,80.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,denis-kudla,D. Kudla,mischa-zverev,M. Zverev,houston,Round of 32,3.0,f,250,3,02:31:00,200.0,2.0,17.0,18.0,2.0,2.0,248.0,14.0,2.0,55.0,102.0,38.0,55.0,23.0,47.0,2.0,8.0,17.0,151.0,19.0,55.0,20.0,43.0,4.0,9.0,16.0,61.0,102.0,39.0,98.0,100.0,t,f,,f,USA,1.0,18.0,17.0,0.0,251.0,3.0,1.0,55.0,98.0,36.0,55.0,23.0,43.0,5.0,9.0,16.0,192.0,17.0,55.0,24.0,47.0,6.0,8.0,17.0,59.0,98.0,41.0,102.0,100.0,f,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,dennis-novikov,D. Novikov,reilly-opelka,R. Opelka,houston,1st Round Qualifying,2.0,f,250,1,01:08:00,120.0,0.0,7.0,12.0,0.0,0.0,259.0,1.0,6.0,38.0,53.0,26.0,38.0,7.0,15.0,6.0,8.0,9.0,72.0,12.0,45.0,10.0,22.0,0.0,3.0,10.0,33.0,53.0,22.0,67.0,55.0,f,f,4,f,USA,2.0,12.0,7.0,0.0,310.0,17.0,2.0,45.0,67.0,33.0,45.0,12.0,22.0,3.0,3.0,10.0,132.0,12.0,38.0,8.0,15.0,2.0,8.0,9.0,45.0,67.0,20.0,53.0,65.0,t,f,t,USA
2016-04-04,2016-04-10,USA,Clay,515025.0,$,2016,diego-schwartzman,D. Schwartzman,marcos-baghdatis,M. Baghdatis,houston,Round of 32,2.0,f,250,3,00:49:00,74.0,0.0,0.0,12.0,0.0,0.0,118.0,0.0,4.0,23.0,43.0,9.0,23.0,6.0,20.0,6.0,12.0,6.0,37.0,0.0,12.0,7.0,19.0,0.0,0.0,6.0,15.0,43.0,7.0,31.0,22.0,f,f,,f,USA,2.0,12.0,0.0,0.0,303.0,4.0,3.0,12.0,31.0,12.0,12.0,12.0,19.0,0.0,0.0,6.0,281.0,14.0,23.0,14.0,20.0,6.0,12.0,6.0,24.0,31.0,28.0,43.0,52.0,t,f,t,USA
