,start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
0,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,adrian-menendez-maceiras,A. Menendez-Maceiras,joshua-milton,J. Milton,ilkley_challenger,Round of 32,3.0,f,100,3,02:19:00,195.0,1.0,16.0,14.0,0.0,1.0,239.0,2.0,1.0,66.0,105.0,43.0,66.0,17.0,39.0,8.0,13.0,15.0,196.0,13.0,46.0,26.0,44.0,6.0,9.0,14.0,60.0,105.0,39.0,90.0,99.0,f,f,6,t,United Kingdom of Great Britain and Northern Ireland,2.0,14.0,16.0,1.0,222.0,3.0,2.0,46.0,90.0,33.0,46.0,18.0,44.0,3.0,9.0,14.0,162.0,23.0,66.0,22.0,39.0,5.0,13.0,15.0,51.0,90.0,45.0,105.0,96.0,t,f,f,United Kingdom of Great Britain and Northern Ireland
1,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alexander-ward,A. Ward,igor-sijsling,I. Sijsling,ilkley_challenger,1st Round Qualifying,3.0,f,100,0,01:42:00,204.0,2.0,18.0,13.0,0.0,1.0,314.0,14.0,2.0,69.0,105.0,55.0,69.0,20.0,36.0,5.0,5.0,16.0,106.0,20.0,66.0,14.0,33.0,2.0,10.0,14.0,75.0,105.0,34.0,99.0,109.0,t,f,WC,t,United Kingdom of Great Britain and Northern Ireland,1.0,13.0,18.0,1.0,289.0,12.0,3.0,66.0,99.0,46.0,66.0,19.0,33.0,8.0,10.0,14.0,64.0,14.0,69.0,16.0,36.0,0.0,5.0,16.0,65.0,99.0,30.0,105.0,95.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
2,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alexander-ward,A. Ward,mirza-basic,M. Basic,ilkley_challenger,2nd Round Qualifying,2.0,f,100,1,01:27:00,155.0,0.0,10.0,13.0,0.0,1.0,270.0,6.0,2.0,44.0,72.0,31.0,44.0,15.0,28.0,4.0,6.0,11.0,97.0,13.0,55.0,14.0,28.0,1.0,7.0,11.0,46.0,72.0,27.0,83.0,73.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,2.0,13.0,10.0,1.0,283.0,4.0,3.0,55.0,83.0,42.0,55.0,14.0,28.0,6.0,7.0,11.0,127.0,13.0,44.0,13.0,28.0,2.0,6.0,11.0,56.0,83.0,26.0,72.0,82.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
3,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-bolt,A. Bolt,ewan-moore,E. Moore,ilkley_challenger,1st Round Qualifying,2.0,f,100,0,01:04:00,111.0,2.0,12.0,7.0,0.0,0.0,318.0,4.0,0.0,33.0,53.0,27.0,33.0,14.0,20.0,0.0,0.0,10.0,140.0,13.0,40.0,10.0,18.0,2.0,7.0,9.0,41.0,53.0,23.0,58.0,64.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,262.0,6.0,2.0,40.0,58.0,27.0,40.0,8.0,18.0,5.0,7.0,9.0,48.0,6.0,33.0,6.0,20.0,0.0,0.0,10.0,35.0,58.0,12.0,53.0,47.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
4,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-bolt,A. Bolt,frank-dancevic,F. Dancevic,ilkley_challenger,3rd Round Qualifying,3.0,f,100,2,01:34:00,182.0,2.0,17.0,15.0,1.0,1.0,336.0,28.0,2.0,53.0,86.0,48.0,53.0,21.0,33.0,3.0,4.0,16.0,100.0,15.0,71.0,12.0,25.0,1.0,4.0,15.0,69.0,86.0,27.0,96.0,96.0,t,f,,f,United Kingdom of Great Britain and Northern Ireland,1.0,15.0,17.0,0.0,308.0,11.0,1.0,71.0,96.0,56.0,71.0,13.0,25.0,3.0,4.0,15.0,76.0,5.0,53.0,12.0,33.0,1.0,4.0,16.0,69.0,96.0,17.0,86.0,86.0,f,f,t,United Kingdom of Great Britain and Northern Ireland
5,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-bolt,A. Bolt,hiroki-moriya,H. Moriya,ilkley_challenger,Round of 32,2.0,f,100,3,00:57:00,101.0,2.0,12.0,2.0,0.0,0.0,322.0,6.0,1.0,21.0,35.0,18.0,21.0,10.0,14.0,0.0,0.0,7.0,230.0,23.0,42.0,13.0,24.0,5.0,10.0,7.0,28.0,35.0,36.0,66.0,64.0,t,f,Q,t,United Kingdom of Great Britain and Northern Ireland,0.0,2.0,12.0,0.0,180.0,0.0,3.0,42.0,66.0,19.0,42.0,11.0,24.0,5.0,10.0,7.0,43.0,3.0,21.0,4.0,14.0,0.0,0.0,7.0,30.0,66.0,7.0,35.0,37.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
6,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-bolt,A. Bolt,ivan-dodig,I. Dodig,ilkley_challenger,Round of 16,2.0,f,100,4,01:01:00,105.0,0.0,6.0,12.0,0.0,0.0,219.0,5.0,3.0,38.0,58.0,23.0,38.0,7.0,20.0,6.0,10.0,9.0,167.0,6.0,25.0,7.0,22.0,1.0,1.0,9.0,30.0,58.0,13.0,47.0,43.0,f,f,Q,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,6.0,0.0,289.0,6.0,2.0,25.0,47.0,19.0,25.0,15.0,22.0,0.0,1.0,9.0,188.0,15.0,38.0,13.0,20.0,4.0,10.0,9.0,34.0,47.0,28.0,58.0,62.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
7,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-bolt,A. Bolt,somdev-devvarman,S. Devvarman,ilkley_challenger,2nd Round Qualifying,2.0,f,100,1,01:19:00,143.0,2.0,12.0,7.0,0.0,0.0,309.0,10.0,1.0,37.0,53.0,34.0,37.0,6.0,16.0,0.0,0.0,10.0,138.0,23.0,62.0,18.0,28.0,2.0,13.0,9.0,40.0,53.0,41.0,90.0,81.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,7.0,12.0,0.0,252.0,8.0,1.0,62.0,90.0,39.0,62.0,10.0,28.0,11.0,13.0,9.0,71.0,3.0,37.0,10.0,16.0,0.0,0.0,10.0,49.0,90.0,13.0,53.0,62.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
8,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alexis-canter,A. Canter,dzmitry-zhyrmont,D. Zhyrmont,ilkley_challenger,1st Round Qualifying,2.0,f,100,0,01:01:00,95.0,0.0,3.0,12.0,0.0,0.0,188.0,2.0,1.0,23.0,43.0,12.0,23.0,8.0,20.0,2.0,6.0,7.0,71.0,5.0,34.0,10.0,18.0,0.0,1.0,8.0,20.0,43.0,15.0,52.0,35.0,f,f,WC,f,United Kingdom of Great Britain and Northern Ireland,2.0,12.0,3.0,0.0,301.0,9.0,2.0,34.0,52.0,29.0,34.0,8.0,18.0,1.0,1.0,8.0,232.0,11.0,23.0,12.0,20.0,4.0,6.0,7.0,37.0,52.0,23.0,43.0,60.0,t,f,t,United Kingdom of Great Britain and Northern Ireland
9,2015-06-15,2015-06-20,United Kingdom of Great Britain and Northern Ireland,Grass,42500.0,€,2015,alex-kuznetsov,A. Kuznetsov,daniel-smethurst,D. Smethurst,ilkley_challenger,1st Round Qualifying,2.0,f,100,0,01:30:00,135.0,2.0,13.0,10.0,1.0,1.0,292.0,6.0,1.0,32.0,65.0,25.0,32.0,23.0,33.0,0.0,1.0,11.0,156.0,11.0,44.0,12.0,26.0,2.0,3.0,11.0,48.0,65.0,23.0,70.0,71.0,t,f,,t,United Kingdom of Great Britain and Northern Ireland,0.0,10.0,13.0,0.0,276.0,7.0,4.0,44.0,70.0,33.0,44.0,14.0,26.0,1.0,3.0,11.0,161.0,7.0,32.0,10.0,33.0,1.0,1.0,11.0,47.0,70.0,17.0,65.0,64.0,f,f,f,United Kingdom of Great Britain and Northern Ireland
