start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,agustin-calleri,A. Calleri,gustavo-kuerten,G. Kuerten,indian-wells,Round of 16,2.0,f,1000,4,01:42:00,143.0,0.0,10.0,13.0,0.0,1.0,263.0,6.0,2.0,29.0,73.0,24.0,29.0,24.0,44.0,4.0,6.0,11.0,168.0,4.0,28.0,19.0,42.0,1.0,1.0,11.0,48.0,73.0,23.0,70.0,71.0,f,f,,f,USA,2.0,13.0,10.0,1.0,276.0,6.0,1.0,28.0,70.0,24.0,28.0,23.0,42.0,0.0,1.0,11.0,113.0,5.0,29.0,20.0,44.0,2.0,6.0,11.0,47.0,70.0,25.0,73.0,72.0,t,f,t,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,agustin-calleri,A. Calleri,nicolas-lapentti,N. Lapentti,indian-wells,Round of 64,2.0,f,1000,2,01:17:00,119.0,2.0,12.0,7.0,0.0,0.0,288.0,4.0,4.0,34.0,63.0,28.0,34.0,15.0,29.0,5.0,5.0,9.0,184.0,8.0,28.0,14.0,28.0,3.0,4.0,10.0,43.0,63.0,22.0,56.0,65.0,t,f,,t,USA,0.0,7.0,12.0,0.0,243.0,5.0,3.0,28.0,56.0,20.0,28.0,14.0,28.0,1.0,4.0,10.0,66.0,6.0,34.0,14.0,29.0,0.0,5.0,9.0,34.0,56.0,20.0,63.0,54.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,agustin-calleri,A. Calleri,tim-henman,T. Henman,indian-wells,Round of 32,2.0,f,1000,3,02:02:00,164.0,2.0,13.0,10.0,1.0,1.0,277.0,2.0,5.0,37.0,73.0,30.0,37.0,21.0,36.0,1.0,2.0,11.0,116.0,15.0,52.0,21.0,39.0,2.0,13.0,11.0,51.0,73.0,36.0,91.0,87.0,t,f,,t,USA,0.0,10.0,13.0,0.0,253.0,5.0,7.0,52.0,91.0,37.0,52.0,18.0,39.0,11.0,13.0,11.0,120.0,7.0,37.0,15.0,36.0,1.0,2.0,11.0,55.0,91.0,22.0,73.0,77.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,albert-costa,A. Costa,olivier-rochus,O. Rochus,indian-wells,Round of 32,3.0,f,1000,3,02:34:00,202.0,1.0,15.0,17.0,0.0,0.0,241.0,8.0,5.0,47.0,99.0,36.0,47.0,24.0,52.0,3.0,8.0,16.0,141.0,22.0,59.0,19.0,44.0,4.0,11.0,16.0,60.0,99.0,41.0,103.0,101.0,f,f,8,t,USA,2.0,17.0,15.0,0.0,251.0,0.0,1.0,59.0,103.0,37.0,59.0,25.0,44.0,7.0,11.0,16.0,171.0,11.0,47.0,28.0,52.0,5.0,8.0,16.0,62.0,103.0,39.0,99.0,101.0,t,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,albert-costa,A. Costa,richard-krajicek,R. Krajicek,indian-wells,Round of 64,2.0,f,1000,2,01:44:00,157.0,2.0,14.0,12.0,2.0,2.0,304.0,8.0,0.0,40.0,74.0,32.0,40.0,24.0,34.0,0.0,1.0,12.0,94.0,9.0,46.0,18.0,37.0,1.0,6.0,12.0,56.0,74.0,27.0,83.0,83.0,t,f,8,t,USA,0.0,12.0,14.0,0.0,290.0,19.0,6.0,46.0,83.0,37.0,46.0,19.0,37.0,5.0,6.0,12.0,157.0,8.0,40.0,10.0,34.0,1.0,1.0,12.0,56.0,83.0,18.0,74.0,74.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,alex-corretja,A. Corretja,guillermo-coria,G. Coria,indian-wells,Round of 32,2.0,f,1000,3,01:09:00,92.0,0.0,3.0,12.0,0.0,0.0,184.0,3.0,3.0,32.0,57.0,15.0,32.0,11.0,25.0,3.0,8.0,8.0,42.0,2.0,19.0,5.0,16.0,0.0,0.0,7.0,26.0,57.0,7.0,35.0,33.0,f,f,16,f,USA,2.0,12.0,3.0,0.0,311.0,0.0,1.0,19.0,35.0,17.0,19.0,11.0,16.0,0.0,0.0,7.0,234.0,17.0,32.0,14.0,25.0,5.0,8.0,8.0,28.0,35.0,31.0,57.0,59.0,t,f,t,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,alex-corretja,A. Corretja,jose-acasuso,J. Acasuso,indian-wells,Round of 64,2.0,f,1000,2,02:23:00,188.0,2.0,14.0,12.0,2.0,2.0,248.0,7.0,4.0,51.0,105.0,37.0,51.0,26.0,54.0,10.0,13.0,12.0,149.0,16.0,49.0,18.0,34.0,3.0,8.0,12.0,63.0,105.0,34.0,83.0,97.0,t,f,16,t,USA,0.0,12.0,14.0,0.0,250.0,4.0,2.0,49.0,83.0,33.0,49.0,16.0,34.0,5.0,8.0,12.0,127.0,14.0,51.0,28.0,54.0,3.0,13.0,12.0,49.0,83.0,42.0,105.0,91.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,andrei-pavel,A. Pavel,mark-philippoussis,M. Philippoussis,indian-wells,Round of 64,2.0,f,1000,2,01:11:00,114.0,0.0,7.0,12.0,0.0,0.0,259.0,3.0,0.0,42.0,62.0,30.0,42.0,8.0,20.0,5.0,7.0,9.0,40.0,4.0,29.0,6.0,23.0,0.0,1.0,10.0,38.0,62.0,10.0,52.0,48.0,f,f,,f,USA,2.0,12.0,7.0,0.0,327.0,12.0,1.0,29.0,52.0,25.0,29.0,17.0,23.0,1.0,1.0,10.0,140.0,12.0,42.0,12.0,20.0,2.0,7.0,9.0,42.0,52.0,24.0,62.0,66.0,t,f,t,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,feliciano-lopez,F. Lopez,indian-wells,Round of 32,2.0,f,1000,3,00:54:00,95.0,2.0,12.0,7.0,0.0,0.0,323.0,7.0,3.0,28.0,45.0,24.0,28.0,12.0,17.0,0.0,0.0,9.0,144.0,7.0,21.0,11.0,29.0,3.0,7.0,10.0,36.0,45.0,18.0,50.0,54.0,t,f,6,t,USA,0.0,7.0,12.0,0.0,243.0,7.0,5.0,21.0,50.0,14.0,21.0,18.0,29.0,4.0,7.0,10.0,43.0,4.0,28.0,5.0,17.0,0.0,0.0,9.0,32.0,50.0,9.0,45.0,41.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,rainer-schuettler,R. Schuettler,indian-wells,Quarter-Finals,2.0,f,1000,5,01:00:00,98.0,0.0,5.0,12.0,0.0,0.0,230.0,4.0,4.0,28.0,48.0,21.0,28.0,7.0,20.0,1.0,4.0,8.0,60.0,7.0,35.0,6.0,15.0,0.0,3.0,9.0,28.0,48.0,13.0,50.0,41.0,f,f,6,f,USA,2.0,12.0,5.0,0.0,310.0,1.0,1.0,35.0,50.0,28.0,35.0,9.0,15.0,3.0,3.0,9.0,202.0,7.0,28.0,13.0,20.0,3.0,4.0,8.0,37.0,50.0,20.0,48.0,57.0,t,f,t,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,sebastien-grosjean,S. Grosjean,indian-wells,Round of 16,3.0,f,1000,4,02:21:00,213.0,2.0,16.0,18.0,2.0,2.0,282.0,10.0,4.0,68.0,109.0,52.0,68.0,21.0,41.0,5.0,7.0,16.0,63.0,13.0,61.0,18.0,43.0,0.0,2.0,16.0,73.0,109.0,31.0,104.0,104.0,t,f,6,t,USA,1.0,18.0,16.0,0.0,303.0,8.0,1.0,61.0,104.0,48.0,61.0,25.0,43.0,2.0,2.0,16.0,114.0,16.0,68.0,20.0,41.0,2.0,7.0,16.0,73.0,104.0,36.0,109.0,109.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,andy-roddick,A. Roddick,thomas-enqvist,T. Enqvist,indian-wells,Round of 64,2.0,f,1000,2,01:08:00,117.0,2.0,12.0,8.0,0.0,0.0,323.0,15.0,0.0,35.0,56.0,29.0,35.0,13.0,21.0,0.0,0.0,10.0,126.0,6.0,28.0,17.0,33.0,2.0,6.0,10.0,42.0,56.0,23.0,61.0,65.0,t,f,6,t,USA,0.0,8.0,12.0,0.0,254.0,6.0,5.0,28.0,61.0,22.0,28.0,16.0,33.0,4.0,6.0,10.0,55.0,6.0,35.0,8.0,21.0,0.0,0.0,10.0,38.0,61.0,14.0,56.0,52.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,arnaud-clement,A. Clement,carlos-moya,C. Moya,indian-wells,Round of 32,2.0,f,1000,3,00:56:00,85.0,0.0,2.0,12.0,0.0,0.0,160.0,0.0,4.0,22.0,48.0,12.0,22.0,9.0,26.0,6.0,11.0,7.0,50.0,5.0,22.0,4.0,15.0,0.0,0.0,7.0,21.0,48.0,9.0,37.0,30.0,f,f,,f,USA,2.0,12.0,2.0,0.0,310.0,2.0,1.0,22.0,37.0,17.0,22.0,11.0,15.0,0.0,0.0,7.0,226.0,10.0,22.0,17.0,26.0,5.0,11.0,7.0,28.0,37.0,27.0,48.0,55.0,t,f,t,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,arnaud-clement,A. Clement,michel-kratochvil,M. Kratochvil,indian-wells,Round of 64,3.0,f,1000,2,01:07:00,163.0,2.0,15.0,10.0,0.0,0.0,237.0,7.0,3.0,43.0,81.0,31.0,43.0,15.0,38.0,3.0,7.0,13.0,204.0,19.0,51.0,22.0,31.0,6.0,13.0,12.0,46.0,81.0,41.0,82.0,87.0,t,f,,t,USA,1.0,10.0,15.0,0.0,199.0,1.0,6.0,51.0,82.0,32.0,51.0,9.0,31.0,7.0,13.0,12.0,176.0,12.0,43.0,23.0,38.0,4.0,7.0,13.0,41.0,82.0,35.0,81.0,76.0,f,f,f,USA
2003-03-10,2003-03-16,USA,Hard,2200000.0,$,2003,brian-vahaly,B. Vahaly,fernando-gonzalez,F. Gonzalez,indian-wells,Round of 64,3.0,f,1000,2,01:37:00,159.0,2.0,14.0,13.0,0.0,0.0,259.0,1.0,6.0,55.0,86.0,37.0,55.0,17.0,31.0,3.0,6.0,14.0,141.0,7.0,37.0,20.0,36.0,3.0,7.0,13.0,54.0,86.0,27.0,73.0,81.0,t,f,Q,f,USA,1.0,13.0,14.0,0.0,250.0,5.0,7.0,37.0,73.0,30.0,37.0,16.0,36.0,4.0,7.0,13.0,149.0,18.0,55.0,14.0,31.0,3.0,6.0,14.0,46.0,73.0,32.0,86.0,78.0,f,f,t,USA
